,Total_Distance_Efficiency_RANK THIS WEEK,Total_Distance_Efficiency_RANK LAST WEEK,Total_Distance_Efficiency_PLAYER NAME,Total_Distance_Efficiency_ROUNDS,Total_Distance_Efficiency_AVG.,Total_Distance_Efficiency_AVERAGE DISTANCE (YARDS),Total_Distance_Efficiency_AVERAGE CLUB HEAD SPEED,Total_Distance_Efficiency_TOTAL ATTEMPTS,Total_Distance_Efficiency_HIGHEST DIST. EFFICIENCY
0,1,1,David Toms,60,2.783,290.238,104.289,41,3.373
1,2,2,Ben Crane,73,2.714,298.494,109.993,66,3.387
2,3,3,Martin Laird,77,2.678,315.345,117.742,48,3.597
3,4,4,Jeff Maggert,83,2.675,284.018,106.16799999999999,76,3.069
4,5,5,Keegan Bradley,90,2.66,310.809,116.83,59,3.4819999999999998
5,6,6,Zach Johnson,95,2.659,286.039,107.574,74,3.18
6,7,7,Bo Van Pelt,84,2.647,301.97700000000003,114.09100000000001,63,3.278
7,8,8,Brian Gay,91,2.6439999999999997,276.545,104.575,73,3.165
8,T9,T9,Tim Clark,60,2.642,275.725,104.366,55,2.984
9,T9,T9,Hunter Mahan,88,2.642,296.003,112.051,62,3.4010000000000002
10,T11,T11,John Daly,50,2.641,314.501,119.072,30,2.924
11,T11,T11,Matt Kuchar,86,2.641,285.567,108.12700000000001,68,3.2960000000000003
12,T11,T11,Steve Stricker,73,2.641,296.36,112.215,49,3.471
13,14,14,Ernie Els,80,2.638,298.637,113.20200000000001,61,3.295
14,T15,T15,Tommy Gainey,98,2.635,297.473,112.90700000000001,87,3.034
15,T15,T15,Scott Piercy,95,2.635,309.79400000000004,117.59100000000001,70,3.415
16,17,17,Heath Slocum,93,2.6319999999999997,279.392,106.134,71,2.9619999999999997
17,18,18,Rickie Fowler,84,2.63,304.091,115.645,59,3.1660000000000004
18,19,19,K.J. Choi,71,2.628,288.101,109.62100000000001,55,3.4189999999999996
19,T20,T20,Carl Pettersson,92,2.625,298.824,113.85,76,3.43
20,T20,T20,Vaughn Taylor,81,2.625,284.683,108.431,56,3.05
21,22,22,Brendan Steele,77,2.6210000000000004,294.08299999999997,112.215,62,3.5389999999999997
22,23,23,Bubba Watson,68,2.62,326.72,124.69200000000001,53,3.4610000000000003
23,T24,T24,Brian Harman,101,2.6189999999999998,290.622,110.976,90,3.025
24,T24,T24,John Merrick,83,2.6189999999999998,296.19,113.109,62,3.045
25,T24,T24,Ian Poulter,57,2.6189999999999998,290.624,110.97200000000001,42,3.049
26,T27,T27,Bryce Molder,83,2.614,285.692,109.28200000000001,71,3.406
27,T27,T27,Kyle Stanley,86,2.614,312.4,119.515,53,3.1319999999999997
28,29,29,John Huh,99,2.612,290.20599999999996,111.10700000000001,83,3.093
29,T30,T30,Michael Bradley,63,2.611,297.819,114.04799999999999,35,3.2969999999999997
30,T30,T30,Sung Kang,75,2.611,286.67400000000004,109.781,56,3.475
31,T30,T30,Sean O'Hair,84,2.611,304.012,116.431,69,3.3710000000000004
32,T33,T33,Harrison Frazar,56,2.608,298.33,114.391,43,3.2430000000000003
33,T33,T33,Graeme McDowell,55,2.608,293.158,112.40299999999999,41,3.2739999999999996
34,T33,T33,Rory Sabbatini,84,2.608,292.60400000000004,112.2,71,3.299
35,T33,T33,Mark Wilson,84,2.608,280.483,107.54799999999999,68,3.426
36,T37,T37,Jason Dufner,83,2.6060000000000003,293.399,112.59899999999999,63,3.35
37,T37,T37,Ryan Palmer,81,2.6060000000000003,302.715,116.169,68,2.9789999999999996
38,T39,T39,John Mallinger,74,2.605,281.37,107.99600000000001,60,2.9160000000000004
39,T39,T39,Patrick Sheehan,58,2.605,281.161,107.941,41,2.924
40,T39,T39,Scott Stallings,78,2.605,309.872,118.964,66,3.408
41,T42,T42,Gary Christian,91,2.6039999999999996,284.579,109.29799999999999,64,2.904
42,T42,T42,Brian Davis,91,2.6039999999999996,275.505,105.79,81,2.95
43,44,44,Chez Reavie,83,2.602,285.881,109.882,61,3.147
44,T45,T45,Rory McIlroy,60,2.6010000000000004,312.711,120.209,38,3.202
45,T45,T45,Kyle Thompson,51,2.6010000000000004,280.02,107.679,34,2.8560000000000003
46,T45,T45,Johnson Wagner,88,2.6010000000000004,287.654,110.57700000000001,73,3.4189999999999996
47,48,48,"Ted Potter, Jr.",77,2.6,285.353,109.758,60,3.301
48,T49,T49,Tommy Biershenk,74,2.5980000000000003,284.42400000000004,109.45700000000001,54,2.925
49,T49,T49,Miguel Angel Carballo,73,2.5980000000000003,294.869,113.494,48,2.886
50,T51,T51,Richard Lee,71,2.597,285.062,109.78299999999999,47,2.983
51,T51,T51,Billy Mayfair,90,2.597,285.855,110.089,73,3.02
52,T51,T51,Louis Oosthuizen,65,2.597,303.343,116.795,50,3.103
53,T54,T54,Bill Haas,79,2.596,300.007,115.552,61,3.315
54,T54,T54,J.B. Holmes,90,2.596,314.98900000000003,121.33200000000001,74,2.977
55,T54,T54,Brandt Jobe,57,2.596,300.348,115.7,37,2.997
56,T54,T54,Jeff Overton,101,2.596,290.85,112.045,91,3.032
57,T54,T54,Brandt Snedeker,81,2.596,287.539,110.751,62,3.509
58,T54,T54,Charlie Wi,86,2.596,289.085,111.35799999999999,67,2.9760000000000004
59,60,60,Russell Knox,72,2.595,284.253,109.551,53,2.858
60,61,61,Jason Day,57,2.593,309.014,119.156,43,3.0669999999999997
61,62,62,Ryan Moore,89,2.592,289.039,111.51299999999999,82,3.045
62,T63,T63,Jim Furyk,85,2.59,283.85,109.601,67,3.034
63,T63,T63,Robert Garrigus,89,2.59,314.319,121.369,66,3.287
64,T63,T63,Davis Love III,64,2.59,298.303,115.182,41,3.0580000000000003
65,T63,T63,Tom Pernice Jr.,62,2.59,277.138,107.01700000000001,51,3.213
66,67,67,David Hearn,95,2.589,284.087,109.736,80,3.029
67,T68,T68,Bud Cauley,99,2.588,290.856,112.39299999999999,90,3.0410000000000004
68,T68,T68,Chris Kirk,93,2.588,295.502,114.177,81,3.3689999999999998
69,T68,T68,Justin Rose,69,2.588,296.623,114.631,50,3.2689999999999997
70,71,71,Roland Thatcher,55,2.5869999999999997,291.097,112.54,38,2.9339999999999997
71,72,72,Justin Leonard,79,2.5860000000000003,277.536,107.307,56,3.237
72,T73,T73,Sangmoon Bae,81,2.5839999999999996,294.867,114.12200000000001,57,3.239
73,T73,T73,Tim Herron,88,2.5839999999999996,291.272,112.74,73,2.985
74,T73,T73,John Rollins,81,2.5839999999999996,293.246,113.477,70,2.985
75,76,76,Luke Donald,63,2.583,285.913,110.695,50,3.437
76,T77,T77,Roberto Castro,92,2.582,291.285,112.83200000000001,70,2.96
77,T77,T77,Will Claxton,99,2.582,291.767,113.01799999999999,83,3.093
78,T77,T77,Jerry Kelly,84,2.582,272.2,105.405,73,2.958
79,T77,T77,Josh Teater,97,2.582,302.867,117.301,79,2.895
80,81,81,Lee Westwood,60,2.5810000000000004,302.43,117.196,43,3.2110000000000003
81,T82,T82,Robert Allenby,76,2.58,287.965,111.616,62,3.095
82,T82,T82,Troy Matteson,100,2.58,300.573,116.51899999999999,70,3.089
83,T82,T82,Rocco Mediate,70,2.58,277.381,107.529,56,2.9019999999999997
84,85,85,Dustin Johnson,70,2.5789999999999997,313.69,121.62100000000001,44,2.938
85,T86,T86,Cameron Beckman,81,2.5780000000000003,282.939,109.76799999999999,68,3.1710000000000003
86,T86,T86,Alexandre Rocha,62,2.5780000000000003,282.084,109.41799999999999,48,2.892
87,T88,T88,Webb Simpson,77,2.577,292.04400000000004,113.34,60,3.1689999999999996
88,T88,T88,Kevin Stadler,85,2.577,292.861,113.624,59,2.955
89,T88,T88,Nick Watney,97,2.577,305.822,118.691,74,3.3510000000000004
90,91,91,Dicky Pride,62,2.576,281.726,109.375,50,2.966
91,T92,T92,Marc Leishman,84,2.575,297.501,115.516,65,3.174
92,T92,T92,Camilo Villegas,79,2.575,291.086,113.03200000000001,73,2.9560000000000004
93,94,94,Chad Campbell,84,2.574,290.426,112.852,73,3.159
94,T95,T95,Jonas Blixt,72,2.572,287.971,111.944,62,3.017
95,T95,T95,Jason Bohn,81,2.572,282.474,109.845,63,3.09
96,T95,T95,Steve Wheatcroft,56,2.572,282.069,109.68,38,2.82
97,T98,T98,D.A. Points,88,2.571,284.16,110.51700000000001,74,3.359
98,T98,T98,Kevin Streelman,89,2.571,296.788,115.43299999999999,73,3.1489999999999996
99,100,100,Aaron Baddeley,73,2.57,306.01099999999997,119.053,48,3.458
100,101,101,D.J. Trahan,73,2.569,294.85900000000004,114.76100000000001,50,3.2239999999999998
101,102,102,Gavin Coles,72,2.5669999999999997,268.996,104.77600000000001,51,2.949
102,T103,T103,Spencer Levin,81,2.5660000000000003,283.529,110.499,62,3.0389999999999997
103,T103,T103,Y.E. Yang,64,2.5660000000000003,289.29400000000004,112.726,43,3.1319999999999997
104,105,105,Andres Romero,68,2.565,296.074,115.417,53,2.8760000000000003
105,T106,T106,Greg Chalmers,88,2.5639999999999996,281.595,109.833,77,3.239
106,T106,T106,Troy Kelly,68,2.5639999999999996,296.559,115.641,44,2.875
107,T106,T106,Kevin Na,80,2.5639999999999996,289.684,112.971,60,3.28
108,T106,T106,Kyle Reifers,86,2.5639999999999996,286.08099999999996,111.57600000000001,66,2.93
109,T106,T106,Vijay Singh,99,2.5639999999999996,291.656,113.75399999999999,74,3.068
110,T111,T111,Jonathan Byrd,69,2.563,295.14599999999996,115.145,48,3.375
111,T111,T111,J.J. Henry,93,2.563,292.258,114.03399999999999,52,2.9410000000000003
112,113,113,John Senden,81,2.562,296.913,115.898,64,2.8680000000000003
113,T114,T114,Erik Compton,81,2.5610000000000004,293.41200000000003,114.573,56,2.895
114,T114,T114,Boo Weekley,74,2.5610000000000004,294.184,114.885,55,2.972
115,T116,T116,Billy Horschel,63,2.56,284.964,111.32700000000001,46,2.861
116,T116,T116,Colt Knost,79,2.56,273.367,106.77799999999999,64,3.0210000000000004
117,T116,T116,David Mathis,83,2.56,275.638,107.662,65,2.8080000000000003
118,T119,T119,Charley Hoffman,88,2.559,296.19,115.758,75,2.931
119,T119,T119,Phil Mickelson,79,2.559,298.889,116.81,55,3.161
120,T119,T119,Geoff Ogilvy,73,2.559,294.158,114.964,53,3.033
121,122,122,Ben Curtis,62,2.556,276.702,108.255,52,2.963
122,T123,T123,Padraig Harrington,67,2.555,293.558,114.917,38,2.8689999999999998
123,T123,T123,Chris Stroud,86,2.555,288.171,112.792,67,3.035
