,Club_Head_Speed_RANK THIS WEEK,Club_Head_Speed_RANK LAST WEEK,Club_Head_Speed_PLAYER NAME,Club_Head_Speed_ROUNDS,Club_Head_Speed_AVG.,Club_Head_Speed_TOTAL CLUB HEAD SPEED,Club_Head_Speed_TOTAL ATTEMPTS,Club_Head_Speed_FASTEST SPEED,Club_Head_Speed_SLOWEST SPEED
0,1,1,Bubba Watson,68,124.69,6608.67,53,129.43,121.22
1,2,2,Gary Woodland,70,123.85,5449.44,44,127.94,115.28
2,3,3,Charlie Beljan,61,122.83,4667.39,38,127.93,113.16
3,4,4,Jhonattan Vegas,77,122.47,7960.53,65,128.98,118.28
4,5,5,Dustin Johnson,70,121.62,5351.33,44,126.26,111.63
5,6,6,Robert Garrigus,89,121.37,8010.39,66,124.97,118.82
6,7,7,J.B. Holmes,90,121.33,8978.55,74,127.3,115.62
7,8,8,Tiger Woods,69,120.94,4595.64,38,125.34,117.87
8,9,9,Henrik Stenson,51,120.71,1810.7,15,123.53,114.69
9,10,10,Rory McIlroy,60,120.21,4567.93,38,123.68,117.16
10,11,11,Graham DeLaet,79,120.04,7562.43,63,124.02,116.12
11,12,12,Bobby Gates,87,119.63,7297.31,61,125.08,108.98
12,13,13,Chris Couch,61,119.61,4664.86,39,130.78,116.05
13,14,14,Kyle Stanley,86,119.51,6334.27,53,125.05,111.97
14,15,15,Adam Scott,59,119.3,4772.1,40,122.91,116.55
15,16,16,Jason Day,57,119.16,5123.71,43,123.6,115.7
16,17,17,Sergio Garcia,57,119.13,5241.64,44,123.52,116.03
17,18,18,Ángel Cabrera,54,119.08,3929.72,33,121.73,116.12
18,19,19,John Daly,50,119.07,3572.15,30,122.4,115.26
19,20,20,Aaron Baddeley,73,119.05,5714.56,48,124.64,115.66
20,21,21,Scott Stallings,78,118.96,7851.61,66,121.92,112.17
21,22,22,Martin Flores,95,118.91,7848.01,66,123.65,115.56
22,23,23,Greg Owen,90,118.8,7484.71,63,124.11,109.04
23,24,24,Nick Watney,97,118.69,8783.15,74,122.27,113.02
24,25,25,Seung-Yul Noh,105,118.35,9467.91,80,122.76,114.71
25,26,26,Jason Kokrak,79,118.21,7328.99,62,122.24,114.85
26,27,27,Charles Howell III,98,118.19,7682.13,65,123.16,115.08
27,28,28,Trevor Immelman,76,118.16,6380.4,54,122.42,113.49
28,29,29,Mark Anderson,75,117.8,5654.24,48,120.39,114.25
29,30,30,Martin Laird,77,117.74,5651.64,48,120.52,115.24
30,31,31,Scott Piercy,95,117.59,8231.36,70,121.13,114.09
31,32,32,James Driscoll,83,117.54,7052.35,60,122.26,113.91
32,33,33,Edward Loar,59,117.51,4465.46,38,125.57,112.79
33,34,34,Harris English,98,117.48,9398.59,80,120.86,109.39
34,35,35,Jimmy Walker,101,117.43,8690.06,74,122.29,106.05
35,36,36,Kevin Chappell,91,117.33,8330.72,71,123.75,112.13
36,37,37,Lee Westwood,60,117.2,5039.43,43,120.12,113.16
37,38,38,Robert Karlsson,54,116.92,4559.93,39,120.96,113.28
38,39,39,Charl Schwartzel,56,116.89,4441.83,38,119.29,114.64
39,40,40,Keegan Bradley,90,116.83,6892.96,59,121.02,113.82
40,T41,T41,Daniel Chopra,55,116.81,4789.2,41,120.27,113.58
41,T41,T41,Phil Mickelson,79,116.81,6424.52,55,119.9,113.07
42,43,43,Louis Oosthuizen,65,116.79,5839.75,50,121.11,113.12
43,44,44,Troy Matteson,100,116.52,8156.34,70,120.55,113.02
44,45,45,Matt Jones,53,116.45,4657.97,40,119.86,111.62
45,46,46,Sean O'Hair,84,116.43,8033.76,69,121.12,106.54
46,47,47,J.J. Killeen,101,116.31,8025.13,69,122.71,113.06
47,48,48,Ryan Palmer,81,116.17,7899.46,68,118.36,110.76
48,49,49,Derek Lamely,64,116.12,5922.03,51,119.67,113.38
49,50,50,Ricky Barnes,92,116.05,8471.52,73,119.44,110.7
50,51,51,Stewart Cink,71,115.94,4869.37,42,121.39,112.85
51,52,52,John Senden,81,115.9,7417.5,64,120.17,111.6
52,53,53,Josh Teater,97,115.84,9266.81,80,118.31,107.89
53,54,54,Charley Hoffman,88,115.76,8681.85,75,119.85,110.91
54,55,55,Brandt Jobe,57,115.7,4280.92,37,118.26,111.37
55,56,56,George McNeill,85,115.68,6941.06,60,119.39,112.02
56,57,57,Brendon de Jonge,115,115.66,11334.53,98,119.41,112.58
57,T58,T58,Rickie Fowler,84,115.64,6823.04,59,120.64,112.62
58,T58,T58,Troy Kelly,68,115.64,5088.2,44,118.52,108.27
59,60,60,Bill Haas,79,115.55,7048.7,61,118.55,112.92
60,61,61,Marc Leishman,84,115.52,7508.56,65,119.1,109.32
61,62,62,Kevin Streelman,89,115.43,8426.62,73,118.85,112.55
62,63,63,Andres Romero,68,115.42,6117.1,53,119.07,109.68
63,64,64,Pat Perez,81,115.4,6577.97,57,120.35,111.67
64,65,65,Davis Love III,64,115.18,4722.46,41,118.32,112.48
65,66,66,Jonathan Byrd,69,115.14,5526.94,48,118.84,111.62
66,67,67,Nathan Green,73,114.97,5288.76,46,120.99,111.46
67,68,68,Geoff Ogilvy,73,114.96,6093.09,53,117.22,111.64
68,69,69,Padraig Harrington,67,114.92,4366.85,38,116.91,112.56
69,70,70,Boo Weekley,74,114.88,6318.67,55,117.33,111.48
70,71,71,Garth Mulroy,59,114.82,4592.84,40,118.33,111.26
71,72,72,Cameron Tringale,88,114.8,8380.56,73,119.19,110.62
72,73,73,D.J. Trahan,73,114.76,5738.06,50,117.63,111.81
73,74,74,Justin Rose,69,114.63,5731.55,50,118.77,111.11
74,75,75,Erik Compton,81,114.57,6416.08,56,117.93,109.2
75,76,76,Stephen Gangluff,57,114.56,4811.52,42,118.08,109.31
76,77,77,Harrison Frazar,56,114.39,4918.83,43,116.57,109.87
77,78,78,Sangmoon Bae,81,114.12,6504.95,57,118.34,109.04
78,79,79,Bo Van Pelt,84,114.09,7187.75,63,118.28,110.47
79,80,80,Michael Bradley,63,114.05,3991.68,35,117.27,110.46
80,81,81,J.J. Henry,93,114.03,5929.79,52,118.74,109.43
81,82,82,Tom Gillis,75,114.02,7639.18,67,117.26,109.97
82,T83,T83,Danny Lee,74,113.85,6034.16,53,117.87,110.77
83,T83,T83,Carl Pettersson,92,113.85,8652.6,76,117.96,110.55
84,85,85,Vijay Singh,99,113.75,8417.83,74,116.73,110.38
85,86,86,Blake Adams,107,113.63,7158.69,63,116.88,107.52
86,87,87,Kevin Stadler,85,113.62,6703.8,59,117.09,109.83
87,88,88,Ryo Ishikawa,54,113.55,3974.42,35,116.35,110.45
88,89,89,Miguel Angel Carballo,73,113.49,5447.7,48,117.32,109.0
89,90,90,John Rollins,81,113.48,7943.38,70,116.81,111.02
90,91,91,Freddie Jacobson,61,113.47,4992.57,44,117.61,110.19
91,92,92,Matt Every,80,113.43,6579.17,58,118.28,110.3
92,93,93,Webb Simpson,77,113.34,6800.43,60,117.73,109.47
93,94,94,Ernie Els,80,113.2,6905.31,61,116.4,110.16
94,95,95,John Merrick,83,113.11,7012.75,62,115.92,109.84
95,96,96,Matt Bettencourt,80,113.04,5086.94,45,116.06,108.87
96,97,97,Camilo Villegas,79,113.03,8251.36,73,115.94,109.33
97,98,98,Kevin Na,80,112.97,6778.29,60,120.41,105.23
98,99,99,Tommy Gainey,98,112.91,9822.94,87,116.68,108.25
99,100,100,Daniel Summerhays,81,112.88,7450.17,66,117.89,109.39
100,101,101,Chad Campbell,84,112.85,8238.22,73,116.46,108.66
101,T102,T102,Roberto Castro,92,112.83,7898.22,70,118.81,109.52
102,T102,T102,William McGirt,96,112.83,9252.21,82,117.06,108.42
103,104,104,Chris Kirk,93,112.78,9248.32,82,118.34,109.31
104,105,105,Mathew Goggin,65,112.76,6088.94,54,117.08,109.61
105,106,106,Tim Herron,88,112.74,8230.04,73,117.63,109.18
106,107,107,Y.E. Yang,64,112.73,4847.2,43,116.16,109.18
107,108,108,Jason Dufner,83,112.6,7093.75,63,119.9,105.92
108,109,109,Scott Brown,65,112.59,5066.76,45,116.31,106.32
109,110,110,Roland Thatcher,55,112.54,4276.52,38,118.44,109.06
110,111,111,Graeme McDowell,55,112.4,4608.52,41,115.15,110.44
111,112,112,Bud Cauley,99,112.39,10115.4,90,115.47,108.79
112,113,113,Stuart Appleby,75,112.32,6963.86,62,116.99,108.94
113,114,114,Rod Pampling,88,112.31,7412.74,66,116.08,108.61
114,T115,T115,Brendan Steele,77,112.22,6957.36,62,115.33,108.49
115,T115,T115,Steve Stricker,73,112.22,5498.56,49,115.67,109.81
116,117,117,Rory Sabbatini,84,112.2,7966.17,71,114.66,107.69
117,118,118,Kris Blanks,65,112.19,5721.6,51,117.99,107.64
118,119,119,Hunter Mahan,88,112.05,6947.18,62,114.31,109.57
119,120,120,Jeff Overton,101,112.04,10196.06,91,115.18,108.94
120,121,121,Hunter Haas,69,111.96,5150.17,46,116.56,108.26
121,T122,T122,Jonas Blixt,72,111.94,6940.53,62,116.24,106.53
122,T122,T122,Bill Lunde,83,111.94,7164.32,64,117.53,109.64
123,124,124,Bob Estes,78,111.9,6378.33,57,114.82,108.85
124,125,125,Will Claxton,99,111.67,9380.52,84,117.45,108.58
125,126,126,Michael Thompson,80,111.63,6809.39,61,114.25,108.77
126,127,127,Robert Allenby,76,111.62,6920.17,62,117.16,109.21
127,128,128,Kyle Reifers,86,111.58,7364.03,66,118.04,106.07
128,129,129,Ryan Moore,89,111.51,9144.08,82,116.46,107.0
129,130,130,Charlie Wi,86,111.36,7460.99,67,115.34,107.74
130,131,131,Billy Horschel,63,111.33,5121.05,46,114.24,107.98
131,132,132,Marco Dawson,60,111.24,4560.99,41,113.6,108.17
132,133,133,Chris Stroud,86,111.13,7557.07,68,114.46,106.85
133,134,134,John Huh,99,111.11,9221.86,83,114.23,107.95
134,135,135,Kevin Kisner,69,111.01,5661.6,51,114.31,107.01
135,136,136,Brian Harman,101,110.98,9987.84,90,114.88,107.42
136,137,137,Ian Poulter,57,110.97,4660.81,42,113.82,108.44
137,138,138,Ken Duke,104,110.89,9758.2,88,114.86,105.36
138,139,139,Brandt Snedeker,81,110.75,6866.56,62,113.84,108.01
139,140,140,Scott Dunlap,57,110.72,4871.88,44,115.13,107.74
140,141,141,Luke Donald,63,110.69,5534.73,50,113.54,104.13
141,142,142,Brendon Todd,78,110.64,6085.36,55,114.25,108.07
142,143,143,Johnson Wagner,88,110.58,8072.14,73,113.33,107.95
143,144,144,D.A. Points,88,110.52,8178.25,74,115.64,106.62
144,145,145,Spencer Levin,81,110.5,6850.92,62,114.49,107.09
145,146,146,Billy Mayfair,90,110.09,8036.49,73,113.21,106.82
146,147,147,Ben Crane,73,109.99,7259.56,66,115.07,107.13
147,148,148,Chez Reavie,83,109.88,6702.78,61,114.73,106.82
148,149,149,Ryuji Imada,78,109.87,6592.14,60,116.73,106.83
149,150,150,Stephen Ames,54,109.85,3405.35,31,111.91,107.36
150,151,151,Jason Bohn,81,109.84,6920.22,63,113.58,106.57
151,152,152,Greg Chalmers,88,109.83,8457.14,77,112.99,106.88
152,T153,T153,Sung Kang,75,109.78,6147.75,56,113.39,104.23
153,T153,T153,Richard Lee,71,109.78,5159.8,47,112.1,104.02
154,155,155,Cameron Beckman,81,109.77,7464.22,68,112.71,106.22
155,156,156,"Ted Potter, Jr.",77,109.76,6585.49,60,113.98,106.38
