,Launch_Angle_RANK THIS WEEK,Launch_Angle_RANK LAST WEEK,Launch_Angle_PLAYER NAME,Launch_Angle_ROUNDS,Launch_Angle_AVG.,Launch_Angle_TOTAL VERT. LAUNCH ANGLE,Launch_Angle_TOTAL ATTEMPTS,Launch_Angle_LOWEST LAUNCH ANGLE,Launch_Angle_STEEPEST LAUNCH ANGLE
0,1,1,David Hearn,95,14.06,1124.65,80,11.34,17.82
1,2,2,David Toms,60,13.99,559.68,40,11.66,16.8
2,3,3,Vaughn Taylor,81,13.4,737.0,55,11.15,19.59
3,4,4,Billy Mayfair,90,13.38,949.83,71,9.71,17.69
4,5,5,Ryan Palmer,81,13.35,907.93,68,10.6,16.51
5,6,6,Bud Cauley,99,13.32,1185.87,89,9.05,17.88
6,7,7,Brian Gay,91,13.16,960.57,73,10.0,16.94
7,8,8,Jeff Maggert,83,13.14,985.73,75,8.69,19.74
8,9,9,John Daly,50,13.13,394.01,30,9.93,15.27
9,10,10,Troy Matteson,100,13.1,903.89,69,8.36,17.0
10,11,11,J.B. Holmes,90,12.97,920.91,71,8.55,18.07
11,12,12,Mark Wilson,84,12.75,854.5,67,9.68,15.61
12,13,13,Jerry Kelly,84,12.68,925.46,73,9.56,16.49
13,14,14,Ernie Els,80,12.67,772.65,61,9.54,16.9
14,15,15,Tommy Biershenk,74,12.64,682.68,54,9.78,18.53
15,T16,T16,Keegan Bradley,90,12.61,731.53,58,9.96,15.7
16,T16,T16,Brandt Snedeker,81,12.61,782.01,62,8.71,16.39
17,18,18,Kyle Stanley,86,12.59,667.28,53,8.84,15.14
18,19,19,Tim Clark,60,12.37,680.13,55,10.32,15.91
19,T20,T20,Harrison Frazar,56,12.32,517.38,42,9.35,15.43
20,T20,T20,Robert Garrigus,89,12.32,813.12,66,9.15,16.76
21,T22,T22,Ben Crane,73,12.29,810.96,66,9.04,15.04
22,T22,T22,Zach Johnson,95,12.29,909.77,74,9.58,15.68
23,24,24,Roland Thatcher,55,12.27,453.96,37,8.46,15.09
24,25,25,Tommy Gainey,98,12.26,1054.14,86,7.77,16.44
25,26,26,Billy Horschel,63,12.2,561.01,46,7.67,16.3
26,27,27,Brian Davis,91,12.12,981.36,81,8.83,15.5
27,28,28,Erik Compton,81,12.05,650.62,54,8.15,15.62
28,29,29,Justin Rose,69,11.99,599.75,50,7.63,16.14
29,30,30,Brendan Steele,77,11.98,730.78,61,8.86,17.0
30,31,31,Ben Curtis,62,11.96,621.74,52,9.36,16.65
