,Ball_Speed_RANK THIS WEEK,Ball_Speed_RANK LAST WEEK,Ball_Speed_PLAYER NAME,Ball_Speed_ROUNDS,Ball_Speed_AVG.,Ball_Speed_TOTAL BALL SPEED,Ball_Speed_TOTAL ATTEMPTS,Ball_Speed_FASTEST SPEED,Ball_Speed_SLOWEST SPEED
0,1,1,Bubba Watson,68,184.98,9803.87,53,192.21,179.71
1,2,2,Gary Woodland,70,181.33,7978.34,44,188.04,171.19
2,3,3,Charlie Beljan,61,180.81,6870.77,38,187.32,167.0
3,4,4,Dustin Johnson,70,180.57,7945.21,44,187.5,167.45
4,5,5,Jhonattan Vegas,77,180.38,11724.62,65,184.64,166.54
5,6,6,Robert Garrigus,89,180.18,11891.87,66,185.58,176.45
6,7,7,J.B. Holmes,90,180.0,13319.63,74,189.04,171.57
7,8,8,Rory McIlroy,60,178.07,6766.72,38,183.66,173.98
8,9,9,Henrik Stenson,51,177.7,2665.5,15,181.06,170.32
9,10,10,Tiger Woods,69,177.69,6752.11,38,182.7,169.61
10,11,11,Kyle Stanley,86,177.02,9382.14,53,185.7,165.35
11,12,12,Jason Day,57,176.87,7605.36,43,183.55,169.82
12,13,13,Adam Scott,59,176.81,7072.29,40,181.91,172.4
13,14,14,Aaron Baddeley,73,176.75,8484.09,48,184.4,171.75
14,15,15,Graham DeLaet,79,176.71,11132.86,63,181.59,169.46
15,16,16,John Daly,50,176.7,5300.93,30,181.76,171.15
16,17,17,Ángel Cabrera,54,176.09,5810.93,33,180.77,170.48
17,18,18,Nick Watney,97,175.82,13010.83,74,180.24,167.84
18,19,19,Scott Stallings,78,175.62,11591.05,66,181.05,163.62
19,20,20,Bobby Gates,87,175.51,10706.35,61,181.72,161.84
20,21,21,Jason Kokrak,79,175.38,10873.38,62,181.52,170.55
21,22,22,Sergio Garcia,57,175.35,7715.53,44,179.03,170.74
22,23,23,Martin Flores,95,175.33,11572.08,66,182.73,168.61
23,24,24,Seung-Yul Noh,105,175.08,14006.33,80,179.34,170.19
24,25,25,Martin Laird,77,174.88,8394.3,48,178.98,171.13
25,26,26,Mark Anderson,75,174.62,8382.0,48,178.78,169.67
26,27,27,Chris Couch,61,174.46,6803.92,39,181.03,167.15
27,28,28,Scott Piercy,95,174.42,12209.43,70,179.88,169.42
28,29,29,Greg Owen,90,174.25,10978.01,63,180.81,147.2
29,30,30,Harris English,98,174.24,13939.43,80,179.48,162.05
30,31,31,Jimmy Walker,101,174.04,12878.6,74,179.19,157.48
31,32,32,Charles Howell III,98,173.88,11302.09,65,179.04,168.05
32,33,33,Robert Karlsson,54,173.74,6775.94,39,179.62,168.22
33,34,34,Lee Westwood,60,173.38,7455.35,43,177.54,166.19
34,35,35,Louis Oosthuizen,65,173.32,8665.8,50,179.85,165.87
35,36,36,James Driscoll,83,173.23,10393.68,60,178.49,167.68
36,37,37,Phil Mickelson,79,173.18,9524.78,55,177.7,165.71
37,38,38,Charl Schwartzel,56,172.76,6564.99,38,176.42,167.08
38,39,39,Sean O'Hair,84,172.73,11918.3,69,179.86,158.18
39,40,40,Ryan Palmer,81,172.5,11730.18,68,175.76,164.47
40,41,41,Matt Jones,53,172.46,6898.29,40,177.99,164.7
41,42,42,Troy Matteson,100,172.41,12068.81,70,179.02,164.31
42,43,43,Keegan Bradley,90,172.35,10168.59,59,178.44,159.84
43,44,44,Trevor Immelman,76,172.3,9303.93,54,180.16,163.31
44,45,45,Kevin Chappell,91,172.24,12229.34,71,179.78,164.35
45,46,46,Derek Lamely,64,172.2,8782.41,51,177.71,166.82
46,47,47,Edward Loar,59,172.19,6543.29,38,177.29,161.99
47,48,48,Daniel Chopra,55,172.08,7055.12,41,178.25,167.16
48,49,49,Josh Teater,97,171.88,13750.67,80,175.69,160.22
49,50,50,John Senden,81,171.66,10986.37,64,175.46,165.73
50,51,51,Brandt Jobe,57,171.65,6351.02,37,175.62,164.74
51,52,52,George McNeill,85,171.42,10285.17,60,177.29,160.06
52,53,53,Rickie Fowler,84,171.41,10113.15,59,180.96,167.09
53,54,54,Troy Kelly,68,171.38,7540.57,44,176.0,159.75
54,55,55,Bill Haas,79,171.27,10447.58,61,175.83,167.02
55,T56,T56,Marc Leishman,84,171.26,11132.18,65,176.34,162.34
56,T56,T56,Andres Romero,68,171.26,9076.52,53,176.81,162.88
57,T58,T58,Stewart Cink,71,171.17,7188.95,42,176.67,161.71
58,T58,T58,Charley Hoffman,88,171.17,12837.71,75,177.98,162.76
59,T58,T58,J.J. Killeen,101,171.17,11810.59,69,179.58,164.39
60,61,61,Davis Love III,64,171.04,7012.76,41,175.7,166.94
61,62,62,Ricky Barnes,92,170.84,12471.04,73,175.37,156.91
62,63,63,Jonathan Byrd,69,170.67,8192.25,48,174.09,165.75
63,64,64,Boo Weekley,74,170.55,9380.22,55,174.23,165.54
64,65,65,Padraig Harrington,67,170.53,6480.16,38,173.61,163.8
65,66,66,Geoff Ogilvy,73,170.4,9031.22,53,174.05,164.58
66,67,67,Brendon de Jonge,115,170.37,16696.42,98,177.33,164.15
67,68,68,Erik Compton,81,170.07,9523.65,56,175.13,161.85
68,69,69,Stephen Gangluff,57,170.0,7139.93,42,175.35,161.44
69,70,70,Nathan Green,73,169.89,7815.06,46,179.67,160.4
70,71,71,Harrison Frazar,56,169.8,7301.38,43,173.11,162.88
71,72,72,Garth Mulroy,59,169.78,6791.38,40,174.96,160.1
72,73,73,Cameron Tringale,88,169.66,12385.54,73,175.06,162.41
73,74,74,Kevin Streelman,89,169.43,12368.2,73,175.37,163.78
74,T75,T75,Michael Bradley,63,169.38,5928.17,35,173.09,164.03
75,T75,T75,Bo Van Pelt,84,169.38,10671.19,63,175.38,164.05
76,77,77,Pat Perez,81,169.33,9652.05,57,174.85,163.8
77,78,78,D.J. Trahan,73,169.13,8456.39,50,173.2,163.42
78,79,79,Carl Pettersson,92,169.03,12846.11,76,175.17,164.16
79,80,80,Sangmoon Bae,81,168.73,9617.58,57,175.74,160.03
80,81,81,J.J. Henry,93,168.6,8767.22,52,175.88,158.07
81,82,82,Kevin Stadler,85,168.43,9937.51,59,173.88,159.87
82,83,83,Vijay Singh,99,168.32,12455.92,74,172.65,162.64
83,84,84,Miguel Angel Carballo,73,168.3,8078.4,48,174.23,158.27
84,85,85,John Rollins,81,168.25,11777.2,70,173.47,162.02
85,86,86,Ryo Ishikawa,54,168.13,5884.69,35,172.78,163.94
86,87,87,Blake Adams,107,168.1,10590.15,63,173.57,159.66
87,88,88,Ernie Els,80,168.09,10253.23,61,172.85,163.59
88,89,89,Danny Lee,74,167.98,8903.17,53,175.03,154.14
89,90,90,Matt Bettencourt,80,167.88,7554.79,45,172.34,161.67
90,91,91,John Merrick,83,167.87,10408.12,62,171.93,163.11
91,92,92,Camilo Villegas,79,167.86,12253.53,73,172.17,162.35
92,93,93,Matt Every,80,167.55,9718.06,58,174.9,162.06
93,94,94,Tommy Gainey,98,167.53,14575.02,87,173.27,159.43
94,95,95,Justin Rose,69,167.47,8373.66,50,173.01,163.33
95,96,96,William McGirt,96,167.35,13722.82,82,171.73,158.96
96,97,97,Mathew Goggin,65,167.31,9035.0,54,173.86,162.45
97,98,98,Tim Herron,88,167.2,12205.51,73,174.67,160.23
98,99,99,Chad Campbell,84,167.16,12202.83,73,172.95,161.36
99,T100,T100,Tom Gillis,75,167.15,11198.77,67,170.12,162.11
100,T100,T100,Chris Kirk,93,167.15,13706.3,82,171.61,162.14
101,102,102,Jason Dufner,83,167.05,10523.95,63,176.28,157.29
102,103,103,Daniel Summerhays,81,166.84,11011.6,66,175.07,160.59
103,104,104,Roland Thatcher,55,166.79,6338.19,38,171.47,160.34
104,105,105,Webb Simpson,77,166.74,10004.45,60,173.4,158.0
105,106,106,Roberto Castro,92,166.7,11669.11,70,172.52,160.76
106,107,107,Rory Sabbatini,84,166.59,11827.6,71,170.28,159.92
107,108,108,Bud Cauley,99,166.45,14980.1,90,171.09,159.97
108,109,109,Steve Stricker,73,166.29,8148.35,49,171.29,162.09
109,110,110,Freddie Jacobson,61,166.26,7315.32,44,172.52,161.62
110,111,111,Brendan Steele,77,166.23,10305.96,62,170.2,160.73
111,112,112,Hunter Mahan,88,166.15,10301.17,62,169.75,160.99
112,113,113,Bill Lunde,83,166.12,10631.38,64,170.83,162.39
113,114,114,Rod Pampling,88,166.1,10962.67,66,172.38,160.6
114,T115,T115,Scott Brown,65,166.07,7473.21,45,171.6,155.8
115,T115,T115,Jeff Overton,101,166.07,15112.41,91,171.01,161.58
116,117,117,Y.E. Yang,64,166.05,7140.34,43,172.2,155.96
117,118,118,Bob Estes,78,165.98,9460.91,57,170.51,161.65
118,119,119,Robert Allenby,76,165.58,10266.25,62,174.3,158.54
119,120,120,Michael Thompson,80,165.53,10097.27,61,169.67,160.93
120,121,121,Will Claxton,99,165.5,13902.23,84,171.14,159.94
121,122,122,Kyle Reifers,86,165.43,10918.07,66,169.36,157.51
122,123,123,Kevin Na,80,165.33,9919.54,60,174.92,155.66
123,124,124,Hunter Haas,69,165.31,7604.11,46,169.3,160.03
124,125,125,Graeme McDowell,55,165.25,6775.24,41,168.69,160.2
125,126,126,Stuart Appleby,75,165.19,10241.47,62,171.04,155.69
126,127,127,Ryan Moore,89,165.08,13536.29,82,172.94,158.9
127,128,128,Marco Dawson,60,164.9,6760.8,41,168.69,160.26
128,129,129,John Huh,99,164.87,13684.03,83,169.63,158.06
129,130,130,Chris Stroud,86,164.77,11204.25,68,168.77,158.67
130,131,131,Ian Poulter,57,164.73,6918.67,42,169.02,161.04
131,132,132,Charlie Wi,86,164.72,11036.0,67,170.62,158.8
132,133,133,Brian Harman,101,164.71,14824.23,90,170.6,159.52
133,134,134,Kris Blanks,65,164.63,8395.93,51,171.4,157.28
134,135,135,Billy Horschel,63,164.61,7571.89,46,168.35,160.35
135,136,136,Jonas Blixt,72,164.27,10184.77,62,170.55,155.09
136,137,137,Kevin Kisner,69,164.18,8373.01,51,169.18,158.53
137,138,138,Johnson Wagner,88,164.09,11978.71,73,168.1,160.31
138,T139,T139,Ken Duke,104,164.05,14436.18,88,169.67,155.37
139,T139,T139,Spencer Levin,81,164.05,10170.9,62,170.01,159.03
140,141,141,Brandt Snedeker,81,164.04,10170.34,62,168.67,160.4
141,142,142,D.A. Points,88,164.0,12136.29,74,171.72,158.33
142,143,143,Luke Donald,63,163.94,8196.78,50,168.61,153.33
143,144,144,Brendon Todd,78,163.71,9003.99,55,169.66,154.07
144,145,145,Billy Mayfair,90,163.35,11924.26,73,168.12,158.39
145,146,146,Ben Crane,73,163.2,10771.09,66,169.96,159.1
146,147,147,Chez Reavie,83,163.1,9949.09,61,170.38,158.63
147,148,148,Richard Lee,71,162.96,7659.1,47,166.46,154.46
148,149,149,Jason Bohn,81,162.92,10263.97,63,168.66,158.25
149,150,150,Arjun Atwal,79,162.83,10095.26,62,167.56,154.66
150,151,151,Steve Wheatcroft,56,162.79,6185.95,38,165.74,156.39
151,152,152,Sung Kang,75,162.74,9113.72,56,169.28,154.78
152,153,153,David Hearn,95,162.69,13014.85,80,166.28,158.28
153,154,154,Ryuji Imada,78,162.57,9754.11,60,173.34,157.87
154,155,155,Greg Chalmers,88,162.54,12515.37,77,166.47,158.71
155,156,156,Russell Knox,72,162.5,8612.59,53,167.28,156.93
156,157,157,Alexandre Rocha,62,162.48,7799.12,48,169.15,158.4
157,158,158,Cameron Beckman,81,162.39,11042.2,68,167.37,156.02
158,159,159,Scott Dunlap,57,162.27,7139.92,44,167.44,157.73
159,T160,T160,Tommy Biershenk,74,162.25,8761.26,54,168.13,156.6
160,T160,T160,Dicky Pride,62,162.25,8112.66,50,166.07,154.66
161,162,162,Gary Christian,91,162.21,10381.47,64,168.07,156.63
162,163,163,Jim Furyk,85,162.12,10862.28,67,166.57,154.39
163,164,164,K.J. Choi,71,162.04,8911.95,55,169.21,156.49
164,165,165,Stephen Ames,54,161.89,5018.56,31,165.17,157.13
165,166,166,Bryce Molder,83,161.82,11489.16,71,165.06,156.72
166,167,167,"Ted Potter, Jr.",77,161.8,9707.75,60,167.06,154.01
167,168,168,Vaughn Taylor,81,161.02,9017.14,56,167.76,155.89
168,169,169,Matt Kuchar,86,160.51,10914.5,68,164.73,155.24
169,170,170,John Mallinger,74,160.28,9616.78,60,163.62,154.78
170,171,171,Patrick Sheehan,58,160.17,6567.09,41,164.74,156.17
171,172,172,Ben Curtis,62,160.15,8327.7,52,165.02,155.39
172,173,173,Kyle Thompson,51,159.89,5436.11,34,164.21,156.11
173,174,174,Rocco Mediate,70,159.69,8942.5,56,164.61,155.06
174,175,175,David Mathis,83,159.35,10357.52,65,163.05,152.62
175,176,176,Justin Leonard,79,159.22,8916.41,56,163.73,153.86
176,177,177,Zach Johnson,95,159.21,11781.77,74,164.17,151.74
177,178,178,Mark Wilson,84,159.14,10821.37,68,164.77,153.41
