,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL DISTANCE
0,1,1,Bubba Watson,68,57.58,53306.2,92579
1,2,2,Robert Garrigus,89,56.65,72741.6,128412
2,3,3,Rory McIlroy,60,56.35,37456.7,66467
3,4,4,J.B. Holmes,90,56.26,75891.9,134885
4,5,5,Dustin Johnson,70,56.24,50837.3,90393
5,6,6,Gary Woodland,70,56.09,53631.1,95618
6,7,7,Charlie Beljan,61,55.93,37898.3,67761
7,8,8,Kyle Stanley,86,55.87,64642.7,115707
8,9,9,John Daly,50,55.67,31199.8,56049
9,10,10,Scott Stallings,78,55.09,63215.2,114747
10,11,11,Adam Scott,59,55.03,39398.5,71593
11,T12,T12,Scott Piercy,95,54.78,82656.2,150876
12,T12,T12,Jhonattan Vegas,77,54.78,63884.9,116615
13,14,14,Sean O'Hair,84,54.76,69177.1,126325
14,15,15,Graham DeLaet,79,54.74,63213.6,115488
15,T16,T16,Keegan Bradley,90,54.66,65215.1,119319
16,T16,T16,Jason Day,57,54.66,44282.6,81017
17,18,18,Martin Laird,77,54.57,55961.3,102556
18,19,19,Ryan Palmer,81,54.54,66511.1,121951
19,20,20,Jason Kokrak,79,54.52,61874.5,113488
20,21,21,Josh Teater,97,54.48,79083.2,145148
21,22,22,Davis Love III,64,54.2,43768.4,80755
22,23,23,Charles Howell III,98,54.19,69154.5,127619
23,24,24,Seung-Yul Noh,105,54.17,77469.8,143003
24,25,25,Martin Flores,95,54.16,73757.0,136182
25,26,26,Ángel Cabrera,54,54.03,34661.0,64146
26,27,27,Troy Matteson,100,54.0,76515.6,141699
27,28,28,Bobby Gates,87,53.97,69652.6,129050
28,29,29,Tiger Woods,69,53.94,45716.2,84747
29,30,30,Harrison Frazar,56,53.9,42841.4,79481
30,T31,T31,Chris Couch,61,53.83,49763.7,92438
31,T31,T31,Harris English,98,53.83,81360.9,151158
32,T33,T33,Robert Karlsson,54,53.77,37429.3,69607
33,T33,T33,Nick Watney,97,53.77,74796.8,139109
34,35,35,Erik Compton,81,53.69,57601.5,107287
35,36,36,Louis Oosthuizen,65,53.64,43978.6,81988
36,37,37,Jimmy Walker,101,53.6,87256.4,162791
37,38,38,Sergio Garcia,57,53.59,40564.9,75701
38,39,39,Bill Haas,79,53.53,58921.4,110062
39,40,40,Brandt Jobe,57,53.51,42579.8,79575
40,41,41,Edward Loar,59,53.5,35931.4,67157
41,42,42,Troy Kelly,68,53.44,45379.2,84922
42,43,43,Bo Van Pelt,84,53.42,59816.2,111971
43,44,44,Aaron Baddeley,73,53.4,53011.6,99273
44,45,45,Carl Pettersson,92,53.38,70626.9,132310
45,46,46,Rickie Fowler,84,53.34,63667.0,119363
46,47,47,Mark Anderson,75,53.29,55933.3,104966
47,48,48,John Rollins,81,53.28,63836.3,119802
48,49,49,Greg Owen,90,53.27,67916.9,127484
49,50,50,Kevin Chappell,91,53.24,65534.1,123095
50,51,51,Daniel Chopra,55,53.21,35557.1,66822
51,52,52,Tommy Gainey,98,53.18,79231.5,148976
52,53,53,Charley Hoffman,88,53.17,71868.0,135166
53,54,54,Chris Kirk,93,53.16,77365.2,145528
54,T55,T55,Phil Mickelson,79,53.1,58328.7,109841
55,T55,T55,Vijay Singh,99,53.1,72092.4,135759
56,57,57,Boo Weekley,74,53.09,51416.1,96849
57,T58,T58,Charl Schwartzel,56,53.06,35369.0,66659
58,T58,T58,D.J. Trahan,73,53.06,53789.3,101376
59,60,60,Ryo Ishikawa,54,53.01,30532.7,57601
60,61,61,Lee Westwood,60,52.96,37815.4,71399
61,62,62,Andres Romero,68,52.94,51285.2,96867
62,63,63,Garth Mulroy,59,52.93,40325.2,76190
63,64,64,John Merrick,83,52.92,63575.0,120145
64,65,65,Matt Jones,53,52.9,39575.5,74816
65,T66,T66,Scott Brown,65,52.86,43759.7,82788
66,T66,T66,Stephen Gangluff,57,52.86,36151.7,68390
67,68,68,John Senden,81,52.85,59698.7,112953
68,69,69,Jeff Overton,101,52.83,81614.1,154472
69,70,70,Jason Dufner,83,52.78,57852.5,109614
70,71,71,George McNeill,85,52.74,64532.6,122357
71,72,72,Rory Sabbatini,84,52.72,62042.1,117693
72,73,73,Brendan Steele,77,52.69,61340.9,116427
73,74,74,Henrik Stenson,51,52.66,38372.6,72867
74,T75,T75,Bud Cauley,99,52.63,85143.8,161774
75,T75,T75,Kevin Stadler,85,52.63,63089.5,119883
76,T77,T77,Roberto Castro,92,52.61,64805.5,123182
77,T77,T77,Ernie Els,80,52.61,60369.2,114759
78,T79,T79,Chad Campbell,84,52.6,62502.8,118832
79,T79,T79,Camilo Villegas,79,52.6,67014.6,127395
80,81,81,Trevor Immelman,76,52.58,52417.0,99685
81,T82,T82,James Driscoll,83,52.56,64333.6,122399
82,T82,T82,Hunter Mahan,88,52.56,59596.6,113381
83,T84,T84,Padraig Harrington,67,52.54,39026.4,74284
84,T84,T84,Kevin Streelman,89,52.54,70251.6,133706
85,86,86,Webb Simpson,77,52.53,61139.9,116391
86,87,87,Billy Horschel,63,52.51,38524.5,73371
87,88,88,Sangmoon Bae,81,52.5,51570.4,98222
88,89,89,Will Claxton,99,52.49,74194.7,141352
89,T90,T90,Ricky Barnes,92,52.48,72851.2,138823
90,T90,T90,Mathew Goggin,65,52.48,49366.0,94064
91,92,92,Brian Harman,101,52.43,79737.9,152075
92,93,93,Jonathan Byrd,69,52.42,52684.7,100507
93,94,94,Stewart Cink,71,52.39,51332.6,97988
94,95,95,Roland Thatcher,55,52.37,37294.1,71219
95,96,96,Pat Perez,81,52.35,66011.5,126098
96,97,97,Justin Rose,69,52.33,51783.7,98952
97,98,98,Marc Leishman,84,52.29,70021.2,133920
98,99,99,Derek Lamely,64,52.24,48182.9,92226
99,100,100,Cameron Tringale,88,52.22,73429.9,140609
100,101,101,Freddie Jacobson,61,52.19,37624.0,72093
101,102,102,John Huh,99,52.18,74860.6,143477
102,T103,T103,Miguel Angel Carballo,73,52.17,50788.6,97355
103,T103,T103,J.J. Killeen,101,52.17,73856.5,141581
104,105,105,Daniel Summerhays,81,52.16,60983.5,116923
105,106,106,Tim Herron,88,52.13,64929.6,124557
106,107,107,Ben Crane,73,52.11,60395.5,115902
107,108,108,Danny Lee,74,52.1,51511.1,98868
108,109,109,Tom Gillis,75,52.06,65033.7,124928
109,T110,T110,Hunter Haas,69,52.02,45427.1,87319
110,T110,T110,Billy Mayfair,90,52.02,66029.4,126934
111,112,112,Blake Adams,107,52.0,77585.6,149203
112,113,113,Brandt Snedeker,81,51.98,58263.9,112080
113,T114,T114,Bill Lunde,83,51.97,60022.6,115490
114,T114,T114,Geoff Ogilvy,73,51.97,54975.3,105782
115,116,116,J.J. Henry,93,51.95,63915.7,123026
116,117,117,Kevin Kisner,69,51.91,44908.2,86506
117,118,118,D.A. Points,88,51.83,71007.8,137002
118,119,119,Alexandre Rocha,62,51.82,41857.8,80773
119,T120,T120,Robert Allenby,76,51.79,57089.3,110224
120,T120,T120,Chez Reavie,83,51.79,60128.6,116106
121,122,122,Ian Poulter,57,51.77,35474.3,68524
122,123,123,Arjun Atwal,79,51.76,54308.0,104913
123,124,124,Steve Stricker,73,51.75,49737.3,96103
124,125,125,Brendon de Jonge,115,51.7,91811.1,177570
125,126,126,Graeme McDowell,55,51.69,36311.0,70245
126,127,127,Stuart Appleby,75,51.64,55800.1,108057
127,128,128,Matt Every,80,51.62,57736.1,111842
128,129,129,Johnson Wagner,88,51.61,70160.4,135942
129,130,130,Kyle Thompson,51,51.6,29848.8,57850
130,131,131,Richard Lee,71,51.57,46107.7,89400
131,T132,T132,Matt Bettencourt,80,51.56,52952.3,102706
132,T132,T132,Ryan Moore,89,51.56,74563.3,144622
133,134,134,Jeff Maggert,83,51.53,65183.1,126491
134,T135,T135,Jonas Blixt,72,51.51,57244.8,111124
135,T135,T135,Kyle Reifers,86,51.51,67326.8,130708
136,137,137,Spencer Levin,81,51.46,59093.5,114830
137,T138,T138,Rod Pampling,88,51.44,60886.3,118373
138,T138,T138,Y.E. Yang,64,51.44,37794.8,73477
139,T140,T140,K.J. Choi,71,51.38,52824.1,102809
140,T140,T140,Michael Thompson,80,51.38,55824.6,108648
141,142,142,David Hearn,95,51.36,77426.0,150748
142,143,143,Tommy Biershenk,74,51.32,52104.0,101536
143,144,144,Michael Bradley,63,51.31,48464.1,94449
144,T145,T145,Zach Johnson,95,51.25,64118.6,125112
145,T145,T145,"Ted Potter, Jr.",77,51.25,51021.8,99561
146,T145,T145,Chris Stroud,86,51.25,65004.0,126828
147,T148,T148,Gary Christian,91,51.24,61795.9,120590
148,T148,T148,Brendon Todd,78,51.24,52594.7,102635
149,150,150,Charlie Wi,86,51.22,66501.9,129843
150,T151,T151,Kris Blanks,65,51.21,54164.8,105769
151,T151,T151,Russell Knox,72,51.21,47667.6,93088
152,153,153,Sung Kang,75,51.2,54052.0,105574
153,154,154,William McGirt,96,51.19,69745.0,136251
154,155,155,Dicky Pride,62,51.16,42473.3,83026
155,156,156,Marco Dawson,60,51.13,42213.4,82564
156,157,157,Bob Estes,78,51.11,56139.6,109851
157,158,158,Kevin Na,80,51.07,60273.7,118017
158,159,159,Ken Duke,104,51.01,74363.4,145794
159,160,160,Steve Wheatcroft,56,50.98,34916.3,68484
160,161,161,Rocco Mediate,70,50.94,48818.6,95839
161,162,162,Heath Slocum,93,50.9,60848.1,119556
162,163,163,Matt Kuchar,86,50.89,56184.0,110398
163,164,164,Vaughn Taylor,81,50.84,55320.3,108809
164,165,165,Cameron Beckman,81,50.82,59920.2,117897
165,166,166,Jim Furyk,85,50.81,56283.1,110764
166,167,167,Jason Bohn,81,50.65,54839.6,108280
167,168,168,Patrick Sheehan,58,50.64,36025.1,71137
168,169,169,Tim Clark,60,50.62,39778.5,78576
169,170,170,Scott Dunlap,57,50.56,37087.7,73359
170,171,171,Nathan Green,73,50.55,46907.4,92797
171,T172,T172,Stephen Ames,54,50.48,32614.2,64613
172,T172,T172,Greg Chalmers,88,50.48,66758.0,132234
173,174,174,John Mallinger,74,50.44,53147.7,105368
174,175,175,Luke Donald,63,50.38,44720.1,88772
175,176,176,David Toms,60,50.24,40204.9,80022
176,177,177,Bryce Molder,83,50.11,64234.8,128182
177,178,178,Mark Wilson,84,50.03,60580.9,121101
178,179,179,Brian Gay,91,49.98,65814.8,131688
179,180,180,Justin Leonard,79,49.95,58686.5,117485
180,181,181,Brian Davis,91,49.87,68100.7,136554
181,T182,T182,Ryuji Imada,78,49.85,58638.3,117641
182,T182,T182,David Mathis,83,49.85,57670.7,115678
183,184,184,Jerry Kelly,84,49.68,58748.9,118243
184,185,185,Tom Pernice Jr.,62,49.58,43711.4,88156
185,186,186,Ben Curtis,62,49.51,44866.2,90625
186,187,187,Colt Knost,79,49.09,56235.9,114559
187,188,188,Billy Hurley III,70,48.92,45252.3,92510
188,189,189,Gavin Coles,72,48.85,44104.4,90290
189,190,190,Chris DiMarco,83,48.78,60279.1,123565
190,191,191,Nick O'Hern,78,48.75,56484.3,115864
