,Driving_Pct._280-300_All_Drives_RANK THIS WEEK,Driving_Pct._280-300_All_Drives_RANK LAST WEEK,Driving_Pct._280-300_All_Drives_PLAYER NAME,Driving_Pct._280-300_All_Drives_ROUNDS,Driving_Pct._280-300_All_Drives_%,Driving_Pct._280-300_All_Drives_TOTAL DRIVES FOR 280-300,Driving_Pct._280-300_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct._280-300_All_Drives_RELATIVE TO PAR
0,1,1,Marco Dawson,60,39.56,254,642,-0.035
1,2,2,Bud Cauley,99,38.33,486,1268,-0.070
2,3,3,Geoff Ogilvy,73,36.95,283,766,-0.078
3,4,4,Roberto Castro,92,36.64,384,1048,-0.096
4,5,5,Webb Simpson,77,36.58,338,924,-0.104
5,6,6,Cameron Tringale,88,36.47,391,1072,-0.041
6,7,7,Bill Haas,79,36.45,312,856,-0.087
7,8,8,Jeff Overton,101,36.43,467,1282,-0.103
8,9,9,Kevin Kisner,69,36.22,268,740,-0.063
9,10,10,John Senden,81,36.08,311,862,-0.122
10,11,11,Matt Every,80,36.02,322,894,-0.109
11,12,12,Pat Perez,81,35.94,345,960,-0.084
12,13,13,Ian Poulter,57,35.9,191,532,-0.063
13,14,14,Steve Wheatcroft,56,35.88,211,588,+0.009
14,15,15,Danny Lee,74,35.8,295,824,-0.037
15,16,16,Ryan Moore,89,35.75,404,1130,-0.109
16,17,17,Brandt Snedeker,81,35.73,323,904,-0.146
17,18,18,Robert Karlsson,54,35.71,205,574,-0.034
18,19,19,Tommy Gainey,98,35.64,448,1257,-0.047
19,20,20,Mathew Goggin,65,35.63,274,769,-0.091
20,21,21,Billy Horschel,63,35.57,239,672,-0.117
21,T22,T22,Will Claxton,99,35.5,426,1200,-0.070
22,T22,T22,Brian Harman,101,35.5,436,1228,E
23,24,24,Boo Weekley,74,35.43,287,810,-0.017
24,25,25,John Merrick,83,35.42,356,1005,-0.093
25,26,26,Vaughn Taylor,81,35.31,316,895,+0.009
26,27,27,Miguel Angel Carballo,73,35.18,280,796,-0.075
27,28,28,Rory Sabbatini,84,35.09,353,1006,-0.006
28,29,29,Hunter Mahan,88,34.93,313,896,-0.070
29,30,30,Ernie Els,80,34.77,315,906,-0.070
30,31,31,Jeff Maggert,83,34.74,378,1088,-0.048
31,32,32,Andres Romero,68,34.71,261,752,+0.004
32,33,33,Tim Herron,88,34.68,368,1061,-0.054
33,34,34,J.J. Killeen,101,34.61,406,1173,+0.044
34,35,35,Camilo Villegas,79,34.58,352,1018,-0.063
35,36,36,Michael Thompson,80,34.51,312,904,-0.054
36,T37,T37,Jonas Blixt,72,34.41,308,895,-0.107
37,T37,T37,Bill Lunde,83,34.41,321,933,-0.081
38,39,39,Troy Matteson,100,34.4,398,1157,+0.035
39,40,40,Lee Westwood,60,34.29,192,560,-0.047
40,41,41,John Huh,99,34.18,406,1188,-0.030
41,42,42,Tom Gillis,75,34.13,328,961,-0.073
42,43,43,Bo Van Pelt,84,33.96,307,904,-0.147
43,44,44,Garth Mulroy,59,33.85,218,644,-0.096
44,45,45,Stephen Gangluff,57,33.78,203,601,+0.123
45,46,46,Freddie Jacobson,61,33.77,208,616,-0.029
46,47,47,D.A. Points,88,33.75,378,1120,-0.069
47,48,48,Ryo Ishikawa,54,33.72,174,516,+0.023
48,49,49,Padraig Harrington,67,33.71,211,626,-0.100
49,50,50,Graeme McDowell,55,33.65,179,532,-0.173
50,51,51,Scott Brown,65,33.61,239,711,+0.013
51,52,52,Sangmoon Bae,81,33.46,265,792,+0.023
52,53,53,Kevin Streelman,89,33.36,358,1073,-0.039
53,54,54,Henrik Stenson,51,33.33,196,588,-0.036
54,T55,T55,Jason Dufner,83,33.15,295,890,-0.115
55,T55,T55,Carl Pettersson,92,33.15,370,1116,-0.084
56,57,57,Rod Pampling,88,33.02,318,963,-0.057
57,58,58,Brendan Steele,77,32.85,295,898,-0.017
58,59,59,Nick Watney,97,32.8,349,1064,+0.003
59,60,60,Mark Anderson,75,32.79,280,854,-0.036
60,61,61,Hunter Haas,69,32.74,238,727,-0.101
61,62,62,Justin Rose,69,32.66,241,738,-0.129
62,63,63,Ben Crane,73,32.64,284,870,-0.130
63,64,64,Robert Allenby,76,32.61,300,920,E
64,65,65,Rickie Fowler,84,32.58,301,924,-0.073
65,66,66,Kris Blanks,65,32.57,272,835,-0.029
66,67,67,Sung Kang,75,32.56,281,863,-0.018
67,68,68,Erik Compton,81,32.55,291,894,-0.034
68,69,69,Ben Curtis,62,32.44,218,672,-0.197
69,70,70,Louis Oosthuizen,65,32.4,221,682,-0.090
70,71,71,William McGirt,96,32.36,356,1100,-0.056
71,72,72,Roland Thatcher,55,32.31,199,616,+0.030
72,73,73,Josh Teater,97,32.3,374,1158,-0.019
73,74,74,Matt Jones,53,32.25,198,614,+0.025
74,75,75,Chris Kirk,93,32.21,384,1192,-0.029
75,76,76,Blake Adams,107,32.17,395,1228,-0.122
76,77,77,Jonathan Byrd,69,32.14,252,784,-0.032
77,78,78,Phil Mickelson,79,32.1,269,838,-0.130
78,79,79,Kevin Stadler,85,32.04,314,980,-0.013
79,80,80,Matt Kuchar,86,32.03,294,918,-0.139
80,81,81,Vijay Singh,99,31.86,360,1130,-0.081
81,82,82,Matt Bettencourt,80,31.78,266,837,-0.011
82,83,83,J.J. Henry,93,31.75,314,989,-0.067
83,84,84,Daniel Chopra,55,31.73,191,602,E
84,85,85,Steve Stricker,73,31.71,241,760,-0.116
85,86,86,Stuart Appleby,75,31.64,287,907,-0.108
86,87,87,Y.E. Yang,64,31.55,212,672,-0.038
87,88,88,Kyle Thompson,51,31.53,163,517,-0.055
88,89,89,Chez Reavie,83,31.48,289,918,-0.073
89,90,90,Spencer Levin,81,31.34,289,922,-0.062
90,91,91,D.J. Trahan,73,31.33,271,865,+0.011
91,T92,T92,Arjun Atwal,79,31.23,287,919,-0.049
92,T92,T92,Charles Howell III,98,31.23,336,1076,-0.039
93,94,94,Sergio Garcia,57,31.21,191,612,-0.110
94,95,95,David Hearn,95,31.08,382,1229,-0.050
95,96,96,Charl Schwartzel,56,31.0,173,558,-0.069
96,97,97,Daniel Summerhays,81,30.99,295,952,-0.051
97,98,98,Kyle Reifers,86,30.87,318,1030,-0.066
98,99,99,Cameron Beckman,81,30.84,297,963,-0.040
99,T100,T100,Brendon de Jonge,115,30.83,439,1424,-0.109
100,T100,T100,James Driscoll,83,30.83,300,973,-0.073
101,102,102,Jim Furyk,85,30.79,279,906,-0.118
102,103,103,Chad Campbell,84,30.72,313,1019,-0.029
103,104,104,John Rollins,81,30.71,304,990,-0.010
104,105,105,Chris Stroud,86,30.7,322,1049,-0.078
105,106,106,Charley Hoffman,88,30.69,325,1059,-0.077
106,107,107,Troy Kelly,68,30.62,218,712,+0.028
107,108,108,Richard Lee,71,30.61,244,797,-0.102
108,109,109,Ken Duke,104,30.54,383,1254,-0.120
109,110,110,Charlie Wi,86,30.51,310,1016,-0.071
110,T111,T111,Zach Johnson,95,30.49,314,1030,-0.118
111,T111,T111,Davis Love III,64,30.49,222,728,-0.032
112,113,113,Ricky Barnes,92,30.45,349,1146,-0.046
113,114,114,Edward Loar,59,30.4,183,602,+0.011
114,115,115,Harrison Frazar,56,30.37,205,675,+0.044
115,116,116,Stewart Cink,71,30.32,228,752,-0.044
116,117,117,Johnson Wagner,88,30.3,323,1066,-0.065
117,118,118,Alexandre Rocha,62,30.29,212,700,-0.014
118,119,119,Kevin Chappell,91,30.14,302,1002,-0.040
119,120,120,David Mathis,83,30.11,290,963,-0.107
