,Apex_Height_RANK THIS WEEK,Apex_Height_RANK LAST WEEK,Apex_Height_PLAYER NAME,Apex_Height_ROUNDS,Apex_Height_AVG.,Apex_Height_TOTAL APEX HEIGHT,Apex_Height_TOTAL ATTEMPTS,Apex_Height_HIGHEST APEX POINT,Apex_Height_LOWEST APEX POINT
0,1,1,J.B. Holmes,90,"130' 8""","9015' 0""",69,"168' 1""","73' 5"""
1,2,2,Kyle Stanley,86,"128' 6""","6683' 8""",52,"255' 10""","99' 9"""
2,3,3,Graham DeLaet,79,"126' 1""","7313' 1""",58,"171' 10""","67' 1"""
3,4,4,Ryan Palmer,81,"126' 0""","8570' 3""",68,"168' 1""","96' 5"""
4,5,5,John Daly,50,"123' 5""","3578' 7""",29,"141' 11""","63' 8"""
5,6,6,Troy Matteson,100,"118' 1""","8031' 8""",68,"178' 8""","66' 5"""
6,7,7,Josh Teater,97,"117' 8""","8705' 2""",74,"153' 5""","82' 0"""
7,8,8,Dustin Johnson,70,"117' 4""","4693' 8""",40,"161' 1""","79' 7"""
8,9,9,Keegan Bradley,90,"116' 8""","6765' 1""",58,"142' 9""","81' 10"""
9,10,10,Rickie Fowler,84,"115' 1""","6099' 9""",53,"153' 0""","79' 1"""
10,11,11,Robert Garrigus,89,"114' 10""","7466' 3""",65,"185' 7""","67' 1"""
11,12,12,Edward Loar,59,"114' 1""","3993' 2""",35,"152' 8""","82' 7"""
12,13,13,Harrison Frazar,56,"113' 8""","4545' 1""",40,"148' 0""","86' 10"""
13,14,14,David Hearn,95,"113' 7""","8631' 4""",76,"158' 8""","79' 4"""
14,15,15,Garth Mulroy,59,"113' 2""","4525' 5""",40,"140' 11""","74' 5"""
15,T16,T16,Daniel Chopra,55,"112' 11""","4063' 8""",36,"161' 1""","65' 4"""
16,T16,T16,Jason Day,57,"112' 11""","4630' 5""",41,"150' 10""","78' 1"""
17,18,18,Billy Mayfair,90,"112' 5""","7756' 2""",69,"145' 2""","84' 2"""
18,19,19,Ryo Ishikawa,54,"111' 8""",3349',30,"214' 6""","71' 11"""
19,20,20,Bud Cauley,99,"111' 1""","9663' 9""",87,"159' 5""","70' 7"""
20,21,21,Rory McIlroy,60,"110' 11""","4215' 6""",38,"156' 1""","63' 6"""
21,22,22,Erik Compton,81,"110' 4""","5294' 9""",48,"145' 1""","63' 10"""
22,23,23,Jonathan Byrd,69,"110' 3""","4850' 4""",44,"145' 9""","63' 8"""
23,24,24,Brandt Snedeker,81,"109' 11""",6703',61,"132' 7""","83' 1"""
24,25,25,Davis Love III,64,"109' 10""","4503' 7""",41,"132' 5""","86' 7"""
25,26,26,Robert Karlsson,54,"109' 8""","4058' 3""",37,"147' 0""","67' 8"""
26,27,27,Bill Haas,79,"109' 6""","6460' 9""",59,"137' 11""","81' 10"""
27,28,28,Charley Hoffman,88,"109' 1""","7961' 7""",73,"137' 5""","78' 8"""
28,29,29,Seung-Yul Noh,105,"108' 0""","8098' 8""",75,"168' 11""","69' 0"""
29,30,30,Chris Kirk,93,"107' 11""","8525' 1""",79,"161' 6""","76' 2"""
30,31,31,Mark Wilson,84,"107' 10""","6794' 5""",63,"129' 6""","85' 4"""
31,32,32,Billy Horschel,63,"107' 8""","4845' 0""",45,"136' 5""","76' 6"""
32,33,33,Chris Couch,61,"107' 7""","3765' 9""",35,"133' 7""","58' 5"""
33,34,34,Geoff Ogilvy,73,"107' 5""","5370' 3""",50,"132' 11""","78' 5"""
