,Left_Rough_Tendency_RTP_Score_RANK THIS WEEK,Left_Rough_Tendency_RTP_Score_RANK LAST WEEK,Left_Rough_Tendency_RTP_Score_PLAYER NAME,Left_Rough_Tendency_RTP_Score_ROUNDS,Left_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Charl Schwartzel,56,-.101
1,2,2,Rory McIlroy,60,-.090
2,3,3,Phil Mickelson,79,-.075
3,4,4,Justin Rose,69,-.060
4,5,5,Ben Crane,73,-.054
5,T6,T6,Sergio Garcia,57,-.053
6,T6,T6,Louis Oosthuizen,65,-.053
7,8,8,Josh Teater,97,-.047
8,T9,T9,Danny Lee,74,-.046
9,T9,T9,Bubba Watson,68,-.046
10,11,11,Billy Horschel,63,-.036
11,T12,T12,Russell Knox,72,-.035
12,T12,T12,Tiger Woods,69,-.035
13,14,14,Luke Donald,63,-.033
14,15,15,Webb Simpson,77,-.032
15,16,16,Troy Matteson,100,-.026
16,17,17,Daniel Chopra,55,-.021
17,18,18,Scott Stallings,78,-.014
18,19,19,Jimmy Walker,101,-.010
19,20,20,Dustin Johnson,70,-.008
20,T21,T21,Bill Lunde,83,E
21,T21,T21,Kyle Stanley,86,E
22,23,23,Brendon de Jonge,115,+.005
23,T24,T24,Jason Day,57,+.009
24,T24,T24,Davis Love III,64,+.009
25,26,26,Garth Mulroy,59,+.010
26,27,27,Roland Thatcher,55,+.014
27,28,28,Kyle Reifers,86,+.018
28,29,29,Jeff Overton,101,+.019
29,30,30,Aaron Baddeley,73,+.024
30,T31,T31,Chris Kirk,93,+.027
31,T31,T31,Steve Stricker,73,+.027
32,33,33,Jim Furyk,85,+.028
33,T34,T34,Ángel Cabrera,54,+.029
34,T34,T34,Charles Howell III,98,+.029
35,36,36,J.B. Holmes,90,+.030
36,37,37,Mathew Goggin,65,+.033
37,38,38,Charlie Beljan,61,+.034
38,T39,T39,Keegan Bradley,90,+.035
39,T39,T39,Matt Every,80,+.035
40,41,41,Andres Romero,68,+.038
41,42,42,Ryan Palmer,81,+.039
42,43,43,D.A. Points,88,+.041
43,44,44,Lee Westwood,60,+.042
44,T45,T45,Will Claxton,99,+.043
45,T45,T45,Ken Duke,104,+.043
46,47,47,Brandt Snedeker,81,+.044
47,48,48,Johnson Wagner,88,+.046
48,49,49,Carl Pettersson,92,+.047
49,T50,T50,Jonas Blixt,72,+.050
50,T50,T50,John Senden,81,+.050
51,52,52,John Huh,99,+.052
52,53,53,Rocco Mediate,70,+.053
53,T54,T54,Robert Garrigus,89,+.055
54,T54,T54,Bryce Molder,83,+.055
55,T56,T56,Stewart Cink,71,+.056
56,T56,T56,Graham DeLaet,79,+.056
57,T56,T56,Harrison Frazar,56,+.056
58,T56,T56,Kevin Na,80,+.056
59,60,60,Seung-Yul Noh,105,+.057
60,61,61,Roberto Castro,92,+.058
61,62,62,Charley Hoffman,88,+.059
62,63,63,Ernie Els,80,+.060
63,64,64,Tommy Biershenk,74,+.061
64,65,65,Gary Woodland,70,+.062
65,T66,T66,Harris English,98,+.064
66,T66,T66,Bo Van Pelt,84,+.064
67,68,68,Chris Couch,61,+.066
68,69,69,Hunter Haas,69,+.067
69,T70,T70,Ricky Barnes,92,+.068
70,T70,T70,Trevor Immelman,76,+.068
71,T70,T70,Rory Sabbatini,84,+.068
72,73,73,Adam Scott,59,+.069
73,74,74,Kevin Streelman,89,+.070
74,75,75,Jonathan Byrd,69,+.073
75,T76,T76,Ryuji Imada,78,+.074
76,T76,T76,J.J. Killeen,101,+.074
77,78,78,Greg Chalmers,88,+.075
78,T79,T79,Mark Anderson,75,+.076
79,T79,T79,Scott Piercy,95,+.076
80,T81,T81,Jason Kokrak,79,+.077
81,T81,T81,William McGirt,96,+.077
82,T81,T81,Pat Perez,81,+.077
83,T81,T81,Brendon Todd,78,+.077
84,T85,T85,Jason Dufner,83,+.079
85,T85,T85,Jerry Kelly,84,+.079
86,87,87,Greg Owen,90,+.080
87,88,88,Vijay Singh,99,+.081
88,89,89,Bud Cauley,99,+.082
89,90,90,Kevin Kisner,69,+.083
90,91,91,Kris Blanks,65,+.086
91,T92,T92,Tom Gillis,75,+.087
92,T92,T92,Matt Kuchar,86,+.087
93,T92,T92,Derek Lamely,64,+.087
94,T92,T92,John Merrick,83,+.087
95,T96,T96,John Mallinger,74,+.088
96,T96,T96,Steve Wheatcroft,56,+.088
97,T98,T98,Jason Bohn,81,+.089
98,T98,T98,John Rollins,81,+.089
99,100,100,Stuart Appleby,75,+.091
100,101,101,Martin Laird,77,+.092
101,102,102,Marc Leishman,84,+.093
102,103,103,Padraig Harrington,67,+.094
103,104,104,Nick Watney,97,+.096
104,105,105,Jhonattan Vegas,77,+.097
105,106,106,Mark Wilson,84,+.098
106,107,107,Martin Flores,95,+.100
107,T108,T108,Blake Adams,107,+.102
108,T108,T108,Tom Pernice Jr.,62,+.102
109,110,110,Billy Mayfair,90,+.103
110,111,111,Brandt Jobe,57,+.104
111,T112,T112,Stephen Ames,54,+.105
112,T112,T112,Graeme McDowell,55,+.105
113,114,114,Vaughn Taylor,81,+.107
114,115,115,"Ted Potter, Jr.",77,+.109
115,116,116,Ben Curtis,62,+.110
116,117,117,Michael Bradley,63,+.111
117,T118,T118,Scott Brown,65,+.113
118,T118,T118,Sung Kang,75,+.113
119,T120,T120,Brian Gay,91,+.115
120,T120,T120,Henrik Stenson,51,+.115
121,122,122,Bobby Gates,87,+.116
122,123,123,Brendan Steele,77,+.117
123,124,124,Spencer Levin,81,+.118
124,T125,T125,Gavin Coles,72,+.120
125,T125,T125,David Hearn,95,+.120
126,T127,T127,John Daly,50,+.122
127,T127,T127,Ryo Ishikawa,54,+.122
128,129,129,Richard Lee,71,+.126
129,130,130,Ryan Moore,89,+.127
130,131,131,Billy Hurley III,70,+.128
131,T132,T132,Bill Haas,79,+.130
132,T132,T132,Troy Kelly,68,+.130
133,134,134,Matt Jones,53,+.131
134,T135,T135,David Mathis,83,+.135
135,T135,T135,Boo Weekley,74,+.135
136,137,137,Patrick Sheehan,58,+.138
137,138,138,Justin Leonard,79,+.139
138,T139,T139,James Driscoll,83,+.140
139,T139,T139,Y.E. Yang,64,+.140
140,T141,T141,Chad Campbell,84,+.142
141,T141,T141,Marco Dawson,60,+.142
142,T141,T141,Charlie Wi,86,+.142
143,T144,T144,Brian Harman,101,+.144
144,T144,T144,D.J. Trahan,73,+.144
145,146,146,George McNeill,85,+.146
146,T147,T147,Miguel Angel Carballo,73,+.147
147,T147,T147,Nathan Green,73,+.147
148,T147,T147,Tim Herron,88,+.147
149,150,150,Sean O'Hair,84,+.148
150,T151,T151,Geoff Ogilvy,73,+.151
151,T151,T151,Kyle Thompson,51,+.151
152,153,153,Brian Davis,91,+.152
153,154,154,Kevin Stadler,85,+.154
154,155,155,Ian Poulter,57,+.155
