,Carry_Efficiency_RANK THIS WEEK,Carry_Efficiency_RANK LAST WEEK,Carry_Efficiency_PLAYER NAME,Carry_Efficiency_ROUNDS,Carry_Efficiency_AVG.,Carry_Efficiency_AVERAGE CARRY DIST. YARDS,Carry_Efficiency_AVERAGE CLUB HEAD SPEED,Carry_Efficiency_TOTAL ATTEMPTS,Carry_Efficiency_HIGHEST CARRY EFFICIENCY
0,1,1,John Daly,50,2.5340000000000003,301.7,119.05799999999999,26,2.716
1,2,2,J.B. Holmes,90,2.52,305.2,121.137,61,2.699
2,3,3,Ben Crane,73,2.515,276.4,109.917,58,2.798
3,4,4,Tommy Gainey,98,2.512,283.6,112.93299999999999,70,2.784
4,5,5,David Toms,60,2.511,261.9,104.301,37,2.718
5,6,6,Ryan Palmer,81,2.509,291.3,116.102,59,2.76
6,7,7,Rickie Fowler,84,2.5069999999999997,289.6,115.522,48,2.761
7,8,8,Vaughn Taylor,81,2.505,271.4,108.337,50,2.7969999999999997
8,T9,T9,Harrison Frazar,56,2.504,286.5,114.426,34,2.8930000000000002
9,T9,T9,Josh Teater,97,2.504,289.9,115.78399999999999,66,2.7739999999999996
10,11,11,Kyle Stanley,86,2.501,298.6,119.39,44,2.738
11,T12,T12,Keegan Bradley,90,2.498,291.8,116.803,53,2.782
12,T12,T12,David Hearn,95,2.498,274.1,109.74799999999999,66,2.7889999999999997
13,T14,T14,Chris Kirk,93,2.497,281.5,112.695,67,2.83
14,T14,T14,Bo Van Pelt,84,2.497,284.8,114.039,55,2.685
15,T16,T16,Ernie Els,80,2.494,282.5,113.266,55,2.717
16,T16,T16,Scott Piercy,95,2.494,293.3,117.59899999999999,58,2.8339999999999996
17,18,18,Jeff Maggert,83,2.491,264.2,106.073,67,2.6519999999999997
18,19,19,Edward Loar,59,2.489,291.8,117.208,30,2.678
19,T20,T20,Kyle Reifers,86,2.488,277.2,111.375,56,2.82
20,T20,T20,Scott Stallings,78,2.488,295.5,118.77799999999999,51,2.8339999999999996
21,22,22,Brandt Snedeker,81,2.485,275.2,110.726,55,2.6689999999999996
22,T23,T23,Davis Love III,64,2.484,286.2,115.227,35,2.7310000000000003
23,T23,T23,Sean O'Hair,84,2.484,289.1,116.352,56,2.775
24,25,25,Dustin Johnson,70,2.4819999999999998,302.8,122.01799999999999,37,2.782
25,T26,T26,Hunter Mahan,88,2.48,277.9,112.038,56,2.7510000000000003
26,T26,T26,Billy Mayfair,90,2.48,272.9,110.06,67,2.802
27,T28,T28,Troy Matteson,100,2.478,288.7,116.537,59,2.6919999999999997
28,T28,T28,Brendan Steele,77,2.478,277.7,112.094,56,2.904
29,30,30,Erik Compton,81,2.476,284.5,114.93299999999999,46,2.6839999999999997
30,31,31,Garth Mulroy,59,2.475,284.0,114.743,36,2.7
31,T32,T32,Robert Karlsson,54,2.474,289.7,117.10600000000001,30,2.6710000000000003
32,T32,T32,Martin Laird,77,2.474,291.4,117.792,41,2.813
