,Right_Rough_Tendency_RTP_Score_RANK THIS WEEK,Right_Rough_Tendency_RTP_Score_RANK LAST WEEK,Right_Rough_Tendency_RTP_Score_PLAYER NAME,Right_Rough_Tendency_RTP_Score_ROUNDS,Right_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Webb Simpson,77,-0.124
1,2,2,Bubba Watson,68,-0.111
2,3,3,Ben Crane,73,-0.096
3,4,4,Steve Stricker,73,-0.078
4,5,5,Seung-Yul Noh,105,-0.068
5,T6,T6,Jonas Blixt,72,-0.042
6,T6,T6,Louis Oosthuizen,65,-0.042
7,8,8,Ben Curtis,62,-0.04
8,T9,T9,Gavin Coles,72,-0.013000000000000001
9,T9,T9,D.A. Points,88,-0.013000000000000001
10,11,11,Bud Cauley,99,-0.011000000000000001
11,12,12,Dustin Johnson,70,-0.009000000000000001
12,13,13,William McGirt,96,0.006
13,14,14,K.J. Choi,71,0.009000000000000001
14,15,15,Zach Johnson,95,0.016
15,16,16,Jonathan Byrd,69,0.017
16,17,17,Chris Couch,61,0.02
17,T18,T18,John Daly,50,0.023
18,T18,T18,Kyle Stanley,86,0.023
19,T20,T20,Henrik Stenson,51,0.025
20,T20,T20,Steve Wheatcroft,56,0.025
21,22,22,Ernie Els,80,0.026000000000000002
22,T23,T23,Charlie Beljan,61,0.027000000000000003
23,T23,T23,Troy Kelly,68,0.027000000000000003
24,T25,T25,Matt Every,80,0.027999999999999997
25,T25,T25,Bo Van Pelt,84,0.027999999999999997
26,27,27,Kevin Na,80,0.028999999999999998
27,28,28,Ian Poulter,57,0.03
28,29,29,J.B. Holmes,90,0.031
29,30,30,Luke Donald,63,0.033
30,31,31,Rory McIlroy,60,0.037000000000000005
31,32,32,Brian Gay,91,0.04
32,T33,T33,Alexandre Rocha,62,0.042
33,T33,T33,Chris Stroud,86,0.042
34,35,35,Tommy Gainey,98,0.043
35,T36,T36,Jason Kokrak,79,0.044000000000000004
