,Left_Rough_Tendency_RANK THIS WEEK,Left_Rough_Tendency_RANK LAST WEEK,Left_Rough_Tendency_PLAYER NAME,Left_Rough_Tendency_ROUNDS,Left_Rough_Tendency_%,Left_Rough_Tendency_TOTAL LEFT ROUGH,Left_Rough_Tendency_POSSIBLE FWYS,Left_Rough_Tendency_RELATIVE TO PAR
0,1,1,Heath Slocum,93,8.25,86,1043,+0.30
1,2,2,Mark Wilson,84,8.71,82,941,+0.10
2,3,3,Chris DiMarco,83,9.71,97,999,+0.27
3,4,4,Jerry Kelly,84,9.97,101,1013,+0.08
4,5,5,Chris Couch,61,10.2,76,745,+0.07
5,T6,T6,Scott Dunlap,57,10.45,67,641,+0.19
6,T6,T6,John Mallinger,74,10.45,91,871,+0.09
7,8,8,Gary Christian,91,10.54,110,1044,+0.32
8,9,9,Graeme McDowell,55,10.73,57,531,+0.11
9,10,10,Tim Clark,60,10.79,75,695,+0.20
10,11,11,Bill Haas,79,10.84,92,849,+0.13
11,12,12,Ian Poulter,57,10.96,58,529,+0.16
12,T13,T13,Ken Duke,104,11.04,138,1250,+0.04
13,T13,T13,Boo Weekley,74,11.04,89,806,+0.13
14,15,15,Russell Knox,72,11.05,86,778,-0.03
15,16,16,Trevor Immelman,76,11.1,88,793,+0.07
16,17,17,Chez Reavie,83,11.11,102,918,+0.17
17,18,18,David Toms,60,11.13,68,611,+0.22
18,T19,T19,Kris Blanks,65,11.16,93,833,+0.09
19,T19,T19,Bryce Molder,83,11.16,110,986,+0.05
20,T21,T21,Blake Adams,107,11.21,137,1222,+0.10
21,T21,T21,Hunter Mahan,88,11.21,100,892,+0.16
22,23,23,Josh Teater,97,11.26,129,1146,-0.05
23,24,24,John Huh,99,11.31,134,1185,+0.05
24,25,25,Jason Dufner,83,11.4,101,886,+0.08
25,26,26,Brian Davis,91,11.42,125,1095,+0.15
26,T27,T27,Alexandre Rocha,62,11.46,80,698,+0.29
27,T27,T27,Justin Rose,69,11.46,84,733,-0.06
28,29,29,Colt Knost,79,11.63,108,929,+0.22
29,30,30,David Hearn,95,11.65,142,1219,+0.12
30,31,31,Harris English,98,11.68,141,1207,+0.06
31,32,32,Jeff Maggert,83,11.75,127,1081,+0.21
32,33,33,Rory Sabbatini,84,11.76,118,1003,+0.07
33,34,34,John Senden,81,11.81,101,855,+0.05
