,Left_Tendency_RANK THIS WEEK,Left_Tendency_RANK LAST WEEK,Left_Tendency_PLAYER NAME,Left_Tendency_EVENTS,Left_Tendency_%,Left_Tendency_NUMBER OF TIMES,Left_Tendency_ATTEMPTS,Left_Tendency_AVG RTP SCORE
0,1,1,Marc Leishman,23,35.1,161,459,+0.99
1,2,2,Stephen Gangluff,23,36.6,100,273,+3.50
2,3,3,Trevor Immelman,24,36.8,117,318,+1.54
3,4,4,Mark Wilson,25,37.2,106,285,+1.89
4,5,5,Josh Teater,30,38.6,162,420,+0.68
5,6,6,Bryce Molder,25,39.1,143,366,+1.12
6,T7,T7,Charles Howell III,29,39.4,187,475,+1.07
7,T7,T7,Martin Laird,22,39.4,117,297,+2.22
8,T9,T9,Kevin Chappell,29,40.2,169,420,+2.49
9,T9,T9,Nick Watney,26,40.2,169,420,+1.72
10,11,11,Harris English,27,40.5,188,464,+1.70
11,12,12,Daniel Chopra,21,40.6,116,286,+0.43
12,13,13,Charlie Wi,25,40.8,151,370,+2.65
13,14,14,Scott Dunlap,20,41.1,90,219,+3.00
14,15,15,Mark Anderson,25,41.3,157,380,+1.34
15,16,16,Jeff Overton,29,41.4,194,469,+0.88
16,T17,T17,Ken Duke,30,41.6,173,416,+1.45
17,T17,T17,Rory Sabbatini,29,41.6,156,375,+2.18
18,19,19,Adam Scott,16,41.7,93,223,+1.51
19,T20,T20,Alexandre Rocha,21,41.8,102,244,+2.94
20,T20,T20,Heath Slocum,29,41.8,115,275,+2.87
21,22,22,Russell Knox,23,41.9,103,246,+1.07
22,T23,T23,Brandt Jobe,18,42.9,97,226,+2.37
23,T23,T23,George McNeill,25,42.9,160,373,+2.31
24,25,25,Patrick Sheehan,21,43.1,106,246,+2.64
25,T26,T26,John Mallinger,25,43.2,121,280,+1.32
26,T26,T26,Vijay Singh,27,43.2,176,407,+0.97
27,T28,T28,Bill Haas,23,43.6,129,296,+1.32
28,T28,T28,Chris Kirk,27,43.6,196,450,+1.12
29,T28,T28,Hunter Mahan,23,43.6,123,282,+2.11
30,T31,T31,Bob Estes,23,43.7,148,339,+2.57
31,T31,T31,David Hearn,28,43.7,194,444,+1.65
