,Driving_Distance_RANK THIS WEEK,Driving_Distance_RANK LAST WEEK,Driving_Distance_PLAYER NAME,Driving_Distance_ROUNDS,Driving_Distance_AVG.,Driving_Distance_TOTAL DISTANCE,Driving_Distance_TOTAL DRIVES
0,1,1,Bubba Watson,68,315.5,41652,132
1,2,2,Charlie Beljan,61,311.6,33027,106
2,3,3,Robert Garrigus,89,310.3,55241,178
3,4,4,Dustin Johnson,70,310.2,40948,132
4,5,5,Rory McIlroy,60,310.1,32868,106
5,6,6,J.B. Holmes,90,309.7,50785,164
6,7,7,Jason Day,57,308.6,33333,108
7,8,8,Kyle Stanley,86,306.9,51249,167
8,9,9,John Daly,50,306.7,28216,92
9,T10,T10,Adam Scott,59,304.6,35335,116
10,T10,T10,Jhonattan Vegas,77,304.6,45697,150
11,12,12,Scott Piercy,95,304.5,57860,190
12,13,13,Graham DeLaet,79,304.3,45649,150
13,14,14,Jason Kokrak,79,304.1,45616,150
14,15,15,Ryan Palmer,81,303.1,48797,161
15,16,16,Keegan Bradley,90,302.7,52663,174
16,17,17,Scott Stallings,78,302.4,46871,155
17,18,18,Gary Woodland,70,301.6,40413,134
18,19,19,Seung-Yul Noh,105,300.4,58274,194
19,20,20,Harris English,98,300.3,58851,196
20,21,21,Bobby Gates,87,300.2,49837,166
21,22,22,Ángel Cabrera,54,299.7,29375,98
22,T23,T23,Troy Kelly,68,299.5,37140,124
23,T23,T23,Louis Oosthuizen,65,299.5,37141,124
24,25,25,Brandt Jobe,57,299.2,31714,106
25,26,26,Troy Matteson,100,298.9,56196,188
26,27,27,Josh Teater,97,298.6,55543,186
27,28,28,Martin Laird,77,298.2,42945,144
28,29,29,Lee Westwood,60,298.1,31596,106
29,30,30,Harrison Frazar,56,297.7,32147,108
30,31,31,Sean O'Hair,84,297.5,49980,168
31,32,32,Tiger Woods,69,297.4,39856,134
32,T33,T33,Erik Compton,81,297.2,43385,146
33,T33,T33,Tommy Gainey,98,297.2,57955,195
34,35,35,Carl Pettersson,92,297.1,54366,183
35,T36,T36,Nick Watney,97,296.8,55800,188
36,T36,T36,Boo Weekley,74,296.8,39173,132
37,38,38,Jimmy Walker,101,296.5,59902,202
38,39,39,Davis Love III,64,296.3,37929,128
39,40,40,Bo Van Pelt,84,296.1,49152,166
40,41,41,Greg Owen,90,295.9,53268,180
41,42,42,Charl Schwartzel,56,295.8,31652,107
42,43,43,Mark Anderson,75,295.7,40806,138
43,T44,T44,Daniel Chopra,55,295.6,30151,102
44,T44,T44,Edward Loar,59,295.6,31329,106
45,46,46,Charley Hoffman,88,295.5,51712,175
46,T47,T47,John Rollins,81,295.4,45487,154
47,T47,T47,Vijay Singh,99,295.4,58486,198
48,49,49,Martin Flores,95,295.0,54877,186
49,50,50,Robert Karlsson,54,294.7,30353,103
50,T51,T51,Ernie Els,80,294.6,45951,156
51,T51,T51,Charles Howell III,98,294.6,57448,195
52,53,53,Phil Mickelson,79,294.4,46511,158
53,54,54,Chris Couch,61,293.8,34664,118
54,T55,T55,Matt Jones,53,293.7,28779,98
55,T55,T55,Garth Mulroy,59,293.7,33477,114
56,57,57,Padraig Harrington,67,293.6,36995,126
57,T58,T58,Kevin Chappell,91,293.3,51033,174
58,T58,T58,John Merrick,83,293.3,46346,158
59,60,60,Rickie Fowler,84,293.2,48676,166
60,61,61,Hunter Mahan,88,293.1,48073,164
61,62,62,Kevin Stadler,85,292.9,45114,154
62,63,63,Kevin Streelman,89,292.8,50945,174
63,T64,T64,Jason Dufner,83,292.4,47367,162
64,T64,T64,Sergio Garcia,57,292.4,32747,112
65,T66,T66,Bill Haas,79,292.2,45002,154
66,T66,T66,D.J. Trahan,73,292.2,40330,138
67,T68,T68,Aaron Baddeley,73,292.0,42048,144
68,T68,T68,Ricky Barnes,92,292.0,51393,176
69,T68,T68,Jeff Overton,101,292.0,56645,194
70,T68,T68,Andres Romero,68,292.0,35042,120
71,72,72,Danny Lee,74,291.9,38533,132
72,73,73,Chris Kirk,93,291.8,51938,178
73,74,74,Bud Cauley,99,291.6,57161,196
74,T75,T75,Stephen Gangluff,57,291.5,29732,102
75,T75,T75,Pat Perez,81,291.5,45763,157
76,77,77,Scott Brown,65,291.2,34366,118
77,78,78,James Driscoll,83,291.1,46000,158
78,79,79,John Senden,81,291.0,45108,155
79,T80,T80,Trevor Immelman,76,290.9,44218,152
80,T80,T80,Justin Rose,69,290.9,39277,135
81,82,82,Mathew Goggin,65,290.8,35477,122
82,83,83,Roberto Castro,92,290.6,49981,172
83,84,84,Bill Lunde,83,290.5,43582,150
84,T85,T85,Will Claxton,99,290.4,55182,190
85,T85,T85,Cameron Tringale,88,290.4,50815,175
86,T87,T87,Brian Harman,101,290.3,58632,202
87,T87,T87,Camilo Villegas,79,290.3,44701,154
88,89,89,Billy Horschel,63,290.2,31918,110
89,T90,T90,Chad Campbell,84,290.1,48742,168
90,T90,T90,Geoff Ogilvy,73,290.1,41189,142
91,T92,T92,Ryo Ishikawa,54,290.0,26678,92
92,T92,T92,Kyle Reifers,86,290.0,47554,164
