,Missed_Fairway_Percent_-_Other_RANK THIS WEEK,Missed_Fairway_Percent_-_Other_RANK LAST WEEK,Missed_Fairway_Percent_-_Other_PLAYER NAME,Missed_Fairway_Percent_-_Other_ROUNDS,Missed_Fairway_Percent_-_Other_%,Missed_Fairway_Percent_-_Other_TOTAL MISSED,Missed_Fairway_Percent_-_Other_TOTAL FWYS,Missed_Fairway_Percent_-_Other_RELATIVE TO PAR
0,1,1,David Toms,60,0.16,1,611,-1.00
1,2,2,Hunter Mahan,88,0.78,7,892,+0.14
2,3,3,Charl Schwartzel,56,0.91,5,552,+0.40
3,4,4,Tim Clark,60,1.01,7,695,+0.14
4,5,5,Tiger Woods,69,1.2,8,666,+0.13
5,6,6,John Senden,81,1.29,11,855,+0.36
6,7,7,Kyle Reifers,86,1.37,14,1023,+0.64
7,8,8,Steve Stricker,73,1.46,11,754,+0.36
8,9,9,Louis Oosthuizen,65,1.49,10,670,+1.20
9,10,10,Graeme McDowell,55,1.51,8,531,+0.38
10,11,11,John Huh,99,1.52,18,1185,+0.56
11,12,12,Roberto Castro,92,1.53,16,1044,+0.81
12,13,13,Rod Pampling,88,1.57,15,958,+0.73
13,14,14,Mark Wilson,84,1.59,15,941,+0.60
14,15,15,Ben Curtis,62,1.64,11,669,+1.00
15,16,16,William McGirt,96,1.65,18,1092,+0.67
16,17,17,Jim Furyk,85,1.66,15,905,+0.47
17,18,18,Gary Christian,91,1.72,18,1044,+0.89
18,19,19,Brian Davis,91,1.74,19,1095,+0.47
19,20,20,Matt Kuchar,86,1.75,16,912,+0.31
20,21,21,Jerry Kelly,84,1.78,18,1013,+1.11
21,22,22,Justin Rose,69,1.91,14,733,+0.57
22,23,23,Heath Slocum,93,1.92,20,1043,+0.30
23,T24,T24,Zach Johnson,95,1.95,20,1028,+0.85
24,T24,T24,Y.E. Yang,64,1.95,13,668,+1.15
25,26,26,Jeff Overton,101,1.96,25,1274,+0.76
26,27,27,Ernie Els,80,2.01,18,895,+0.56
27,28,28,K.J. Choi,71,2.04,16,784,+0.56
28,29,29,Brendon de Jonge,115,2.05,29,1413,+0.55
29,30,30,Russell Knox,72,2.06,16,778,+0.63
30,31,31,Chris DiMarco,83,2.1,21,999,+0.76
31,32,32,Bill Haas,79,2.12,18,849,+0.33
32,T33,T33,Freddie Jacobson,61,2.13,13,611,+1.00
33,T33,T33,Adam Scott,59,2.13,12,564,+0.92
34,T35,T35,Sangmoon Bae,81,2.15,17,790,+0.82
35,T35,T35,Colt Knost,79,2.15,20,929,+1.05
36,37,37,Rory McIlroy,60,2.16,12,556,+0.50
37,38,38,Johnson Wagner,88,2.17,23,1061,+0.57
38,39,39,Scott Dunlap,57,2.18,14,641,+0.36
39,40,40,Boo Weekley,74,2.23,18,806,+0.72
40,41,41,Rocco Mediate,70,2.24,18,805,+0.67
41,42,42,Will Claxton,99,2.27,27,1192,+0.70
42,43,43,Alexandre Rocha,62,2.29,16,698,+0.44
43,44,44,John Mallinger,74,2.3,20,871,+0.80
44,45,45,Dicky Pride,62,2.35,16,680,+0.31
45,46,46,Ryo Ishikawa,54,2.36,12,508,+0.42
46,47,47,Chris Kirk,93,2.38,28,1178,+0.61
47,48,48,Richard Lee,71,2.39,19,795,+0.74
48,49,49,Billy Horschel,63,2.4,16,667,+0.63
49,50,50,Jeff Maggert,83,2.41,26,1081,+0.27
50,T51,T51,Greg Chalmers,88,2.42,25,1032,+0.60
51,T51,T51,Padraig Harrington,67,2.42,15,619,+0.33
52,T51,T51,Pat Perez,81,2.42,23,951,+0.78
53,54,54,Ben Crane,73,2.44,21,861,+0.81
54,55,55,"Ted Potter, Jr.",77,2.47,21,851,+1.24
55,56,56,Ken Duke,104,2.48,31,1250,+0.48
56,57,57,David Mathis,83,2.5,24,960,+0.75
57,T58,T58,Brian Gay,91,2.51,27,1077,+0.96
58,T58,T58,D.A. Points,88,2.51,28,1116,+0.71
59,T60,T60,Gavin Coles,72,2.52,20,793,+1.00
60,T60,T60,Rickie Fowler,84,2.52,23,914,+0.65
61,T60,T60,Lee Westwood,60,2.52,14,555,+0.50
62,T63,T63,J.J. Henry,93,2.54,25,986,+0.60
63,T63,T63,Greg Owen,90,2.54,27,1061,+0.41
64,T63,T63,Kyle Thompson,51,2.54,13,512,+0.92
65,T63,T63,Cameron Tringale,88,2.54,27,1061,+0.26
66,67,67,Bo Van Pelt,84,2.56,23,900,+0.61
67,68,68,Brandt Jobe,57,2.57,16,623,+0.44
68,69,69,Ryan Moore,89,2.58,29,1126,+0.69
69,70,70,Jonas Blixt,72,2.59,23,888,+0.57
70,71,71,Tom Gillis,75,2.62,25,956,+0.72
71,T72,T72,Hunter Haas,69,2.64,19,721,+0.63
72,T72,T72,Davis Love III,64,2.64,19,719,+0.68
73,T72,T72,Daniel Summerhays,81,2.64,25,946,+0.72
74,75,75,Bubba Watson,68,2.68,19,709,E
75,76,76,Charlie Beljan,61,2.7,16,593,+0.31
76,77,77,Jason Dufner,83,2.71,24,886,+0.54
77,78,78,Steve Wheatcroft,56,2.73,16,586,+0.63
78,79,79,Henrik Stenson,51,2.74,16,583,+0.38
79,80,80,Kris Blanks,65,2.76,23,833,+0.91
80,T81,T81,Stephen Ames,54,2.79,15,537,+0.87
81,T81,T81,Bob Estes,78,2.79,25,897,+0.52
82,T81,T81,Martin Laird,77,2.79,21,753,+0.81
83,T81,T81,Charlie Wi,86,2.79,28,1004,+0.82
84,85,85,John Merrick,83,2.81,28,995,+0.57
85,86,86,Spencer Levin,81,2.83,26,919,+0.58
86,T87,T87,Keegan Bradley,90,2.84,28,985,+0.61
87,T87,T87,Bryce Molder,83,2.84,28,986,+0.68
88,89,89,David Hearn,95,2.87,35,1219,+0.49
89,90,90,Kevin Stadler,85,2.88,28,972,+0.68
90,91,91,Brandt Snedeker,81,2.89,26,900,+0.69
