,Driving_Pct._320_Measured_RANK THIS WEEK,Driving_Pct._320_Measured_RANK LAST WEEK,Driving_Pct._320_Measured_PLAYER NAME,Driving_Pct._320_Measured_ROUNDS,Driving_Pct._320_Measured_%,Driving_Pct._320_Measured_TOTAL DRIVES FOR 320+,Driving_Pct._320_Measured_TOTAL DRVS - OVERALL,Driving_Pct._320_Measured_RELATIVE TO PAR
0,1,1,Bubba Watson,68,46.15,48.0,104,-0.63
1,2,2,Dustin Johnson,70,35.96,41.0,114,-0.37
2,3,3,J.B. Holmes,90,35.37,58.0,164,-0.19
3,4,4,John Daly,50,34.21,26.0,76,-0.23
4,5,5,Charlie Beljan,61,33.96,36.0,106,-0.58
5,6,6,Robert Garrigus,89,33.95,55.0,162,-0.29
6,7,7,Rory McIlroy,60,30.0,24.0,80,-0.46
7,8,8,Jason Day,57,29.17,28.0,96,-0.57
8,9,9,Jhonattan Vegas,77,26.0,39.0,150,-0.26
9,10,10,Scott Piercy,95,25.84,46.0,178,-0.41
10,11,11,Adam Scott,59,23.81,20.0,84,-0.25
11,12,12,Kyle Stanley,86,22.97,34.0,148,-0.50
12,13,13,Gary Woodland,70,22.32,25.0,112,-0.36
13,14,14,Keegan Bradley,90,22.22,32.0,144,-0.41
14,15,15,Troy Kelly,68,21.67,26.0,120,-0.58
15,16,16,Ryan Palmer,81,21.43,33.0,154,-0.27
16,17,17,Ángel Cabrera,54,21.05,16.0,76,-0.13
17,18,18,Scott Stallings,78,20.83,30.0,144,-0.30
18,19,19,Graham DeLaet,79,20.67,31.0,150,-0.29
19,20,20,Martin Laird,77,20.34,24.0,118,-0.21
20,21,21,Jason Kokrak,79,19.33,29.0,150,+0.03
21,22,22,Harrison Frazar,56,17.31,18.0,104,-0.50
22,23,23,Seung-Yul Noh,105,17.2,32.0,186,-0.47
23,24,24,Tiger Woods,69,16.67,17.0,102,-0.29
24,25,25,Daniel Chopra,55,16.33,16.0,98,-0.06
25,26,26,Sean O'Hair,84,16.25,26.0,160,-0.31
26,27,27,Brandt Jobe,57,16.04,17.0,106,-0.71
27,28,28,Edward Loar,59,15.69,16.0,102,-0.63
28,29,29,Nick Watney,97,15.63,25.0,160,-0.36
