,Driving_Pct._320_All_Drives_RANK THIS WEEK,Driving_Pct._320_All_Drives_RANK LAST WEEK,Driving_Pct._320_All_Drives_PLAYER NAME,Driving_Pct._320_All_Drives_ROUNDS,Driving_Pct._320_All_Drives_%,Driving_Pct._320_All_Drives_TOTAL DRIVES FOR 320+,Driving_Pct._320_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct._320_All_Drives_RELATIVE TO PAR
0,1,1,Bubba Watson,68,37.05,266,718,-0.316
1,2,2,Dustin Johnson,70,29.01,215,741,-0.247
2,3,3,J.B. Holmes,90,27.01,295,1092,-0.190
3,4,4,Robert Garrigus,89,24.37,251,1030,-0.255
4,5,5,Gary Woodland,70,23.85,177,742,-0.186
5,6,6,John Daly,50,23.3,123,528,-0.236
6,7,7,Rory McIlroy,60,22.32,125,560,-0.248
7,8,8,Scott Piercy,95,20.28,244,1203,-0.234
8,9,9,Charlie Beljan,61,20.0,120,600,-0.217
9,10,10,Kyle Stanley,86,17.77,174,979,-0.322
10,11,11,Jason Day,57,17.58,115,654,-0.313
11,12,12,Keegan Bradley,90,17.03,170,998,-0.206
12,13,13,Scott Stallings,78,16.77,160,954,-0.131
13,14,14,Adam Scott,59,15.85,91,574,-0.220
14,15,15,Ryan Palmer,81,15.81,157,993,-0.223
15,16,16,Martin Laird,77,15.08,114,756,-0.281
16,17,17,Harrison Frazar,56,14.67,99,675,-0.172
17,18,18,Jhonattan Vegas,77,14.48,140,967,-0.171
18,19,19,Tiger Woods,69,14.43,97,672,-0.186
19,20,20,Graham DeLaet,79,14.21,141,992,-0.191
20,21,21,Sean O'Hair,84,14.07,150,1066,-0.280
21,22,22,Jason Kokrak,79,13.71,132,963,-0.121
22,23,23,Aaron Baddeley,73,13.18,102,774,-0.314
23,24,24,Ángel Cabrera,54,12.98,67,516,-0.104
24,25,25,Martin Flores,95,12.65,145,1146,-0.262
25,26,26,Troy Kelly,68,12.64,90,712,-0.267
26,27,27,Seung-Yul Noh,105,12.38,147,1187,-0.231
27,28,28,Josh Teater,97,11.83,137,1158,-0.307
28,29,29,Louis Oosthuizen,65,11.29,77,682,-0.299
29,30,30,Edward Loar,59,10.8,65,602,-0.262
30,31,31,Bobby Gates,87,10.66,113,1060,-0.204
31,32,32,Chris Couch,61,10.65,80,751,-0.288
32,33,33,Jimmy Walker,101,10.49,133,1268,-0.271
33,34,34,Troy Matteson,100,10.46,121,1157,-0.107
34,35,35,Harris English,98,10.3,125,1214,-0.208
35,36,36,Nick Watney,97,9.96,106,1064,-0.292
36,37,37,Erik Compton,81,9.62,86,894,-0.244
37,38,38,Jonathan Byrd,69,9.57,75,784,-0.320
38,39,39,Brandt Jobe,57,9.54,60,629,-0.300
39,40,40,Carl Pettersson,92,9.5,106,1116,-0.311
40,41,41,Phil Mickelson,79,9.43,79,838,-0.228
41,42,42,Rickie Fowler,84,9.42,87,924,-0.276
42,43,43,Charles Howell III,98,9.39,101,1076,-0.297
43,44,44,Bill Haas,79,9.35,80,856,-0.225
44,45,45,John Rollins,81,8.99,89,990,-0.303
45,46,46,Kevin Chappell,91,8.98,90,1002,-0.189
46,47,47,Steve Stricker,73,8.95,68,760,-0.397
47,48,48,Sergio Garcia,57,8.82,54,612,-0.407
48,49,49,Daniel Chopra,55,8.8,53,602,-0.132
49,50,50,Bo Van Pelt,84,8.74,79,904,-0.165
50,51,51,Charl Schwartzel,56,8.6,48,558,-0.354
51,52,52,Vijay Singh,99,8.23,93,1130,-0.290
52,53,53,Charley Hoffman,88,8.22,87,1059,-0.333
53,54,54,Stephen Gangluff,57,8.15,49,601,-0.224
54,55,55,Tommy Gainey,98,8.11,102,1257,-0.167
55,56,56,Davis Love III,64,8.1,59,728,-0.237
56,57,57,Ben Crane,73,7.93,69,870,-0.449
57,58,58,Greg Owen,90,7.82,84,1074,-0.119
58,59,59,Marc Leishman,84,7.74,82,1060,-0.244
59,60,60,Lee Westwood,60,7.68,43,560,-0.186
60,61,61,Rory Sabbatini,84,7.55,76,1006,-0.197
61,62,62,Matt Jones,53,7.49,46,614,-0.043
62,63,63,K.J. Choi,71,7.27,57,784,-0.316
63,64,64,Andres Romero,68,7.18,54,752,-0.296
64,65,65,Mark Anderson,75,7.14,61,854,-0.180
65,66,66,Brendan Steele,77,7.13,64,898,-0.250
66,67,67,Jeff Overton,101,7.1,91,1282,-0.264
67,T68,T68,Scott Brown,65,7.03,50,711,-0.200
68,T68,T68,Padraig Harrington,67,7.03,44,626,-0.205
69,70,70,Chris Kirk,93,6.96,83,1192,-0.289
70,71,71,Webb Simpson,77,6.93,64,924,-0.297
71,72,72,Ryo Ishikawa,54,6.78,35,516,-0.314
72,73,73,Jason Dufner,83,6.74,60,890,-0.150
73,74,74,John Senden,81,6.61,57,862,-0.351
74,75,75,John Merrick,83,6.57,66,1005,-0.348
75,T76,T76,Bill Lunde,83,6.54,61,933,-0.197
76,T76,T76,Boo Weekley,74,6.54,53,810,-0.094
77,78,78,Roland Thatcher,55,6.49,40,616,-0.275
78,79,79,Pat Perez,81,6.46,62,960,-0.306
79,80,80,Kevin Stadler,85,6.43,63,980,-0.159
80,T81,T81,Ernie Els,80,6.4,58,906,-0.155
81,T81,T81,Derek Lamely,64,6.4,50,781,-0.180
82,83,83,D.J. Trahan,73,6.36,55,865,-0.200
83,84,84,Hunter Haas,69,6.33,46,727,-0.304
84,85,85,Danny Lee,74,6.31,52,824,-0.231
85,86,86,Brian Harman,101,6.27,77,1228,-0.286
86,87,87,Ricky Barnes,92,6.2,71,1146,-0.324
87,88,88,Bud Cauley,99,6.15,78,1268,-0.295
88,89,89,Garth Mulroy,59,6.06,39,644,-0.333
89,90,90,Daniel Summerhays,81,5.99,57,952,-0.246
90,91,91,Cameron Tringale,88,5.97,64,1072,-0.313
91,92,92,Justin Rose,69,5.96,44,738,-0.273
92,93,93,Tim Herron,88,5.94,63,1061,-0.175
