,Smash_Factor_RANK THIS WEEK,Smash_Factor_RANK LAST WEEK,Smash_Factor_PLAYER NAME,Smash_Factor_ROUNDS,Smash_Factor_AVG.,Smash_Factor_TOTAL SMASH FACTOR,Smash_Factor_TOTAL ATTEMPTS,Smash_Factor_HIGHEST VALUE,Smash_Factor_LOWEST VALUE
0,T1,T1,Robert Karlsson,54,1.486,57.952,39,1.527,1.48
1,T1,T1,David Toms,60,1.486,60.928000000000004,41,1.514,1.482
2,T3,T3,Aaron Baddeley,73,1.485,71.26,48,1.489,1.4769999999999999
3,T3,T3,Matt Bettencourt,80,1.485,66.831,45,1.493,1.483
4,T3,T3,Michael Bradley,63,1.485,51.978,35,1.5019999999999998,1.475
5,T3,T3,Ernie Els,80,1.485,90.575,61,1.485,1.475
6,T3,T3,Robert Garrigus,89,1.485,97.977,66,1.485,1.463
7,T3,T3,Dustin Johnson,70,1.485,65.327,44,1.5,1.463
8,T3,T3,Martin Laird,77,1.485,69.793,47,1.485,1.483
9,T3,T3,Spencer Levin,81,1.485,92.041,62,1.518,1.469
10,T3,T3,Davis Love III,64,1.485,60.883,41,1.485,1.483
11,T3,T3,Rocco Mediate,70,1.485,83.161,56,1.5019999999999998,1.4769999999999999
12,T3,T3,Ryan Palmer,81,1.485,100.975,68,1.493,1.4769999999999999
13,T3,T3,Carl Pettersson,92,1.485,112.834,76,1.485,1.4609999999999999
14,T3,T3,Alexandre Rocha,62,1.485,71.282,48,1.5,1.476
15,T3,T3,Rory Sabbatini,84,1.485,105.411,71,1.4869999999999999,1.473
16,T3,T3,Vaughn Taylor,81,1.485,83.16,56,1.485,1.485
17,T3,T3,Kyle Thompson,51,1.485,50.483000000000004,34,1.5,1.4709999999999999
18,T3,T3,Bo Van Pelt,84,1.485,93.529,63,1.485,1.479
19,T3,T3,Camilo Villegas,79,1.485,106.905,72,1.485,1.4769999999999999
20,T3,T3,Boo Weekley,74,1.485,81.649,55,1.485,1.4609999999999999
21,T22,T22,Arjun Atwal,79,1.484,92.03299999999999,62,1.499,1.449
22,T22,T22,Gary Christian,91,1.484,94.979,64,1.485,1.465
23,T22,T22,Tim Clark,60,1.484,81.62,55,1.485,1.459
24,T22,T22,Erik Compton,81,1.484,83.117,56,1.506,1.462
25,T22,T22,John Daly,50,1.484,44.519,30,1.485,1.4569999999999999
26,T22,T22,Jason Day,57,1.484,62.321999999999996,42,1.485,1.4669999999999999
27,T22,T22,Harrison Frazar,56,1.484,63.83,43,1.49,1.4569999999999999
28,T22,T22,Tommy Gainey,98,1.484,129.089,87,1.49,1.4709999999999999
29,T22,T22,Stephen Gangluff,57,1.484,62.321999999999996,42,1.485,1.4580000000000002
30,T22,T22,Mathew Goggin,65,1.484,80.13,54,1.49,1.4569999999999999
31,T22,T22,Brian Harman,101,1.484,133.577,90,1.493,1.444
32,T22,T22,Padraig Harrington,67,1.484,56.388000000000005,38,1.485,1.455
33,T22,T22,John Huh,99,1.484,123.154,83,1.504,1.459
34,T22,T22,Brandt Jobe,57,1.484,53.418,36,1.485,1.4669999999999999
35,T22,T22,Jason Kokrak,79,1.484,91.98200000000001,62,1.485,1.46
36,T22,T22,Matt Kuchar,86,1.484,100.934,68,1.485,1.4709999999999999
37,T22,T22,Richard Lee,71,1.484,69.76,47,1.485,1.474
38,T22,T22,Justin Leonard,79,1.484,83.09,56,1.485,1.4569999999999999
39,T22,T22,Bill Lunde,83,1.484,94.969,64,1.485,1.453
40,T22,T22,Jeff Maggert,83,1.484,112.819,76,1.4909999999999999,1.4669999999999999
41,T22,T22,John Mallinger,74,1.484,89.042,60,1.485,1.463
42,T22,T22,Billy Mayfair,90,1.484,108.31,73,1.5,1.439
43,T22,T22,John Merrick,83,1.484,92.015,62,1.485,1.4709999999999999
44,T22,T22,Nick O'Hern,78,1.484,96.432,65,1.493,1.4569999999999999
45,T22,T22,Louis Oosthuizen,65,1.484,74.19,50,1.485,1.465
46,T22,T22,D.A. Points,88,1.484,109.811,74,1.4969999999999999,1.454
47,T22,T22,Ian Poulter,57,1.484,62.345,42,1.485,1.4609999999999999
48,T22,T22,Chez Reavie,83,1.484,90.545,61,1.49,1.4609999999999999
49,T22,T22,Andres Romero,68,1.484,78.63,53,1.485,1.4580000000000002
50,T22,T22,Patrick Sheehan,58,1.484,60.839,41,1.485,1.4469999999999998
51,T22,T22,Josh Teater,97,1.484,118.699,80,1.505,1.466
52,T22,T22,Johnson Wagner,88,1.484,108.324,73,1.4909999999999999,1.463
53,T22,T22,Steve Wheatcroft,56,1.484,56.396,38,1.495,1.463
54,T55,T55,Robert Allenby,76,1.483,90.488,61,1.485,1.4509999999999998
55,T55,T55,Jason Bohn,81,1.483,91.935,62,1.485,1.453
56,T55,T55,Miguel Angel Carballo,73,1.483,71.175,48,1.5,1.431
57,T55,T55,Ben Crane,73,1.483,96.42299999999999,65,1.493,1.445
58,T55,T55,Brian Davis,91,1.483,120.135,81,1.485,1.449
59,T55,T55,Jason Dufner,83,1.483,93.46,63,1.516,1.435
60,T55,T55,Harris English,98,1.483,118.64200000000001,80,1.485,1.463
61,T55,T55,Bob Estes,78,1.483,84.54,57,1.485,1.466
62,T55,T55,Brian Gay,91,1.483,108.281,73,1.485,1.449
63,T55,T55,Tim Herron,88,1.483,108.256,73,1.485,1.465
64,T55,T55,J.B. Holmes,90,1.483,109.773,74,1.485,1.4509999999999998
65,T55,T55,Russell Knox,72,1.483,78.611,53,1.504,1.463
66,T55,T55,Derek Lamely,64,1.483,75.631,51,1.485,1.4509999999999998
67,T55,T55,William McGirt,96,1.483,121.618,82,1.493,1.425
68,T55,T55,Phil Mickelson,79,1.483,81.538,55,1.485,1.4509999999999998
69,T55,T55,Sean O'Hair,84,1.483,102.36,69,1.4909999999999999,1.46
70,T55,T55,Scott Piercy,95,1.483,103.82799999999999,70,1.485,1.436
71,T55,T55,Dicky Pride,62,1.483,74.165,50,1.485,1.443
72,T55,T55,Kyle Reifers,86,1.483,97.853,66,1.485,1.413
73,T55,T55,Heath Slocum,93,1.483,105.28299999999999,71,1.485,1.449
74,T55,T55,Chris Stroud,86,1.483,100.814,68,1.485,1.435
75,T55,T55,Michael Thompson,80,1.483,90.449,61,1.485,1.462
76,T55,T55,Bubba Watson,68,1.483,78.623,53,1.504,1.4569999999999999
77,T78,T78,Mark Anderson,75,1.482,71.15,48,1.485,1.46
78,T78,T78,Tommy Biershenk,74,1.482,80.036,54,1.4969999999999999,1.453
79,T78,T78,Jonathan Byrd,69,1.482,71.145,48,1.485,1.455
80,T78,T78,Will Claxton,99,1.482,124.492,84,1.4909999999999999,1.3619999999999999
81,T78,T78,Marco Dawson,60,1.482,60.772,41,1.485,1.44
82,T78,T78,Rickie Fowler,84,1.482,85.945,58,1.485,1.456
83,T78,T78,Bill Haas,79,1.482,90.40700000000001,61,1.485,1.449
84,T78,T78,David Hearn,95,1.482,118.59200000000001,80,1.485,1.459
85,T78,T78,Sung Kang,75,1.482,81.517,55,1.485,1.405
86,T78,T78,Troy Kelly,68,1.482,65.202,44,1.485,1.4569999999999999
87,T78,T78,Chris Kirk,93,1.482,121.52600000000001,82,1.493,1.4069999999999998
88,T78,T78,Marc Leishman,84,1.482,96.359,65,1.493,1.453
89,T78,T78,Hunter Mahan,88,1.482,88.927,60,1.485,1.4409999999999998
90,T78,T78,George McNeill,85,1.482,88.897,60,1.485,1.415
91,T78,T78,Geoff Ogilvy,73,1.482,78.538,53,1.49,1.449
92,T78,T78,Jeff Overton,101,1.482,133.365,90,1.485,1.455
