,Spin_Rate_RANK THIS WEEK,Spin_Rate_RANK LAST WEEK,Spin_Rate_PLAYER NAME,Spin_Rate_ROUNDS,Spin_Rate_AVG.,Spin_Rate_TOTAL SPIN SPEED,Spin_Rate_TOTAL ATTEMPTS,Spin_Rate_HIGHEST SPIN RATE,Spin_Rate_LOWEST SPIN RATE
0,1,1,Brendon de Jonge,115,3241.5,272287,84,5977,1543
1,2,2,Chris Couch,61,3237.0,100347,31,4831,1840
2,3,3,Henrik Stenson,51,3220.8,41870,13,5999,2260
3,4,4,Nathan Green,73,3191.2,130840,41,4810,2210
4,5,5,Ken Duke,104,3171.9,260095,82,6647,1603
5,6,6,George McNeill,85,3160.7,167517,53,4593,1886
6,7,7,John Senden,81,3132.6,187956,60,3767,2326
7,8,8,Sangmoon Bae,81,3110.3,146185,47,6360,1690
8,9,9,Richard Lee,71,3110.0,143058,46,9299,2184
9,10,10,Charlie Beljan,61,3101.3,96140,31,5726,2087
10,11,11,Aaron Baddeley,73,3096.0,114551,37,4081,2223
11,12,12,Sergio Garcia,57,3091.7,117483,38,4106,2250
12,13,13,Nick Watney,97,3077.4,196954,64,4342,2330
13,14,14,William McGirt,96,3064.1,245130,80,4015,1975
14,15,15,Scott Dunlap,57,3061.2,128570,42,8097,2248
15,16,16,Matt Jones,53,3053.2,97702,32,6089,2294
16,17,17,Bill Haas,79,3046.2,173636,57,3953,2410
17,18,18,Geoff Ogilvy,73,3039.0,154989,51,4092,2414
18,19,19,Tom Gillis,75,3035.1,194249,64,4875,1646
19,20,20,Stephen Gangluff,57,3018.0,108647,36,9362,1968
20,21,21,Jonathan Byrd,69,3010.2,123417,41,4835,1992
21,22,22,Luke Donald,63,3003.1,144149,48,3867,2257
22,23,23,Martin Flores,95,2955.9,147795,50,6079,2048
23,24,24,Chris DiMarco,83,2951.6,159388,54,5220,1803
24,25,25,Adam Scott,59,2947.5,112006,38,5808,2222
25,26,26,Billy Hurley III,70,2936.1,137996,47,5368,2011
26,27,27,Dicky Pride,62,2933.1,143724,49,4327,2035
27,28,28,James Driscoll,83,2927.0,163914,56,3912,1536
28,29,29,Y.E. Yang,64,2919.7,116787,40,3667,2076
29,30,30,Mark Anderson,75,2912.5,125236,43,5650,2046
30,31,31,Josh Teater,97,2911.6,209632,72,4255,1536
31,32,32,J.J. Killeen,101,2899.1,153653,53,5817,1700
32,33,33,Kris Blanks,65,2895.9,144796,50,4548,1718
33,34,34,Bubba Watson,68,2894.4,121566,42,3702,2050
34,35,35,Seung-Yul Noh,105,2889.2,208021,72,5895,1675
35,36,36,Ben Curtis,62,2881.4,132545,46,5332,1812
36,37,37,Kevin Na,80,2875.3,138014,48,5283,1707
37,38,38,Hunter Haas,69,2870.6,117695,41,3544,1893
38,39,39,Colt Knost,79,2867.3,166304,58,3788,1546
39,40,40,Miguel Angel Carballo,73,2866.3,120386,42,6157,1898
