,Distance_to_Apex_RANK THIS WEEK,Distance_to_Apex_RANK LAST WEEK,Distance_to_Apex_PLAYER NAME,Distance_to_Apex_ROUNDS,Distance_to_Apex_AVG.,Distance_to_Apex_TOTAL APEX RANGE,Distance_to_Apex_TOTAL ATTEMPTS,Distance_to_Apex_LONGEST DIST. TO APEX,Distance_to_Apex_SHORTEST DIST. TO APEX
0,1,1,Bubba Watson,68,212.4,10409.1,49,229.7,194.3
1,2,2,Dustin Johnson,70,204.5,8178.2,40,219.3,181.0
2,3,3,J.B. Holmes,90,204.3,14093.7,69,217.1,182.4
3,4,4,Jhonattan Vegas,77,201.5,11282.3,56,220.6,169.1
4,5,5,Henrik Stenson,51,201.1,2815.4,14,210.3,182.8
5,6,6,Charlie Beljan,61,200.7,7224.7,36,225.0,115.5
6,7,7,Kyle Stanley,86,198.7,10334.9,52,226.2,177.2
7,8,8,Tiger Woods,69,198.4,7540.6,38,213.7,179.0
8,9,9,Seung-Yul Noh,105,198.3,14876.0,75,210.4,171.9
9,10,10,Graham DeLaet,79,198.0,11485.5,58,213.9,166.5
10,11,11,Robert Garrigus,89,197.5,12836.6,65,215.4,169.6
11,12,12,Adam Scott,59,197.4,7897.2,40,211.1,170.9
12,13,13,Rory McIlroy,60,197.3,7495.8,38,206.8,163.5
13,T14,T14,Mark Anderson,75,197.0,8469.8,43,211.2,166.5
14,T14,T14,Ángel Cabrera,54,197.0,5517.2,28,205.3,185.9
15,T14,T14,Nick Watney,97,197.0,13990.3,71,214.4,172.6
16,17,17,Aaron Baddeley,73,196.8,9444.3,48,211.4,176.8
17,T18,T18,Robert Karlsson,54,196.5,7269.8,37,210.9,174.4
18,T18,T18,Scott Stallings,78,196.5,11396.6,58,212.0,169.5
19,T20,T20,John Daly,50,196.3,5693.8,29,208.3,177.4
20,T20,T20,Jason Day,57,196.3,8046.9,41,211.9,170.1
21,T20,T20,Greg Owen,90,196.3,11188.7,57,211.9,157.0
22,23,23,Gary Woodland,70,195.9,7834.7,40,212.3,162.7
23,T24,T24,Chris Couch,61,195.6,6844.9,35,210.8,176.4
24,T24,T24,Bobby Gates,87,195.6,11537.9,59,211.7,169.5
25,26,26,Charles Howell III,98,195.4,12117.0,62,208.9,169.2
26,27,27,Scott Piercy,95,195.2,12492.1,64,215.4,156.2
27,28,28,Phil Mickelson,79,195.1,10536.8,54,208.7,163.8
28,29,29,Martin Flores,95,194.2,12623.7,65,214.3,169.9
29,30,30,Ryan Palmer,81,193.9,13186.7,68,209.5,179.6
30,T31,T31,James Driscoll,83,193.8,11239.1,58,207.6,168.7
31,T31,T31,Sergio Garcia,57,193.8,8332.2,43,207.2,166.5
32,33,33,Martin Laird,77,193.6,8907.1,46,207.4,173.4
33,34,34,Louis Oosthuizen,65,193.2,9659.6,50,205.3,163.4
34,T35,T35,Edward Loar,59,193.0,6754.0,35,205.6,175.9
35,T35,T35,Lee Westwood,60,193.0,7911.6,41,204.9,178.5
36,T37,T37,Rickie Fowler,84,192.2,10188.7,53,204.8,174.8
37,T37,T37,Garth Mulroy,59,192.2,7688.1,40,205.4,177.2
38,39,39,Charley Hoffman,88,192.1,14021.2,73,207.1,162.1
39,T40,T40,Bill Haas,79,192.0,11330.9,59,206.6,182.5
40,T40,T40,Josh Teater,97,192.0,14209.2,74,207.5,166.8
41,T40,T40,Jimmy Walker,101,192.0,13437.8,70,206.5,166.3
42,43,43,Derek Lamely,64,191.9,9593.8,50,205.0,162.5
43,44,44,Harris English,98,191.8,14768.2,77,214.3,146.9
44,T45,T45,Keegan Bradley,90,191.6,11111.0,58,203.6,176.7
45,T45,T45,John Senden,81,191.6,12071.7,63,204.7,181.9
46,47,47,Andres Romero,68,191.4,9378.0,49,205.6,175.9
47,48,48,Jason Kokrak,79,191.3,9946.2,52,209.2,94.7
48,49,49,Jonathan Byrd,69,190.9,8401.2,44,203.1,171.6
49,T50,T50,J.J. Killeen,101,190.8,12591.3,66,207.4,156.1
50,T50,T50,Kevin Streelman,89,190.8,13356.1,70,204.5,171.2
51,52,52,Erik Compton,81,190.7,9155.8,48,204.9,162.3
52,T53,T53,Davis Love III,64,190.6,7813.8,41,200.7,179.2
53,T53,T53,Charl Schwartzel,56,190.6,6861.4,36,200.7,172.1
54,55,55,Kevin Chappell,91,190.4,12754.1,67,209.4,163.6
