,Right_Tendency_RANK THIS WEEK,Right_Tendency_RANK LAST WEEK,Right_Tendency_PLAYER NAME,Right_Tendency_EVENTS,Right_Tendency_%,Right_Tendency_NUMBER OF TIMES,Right_Tendency_ATTEMPTS,Right_Tendency_AVG RTP SCORE
0,1,1,Billy Hurley III,27,36.2,110,304,2.55
1,2,2,Marco Dawson,22,39.3,106,270,2.64
2,3,3,Gavin Coles,23,39.4,108,274,1.11
3,4,4,Kevin Stadler,25,40.9,131,320,1.68
4,5,5,Phil Mickelson,22,41.1,145,353,1.1
5,6,6,Edward Loar,23,41.2,103,250,2.72
6,T7,T7,J.J. Henry,28,41.7,150,360,1.53
7,T7,T7,Gary Woodland,22,41.7,128,307,3.83
8,9,9,Carl Pettersson,26,42.0,193,459,1.76
9,10,10,Ben Curtis,19,42.2,87,206,0.34
10,11,11,Steve Stricker,19,42.7,112,262,-0.27
11,12,12,Harrison Frazar,20,43.2,124,287,3.23
12,13,13,Ryuji Imada,28,43.5,177,407,2.66
13,14,14,Lee Westwood,15,43.9,90,205,2.11
14,15,15,Tom Gillis,23,44.0,139,316,2.95
15,16,16,Jonathan Byrd,21,44.2,142,321,0.99
16,T17,T17,Martin Flores,30,44.3,222,501,1.35
17,T17,T17,Spencer Levin,26,44.3,175,395,2.4
18,19,19,Steve Wheatcroft,22,44.5,94,211,1.06
19,T20,T20,Geoff Ogilvy,20,44.6,127,285,2.28
20,T20,T20,Johnson Wagner,27,44.6,173,388,1.91
21,T22,T22,Michael Bradley,23,44.8,156,348,2.88
22,T22,T22,Bo Van Pelt,24,44.8,142,317,1.55
23,24,24,Tiger Woods,19,45.1,110,244,0.82
24,25,25,Garth Mulroy,20,45.2,109,241,1.93
25,26,26,Kyle Reifers,27,45.4,174,383,1.9
26,T27,T27,Troy Kelly,23,45.5,145,319,0.83
27,T27,T27,Webb Simpson,22,45.5,155,341,-0.39
28,T29,T29,Will Claxton,28,45.6,180,395,1.89
29,T29,T29,Justin Leonard,26,45.6,165,362,1.88
30,31,31,Dicky Pride,19,46.0,115,250,1.3
31,32,32,Ben Crane,23,46.1,135,293,-0.22
32,T33,T33,Vaughn Taylor,26,46.5,154,331,2.34
33,T33,T33,D.J. Trahan,27,46.5,146,314,2.53
34,35,35,Graeme McDowell,16,46.6,69,148,1.88
35,36,36,Brendon Todd,29,46.9,166,354,2.59
36,T37,T37,Robert Allenby,27,47.0,173,368,2.83
37,T37,T37,John Daly,15,47.0,102,217,0.49
38,39,39,Nick O'Hern,26,47.3,158,334,1.46
39,40,40,Brendon de Jonge,31,47.4,236,498,1.57
40,T41,T41,Jason Bohn,28,47.5,144,303,2.43
41,T41,T41,Dustin Johnson,19,47.5,144,303,1.04
42,T43,T43,Tommy Biershenk,27,47.6,150,315,3.47
43,T43,T43,Sergio Garcia,16,47.6,110,231,1.55
44,T43,T43,D.A. Points,29,47.6,178,374,0.51
45,T46,T46,Bud Cauley,28,47.7,226,474,0.93
46,T46,T46,Y.E. Yang,20,47.7,125,262,2.56
47,T48,T48,Louis Oosthuizen,19,47.8,117,245,0.77
48,T48,T48,Chez Reavie,26,47.8,138,289,1.59
49,50,50,Camilo Villegas,25,48.0,179,373,2.4
50,51,51,Billy Horschel,17,48.1,99,206,2.73
51,T52,T52,Luke Donald,17,48.3,116,240,0.52
52,T52,T52,"Ted Potter, Jr.",25,48.3,146,302,1.23
53,T54,T54,Robert Garrigus,26,48.4,203,419,1.33
54,T54,T54,Nathan Green,22,48.4,154,318,2.34
55,T54,T54,Derek Lamely,25,48.4,171,353,3.51
56,57,57,Jhonattan Vegas,25,48.5,204,421,2.21
57,T58,T58,Matt Bettencourt,31,48.6,179,368,2.29
58,T58,T58,Tim Clark,20,48.6,90,185,1.56
59,T58,T58,Brian Harman,30,48.6,193,397,2.18
60,T58,T58,Seung-Yul Noh,28,48.6,224,461,-0.13
61,T58,T58,Kyle Thompson,22,48.6,89,183,2.58
62,T63,T63,Stuart Appleby,24,48.7,150,308,1.53
63,T63,T63,Pat Perez,23,48.7,170,349,1.47
64,65,65,Jeff Maggert,27,48.8,168,344,1.79
65,T66,T66,Jonas Blixt,21,48.9,174,356,0.4
66,T66,T66,Miguel Angel Carballo,25,48.9,157,321,1.91
67,T66,T66,Ryan Moore,24,48.9,181,370,1.27
68,T66,T66,Scott Stallings,27,48.9,176,360,1.25
69,T70,T70,Jim Furyk,24,49.0,123,251,1.14
70,T70,T70,Rod Pampling,26,49.0,167,341,1.86
71,72,72,Michael Thompson,25,49.1,169,344,1.54
72,73,73,Kevin Na,25,49.3,143,290,1.54
73,74,74,Chad Campbell,27,49.4,192,389,1.67
74,75,75,Arjun Atwal,27,49.5,164,331,1.89
75,76,76,Mathew Goggin,23,49.8,151,303,1.85
76,T77,T77,William McGirt,30,49.9,209,419,0.72
77,T77,T77,Daniel Summerhays,26,49.9,172,345,1.51
78,79,79,Jerry Kelly,26,50.0,128,256,3.98
79,80,80,Matt Kuchar,22,50.3,162,322,1.73
80,T81,T81,Zach Johnson,25,50.5,156,309,0.77
81,T81,T81,Davis Love III,20,50.5,142,281,0.85
82,T81,T81,John Senden,22,50.5,147,291,1.22
83,T81,T81,Kevin Streelman,26,50.5,195,386,2.0
84,T85,T85,Sung Kang,30,50.7,181,357,2.15
85,T85,T85,Henrik Stenson,15,50.7,103,203,0.78
86,87,87,Freddie Jacobson,17,50.8,126,248,2.78
87,T88,T88,Kris Blanks,23,50.9,140,275,2.07
88,T88,T88,Ernie Els,22,50.9,190,373,0.37
89,T90,T90,Matt Every,25,51.0,172,337,0.81
90,T90,T90,Rickie Fowler,23,51.0,156,306,1.22
91,T90,T90,Billy Mayfair,28,51.0,181,355,1.22
92,T90,T90,Chris Stroud,28,51.0,198,388,1.41
