,Longest_Putts_RANK THIS WEEK,Longest_Putts_RANK LAST WEEK,Longest_Putts_PLAYER NAME,Longest_Putts_ROUNDS,Longest_Putts_DISTANCE,Longest_Putts_YEAR/TOURN#,Longest_Putts_ROUND,Longest_Putts_HOLE
0,1,,Hal Sutton,74,"133' 2""",Mercedes Champ,1,18
1,2,,Harrison Frazar,88,"128' 6""",Bob Hope Chrysl,2,18
2,3,,Jesper Parnevik,85,"116' 11""",Mercedes Champ,1,18
3,4,,Jay Haas,83,"104' 11""",Shell Houston,4,6
4,5,,Chris Smith,103,"98' 8""",Phoenix Open,1,13
5,6,,Robin Freeman,79,"96' 9""",Sony Open,2,18
6,7,,Ben Crane,91,"89' 6""",Bob Hope Chrysl,2,11
7,8,,Grant Waite,98,"88' 4""",Buick Open,1,16
8,9,,Gary Nicklaus,66,"88' 3""",Bay Hill Invita,2,18
9,10,,David Duval,78,"87' 1""",Bob Hope Chrysl,5,11
10,11,,Craig Perks,91,"83' 9""",Phoenix Open,1,13
11,12,,Vijay Singh,102,"83' 0""",THE TOUR Champ,3,15
12,13,,Brad Elder,76,"82' 7""",Bob Hope Chrysl,5,6
13,14,,Rocco Mediate,79,"82' 6""",Bob Hope Chrysl,5,11
14,15,,John Mahaffey,4,"82' 5""",Bob Hope Chrysl,2,11
15,16,,Brenden Pappas,62,"80' 7""",Tucson Open,2,15
16,17,,Phil Mickelson,97,"79' 7""",BellSouth Class,2,4
17,18,,Wayne DeFrancesco,9,"79' 1""",SEI Pennsylvani,1,16
18,19,,Stuart Appleby,97,"77' 0""",Buick Open,1,16
19,20,,Robert Allenby,96,"76' 7""",THE PLAYERS,3,16
20,21,,Pat Perez,89,"75' 5""",Tampa Bay,3,14
21,22,,Boo Weekley,57,"75' 0""",FedEx St. Jude,2,16
22,23,,Harrison Frazar,88,"74' 3""",THE PLAYERS,1,18
23,24,,Jess Daley,76,"73' 6""",Texas Open,4,14
24,25,,Bob Burns,99,"72' 9""",Tampa Bay,2,14
25,26,,Tripp Isenhour,68,"71' 8""",Tampa Bay,1,16
26,26,,Lee Porter,91,"71' 8""",So. Farm Bureau,3,14
27,28,,Blaine McCallister,75,"71' 0""",Bob Hope Chrysl,4,11
28,29,,Ben Crane,91,"70' 7""",Bob Hope Chrysl,2,18
29,30,,Jason Beebe,2,"70' 6""",B.C. Open,1,10
30,31,,John Huston,99,"69' 9""",Bob Hope Chrysl,2,11
31,32,,Dave Rummells,12,"69' 7""",Texas Open,4,13
32,33,,Brad Adamonis,2,"69' 2""",Buick Classic,2,10
33,34,,D.A. Weibring,25,"68' 6""",Tampa Bay,2,14
34,35,,Jonathan Byrd,96,"67' 8""",Buick Challenge,1,9
35,36,,Tripp Isenhour,68,"67' 3""",Tampa Bay,4,16
36,37,,Tim Herron,102,"67' 1""",Honda Classic,3,16
37,38,,David Frost,90,"66' 9""",Verizon,3,16
38,39,,Jeff Sluman,118,"66' 3""",Bob Hope Chrysl,2,18
39,39,,Steve Pate,64,"66' 3""",B.C. Open,3,12
40,39,,Bob Burns,99,"66' 3""",John Deere Clas,2,17
41,42,,Paul Gow,99,"66' 1""",Phoenix Open,1,13
42,42,,Kaname Yokoo,74,"66' 1""",Buick Open,1,12
43,44,,Phillip Price,20,"65' 11""",Bob Hope Chrysl,5,11
44,44,,John Senden,96,"65' 11""",Texas Open,2,14
45,46,,Jerry Pate,15,"65' 10""",Buick Challenge,2,16
46,47,,Bo Van Pelt,78,"65' 2""",Advil Western,1,15
47,48,,Ronnie Black,28,"65' 1""",Greater Milwauk,2,16
48,49,,Richard Zokol,53,"64' 9""",BellSouth Class,1,9
49,50,,Matt Peterson,80,"64' 5""",BellSouth Class,2,10
50,51,,John Daly,62,"64' 3""",Bob Hope Chrysl,5,18
51,52,,Jay Synkelma,4,"64' 2""",Phoenix Open,2,17
52,53,,Guy Boros,28,"64' 0""",SEI Pennsylvani,3,16
53,54,,Curtis Strange,26,"63' 8""",Bay Hill Invita,1,16
54,55,,Ted Tryba,22,"63' 7""",John Deere Clas,4,12
55,56,,David Peoples,105,"63' 4""",Bob Hope Chrysl,5,18
56,56,,Tim Petrovic,92,"63' 4""",Tampa Bay,1,12
57,58,,Brent Geiberger,95,"63' 3""",Bob Hope Chrysl,3,18
58,58,,Bob Tway,103,"63' 3""",MasterCard Colo,2,13
59,58,,Glen Day,107,"63' 3""",Kemper Ins Open,2,15
60,61,,Pat Bates,94,"63' 2""",Buick Challenge,1,17
61,62,,Joe Ogilvie,50,"63' 1""",Bell Canadian O,1,10
62,63,,Kaname Yokoo,74,"61' 9""",Sony Open,2,18
63,64,,Chad Campbell,111,"61' 8""",SEI Pennsylvani,1,10
64,65,,Mark Carnevale,14,"61' 7""",B.C. Open,4,10
65,66,,Edward Fryatt,94,"61' 5""",B.C. Open,2,14
66,67,,John Riegger,88,"60' 11""",Sony Open,2,16
67,68,,Paul Lawrie,23,"60' 10""",WGC-NEC Invit'l,1,16
68,68,,K.J. Choi,93,"60' 10""",THE TOUR Champ,2,18
69,70,,K.J. Choi,93,"60' 4""",Buick Classic,1,15
70,70,,Jeff Quinney,14,"60' 4""",Air Canada,1,18
71,72,,Hidemichi Tanaka,104,"60' 3""",Bell Canadian O,3,17
72,73,,Olin Browne,107,"60' 2""",Tampa Bay,4,13
73,74,,Brandt Jobe,94,"60' 1""",Bell Canadian O,1,13
74,75,,Fulton Allem,64,"60' 0""",Buick Challenge,1,12
75,76,,Paul Goydos,66,"59' 11""",Buick Open,3,13
76,77,,Glen Day,107,"59' 3""",THE PLAYERS,1,14
77,78,,Jay Williamson,91,"59' 0""",Phoenix Open,1,13
78,78,,Jeff Brehaut,87,"59' 0""",Buick Open,1,15
79,80,,Dudley Hart,88,"58' 11""",MasterCard Colo,1,15
80,80,,Dudley Hart,88,"58' 11""",Buick Challenge,1,11
81,82,,Andrew Magee,91,"58' 10""",Sony Open,2,18
82,83,,Steve Lowery,98,"58' 9""",Bob Hope Chrysl,3,18
83,84,,Jim Furyk,88,"58' 8""",THE TOUR Champ,1,17
84,85,,Carl Paulson,84,"58' 7""",Verizon,4,18
85,86,,Rick Hartmann,4,"58' 4""",Buick Classic,1,18
86,87,,Scott Hoch,71,"58' 1""",Advil Western,2,11
87,88,,Jesper Parnevik,85,"57' 8""",BellSouth Class,4,18
88,89,,Pete Jordan,78,"57' 7""",B.C. Open,2,12
89,90,,Carl Pettersson,10,"57' 4""",WGC-Am Express,1,15
90,91,,Joe Durant,87,"57' 3""",Invensys Las V,5,11
91,92,,Jeff Gallagher,37,"57' 2""",Reno-Tahoe Open,1,15
92,93,,Lee Janzen,101,"57' 1""",Bell Canadian O,4,16
93,94,,Carl Paulson,84,"56' 8""",WORLDCOM,1,15
94,94,,Tom Pernice Jr.,101,"56' 8""",Bell Canadian O,1,10
95,96,,Olin Browne,107,"56' 4""",SEI Pennsylvani,4,16
96,97,,Michael Campbell,31,"56' 3""",Bay Hill Invita,3,9
97,97,,Brett Quigley,93,"56' 3""",THE PLAYERS,1,14
98,99,,David Peoples,105,"56' 0""",Buick Challenge,2,5
99,100,,Bo Van Pelt,78,"55' 10""",Advil Western,2,12
100,101,,Dicky Pride,51,"55' 7""",Buick Open,4,18
101,101,,D.A. Weibring,25,"55' 7""",Texas Open,4,14
102,103,,Mathew Goggin,64,"55' 6""",Bell Canadian O,2,11
103,104,,John Huston,99,"55' 4""",SEI Pennsylvani,3,16
104,105,,Joe Durant,87,"55' 3""",Buick Challenge,1,7
105,106,,Kevin Sutherland,96,"55' 2""",Shell Houston,2,17
106,106,,Corey Pavin,78,"55' 2""",Buick Classic,4,17
107,106,,Kevin Sutherland,96,"55' 2""",Air Canada,3,11
108,109,,Mike Sposa,111,"55' 1""",Phoenix Open,1,13
109,110,,Lee Westwood,26,"54' 9""",Bay Hill Invita,2,9
110,111,,Brett Quigley,93,"54' 7""",Honda Classic,1,16
111,112,,Bubba Dickerson,30,"54' 5""",Memorial Tourna,1,15
112,113,,Ernie Els,68,"54' 4""",WGC-NEC Invit'l,2,12
113,114,,Jonathan Kaye,83,"54' 3""",Tucson Open,1,17
114,115,,Paul Gow,99,"54' 2""",Verizon,2,17
115,116,,David Morland IV,58,"54' 1""",Tampa Bay,1,12
116,117,,J.P. Hayes,78,"54' 0""",B.C. Open,3,17
117,117,,Matt Mocniak,4,"54' 0""",Buick Open,2,11
118,117,,Soren Hansen,16,"54' 0""",WGC-Am Express,2,18
119,120,,Chris DiMarco,111,"53' 10""",Mercedes Champ,4,18
120,120,,Brent Schwarzrock,28,"53' 10""",Compaq Classic,1,14
121,122,,Mike Weir,94,"53' 7""",Phoenix Open,2,17
122,123,,Scott McCarron,106,"53' 4""",BellSouth Class,3,9
123,124,,Brett Quigley,93,"53' 3""",MasterCard Colo,1,17
124,125,,Jesper Parnevik,85,"53' 2""",Phoenix Open,2,17
125,126,,Grant Waite,98,"53' 0""",Verizon,1,13
126,127,,Ed Fiori,14,"52' 11""",Bob Hope Chrysl,4,15
127,128,,Stan Utley,22,"52' 10""",Bell Canadian O,2,17
128,129,,David Gossett,95,"52' 9""",Disney Classic,2,15
129,130,,Mike Deuel,4,"52' 7""",B.C. Open,2,18
130,131,,Nick Price,69,"52' 6""",Genuity,4,18
131,132,,Brent Geiberger,95,"52' 5""",Buick Classic,2,12
132,132,,Bo Van Pelt,78,"52' 5""",B.C. Open,3,14
133,134,,Jeff Gove,89,"52' 4""",B.C. Open,3,13
134,135,,Brian Bateman,94,"52' 1""",FedEx St. Jude,4,13
135,136,,Michael Campbell,31,"51' 11""",WGC-NEC Invit'l,2,14
136,136,,Rory Sabbatini,69,"51' 11""",Invensys Las V,4,13
137,138,,Per-Ulrik Johansson,87,"51' 9""",Honda Classic,3,18
138,139,,Bob Heintz,68,"51' 8""",Sony Open,2,16
139,140,,Corey Pavin,78,"51' 4""",Texas Open,1,11
140,141,,Jerry Kelly,99,"51' 3""",THE PLAYERS,3,17
141,142,,Brett Quigley,93,"51' 2""",MasterCard Colo,1,16
142,143,,Dudley Hart,88,"51' 1""",BellSouth Class,2,13
143,143,,Brad Fabel,14,"51' 1""",FedEx St. Jude,2,15
