,Putting_from_5-10_RANK THIS WEEK,Putting_from_5-10_RANK LAST WEEK,Putting_from_5-10_PLAYER NAME,Putting_from_5-10_ROUNDS,Putting_from_5-10_%,Putting_from_5-10_ATTEMPTS,Putting_from_5-10_PUTTS MADE
0,1,1,Steve Allan,93,73.13,134,98
1,2,2,Shigeki Maruyama,87,71.03,107,76
2,3,3,Bob Heintz,68,70.24,84,59
3,4,4,Retief Goosen,56,69.88,83,58
4,5,5,Geoff Ogilvy,90,69.84,126,88
5,6,6,José María Olazábal,71,69.77,86,60
6,7,7,Corey Pavin,78,69.32,88,61
7,8,8,Olin Browne,107,69.13,149,103
8,9,9,John Rollins,124,69.1,178,123
9,10,10,Brad Faxon,93,68.93,103,71
10,11,11,Scott Hoch,71,68.75,80,55
11,12,12,Jim Furyk,88,68.6,86,59
12,13,13,Duffy Waldorf,90,68.38,117,80
13,14,14,David Frost,90,67.69,130,88
14,15,15,Chris Riley,104,67.36,144,97
15,16,16,Mark O'Meara,68,67.24,58,39
16,17,17,Gary Nicklaus,66,67.03,91,61
17,T18,T18,Bernhard Langer,55,66.67,54,36
18,T18,T18,Bryce Molder,65,66.67,96,64
19,T18,T18,Phil Tataurangi,88,66.67,105,70
20,21,21,Mike Sposa,111,66.46,158,105
21,22,22,Craig Perks,91,66.36,107,71
22,23,23,Jim Carter,98,65.83,120,79
23,24,24,Donnie Hammond,60,65.75,73,48
24,25,25,David Duval,78,65.71,105,69
25,26,26,Jonathan Byrd,96,65.67,134,88
26,27,27,Loren Roberts,93,65.6,125,82
27,T28,T28,Pat Bates,94,65.35,127,83
28,T28,T28,Dudley Hart,88,65.35,101,66
29,30,30,Brian Bateman,94,65.03,143,93
30,31,31,Tom Byrum,77,65.0,100,65
31,32,32,Skip Kendall,103,64.9,151,98
32,33,33,Paul Stankowski,100,64.81,108,70
33,34,34,Cameron Beckman,87,64.71,102,66
34,35,35,Rich Beem,99,64.66,133,86
35,36,36,Chris Smith,103,64.62,130,84
36,37,37,J.P. Hayes,78,64.55,110,71
37,38,38,Stewart Cink,92,64.36,101,65
38,39,39,Brandel Chamblee,85,64.23,123,79
39,40,40,Chris DiMarco,111,64.0,125,80
40,41,41,Justin Leonard,97,63.93,122,78
41,T42,T42,Jay Don Blake,107,63.64,132,84
42,T42,T42,Ernie Els,68,63.64,88,56
43,T42,T42,John Riegger,88,63.64,132,84
44,45,45,Peter Jacobsen,67,63.53,85,54
45,46,46,Len Mattiace,106,63.27,147,93
46,T47,T47,Robert Damron,85,63.2,125,79
47,T47,T47,Tim Herron,102,63.2,125,79
48,49,49,Kevin Sutherland,96,63.04,92,58
49,50,50,Carl Paulson,84,62.99,127,80
50,51,51,Spike McRoy,69,62.96,81,51
51,52,52,Pat Perez,89,62.88,132,83
52,53,53,Jay Williamson,91,62.84,148,93
53,54,54,Scott McCarron,106,62.41,141,88
54,T55,T55,Craig Barlow,62,62.39,109,68
55,T55,T55,Craig Parry,69,62.39,109,68
56,57,57,Jerry Kelly,99,62.32,138,86
57,58,58,Brett Quigley,93,62.13,169,105
58,T59,T59,Pete Jordan,78,62.07,116,72
59,T59,T59,Rocco Mediate,79,62.07,87,54
