,Putting_from_4-8_RANK THIS WEEK,Putting_from_4-8_RANK LAST WEEK,Putting_from_4-8_PLAYER NAME,Putting_from_4-8_ROUNDS,Putting_from_4-8_% MADE,Putting_from_4-8_ATTEMPTS,Putting_from_4-8_PUTTS MADE
0,1,1,Steve Allan,93,83.97,131,110
1,2,2,Mark O'Meara,68,82.86,70,58
2,3,3,Scott Hoch,71,82.56,86,71
3,4,4,Retief Goosen,56,82.28,79,65
4,5,5,Shigeki Maruyama,87,82.0,100,82
5,6,6,Jim Furyk,88,81.05,95,77
6,7,7,Bob Heintz,68,80.65,93,75
7,8,8,Geoff Ogilvy,90,80.62,129,104
8,9,9,John Rollins,124,80.45,179,144
9,10,10,Loren Roberts,93,80.0,135,108
10,11,11,Brad Faxon,93,78.89,90,71
11,12,12,Corey Pavin,78,78.65,89,70
12,13,13,Tim Herron,102,78.57,112,88
13,14,14,Rocco Mediate,79,78.49,93,73
14,15,15,John Daly,62,78.43,51,40
15,16,16,Pat Perez,89,78.29,129,101
16,17,17,José María Olazábal,71,78.05,82,64
17,18,18,K.J. Choi,93,78.03,132,103
18,19,19,Spike McRoy,69,77.91,86,67
19,20,20,Scott Verplank,93,77.86,131,102
20,T21,T21,Brandel Chamblee,85,77.78,117,91
21,T21,T21,Rod Pampling,98,77.78,117,91
22,23,23,John Riegger,88,77.6,125,97
23,24,24,Billy Andrade,100,77.52,129,100
24,25,25,Pat Bates,94,77.5,120,93
25,26,26,Ernie Els,68,77.42,93,72
26,27,27,Matt Gogel,79,77.23,101,78
27,28,28,Chris Riley,104,77.21,136,105
28,29,29,Craig Parry,69,77.17,127,98
29,30,30,Olin Browne,107,77.03,148,114
30,31,31,David Duval,78,76.84,95,73
31,32,32,Blaine McCallister,75,76.83,82,63
32,33,33,Jonathan Byrd,96,76.76,142,109
33,34,34,Jeff Sluman,118,76.54,162,124
34,35,35,Phil Tataurangi,88,76.47,85,65
35,36,36,Neal Lancaster,101,76.23,122,93
36,37,37,José Coceres,51,76.19,84,64
37,38,38,Gary Nicklaus,66,76.04,96,73
38,39,39,Matt Kuchar,82,76.0,100,76
39,40,40,Ben Crane,91,75.4,126,95
40,41,41,Vijay Singh,102,75.37,134,101
41,42,42,Len Mattiace,106,75.15,165,124
42,T43,T43,Cameron Beckman,87,75.0,120,90
43,T43,T43,Charles Howell III,118,75.0,148,111
44,T43,T43,Bernhard Langer,55,75.0,44,33
45,T43,T43,Craig Stadler,72,75.0,80,60
46,47,47,David Toms,106,74.81,131,98
47,T48,T48,Stephen Gangluff,75,74.77,111,83
48,T48,T48,Heath Slocum,96,74.77,111,83
49,50,50,Nick Price,69,74.73,91,68
50,51,51,Mike Sposa,111,74.7,166,124
51,52,52,Chris DiMarco,111,74.59,122,91
52,T53,T53,Brandt Jobe,94,74.44,133,99
53,T53,T53,Kevin Sutherland,96,74.44,90,67
54,55,55,David Peoples,105,74.38,160,119
55,T56,T56,Billy Mayfair,99,74.36,117,87
56,T56,T56,Deane Pappas,90,74.36,117,87
57,58,58,Greg Kraft,86,74.31,109,81
58,59,59,Bryce Molder,65,74.23,97,72
59,T60,T60,Jeff Brehaut,87,74.22,128,95
60,T60,T60,Franklin Langham,72,74.22,128,95
61,T62,T62,Dan Forsman,83,74.19,155,115
62,T62,T62,Jeff Maggert,83,74.19,124,92
63,64,64,Rory Sabbatini,69,74.16,89,66
64,65,65,Jonathan Kaye,83,74.1,139,103
65,66,66,Davis Love III,92,74.07,108,80
66,67,67,Stewart Cink,92,73.91,92,68
67,T68,T68,Steve Flesch,110,73.88,134,99
68,T68,T68,David Frost,90,73.88,134,99
69,T68,T68,John Senden,96,73.88,134,99
70,71,71,Tiger Woods,69,73.86,88,65
71,T72,T72,Brad Elder,76,73.79,103,76
72,T72,T72,Lee Janzen,101,73.79,103,76
73,74,74,Dicky Pride,51,73.75,80,59
74,T75,T75,Mathew Goggin,64,73.68,95,70
75,T75,T75,Tommy Tolles,64,73.68,95,70
76,77,77,Brian Watts,58,73.61,72,53
77,78,78,Bart Bryant,69,73.56,87,64
78,79,79,Greg Chalmers,94,73.48,132,97
79,80,80,Jerry Smith,91,73.44,128,94
80,81,81,Craig Perks,91,73.39,109,80
81,82,82,Tommy Armour III,82,73.27,101,74
82,83,83,Phil Mickelson,97,73.19,138,101
83,T84,T84,Rich Beem,99,73.15,149,109
84,T84,T84,Skip Kendall,103,73.15,149,109
85,86,86,Grant Waite,98,73.11,119,87
86,87,87,Glen Day,107,73.1,145,106
87,88,88,Bo Van Pelt,78,73.02,126,92
88,89,89,Scott McCarron,106,72.99,137,100
89,90,90,Chad Campbell,111,72.85,151,110
90,91,91,Harrison Frazar,88,72.82,103,75
91,92,92,Jay Williamson,91,72.79,136,99
92,T93,T93,Craig Barlow,62,72.73,99,72
93,T93,T93,Bob Estes,93,72.73,121,88
94,95,95,J.L. Lewis,98,72.67,150,109
95,96,96,Justin Leonard,97,72.57,113,82
96,97,97,Carl Paulson,84,72.54,142,103
97,98,98,Robert Damron,85,72.41,116,84
98,99,99,Jesper Parnevik,85,72.22,72,52
99,100,100,Jay Don Blake,107,72.14,140,101
100,101,101,Pete Jordan,78,72.07,111,80
101,102,102,Frank Lickliter II,94,72.03,118,85
102,103,103,Mark Calcavecchia,84,72.0,100,72
103,104,104,Jerry Kelly,99,71.85,135,97
104,105,105,Paul Azinger,69,71.83,71,51
105,106,106,Brent Geiberger,95,71.68,113,81
106,T107,T107,Bob May,91,71.64,134,96
107,T107,T107,Joey Sindelar,104,71.64,134,96
108,109,109,Kenneth Staton,104,71.59,176,126
109,T110,T110,Matt Peterson,80,71.54,123,88
110,T110,T110,Tom Scherrer,98,71.54,130,93
111,T110,T110,Chris Smith,103,71.54,130,93
112,T113,T113,Carlos Franco,107,71.53,144,103
113,T113,T113,Edward Fryatt,94,71.53,144,103
114,T115,T115,Briny Baird,110,71.43,140,100
115,T115,T115,Jim Carter,98,71.43,126,90
116,T115,T115,Brian Gay,117,71.43,140,100
117,T115,T115,Peter Jacobsen,67,71.43,91,65
118,T115,T115,Duffy Waldorf,90,71.43,112,80
119,120,120,Kirk Triplett,84,71.3,108,77
120,121,121,Glen Hnatiuk,95,71.24,153,109
121,122,122,David Gossett,95,70.99,131,93
122,T123,T123,Sergio Garcia,79,70.97,93,66
123,T123,T123,Miguel Angel Jiménez,60,70.97,62,44
124,125,125,Paul Gow,99,70.95,179,127
125,T126,T126,Bradley Hughes,60,70.79,89,63
126,T126,T126,Brenden Pappas,62,70.79,89,63
127,128,128,Luke Donald,106,70.67,150,106
128,129,129,John Cook,85,70.65,92,65
129,130,130,J.P. Hayes,78,70.59,102,72
130,131,131,Bob Burns,99,70.54,129,91
131,132,132,Kent Jones,105,70.32,155,109
132,133,133,Michael Allen,76,70.3,101,71
133,134,134,Steve Elkington,82,70.21,94,66
134,135,135,Michael Long,71,70.19,104,73
135,136,136,Stephen Ames,89,69.9,103,72
136,137,137,Paul Claxton,83,69.85,136,95
137,138,138,Andrew Magee,91,69.81,106,74
138,139,139,Frank Nobilo,94,69.57,138,96
139,140,140,Kaname Yokoo,74,69.47,95,66
140,T141,T141,Dudley Hart,88,69.44,108,75
141,T141,T141,David Morland IV,58,69.44,108,75
142,143,143,Brian Bateman,94,69.4,134,93
143,144,144,Per-Ulrik Johansson,87,69.39,98,68
144,T145,T145,Stuart Appleby,97,69.23,143,99
145,T145,T145,Robert Gamez,69,69.23,117,81
146,147,147,Brian Henninger,66,69.15,94,65
147,148,148,Steve Stricker,68,69.12,68,47
148,149,149,Russ Cochran,68,69.07,97,67
149,150,150,Dennis Paulson,89,69.03,113,78
150,151,151,Donnie Hammond,60,69.01,71,49
151,152,152,Hidemichi Tanaka,104,68.99,158,109
152,153,153,Notah Begay III,76,68.85,122,84
153,154,154,Kenny Perry,98,68.84,138,95
154,155,155,Tom Byrum,77,68.82,93,64
