,One-Putt_Percentage_-_Round_4_RANK THIS WEEK,One-Putt_Percentage_-_Round_4_RANK LAST WEEK,One-Putt_Percentage_-_Round_4_PLAYER NAME,One-Putt_Percentage_-_Round_4_%,One-Putt_Percentage_-_Round_4_# OF 1 PUTTS,One-Putt_Percentage_-_Round_4_# OF HOLES
0,1,1,Michael Allen,50.0,81,162
1,2,2,Paul Claxton,47.22,102,216
2,3,3,Billy Andrade,46.6,151,324
3,4,4,Eduardo Herrera,46.3,50,108
4,5,5,Jay Haas,46.08,141,306
5,6,6,Woody Austin,46.03,116,252
6,7,7,Robin Freeman,45.96,91,198
7,8,8,Bob Heintz,45.56,41,90
8,9,9,Matt Kuchar,45.24,114,252
9,10,10,Pat Perez,45.19,122,270
10,11,11,Steve Stricker,44.95,89,198
11,12,12,Bernhard Langer,44.91,97,216
12,13,13,José María Olazábal,44.44,112,252
13,14,14,David Gossett,44.12,135,306
14,15,15,John Rollins,44.02,206,468
15,16,16,Edward Fryatt,43.98,95,216
16,17,17,Kaname Yokoo,43.83,71,162
17,18,18,Mark Brooks,43.7,118,270
18,19,19,Jonathan Byrd,43.65,110,252
19,20,20,Chris Riley,43.43,172,396
20,21,21,Stephen Gangluff,43.21,70,162
21,22,22,Tim Petrovic,43.16,101,234
22,23,23,K.J. Choi,42.9,139,324
23,24,24,J.P. Hayes,42.86,108,252
24,T25,T25,Tim Herron,42.78,154,360
25,T25,T25,Franklin Langham,42.78,77,180
26,T27,T27,Fulton Allem,42.59,46,108
27,T27,T27,Rod Pampling,42.59,138,324
28,29,29,Matt Gogel,42.46,107,252
29,30,30,Lee Porter,42.42,84,198
30,31,31,Donnie Hammond,42.31,99,234
31,T32,T32,Robert Damron,42.22,114,270
32,T32,T32,Harrison Frazar,42.22,114,270
33,T32,T32,Bryce Molder,42.22,76,180
34,T32,T32,Jay Williamson,42.22,114,270
35,36,36,Phil Mickelson,42.17,167,396
36,T37,T37,Paul Azinger,42.13,91,216
37,T37,T37,Mathew Goggin,42.13,91,216
38,T37,T37,Brian Henninger,42.13,91,216
39,40,40,Carl Paulson,42.06,106,252
40,41,41,Stephen Ames,42.01,121,288
41,42,42,Greg Kraft,41.92,83,198
42,43,43,Greg Chalmers,41.85,113,270
43,44,44,Frank Nobilo,41.83,128,306
44,T45,T45,Fred Couples,41.67,90,216
45,T45,T45,Ben Crane,41.67,120,288
46,T45,T45,Geoff Ogilvy,41.67,120,288
47,T48,T48,Olin Browne,41.52,142,342
48,T48,T48,Davis Love III,41.52,142,342
49,50,50,Kirk Triplett,41.48,112,270
50,51,51,Paul Goydos,41.45,97,234
51,52,52,Notah Begay III,41.41,82,198
52,T53,T53,Tim Clark,41.27,104,252
53,T53,T53,David Duval,41.27,104,252
54,55,55,Skip Kendall,41.23,141,342
55,56,56,Brandel Chamblee,41.2,89,216
56,T57,T57,Jess Daley,41.11,74,180
57,T57,T57,Joe Ogilvie,41.11,37,90
58,T59,T59,Billy Mayfair,41.05,133,324
59,T59,T59,Phil Tataurangi,41.05,133,324
60,T61,T61,Robert Gamez,41.03,96,234
61,T61,T61,Dennis Paulson,41.03,96,234
62,T63,T63,Briny Baird,40.91,162,396
63,T63,T63,John Huston,40.91,162,396
64,T63,T63,Hal Sutton,40.91,81,198
65,T66,T66,José Coceres,40.74,66,162
66,T66,T66,Fred Funk,40.74,176,432
67,68,68,Justin Leonard,40.66,161,396
68,69,69,Tommy Armour III,40.6,95,234
69,70,70,Dudley Hart,40.52,124,306
70,71,71,Chad Campbell,40.28,145,360
71,T72,T72,Joel Edwards,40.21,152,378
72,T72,T72,David Peoples,40.21,152,378
73,74,74,Pat Bates,40.2,123,306
74,75,75,Garrett Willis,40.17,94,234
75,76,76,Kent Jones,40.06,137,342
76,T77,T77,Tom Byrum,40.0,108,270
77,T77,T77,Glen Day,40.0,144,360
78,T77,T77,Dan Forsman,40.0,108,270
79,T77,T77,Per-Ulrik Johansson,40.0,108,270
80,T77,T77,Jerry Kelly,40.0,144,360
81,T77,T77,Boo Weekley,40.0,36,90
82,83,83,Frank Lickliter II,39.93,115,288
83,T84,T84,Jerry Smith,39.9,79,198
84,T84,T84,Tommy Tolles,39.9,79,198
85,T86,T86,Sergio Garcia,39.87,122,306
86,T86,T86,J.L. Lewis,39.87,122,306
87,88,88,Brent Geiberger,39.81,129,324
88,89,89,Brad Faxon,39.77,136,342
89,T90,T90,Stuart Appleby,39.72,143,360
90,T90,T90,Shigeki Maruyama,39.72,143,360
91,T92,T92,Tripp Isenhour,39.68,100,252
92,T92,T92,Brian Watts,39.68,50,126
93,94,94,John Riegger,39.63,107,270
94,95,95,Brian Gay,39.61,164,414
95,96,96,David Frost,39.58,114,288
96,T97,T97,Rich Beem,39.47,135,342
97,T97,T97,Bob Estes,39.47,135,342
98,T99,T99,Brad Elder,39.44,71,180
99,T99,T99,Bo Van Pelt,39.44,71,180
100,101,101,Corey Pavin,39.26,106,270
101,102,102,Nick Price,39.24,113,288
102,103,103,Duffy Waldorf,39.2,127,324
103,104,104,Glen Hnatiuk,39.18,134,342
104,105,105,Esteban Toledo,39.17,141,360
105,106,106,Jeff Sluman,39.1,183,468
106,T107,T107,Jay Don Blake,38.89,126,324
107,T107,T107,Stewart Cink,38.89,126,324
108,T107,T107,Michael Clark II,38.89,105,270
109,T107,T107,Jason Hill,38.89,35,90
110,T107,T107,Spike McRoy,38.89,56,144
111,T107,T107,Craig Perks,38.89,112,288
112,T107,T107,Brett Quigley,38.89,98,252
113,T107,T107,Richard Zokol,38.89,42,108
114,115,115,Len Mattiace,38.67,174,450
115,116,116,Steve Elkington,38.56,118,306
116,T117,T117,John Cook,38.54,111,288
117,T117,T117,Andrew Magee,38.54,111,288
118,119,119,Scott Hoch,38.52,104,270
119,120,120,Chris DiMarco,38.44,173,450
120,121,121,Peter Lonard,38.38,152,396
121,T122,T122,Michael Muehr,38.33,69,180
122,T122,T122,Deane Pappas,38.33,69,180
123,124,124,Cameron Beckman,38.24,117,306
124,T125,T125,Mike Hulbert,38.1,48,126
125,T125,T125,Bob May,38.1,96,252
126,127,127,"David Berganio, Jr.",37.96,82,216
127,128,128,Scott Verplank,37.78,136,360
128,T129,T129,Joey Sindelar,37.65,122,324
129,T129,T129,Paul Stankowski,37.65,122,324
130,131,131,Kenny Perry,37.63,149,396
131,T132,T132,Mark Calcavecchia,37.5,108,288
132,T132,T132,Craig Stadler,37.5,81,216
133,T132,T132,Hidemichi Tanaka,37.5,135,360
134,135,135,Steve Lowery,37.43,128,342
135,T136,T136,John Daly,37.37,74,198
136,T136,T136,Steve Flesch,37.37,148,396
