,Putting_from_3-5_RANK THIS WEEK,Putting_from_3-5_RANK LAST WEEK,Putting_from_3-5_PLAYER NAME,Putting_from_3-5_ROUNDS,Putting_from_3-5_% MADE,Putting_from_3-5_ATTEMPTS,Putting_from_3-5_PUTTS MADE
0,1,1,Retief Goosen,56,98.15,54,53
1,2,2,Lee Janzen,101,97.8,91,89
2,3,3,Tim Herron,102,97.73,88,86
3,4,4,Deane Pappas,90,96.59,88,85
4,5,5,Jim Furyk,88,95.89,73,70
5,6,6,Scott Verplank,93,95.79,95,91
6,7,7,Jeff Maggert,83,95.35,86,82
7,8,8,Dicky Pride,51,95.12,82,78
8,9,9,Davis Love III,92,95.0,100,95
9,10,10,Paul Goydos,66,94.92,59,56
10,T11,T11,Brad Faxon,93,94.59,74,70
11,T11,T11,Tiger Woods,69,94.59,74,70
12,T13,T13,Bernhard Langer,55,94.44,36,34
13,T13,T13,Blaine McCallister,75,94.44,72,68
14,T13,T13,Tommy Tolles,64,94.44,90,85
15,16,16,Brent Geiberger,95,94.38,89,84
16,17,17,Brandel Chamblee,85,94.32,88,83
17,18,18,Mark O'Meara,68,94.2,69,65
18,19,19,Dan Forsman,83,94.07,118,111
19,20,20,Michael Muehr,73,93.88,49,46
20,21,21,Phil Tataurangi,88,93.67,79,74
21,22,22,Geoff Ogilvy,90,93.6,125,117
22,23,23,Kirk Triplett,84,93.59,78,73
23,24,24,Brandt Jobe,94,93.48,92,86
24,25,25,Shigeki Maruyama,87,93.33,75,70
25,26,26,Scott Hoch,71,93.24,74,69
26,27,27,Matt Kuchar,82,93.2,103,96
27,T28,T28,Billy Andrade,100,93.02,129,120
28,T28,T28,Garrett Willis,80,93.02,86,80
29,T30,T30,Kent Jones,105,92.97,128,119
30,T30,T30,David Peoples,105,92.97,128,119
31,32,32,Spike McRoy,69,92.96,71,66
32,T33,T33,David Duval,78,92.86,70,65
33,T33,T33,Bryce Molder,65,92.86,84,78
34,T35,T35,Chad Campbell,111,92.8,125,116
35,T35,T35,David Toms,106,92.8,125,116
36,T37,T37,Stephen Ames,89,92.77,83,77
37,T37,T37,Mathew Goggin,64,92.77,83,77
38,39,39,Joe Ogilvie,50,92.75,69,64
39,40,40,Franklin Langham,72,92.71,96,89
40,41,41,Jeff Brehaut,87,92.45,106,98
41,42,42,Carl Paulson,84,92.42,132,122
42,43,43,Vijay Singh,102,92.39,92,85
43,44,44,Gary Nicklaus,66,92.31,65,60
44,45,45,Jeff Sluman,118,92.25,129,119
45,T46,T46,Neal Lancaster,101,92.24,116,107
46,T46,T46,Heath Slocum,96,92.24,116,107
47,48,48,Kenneth Staton,104,92.14,140,129
48,49,49,Jess Daley,76,92.13,89,82
49,50,50,Loren Roberts,93,92.11,114,105
50,51,51,Bo Van Pelt,78,92.04,113,104
