,Putts_Per_Round_RANK THIS WEEK,Putts_Per_Round_RANK LAST WEEK,Putts_Per_Round_PLAYER NAME,Putts_Per_Round_ROUNDS,Putts_Per_Round_AVG,Putts_Per_Round_TOTAL PUTTS,Putts_Per_Round_TOTAL ROUNDS,Putts_Per_Round_LOW TOTAL PUTTS
0,1,1,Bob Heintz,68,27.57,1875,68,21
1,2,2,Chris Riley,104,27.83,2672,96,22
2,3,3,Ben Crane,91,27.84,2478,89,23
3,4,4,Skip Kendall,103,28.02,2830,101,23
4,5,5,Rod Pampling,98,28.13,2644,94,22
5,6,6,Pat Perez,89,28.28,2460,87,21
6,7,7,Nick Price,69,28.29,1754,62,23
7,T8,T8,Billy Andrade,100,28.31,2661,94,23
8,T8,T8,Steve Stricker,68,28.31,1670,59,23
9,10,10,Bryce Molder,65,28.32,1784,63,24
10,T11,T11,Brad Faxon,93,28.34,2352,83,21
11,T11,T11,José María Olazábal,71,28.34,1757,62,23
12,T13,T13,Jay Haas,83,28.38,2242,79,22
13,T13,T13,J.P. Hayes,78,28.38,2157,76,22
14,15,15,Jonathan Byrd,96,28.4,2641,93,23
15,16,16,Andrew Magee,91,28.41,2500,88,22
16,T17,T17,Brian Gay,117,28.43,3269,115,22
17,T17,T17,Davis Love III,92,28.43,2360,83,21
18,T17,T17,Phil Mickelson,97,28.43,2559,90,21
19,T17,T17,Corey Pavin,78,28.43,2047,72,22
20,T21,T21,Olin Browne,107,28.45,2959,104,21
21,T21,T21,Stephen Gangluff,75,28.45,2134,75,23
22,T23,T23,Greg Chalmers,94,28.46,2590,91,22
23,T23,T23,Justin Leonard,97,28.46,2561,90,23
24,T23,T23,Kaname Yokoo,74,28.46,2049,72,24
25,26,26,Ernie Els,68,28.47,1651,58,24
26,T27,T27,Esteban Toledo,106,28.51,2794,98,24
27,T27,T27,Scott Verplank,93,28.51,2480,87,22
28,29,29,David Toms,106,28.53,2796,98,23
29,30,30,K.J. Choi,93,28.54,2483,87,21
30,31,31,Geoff Ogilvy,90,28.55,2455,86,20
31,T32,T32,Stuart Appleby,97,28.59,2573,90,24
32,T32,T32,Chris DiMarco,111,28.59,2916,102,21
33,T32,T32,Steve Elkington,82,28.59,2144,75,22
34,T32,T32,Jonathan Kaye,83,28.59,2259,79,22
35,T36,T36,Jay Don Blake,107,28.6,3003,105,23
36,T36,T36,Shigeki Maruyama,87,28.6,2374,83,22
37,T38,T38,David Frost,90,28.61,2575,90,23
38,T38,T38,Duffy Waldorf,90,28.61,2375,83,24
39,T40,T40,Paul Azinger,69,28.63,1804,63,24
40,T40,T40,Matt Kuchar,82,28.63,2290,80,22
41,42,42,Robert Gamez,69,28.64,1976,69,24
42,T43,T43,Joel Edwards,101,28.65,2894,101,21
43,T43,T43,Tim Herron,102,28.65,2836,99,23
44,T45,T45,Bob Burns,99,28.69,2754,96,23
45,T45,T45,Greg Kraft,86,28.69,2410,84,22
46,T45,T45,Loren Roberts,93,28.69,2553,89,23
47,T48,T48,Retief Goosen,56,28.7,1435,50,22
48,T48,T48,Kirk Triplett,84,28.7,2267,79,24
49,50,50,Scott Hoch,71,28.71,1895,66,24
50,51,51,Fred Couples,64,28.72,1723,60,22
51,52,52,Tommy Tolles,64,28.75,1840,64,22
52,T53,T53,Robert Damron,85,28.76,2358,82,22
53,T53,T53,David Duval,78,28.76,2042,71,22
54,T53,T53,Jerry Kelly,99,28.76,2703,94,21
55,T53,T53,Mark O'Meara,68,28.76,1783,62,22
56,T57,T57,Brandel Chamblee,85,28.79,2418,84,24
57,T57,T57,Glen Day,107,28.79,2965,103,22
58,T57,T57,Paul Goydos,66,28.79,1900,66,23
59,T57,T57,Miguel Angel Jiménez,60,28.79,1612,56,23
60,T57,T57,Paul Stankowski,100,28.79,2821,98,22
61,T62,T62,John Daly,62,28.8,1699,59,22
62,T62,T62,Neal Lancaster,101,28.8,2794,97,23
63,64,64,Stephen Ames,89,28.81,2391,83,22
64,T65,T65,Brad Elder,76,28.82,2133,74,23
65,T65,T65,Matt Gogel,79,28.82,2190,76,21
66,T65,T65,Bernhard Langer,55,28.82,1441,50,23
67,T65,T65,Peter Lonard,93,28.82,2565,89,21
68,T65,T65,Craig Perks,91,28.82,2392,83,23
69,T65,T65,Brett Quigley,93,28.82,2651,92,24
70,T71,T71,Pat Bates,94,28.84,2624,91,22
71,T71,T71,Sergio Garcia,79,28.84,1961,68,22
72,73,73,Mark Calcavecchia,84,28.85,2164,75,21
73,T74,T74,Tim Clark,76,28.87,2050,71,22
74,T74,T74,Len Mattiace,106,28.87,2945,102,22
75,T74,T74,Scott Simpson,61,28.87,1761,61,20
76,T77,T77,Jim Carter,98,28.88,2715,94,24
77,T77,T77,José Coceres,51,28.88,1415,49,23
78,T77,T77,John Rollins,124,28.88,3465,120,23
79,80,80,Brian Watts,58,28.89,1560,54,21
80,T81,T81,John Huston,99,28.9,2774,96,22
81,T81,T81,Joe Ogilvie,50,28.9,1445,50,23
82,T81,T81,Lee Porter,91,28.9,2543,88,24
83,T84,T84,David Morland IV,58,28.91,1677,58,25
84,T84,T84,Mike Sposa,111,28.91,3151,109,23
85,T86,T86,Woody Austin,102,28.93,2864,99,21
86,T86,T86,Harrison Frazar,88,28.93,2546,88,23
87,T86,T86,Deane Pappas,90,28.93,2517,87,23
88,89,89,Tom Pernice Jr.,101,28.94,2865,99,23
