,GIR_Putting_-_10-15_RANK THIS WEEK,GIR_Putting_-_10-15_RANK LAST WEEK,GIR_Putting_-_10-15_PLAYER NAME,GIR_Putting_-_10-15_ROUNDS,GIR_Putting_-_10-15_%,GIR_Putting_-_10-15_ATTEMPTS,GIR_Putting_-_10-15_PUTTS MADE
0,1,1,Richard Zokol,53,56.52,23,13
1,2,2,Scott Simpson,61,48.15,27,13
2,3,3,Donnie Hammond,60,46.51,43,20
3,T4,T4,Corey Pavin,78,46.15,39,18
4,T4,T4,Duffy Waldorf,90,46.15,52,24
5,6,6,Greg Chalmers,94,44.68,47,21
6,7,7,Mark Calcavecchia,84,44.19,43,19
7,8,8,Pat Perez,89,43.18,44,19
8,T9,T9,Fred Couples,64,42.86,28,12
9,T9,T9,Jesper Parnevik,85,42.86,21,9
10,T11,T11,Retief Goosen,56,42.42,33,14
11,T11,T11,Steve Pate,64,42.42,33,14
12,13,13,Jonathan Byrd,96,41.94,62,26
13,14,14,Tommy Tolles,64,41.67,36,15
14,15,15,José Coceres,51,41.38,29,12
15,16,16,Chad Campbell,111,40.85,71,29
16,17,17,Edward Fryatt,94,40.82,49,20
17,18,18,Davis Love III,92,40.35,57,23
18,19,19,Brandt Jobe,94,39.58,48,19
19,20,20,Billy Andrade,100,39.39,66,26
20,21,21,Stephen Ames,89,39.22,51,20
21,22,22,David Morland IV,58,39.13,46,18
22,23,23,Brian Gay,117,39.02,82,32
23,24,24,Jerry Kelly,99,38.98,59,23
24,T25,T25,John Rollins,124,38.89,90,35
25,T25,T25,Brett Wetterich,89,38.89,54,21
26,27,27,Bob Estes,93,38.81,67,26
27,28,28,Brandel Chamblee,85,38.78,49,19
28,T29,T29,John Cook,85,38.24,34,13
29,T29,T29,José María Olazábal,71,38.24,34,13
30,31,31,Lee Porter,91,38.0,50,19
31,32,32,Phil Tataurangi,88,37.5,48,18
32,T33,T33,Steve Allan,93,37.1,62,23
33,T33,T33,Chris Riley,104,37.1,62,23
34,T35,T35,Jim Carter,98,37.04,54,20
35,T35,T35,Garrett Willis,80,37.04,54,20
36,37,37,Jay Haas,83,36.84,38,14
37,T38,T38,Paul Gow,99,36.67,60,22
38,T38,T38,Skip Kendall,103,36.67,60,22
39,40,40,Jess Daley,76,36.59,41,15
40,41,41,Kaname Yokoo,74,36.36,33,12
41,42,42,David Frost,90,36.17,47,17
42,T43,T43,Robert Gamez,69,36.0,50,18
43,T43,T43,Stephen Gangluff,75,36.0,50,18
44,45,45,Fred Funk,106,35.87,92,33
45,46,46,Brett Quigley,93,35.71,42,15
46,47,47,Pat Bates,94,35.62,73,26
47,48,48,K.J. Choi,93,35.59,59,21
48,49,49,Olin Browne,107,35.53,76,27
49,50,50,Tim Clark,76,35.48,62,22
50,51,51,Robin Freeman,79,35.42,48,17
51,T52,T52,Jay Don Blake,107,35.29,68,24
52,T52,T52,Tim Herron,102,35.29,51,18
53,T52,T52,Craig Stadler,72,35.29,34,12
54,55,55,Craig Parry,69,35.19,54,19
55,56,56,Mark Brooks,97,34.55,55,19
56,57,57,Brad Faxon,93,34.15,41,14
57,58,58,Matt Gogel,79,34.04,47,16
58,59,59,Kent Jones,105,33.96,53,18
59,60,60,Loren Roberts,93,33.85,65,22
60,T61,T61,Ben Crane,91,33.33,45,15
61,T61,T61,Chris DiMarco,111,33.33,72,24
62,T61,T61,Pete Jordan,78,33.33,51,17
63,T61,T61,Tim Petrovic,92,33.33,63,21
64,T61,T61,Steve Stricker,68,33.33,36,12
65,T61,T61,Hal Sutton,74,33.33,39,13
66,67,67,Joel Edwards,101,32.93,82,27
67,68,68,J.L. Lewis,98,32.35,68,22
68,69,69,Stewart Cink,92,32.2,59,19
69,70,70,David Toms,106,32.14,84,27
70,T71,T71,Joe Durant,87,32.08,53,17
71,T71,T71,Steve Flesch,110,32.08,53,17
72,73,73,David Duval,78,32.0,50,16
73,74,74,Robert Damron,85,31.75,63,20
74,75,75,Frank Nobilo,94,31.58,57,18
75,T76,T76,John Huston,99,31.51,73,23
76,T76,T76,Bob May,91,31.51,73,23
77,T78,T78,Bart Bryant,69,31.37,51,16
78,T78,T78,Tom Pernice Jr.,101,31.37,51,16
79,80,80,Lee Janzen,101,31.34,67,21
80,T81,T81,Glen Day,107,31.25,80,25
81,T81,T81,Geoff Ogilvy,90,31.25,48,15
82,T81,T81,Kirk Triplett,84,31.25,48,15
83,84,84,Tom Byrum,77,31.11,45,14
84,85,85,Greg Kraft,86,31.03,58,18
85,86,86,Jeff Brehaut,87,30.99,71,22
86,87,87,Bryce Molder,65,30.91,55,17
87,88,88,Vijay Singh,102,30.88,68,21
88,T89,T89,John Daly,62,30.77,26,8
89,T89,T89,Bo Van Pelt,78,30.77,52,16
90,91,91,Deane Pappas,90,30.61,49,15
91,T92,T92,J.J. Henry,112,30.56,72,22
92,T92,T92,Gary Nicklaus,66,30.56,36,11
93,94,94,Paul Stankowski,100,30.51,59,18
94,95,95,Chris Smith,103,30.36,56,17
95,T96,T96,Paul Goydos,66,30.0,40,12
96,T96,T96,Dudley Hart,88,30.0,30,9
