,Bonus_Putting_RANK THIS WEEK,Bonus_Putting_RANK LAST WEEK,Bonus_Putting_PLAYER NAME,Bonus_Putting_ROUNDS,Bonus_Putting_VALUE,Bonus_Putting_ATTEMPTS(<= 5'),Bonus_Putting_TOT MADE (>=20'),Bonus_Putting_TOT MADE (<= 5')
0,1,1,Lee Janzen,101,104.94,385,22,382
1,2,2,Richard Zokol,53,103.85,208,12,204
2,3,3,John Cook,85,103.73,268,16,262
3,4,4,Ben Crane,91,103.71,350,24,339
4,5,5,Retief Goosen,56,103.67,218,9,217
5,6,6,Tim Herron,102,103.66,383,18,379
6,7,7,Paul Azinger,69,103.45,203,13,197
7,8,8,Scott Hoch,71,103.41,264,14,259
8,9,9,Chad Campbell,111,103.37,475,27,464
9,10,10,Brent Geiberger,95,103.2,375,23,364
10,11,11,Shigeki Maruyama,87,103.13,288,15,282
11,12,12,David Toms,106,103.1,451,26,439
12,13,13,Michael Muehr,73,103.04,263,14,257
13,14,14,Steve Pate,64,103.03,231,13,225
14,15,15,Esteban Toledo,106,102.89,381,21,371
15,16,16,Jay Haas,83,102.78,324,18,315
16,17,17,Billy Andrade,100,102.74,401,21,391
17,18,18,Phil Tataurangi,88,102.71,332,16,325
18,19,19,Bernhard Langer,55,102.67,150,6,148
19,T20,T20,Stephen Ames,89,102.62,305,15,298
20,T20,T20,Bart Bryant,69,102.62,343,22,330
21,22,22,Brad Faxon,93,102.6,308,13,303
22,23,23,Scott McCarron,106,102.59,386,21,375
23,T24,T24,Brett Quigley,93,102.45,408,24,394
24,T24,T24,Grant Waite,98,102.45,449,25,435
25,26,26,Tiger Woods,69,102.43,247,11,242
26,27,27,David Frost,90,102.31,390,21,378
27,28,28,Jesper Parnevik,85,102.3,217,14,208
28,29,29,Rocco Mediate,79,102.27,309,15,301
29,30,30,Kenny Perry,98,102.23,403,22,390
30,31,31,Chris Riley,104,102.22,406,22,393
31,32,32,Brian Gay,117,102.16,463,26,447
32,33,33,Brandt Jobe,94,102.05,439,15,433
33,T34,T34,Steve Elkington,82,101.99,301,14,293
34,T34,T34,Craig Perks,91,101.99,301,18,289
35,36,36,Shaun Micheel,100,101.97,457,22,444
36,37,37,Chris Smith,103,101.96,408,18,398
37,T38,T38,Brad Elder,76,101.95,307,14,299
38,T38,T38,Jeff Sluman,118,101.95,512,22,500
39,40,40,Davis Love III,92,101.92,365,13,359
40,41,41,Kevin Sutherland,96,101.91,314,14,306
41,42,42,K.J. Choi,93,101.85,379,19,367
42,43,43,Dan Forsman,83,101.84,381,15,373
43,44,44,Spike McRoy,69,101.82,275,11,269
44,45,45,Bryce Molder,65,101.81,331,15,322
45,46,46,Greg Kraft,86,101.8,388,17,378
46,47,47,Jim Furyk,88,101.79,335,11,330
47,48,48,John Riegger,88,101.75,400,18,389
48,49,49,Joel Edwards,101,101.74,459,21,446
49,T50,T50,Mark Calcavecchia,84,101.69,236,13,227
50,T50,T50,Jess Daley,76,101.69,355,14,347
51,T50,T50,Per-Ulrik Johansson,87,101.69,356,21,341
52,53,53,Jay Williamson,91,101.66,421,22,406
53,T54,T54,Greg Chalmers,94,101.61,373,21,358
54,T54,T54,Joe Ogilvie,50,101.61,249,9,244
55,56,56,Deane Pappas,90,101.6,376,11,371
56,57,57,Scott Simpson,61,101.57,255,10,249
57,58,58,Scott Verplank,93,101.54,324,10,319
58,59,59,David Peoples,105,101.53,457,17,447
59,T60,T60,Mark O'Meara,68,101.43,210,7,206
60,T60,T60,Brenden Pappas,62,101.43,279,12,271
61,T62,T62,Rod Pampling,98,101.37,365,18,352
62,T62,T62,Tommy Tolles,64,101.37,291,10,285
63,64,64,Brandel Chamblee,85,101.33,376,12,369
64,T65,T65,Craig Barlow,62,101.32,303,14,293
65,T65,T65,Mathew Goggin,64,101.32,302,10,296
66,67,67,Woody Austin,102,101.3,461,20,447
67,68,68,Ernie Els,68,101.19,252,12,243
68,T69,T69,Robert Allenby,96,101.11,451,21,435
69,T69,T69,Stephen Gangluff,75,101.11,361,19,346
70,T71,T71,Jay Don Blake,107,101.1,455,19,441
71,T71,T71,Geoff Ogilvy,90,101.1,362,16,350
72,73,73,Billy Mayfair,99,101.08,370,16,358
73,T74,T74,Kent Jones,105,101.05,478,15,468
