,Total_3_Putts_-__25_RANK THIS WEEK,Total_3_Putts_-__25_RANK LAST WEEK,Total_3_Putts_-__25_PLAYER NAME,Total_3_Putts_-__25_ROUNDS,Total_3_Putts_-__25_TOTAL 3 PUTTS > 25',Total_3_Putts_-__25_TOTAL 3 PUTTS
0,1,1,Brett Wetterich,89,30,32
1,T2,T2,Brian Bateman,94,20,21
2,T2,T2,Bob Estes,93,20,20
3,T2,T2,Craig Perks,91,20,22
4,T2,T2,Grant Waite,98,20,24
5,T6,T6,Harrison Frazar,88,19,23
6,T6,T6,J.L. Lewis,98,19,27
7,T8,T8,Notah Begay III,76,18,22
8,T8,T8,Scott Dunlap,74,18,21
9,T8,T8,Carlos Franco,107,18,21
10,T8,T8,Dudley Hart,88,18,20
11,T8,T8,Shaun Micheel,100,18,21
12,T8,T8,Brett Quigley,93,18,21
13,T8,T8,Hidemichi Tanaka,104,18,20
14,T15,T15,Briny Baird,110,17,19
15,T15,T15,Luke Donald,106,17,19
16,T15,T15,J.J. Henry,112,17,19
17,T15,T15,Charles Howell III,118,17,17
18,T19,T19,Stephen Gangluff,75,16,18
19,T19,T19,David Gossett,95,16,26
20,T19,T19,Frank Nobilo,94,16,23
21,T19,T19,Paul Stankowski,100,16,19
22,T19,T19,Kenneth Staton,104,16,21
23,T19,T19,Duffy Waldorf,90,16,18
24,T25,T25,Cameron Beckman,87,15,18
25,T25,T25,Jeff Brehaut,87,15,16
26,T25,T25,Edward Fryatt,94,15,18
27,T25,T25,Brent Geiberger,95,15,16
28,T25,T25,Paul Gow,99,15,20
29,T25,T25,Bradley Hughes,60,15,20
30,T25,T25,Per-Ulrik Johansson,87,15,20
31,T25,T25,Steve Lowery,98,15,19
32,T25,T25,Len Mattiace,106,15,21
33,T25,T25,Matt Peterson,80,15,19
34,T25,T25,Lee Porter,91,15,19
35,T25,T25,John Senden,96,15,18
36,T37,T37,Steve Allan,93,14,16
37,T37,T37,Olin Browne,107,14,17
38,T37,T37,Joel Edwards,101,14,19
39,T37,T37,Tim Herron,102,14,15
40,T37,T37,Glen Hnatiuk,95,14,16
41,T37,T37,Kent Jones,105,14,16
42,T37,T37,Pete Jordan,78,14,16
43,T37,T37,Dennis Paulson,89,14,15
44,T37,T37,John Rollins,124,14,17
45,T37,T37,Mike Sposa,111,14,18
46,T37,T37,Hal Sutton,74,14,15
47,T48,T48,Robert Allenby,96,13,15
48,T48,T48,Tommy Armour III,82,13,17
49,T48,T48,Woody Austin,102,13,18
50,T48,T48,Tom Byrum,77,13,17
51,T48,T48,Chad Campbell,111,13,16
52,T48,T48,Greg Chalmers,94,13,17
53,T48,T48,Stewart Cink,92,13,15
54,T48,T48,Glen Day,107,13,14
55,T48,T48,Brian Gay,117,13,17
56,T48,T48,Eduardo Herrera,59,13,16
57,T48,T48,Tripp Isenhour,68,13,19
58,T48,T48,Jerry Kelly,99,13,14
59,T48,T48,Peter Lonard,93,13,16
60,T48,T48,Billy Mayfair,99,13,13
61,T48,T48,Tim Petrovic,92,13,15
62,T48,T48,Chris Smith,103,13,18
63,T48,T48,Esteban Toledo,106,13,14
64,T48,T48,Bo Van Pelt,78,13,15
65,T66,T66,Stuart Appleby,97,12,18
66,T66,T66,K.J. Choi,93,12,14
67,T66,T66,Tim Clark,76,12,15
68,T66,T66,Chris DiMarco,111,12,13
69,T66,T66,Joe Durant,87,12,14
70,T66,T66,Robin Freeman,79,12,15
71,T66,T66,Fred Funk,106,12,18
72,T66,T66,Steve Jones,71,12,17
73,T66,T66,Skip Kendall,103,12,17
74,T66,T66,Jeff Maggert,83,12,16
75,T66,T66,Scott McCarron,106,12,15
76,T66,T66,Gary Nicklaus,66,12,12
77,T66,T66,Kenny Perry,98,12,15
78,T66,T66,Tommy Tolles,64,12,13
79,T66,T66,Boo Weekley,57,12,17
80,T81,T81,Fulton Allem,64,11,16
81,T81,T81,Stephen Ames,89,11,16
82,T81,T81,Rich Beem,99,11,19
83,T81,T81,Bart Bryant,69,11,14
84,T81,T81,Michael Clark II,97,11,15
85,T81,T81,Dan Forsman,83,11,11
86,T81,T81,Jason Hill,59,11,14
87,T81,T81,Franklin Langham,72,11,15
88,T81,T81,Michael Long,71,11,16
89,T81,T81,Pat Perez,89,11,16
90,T81,T81,John Riegger,88,11,12
91,T81,T81,Vijay Singh,102,11,13
92,T81,T81,Heath Slocum,96,11,12
93,T81,T81,Garrett Willis,80,11,19
94,T95,T95,Craig Barlow,62,10,11
95,T95,T95,Jay Don Blake,107,10,10
96,T95,T95,Paul Claxton,83,10,12
97,T95,T95,Russ Cochran,68,10,11
98,T95,T95,John Cook,85,10,12
99,T95,T95,Jeff Gove,89,10,17
100,T95,T95,Paul Goydos,66,10,14
101,T95,T95,Shigeki Maruyama,87,10,11
102,T95,T95,Bob May,91,10,13
103,T95,T95,David Morland IV,58,10,12
104,T95,T95,Deane Pappas,90,10,13
105,T95,T95,Brenden Pappas,62,10,11
106,T95,T95,Tom Pernice Jr.,101,10,13
107,T95,T95,Rory Sabbatini,69,10,14
108,T95,T95,Tom Scherrer,98,10,15
109,T95,T95,Scott Simpson,61,10,11
110,T95,T95,Steve Stricker,68,10,11
111,T95,T95,Kevin Sutherland,96,10,10
112,T95,T95,Phil Tataurangi,88,10,10
113,T95,T95,Brian Watts,58,10,13
114,T95,T95,Mike Weir,94,10,14
115,T95,T95,Kaname Yokoo,74,10,14
116,T117,T117,Michael Allen,76,9,12
117,T117,T117,Bob Heintz,68,9,12
118,T117,T117,Brandt Jobe,94,9,11
119,T117,T117,Jonathan Kaye,83,9,14
120,T117,T117,Greg Kraft,86,9,13
121,T117,T117,Frank Lickliter II,94,9,14
122,T117,T117,Andrew Magee,91,9,14
123,T117,T117,Bryce Molder,65,9,11
124,T117,T117,Loren Roberts,93,9,11
125,T117,T117,Jeff Sluman,118,9,14
126,T117,T117,Jerry Smith,91,9,15
127,T117,T117,David Toms,106,9,10
128,T117,T117,Tiger Woods,69,9,9
129,T117,T117,Richard Zokol,53,9,11
130,T131,T131,"David Berganio, Jr.",80,8,10
131,T131,T131,Bob Burns,99,8,12
132,T131,T131,Mark Calcavecchia,84,8,11
133,T131,T131,Brandel Chamblee,85,8,10
134,T131,T131,José Coceres,51,8,9
135,T131,T131,Jess Daley,76,8,12
136,T131,T131,Robert Damron,85,8,10
137,T131,T131,Ernie Els,68,8,8
138,T131,T131,Steve Flesch,110,8,13
139,T131,T131,David Frost,90,8,9
140,T131,T131,Matt Gogel,79,8,11
141,T131,T131,John Huston,99,8,15
142,T131,T131,Neal Lancaster,101,8,10
143,T131,T131,Brad Lardon,59,8,13
144,T131,T131,Ian Leggatt,97,8,8
145,T131,T131,Justin Leonard,97,8,9
146,T131,T131,Davis Love III,92,8,10
147,T131,T131,Michael Muehr,73,8,10
148,T131,T131,Craig Parry,69,8,10
149,T131,T131,David Peoples,105,8,10
150,T131,T131,Nick Price,69,8,8
151,T131,T131,Chris Riley,104,8,11
152,T131,T131,Bob Tway,103,8,10
153,T131,T131,Jay Williamson,91,8,11
154,T155,T155,Ben Crane,91,7,8
155,T155,T155,Brad Faxon,93,7,8
156,T155,T155,Robert Gamez,69,7,9
157,T155,T155,Retief Goosen,56,7,7
158,T155,T155,Scott Hoch,71,7,9
159,T155,T155,Peter Jacobsen,67,7,11
160,T155,T155,Blaine McCallister,75,7,8
161,T155,T155,Geoff Ogilvy,90,7,12
162,T155,T155,Carl Paulson,84,7,11
163,T164,T164,Mark Brooks,97,6,8
164,T164,T164,Jonathan Byrd,96,6,8
165,T164,T164,Fred Couples,64,6,8
166,T164,T164,David Duval,78,6,8
167,T164,T164,Brad Elder,76,6,9
168,T164,T164,Jim Furyk,88,6,7
169,T164,T164,Sergio Garcia,79,6,7
170,T164,T164,Mathew Goggin,64,6,11
171,T164,T164,J.P. Hayes,78,6,10
172,T164,T164,Brian Henninger,66,6,9
173,T164,T164,Lee Janzen,101,6,8
174,T164,T164,Miguel Angel Jiménez,60,6,8
175,T164,T164,Matt Kuchar,82,6,9
176,T164,T164,Joe Ogilvie,50,6,9
177,T164,T164,José María Olazábal,71,6,7
178,T164,T164,Rod Pampling,98,6,11
179,T164,T164,Steve Pate,64,6,8
180,T164,T164,Joey Sindelar,104,6,9
181,T164,T164,Kirk Triplett,84,6,9
182,T183,T183,Billy Andrade,100,5,7
183,T183,T183,Jim Carter,98,5,8
184,T183,T183,Jay Haas,83,5,11
185,T183,T183,Mike Hulbert,55,5,6
186,T183,T183,Spike McRoy,69,5,5
187,T183,T183,Rocco Mediate,79,5,7
188,T183,T183,Phil Mickelson,97,5,15
189,T183,T183,Jesper Parnevik,85,5,10
190,T183,T183,Corey Pavin,78,5,7
191,T183,T183,Dicky Pride,51,5,7
192,T183,T183,Craig Stadler,72,5,7
193,T194,T194,Pat Bates,94,4,8
194,T194,T194,Donnie Hammond,60,4,5
195,T194,T194,Tom Lehman,78,4,6
196,T197,T197,Paul Azinger,69,3,3
197,T197,T197,Steve Elkington,82,3,6
198,T197,T197,Bernhard Langer,55,3,4
199,T197,T197,Scott Verplank,93,3,4
200,T201,T201,John Daly,62,2,4
201,T201,T201,Mark O'Meara,68,2,4
