,Total_1_Putts_-_Inside_5_RANK THIS WEEK,Total_1_Putts_-_Inside_5_RANK LAST WEEK,Total_1_Putts_-_Inside_5_PLAYER NAME,Total_1_Putts_-_Inside_5_ROUNDS,Total_1_Putts_-_Inside_5_TOTAL,Total_1_Putts_-_Inside_5_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_Inside_5_PCT OF ALL 1-PUTTS
0,T1,T1,Glen Day,107,129,259,49.8
1,T1,T1,Phil Mickelson,97,129,242,53.3
2,3,3,Len Mattiace,106,127,247,51.4
3,T4,T4,Jonathan Kaye,83,126,219,57.5
4,T4,T4,Jeff Sluman,118,126,270,46.7
5,T4,T4,Mike Sposa,111,126,267,47.2
6,T7,T7,Chad Campbell,111,124,252,49.2
7,T7,T7,Charles Howell III,118,124,228,54.4
8,9,9,John Rollins,124,123,282,43.6
9,T10,T10,Pat Bates,94,120,229,52.4
10,T10,T10,Carlos Franco,107,120,236,50.8
11,12,12,Brian Gay,117,118,272,43.4
12,13,13,Woody Austin,102,117,236,49.6
13,T14,T14,Jay Don Blake,107,116,238,48.7
14,T14,T14,J.L. Lewis,98,116,230,50.4
15,T14,T14,Shaun Micheel,100,116,224,51.8
16,17,17,Kenneth Staton,104,115,221,52.0
17,T18,T18,Briny Baird,110,114,238,47.9
18,T18,T18,Tim Herron,102,114,236,48.3
19,T18,T18,David Peoples,105,114,238,47.9
20,T21,T21,Mark Brooks,97,113,211,53.6
21,T21,T21,Joel Edwards,101,113,245,46.1
22,T21,T21,Ian Leggatt,97,113,211,53.6
23,24,24,Brandt Jobe,94,112,215,52.1
24,T25,T25,Kent Jones,105,111,242,45.9
25,T25,T25,Skip Kendall,103,111,255,43.5
26,T25,T25,Davis Love III,92,111,211,52.6
27,28,28,Chris DiMarco,111,110,213,51.6
28,T29,T29,Frank Nobilo,94,109,208,52.4
29,T29,T29,Grant Waite,98,109,234,46.6
30,T31,T31,Lee Porter,91,108,219,49.3
31,T31,T31,Joey Sindelar,104,108,227,47.6
32,T33,T33,Brian Bateman,94,107,216,49.5
33,T33,T33,Olin Browne,107,107,252,42.5
34,T33,T33,Hidemichi Tanaka,104,107,222,48.2
