,GIR_Putting_Avg_-__35_RANK THIS WEEK,GIR_Putting_Avg_-__35_RANK LAST WEEK,GIR_Putting_Avg_-__35_PLAYER NAME,GIR_Putting_Avg_-__35_ROUNDS,GIR_Putting_Avg_-__35_% MADE,GIR_Putting_Avg_-__35_ATTEMPTS,GIR_Putting_Avg_-__35_PUTTS MADE
0,1,1,Per-Ulrik Johansson,87,1.21,58,7.0
1,T2,T2,Jay Haas,83,1.11,45,5.0
2,T2,T2,J.P. Hayes,78,1.11,36,4.0
3,T2,T2,Brett Quigley,93,1.11,72,8.0
4,5,5,Craig Perks,91,1.09,55,6.0
5,6,6,Bo Van Pelt,78,1.03,68,7.0
6,7,7,Lee Janzen,101,1.02,59,6.0
7,T8,T8,Rich Beem,99,0.98,51,5.0
8,T8,T8,Jay Don Blake,107,0.98,61,6.0
9,T8,T8,Jonathan Byrd,96,0.98,61,6.0
10,T11,T11,Tripp Isenhour,68,0.95,63,6.0
11,T11,T11,Steve Lowery,98,0.95,63,6.0
12,13,13,Kevin Sutherland,96,0.93,54,5.0
13,14,14,Dennis Paulson,89,0.89,56,5.0
14,15,15,Chris Smith,103,0.88,80,7.0
15,16,16,Richard Zokol,53,0.86,35,3.0
16,T17,T17,Joe Durant,87,0.85,47,4.0
17,T17,T17,Justin Leonard,97,0.85,59,5.0
18,T19,T19,Harrison Frazar,88,0.83,48,4.0
19,T19,T19,Brad Lardon,59,0.83,48,4.0
20,T19,T19,Carl Paulson,84,0.83,72,6.0
21,T22,T22,Jonathan Kaye,83,0.82,49,4.0
22,T22,T22,Corey Pavin,78,0.82,49,4.0
23,T24,T24,Stephen Gangluff,75,0.81,62,5.0
24,T24,T24,Rory Sabbatini,69,0.81,37,3.0
25,T24,T24,Grant Waite,98,0.81,74,6.0
26,T27,T27,Craig Barlow,62,0.8,50,4.0
27,T27,T27,Brandel Chamblee,85,0.8,50,4.0
28,T27,T27,Jim Furyk,88,0.8,50,4.0
29,T27,T27,John Huston,99,0.8,50,4.0
30,T27,T27,Jay Williamson,91,0.8,75,6.0
31,T32,T32,Greg Chalmers,94,0.78,64,5.0
32,T32,T32,Geoff Ogilvy,90,0.78,51,4.0
33,34,34,Jesper Parnevik,85,0.77,39,3.0
34,T35,T35,Billy Andrade,100,0.76,66,5.0
35,T35,T35,Notah Begay III,76,0.76,66,5.0
36,T37,T37,Blaine McCallister,75,0.75,40,3.0
37,T37,T37,David Morland IV,58,0.75,40,3.0
38,39,39,K.J. Choi,93,0.74,54,4.0
39,T40,T40,Jess Daley,76,0.73,55,4.0
40,T40,T40,Steve Pate,64,0.73,41,3.0
41,42,42,Phil Mickelson,97,0.71,56,4.0
42,T43,T43,Woody Austin,102,0.69,58,4.0
43,T43,T43,Chad Campbell,111,0.69,72,5.0
44,45,45,Glen Day,107,0.68,73,5.0
45,T46,T46,"David Berganio, Jr.",80,0.64,47,3.0
46,T46,T46,Robin Freeman,79,0.64,47,3.0
47,T48,T48,Paul Azinger,69,0.63,32,2.0
48,T48,T48,Steve Stricker,68,0.63,32,2.0
49,T50,T50,Robert Allenby,96,0.61,66,4.0
50,T50,T50,Olin Browne,107,0.61,66,4.0
51,T50,T50,Charles Howell III,118,0.61,82,5.0
52,T50,T50,Ian Leggatt,97,0.61,49,3.0
53,T50,T50,Dicky Pride,51,0.61,33,2.0
54,T55,T55,David Duval,78,0.6,50,3.0
55,T55,T55,Rocco Mediate,79,0.6,50,3.0
56,T57,T57,Tom Pernice Jr.,101,0.59,68,4.0
57,T57,T57,Craig Stadler,72,0.59,34,2.0
58,T59,T59,Shigeki Maruyama,87,0.58,52,3.0
59,T59,T59,David Peoples,105,0.58,69,4.0
60,61,61,Cameron Beckman,87,0.57,53,3.0
61,62,62,José Coceres,51,0.56,36,2.0
62,T63,T63,John Riegger,88,0.55,55,3.0
63,T63,T63,John Senden,96,0.55,55,3.0
64,T65,T65,Mark Calcavecchia,84,0.54,37,2.0
65,T65,T65,Scott Hoch,71,0.54,37,2.0
66,T65,T65,Mark O'Meara,68,0.54,37,2.0
67,68,68,Tom Scherrer,98,0.53,57,3.0
68,T69,T69,Michael Long,71,0.51,59,3.0
69,T69,T69,Tommy Tolles,64,0.51,39,2.0
70,T71,T71,Carlos Franco,107,0.49,81,4.0
