,Putting_from_Inside_5_RANK THIS WEEK,Putting_from_Inside_5_RANK LAST WEEK,Putting_from_Inside_5_PLAYER NAME,Putting_from_Inside_5_ROUNDS,Putting_from_Inside_5_%,Putting_from_Inside_5_ATTEMPTS,Putting_from_Inside_5_PUTTS MADE
0,1,1,Retief Goosen,56,99.54,218,217
1,2,2,Lee Janzen,101,99.22,385,382
2,3,3,Tim Herron,102,98.96,383,379
3,4,4,Paul Goydos,66,98.69,306,302
4,T5,T5,Bernhard Langer,55,98.67,150,148
5,T5,T5,Deane Pappas,90,98.67,376,371
6,7,7,Brandt Jobe,94,98.63,439,433
7,8,8,Jim Furyk,88,98.51,335,330
8,9,9,Scott Verplank,93,98.46,324,319
9,10,10,Brad Faxon,93,98.38,308,303
10,11,11,Davis Love III,92,98.36,365,359
11,12,12,Blaine McCallister,75,98.17,327,321
12,13,13,Brandel Chamblee,85,98.14,376,369
13,14,14,Dicky Pride,51,98.12,266,261
14,15,15,Scott Hoch,71,98.11,264,259
15,16,16,Mark O'Meara,68,98.1,210,206
16,17,17,Richard Zokol,53,98.08,208,204
17,18,18,Mathew Goggin,64,98.01,302,296
18,19,19,Joe Ogilvie,50,97.99,249,244
19,20,20,Tiger Woods,69,97.98,247,242
20,21,21,Tommy Tolles,64,97.94,291,285
21,22,22,Shigeki Maruyama,87,97.92,288,282
22,23,23,Kent Jones,105,97.91,478,468
23,24,24,Dan Forsman,83,97.9,381,373
24,25,25,Phil Tataurangi,88,97.89,332,325
25,26,26,Vijay Singh,102,97.87,422,413
26,27,27,Jeff Brehaut,87,97.86,420,411
27,28,28,Bob Estes,93,97.83,369,361
28,29,29,Spike McRoy,69,97.82,275,269
29,30,30,David Peoples,105,97.81,457,447
30,31,31,John Cook,85,97.76,268,262
31,32,32,Jess Daley,76,97.75,355,347
32,33,33,"David Berganio, Jr.",80,97.74,399,390
33,34,34,Michael Muehr,73,97.72,263,257
34,35,35,Stephen Ames,89,97.7,305,298
35,T36,T36,Chad Campbell,111,97.68,475,464
36,T36,T36,Jeff Maggert,83,97.68,302,295
37,38,38,Jeff Sluman,118,97.66,512,500
38,39,39,Scott Simpson,61,97.65,255,249
39,40,40,Nick Price,69,97.6,292,285
40,41,41,David Duval,78,97.57,288,281
41,42,42,Chris Smith,103,97.55,408,398
42,43,43,Tom Lehman,78,97.52,242,236
43,44,44,Billy Andrade,100,97.51,401,391
44,45,45,Kevin Sutherland,96,97.45,314,306
45,46,46,Heath Slocum,96,97.44,391,381
46,47,47,Garrett Willis,80,97.43,350,341
47,T48,T48,Greg Kraft,86,97.42,388,378
48,T48,T48,Loren Roberts,93,97.42,427,416
49,T48,T48,Bo Van Pelt,78,97.42,388,378
50,51,51,Rocco Mediate,79,97.41,309,301
51,T52,T52,Pat Bates,94,97.4,423,412
52,T52,T52,Steve Pate,64,97.4,231,225
53,54,54,Brad Elder,76,97.39,307,299
54,55,55,Esteban Toledo,106,97.38,381,371
55,T56,T56,Steve Elkington,82,97.34,301,293
56,T56,T56,David Toms,106,97.34,451,439
57,58,58,Donnie Hammond,60,97.3,259,252
58,59,59,Bryce Molder,65,97.28,331,322
59,60,60,Gary Nicklaus,66,97.27,256,249
60,61,61,Craig Parry,69,97.26,328,319
61,62,62,John Riegger,88,97.25,400,389
62,T63,T63,Robert Damron,85,97.23,397,386
63,T63,T63,Kirk Triplett,84,97.23,289,281
64,T65,T65,Jay Haas,83,97.22,324,315
65,T65,T65,John Rollins,124,97.22,539,524
66,67,67,Franklin Langham,72,97.18,355,345
67,68,68,Joel Edwards,101,97.17,459,446
68,T69,T69,Matt Kuchar,82,97.16,317,308
69,T69,T69,Shaun Micheel,100,97.16,457,444
70,71,71,Scott McCarron,106,97.15,386,375
71,72,72,Brenden Pappas,62,97.13,279,271
72,73,73,Justin Leonard,97,97.11,380,369
73,T74,T74,Pete Jordan,78,97.09,344,334
74,T74,T74,Matt Peterson,80,97.09,413,401
75,76,76,Tommy Armour III,82,97.08,343,333
76,77,77,Brent Geiberger,95,97.07,375,364
77,78,78,Carl Paulson,84,97.06,408,396
78,79,79,Paul Azinger,69,97.04,203,197
79,80,80,Charles Howell III,118,97.02,470,456
80,81,81,Phil Mickelson,97,96.97,396,384
81,T82,T82,Woody Austin,102,96.96,461,447
82,T82,T82,Jim Carter,98,96.96,362,351
83,84,84,Matt Gogel,79,96.94,327,317
84,T85,T85,Jay Don Blake,107,96.92,455,441
85,T85,T85,David Frost,90,96.92,390,378
86,87,87,Grant Waite,98,96.88,449,435
87,88,88,Ben Crane,91,96.86,350,339
88,89,89,Paul Claxton,83,96.85,413,400
89,T90,T90,K.J. Choi,93,96.83,379,367
90,T90,T90,Chris DiMarco,111,96.83,410,397
91,92,92,Chris Riley,104,96.8,406,393
92,T93,T93,Jonathan Byrd,96,96.79,405,392
93,T93,T93,Joe Durant,87,96.79,312,302
94,T95,T95,Kenny Perry,98,96.77,403,390
95,T95,T95,Kenneth Staton,104,96.77,495,479
96,T97,T97,Billy Mayfair,99,96.76,370,358
97,T97,T97,Hal Sutton,74,96.76,278,269
98,99,99,Jerry Kelly,99,96.74,399,386
99,T100,T100,Russ Cochran,68,96.73,306,296
100,T100,T100,Luke Donald,106,96.73,459,444
101,102,102,Joey Sindelar,104,96.72,488,472
102,T103,T103,Craig Barlow,62,96.7,303,293
103,T103,T103,Brian Henninger,66,96.7,303,293
104,105,105,Geoff Ogilvy,90,96.69,362,350
105,T106,T106,Tim Petrovic,92,96.68,391,378
106,T106,T106,Lee Porter,91,96.68,392,379
107,108,108,Brad Lardon,59,96.67,270,261
108,109,109,Michael Clark II,97,96.66,419,405
109,110,110,J.L. Lewis,98,96.63,445,430
110,111,111,Michael Allen,76,96.62,325,314
111,112,112,Brett Quigley,93,96.57,408,394
112,T113,T113,Brian Gay,117,96.54,463,447
113,T113,T113,Jerry Smith,91,96.54,405,391
114,115,115,Bob Heintz,68,96.53,288,278
115,116,116,Len Mattiace,106,96.52,489,472
116,117,117,Bob May,91,96.51,401,387
117,118,118,Fred Couples,64,96.46,198,191
118,119,119,Robert Allenby,96,96.45,451,435
119,T120,T120,Rod Pampling,98,96.44,365,352
120,T120,T120,Jay Williamson,91,96.44,421,406
121,122,122,Ernie Els,68,96.43,252,243
122,T123,T123,Ian Leggatt,97,96.42,419,404
123,T123,T123,Hidemichi Tanaka,104,96.42,447,431
124,125,125,John Daly,62,96.41,167,161
125,126,126,Robin Freeman,79,96.4,361,348
126,T127,T127,Carlos Franco,107,96.39,526,507
127,T127,T127,Sergio Garcia,79,96.39,277,267
128,T127,T127,Mike Weir,94,96.39,332,320
129,130,130,Fred Funk,106,96.37,496,478
130,131,131,Briny Baird,110,96.34,464,447
131,132,132,Mike Sposa,111,96.33,490,472
132,133,133,Eduardo Herrera,59,96.32,299,288
133,134,134,Brett Wetterich,89,96.3,433,417
134,135,135,Bob Tway,103,96.26,428,412
135,T136,T136,Robert Gamez,69,96.25,347,334
136,T136,T136,Neal Lancaster,101,96.25,400,385
137,T138,T138,Frank Lickliter II,94,96.23,371,357
138,T138,T138,Rory Sabbatini,69,96.23,239,230
139,140,140,Bart Bryant,69,96.21,343,330
140,141,141,Olin Browne,107,96.2,447,430
141,142,142,Mark Calcavecchia,84,96.19,236,227
142,T143,T143,Harrison Frazar,88,96.15,338,325
143,T143,T143,José María Olazábal,71,96.15,234,225
144,145,145,Jonathan Kaye,83,96.14,414,398
145,146,146,Skip Kendall,103,96.08,408,392
146,147,147,Jeff Gove,89,96.05,456,438
147,148,148,Boo Weekley,57,96.03,277,266
148,149,149,José Coceres,51,96.02,201,193
149,150,150,Craig Perks,91,96.01,301,289
150,T151,T151,Bob Burns,99,95.98,398,382
151,T151,T151,Greg Chalmers,94,95.98,373,358
152,T151,T151,Andrew Magee,91,95.98,348,334
153,154,154,Tom Byrum,77,95.97,347,333
154,155,155,Tripp Isenhour,68,95.95,346,332
155,156,156,Kaname Yokoo,74,95.92,294,282
156,157,157,Steve Stricker,68,95.89,219,210
157,158,158,Bradley Hughes,60,95.88,291,279
158,159,159,Steve Flesch,110,95.87,387,371
159,T160,T160,Miguel Angel Jiménez,60,95.85,217,208
160,T160,T160,Jesper Parnevik,85,95.85,217,208
161,162,162,Stephen Gangluff,75,95.84,361,346
162,T163,T163,Steve Allan,93,95.82,407,390
163,T163,T163,Peter Lonard,93,95.82,335,321
164,165,165,Per-Ulrik Johansson,87,95.79,356,341
165,166,166,David Morland IV,58,95.65,276,264
166,167,167,Steve Lowery,98,95.63,412,394
167,168,168,Mark Brooks,97,95.62,411,393
168,T169,T169,Mike Hulbert,55,95.61,205,196
169,T169,T169,Corey Pavin,78,95.61,296,283
170,T169,T169,John Senden,96,95.61,387,370
171,T169,T169,Brian Watts,58,95.61,228,218
172,173,173,J.J. Henry,112,95.56,495,473
173,174,174,Glen Hnatiuk,95,95.45,462,441
174,175,175,Edward Fryatt,94,95.44,373,356
175,176,176,Craig Stadler,72,95.38,238,227
176,177,177,J.P. Hayes,78,95.36,302,288
177,178,178,Frank Nobilo,94,95.22,439,418
178,179,179,Brian Bateman,94,95.21,438,417
179,180,180,Notah Begay III,76,95.19,416,396
180,181,181,Paul Gow,99,95.14,473,450
181,182,182,Glen Day,107,95.12,533,507
182,183,183,Steve Jones,71,95.07,284,270
183,184,184,Pat Perez,89,95.02,321,305
184,185,185,Tom Pernice Jr.,101,95.0,420,399
185,186,186,Rich Beem,99,94.89,411,390
186,187,187,Paul Stankowski,100,94.8,404,383
187,188,188,Michael Long,71,94.78,364,345
188,189,189,Stewart Cink,92,94.74,342,324
189,190,190,Cameron Beckman,87,94.58,332,314
190,191,191,Duffy Waldorf,90,94.52,365,345
191,T192,T192,Stuart Appleby,97,94.5,400,378
192,T192,T192,Tom Scherrer,98,94.5,436,412
193,194,194,Peter Jacobsen,67,94.39,285,269
194,195,195,Dennis Paulson,89,94.29,403,380
195,T196,T196,Fulton Allem,64,94.24,278,262
196,T196,T196,John Huston,99,94.24,399,376
197,198,198,Tim Clark,76,94.2,345,325
198,199,199,David Gossett,95,94.09,423,398
199,200,200,Dudley Hart,88,94.08,321,302
200,201,201,Scott Dunlap,74,92.98,356,331
201,202,202,Jason Hill,59,92.83,279,259
