,Total_3_Putts_-_20-25_RANK THIS WEEK,Total_3_Putts_-_20-25_RANK LAST WEEK,Total_3_Putts_-_20-25_PLAYER NAME,Total_3_Putts_-_20-25_ROUNDS,Total_3_Putts_-_20-25_TOTAL 3 PUTTS 20'-25',Total_3_Putts_-_20-25_TOTAL 3 PUTTS
0,T1,T1,Fred Funk,106,4,18
1,T1,T1,J.L. Lewis,98,4,27
2,T3,T3,Stephen Ames,89,3,16
3,T3,T3,Woody Austin,102,3,18
4,T3,T3,Rich Beem,99,3,19
5,T3,T3,Tom Byrum,77,3,17
6,T3,T3,Joel Edwards,101,3,19
7,T3,T3,Steve Flesch,110,3,13
8,T3,T3,David Gossett,95,3,26
9,T3,T3,Jeff Gove,89,3,17
10,T3,T3,Jay Haas,83,3,11
11,T3,T3,Bradley Hughes,60,3,20
12,T3,T3,Skip Kendall,103,3,17
13,T3,T3,Jeff Maggert,83,3,16
14,T3,T3,Rod Pampling,98,3,11
15,T3,T3,Chris Smith,103,3,18
16,T3,T3,Kaname Yokoo,74,3,14
17,T18,T18,Briny Baird,110,2,19
18,T18,T18,Cameron Beckman,87,2,18
19,T18,T18,Greg Chalmers,94,2,17
20,T18,T18,Tim Clark,76,2,15
21,T18,T18,Fred Couples,64,2,8
22,T18,T18,Steve Elkington,82,2,6
23,T18,T18,Brian Gay,117,2,17
24,T18,T18,Mathew Goggin,64,2,11
25,T18,T18,Paul Gow,99,2,20
26,T18,T18,Paul Goydos,66,2,14
27,T18,T18,Jason Hill,59,2,14
28,T18,T18,John Huston,99,2,15
29,T18,T18,Tripp Isenhour,68,2,19
30,T18,T18,Brandt Jobe,94,2,11
31,T18,T18,Per-Ulrik Johansson,87,2,20
32,T18,T18,Kent Jones,105,2,16
33,T18,T18,Franklin Langham,72,2,15
34,T18,T18,Michael Long,71,2,16
35,T18,T18,Andrew Magee,91,2,14
36,T18,T18,Len Mattiace,106,2,21
37,T18,T18,Michael Muehr,73,2,10
38,T18,T18,Craig Parry,69,2,10
39,T18,T18,Kenny Perry,98,2,15
40,T18,T18,Tom Scherrer,98,2,15
41,T18,T18,John Senden,96,2,18
42,T18,T18,Mike Sposa,111,2,18
43,T18,T18,Grant Waite,98,2,24
44,T18,T18,Boo Weekley,57,2,17
45,T46,T46,Fulton Allem,64,1,16
46,T46,T46,Michael Allen,76,1,12
47,T46,T46,Tommy Armour III,82,1,17
48,T46,T46,Craig Barlow,62,1,11
49,T46,T46,Pat Bates,94,1,8
50,T46,T46,Notah Begay III,76,1,22
51,T46,T46,Mark Brooks,97,1,8
52,T46,T46,Olin Browne,107,1,17
53,T46,T46,Jonathan Byrd,96,1,8
54,T46,T46,Mark Calcavecchia,84,1,11
55,T46,T46,Brandel Chamblee,85,1,10
56,T46,T46,K.J. Choi,93,1,14
57,T46,T46,Stewart Cink,92,1,15
58,T46,T46,Michael Clark II,97,1,15
59,T46,T46,John Cook,85,1,12
60,T46,T46,Ben Crane,91,1,8
61,T46,T46,Jess Daley,76,1,12
62,T46,T46,John Daly,62,1,4
63,T46,T46,Glen Day,107,1,14
64,T46,T46,Chris DiMarco,111,1,13
65,T46,T46,Luke Donald,106,1,19
66,T46,T46,Joe Durant,87,1,14
67,T46,T46,Brad Elder,76,1,9
68,T46,T46,Robert Gamez,69,1,9
69,T46,T46,Stephen Gangluff,75,1,18
70,T46,T46,Brent Geiberger,95,1,16
71,T46,T46,Matt Gogel,79,1,11
72,T46,T46,Donnie Hammond,60,1,5
73,T46,T46,Dudley Hart,88,1,20
74,T46,T46,J.P. Hayes,78,1,10
75,T46,T46,Bob Heintz,68,1,12
76,T46,T46,J.J. Henry,112,1,19
77,T46,T46,Scott Hoch,71,1,9
78,T46,T46,Peter Jacobsen,67,1,11
79,T46,T46,Lee Janzen,101,1,8
80,T46,T46,Miguel Angel Jiménez,60,1,8
81,T46,T46,Pete Jordan,78,1,16
82,T46,T46,Greg Kraft,86,1,13
83,T46,T46,Neal Lancaster,101,1,10
84,T46,T46,Brad Lardon,59,1,13
85,T46,T46,Frank Lickliter II,94,1,14
86,T46,T46,Davis Love III,92,1,10
87,T46,T46,Scott McCarron,106,1,15
88,T46,T46,Rocco Mediate,79,1,7
89,T46,T46,Shaun Micheel,100,1,21
90,T46,T46,David Morland IV,58,1,12
91,T46,T46,Frank Nobilo,94,1,23
92,T46,T46,Brenden Pappas,62,1,11
93,T46,T46,Jesper Parnevik,85,1,10
94,T46,T46,Carl Paulson,84,1,11
95,T46,T46,Pat Perez,89,1,16
96,T46,T46,Craig Perks,91,1,22
97,T46,T46,Tom Pernice Jr.,101,1,13
98,T46,T46,Matt Peterson,80,1,19
99,T46,T46,Tim Petrovic,92,1,15
100,T46,T46,Brett Quigley,93,1,21
101,T46,T46,Chris Riley,104,1,11
102,T46,T46,Loren Roberts,93,1,11
103,T46,T46,John Rollins,124,1,17
104,T46,T46,Rory Sabbatini,69,1,14
105,T46,T46,Joey Sindelar,104,1,9
106,T46,T46,Jeff Sluman,118,1,14
107,T46,T46,Jerry Smith,91,1,15
108,T46,T46,Craig Stadler,72,1,7
109,T46,T46,Paul Stankowski,100,1,19
110,T46,T46,Kenneth Staton,104,1,21
111,T46,T46,Hidemichi Tanaka,104,1,20
112,T46,T46,Kirk Triplett,84,1,9
113,T46,T46,Duffy Waldorf,90,1,18
114,T46,T46,Brett Wetterich,89,1,32
115,T46,T46,Jay Williamson,91,1,11
116,T46,T46,Garrett Willis,80,1,19
