,Putting_from_-__20_RANK THIS WEEK,Putting_from_-__20_RANK LAST WEEK,Putting_from_-__20_PLAYER NAME,Putting_from_-__20_ROUNDS,Putting_from_-__20_% MADE,Putting_from_-__20_ATTEMPTS,Putting_from_-__20_PUTTS MADE
0,1,1,Paul Azinger,69,17.33,75,13
1,2,2,Rich Beem,99,14.46,166,24
2,3,3,John Huston,99,14.37,167,24
3,4,4,Ben Crane,91,13.95,172,24
4,5,5,Brian Gay,117,13.83,188,26
5,6,6,David Toms,106,13.68,190,26
6,7,7,Bart Bryant,69,13.04,161,21
7,T8,T8,J.P. Hayes,78,12.73,110,14
8,T8,T8,Steve Lowery,98,12.73,165,21
9,10,10,Craig Perks,91,12.59,143,18
10,11,11,Tom Scherrer,98,12.57,183,23
11,12,12,Mark Calcavecchia,84,12.37,97,12
12,13,13,Jay Haas,83,12.33,146,18
13,T14,T14,Scott Hoch,71,12.28,114,14
14,T14,T14,Per-Ulrik Johansson,87,12.28,171,21
15,16,16,Jesper Parnevik,85,12.17,115,14
16,17,17,David Morland IV,58,12.07,116,14
17,18,18,John Cook,85,12.03,133,16
18,19,19,Lee Janzen,101,11.96,184,22
19,20,20,Cameron Beckman,87,11.92,151,18
20,21,21,Brent Geiberger,95,11.62,198,23
21,22,22,Greg Chalmers,94,11.6,181,21
22,23,23,Jay Williamson,91,11.58,190,22
23,24,24,Brett Quigley,93,11.56,199,23
24,25,25,Esteban Toledo,106,11.48,183,21
25,26,26,Chad Campbell,111,11.45,227,26
26,27,27,Kenny Perry,98,11.34,194,22
27,28,28,Dennis Paulson,89,11.31,168,19
28,T29,T29,Stephen Ames,89,11.29,124,14
29,T29,T29,Scott McCarron,106,11.29,186,21
30,31,31,K.J. Choi,93,11.24,169,19
31,32,32,David Frost,90,11.17,188,21
32,33,33,Grant Waite,98,11.16,224,25
33,34,34,Steve Pate,64,11.11,117,13
34,35,35,Chris Riley,104,10.99,191,21
35,36,36,David Gossett,95,10.98,173,19
36,37,37,Harrison Frazar,88,10.96,146,16
37,38,38,Robert Allenby,96,10.94,192,21
38,T39,T39,Phil Mickelson,97,10.88,147,16
39,T39,T39,Rod Pampling,98,10.88,147,16
40,41,41,Peter Jacobsen,67,10.87,138,15
41,42,42,Steve Elkington,82,10.85,129,14
42,43,43,Woody Austin,102,10.81,185,20
43,44,44,Greg Kraft,86,10.69,159,17
44,45,45,Jeff Sluman,118,10.58,208,22
45,46,46,Michael Muehr,73,10.57,123,13
46,47,47,Richard Zokol,53,10.53,114,12
47,48,48,Billy Andrade,100,10.45,201,21
48,49,49,Rocco Mediate,79,10.42,144,15
49,50,50,Joel Edwards,101,10.4,202,21
50,51,51,Rory Sabbatini,69,10.38,106,11
51,52,52,Ernie Els,68,10.26,117,12
52,53,53,Jerry Smith,91,10.23,176,18
53,T54,T54,Glen Hnatiuk,95,10.19,216,22
54,T54,T54,Phil Tataurangi,88,10.19,157,16
55,T56,T56,Craig Barlow,62,10.14,138,14
56,T56,T56,Shaun Micheel,100,10.14,217,22
57,58,58,Geoff Ogilvy,90,10.13,158,16
58,59,59,Tim Herron,102,10.12,168,17
59,60,60,Stephen Gangluff,75,10.11,178,18
60,61,61,Notah Begay III,76,10.1,208,21
61,T62,T62,Joe Ogilvie,50,10.0,90,9
62,T62,T62,Tom Pernice Jr.,101,10.0,180,18
63,64,64,Tripp Isenhour,68,9.8,153,15
64,65,65,J.L. Lewis,98,9.79,194,19
65,66,66,John Riegger,88,9.78,184,18
66,67,67,Olin Browne,107,9.77,215,21
67,68,68,Corey Pavin,78,9.56,136,13
68,69,69,Fred Funk,106,9.55,220,21
69,70,70,Steve Allan,93,9.52,189,18
70,71,71,Jeff Gove,89,9.5,200,19
71,72,72,Shigeki Maruyama,87,9.49,137,13
72,73,73,Joe Durant,87,9.45,127,12
73,74,74,Steve Flesch,110,9.44,180,17
74,75,75,Duffy Waldorf,90,9.41,170,16
75,76,76,Brenden Pappas,62,9.38,128,12
76,77,77,Brad Elder,76,9.33,150,14
77,T78,T78,Jess Daley,76,9.27,151,14
78,T78,T78,Bryce Molder,65,9.27,151,14
79,80,80,John Daly,62,9.23,65,6
80,81,81,Billy Mayfair,99,9.14,175,16
81,T82,T82,Michael Clark II,97,9.09,187,17
82,T82,T82,Robert Gamez,69,9.09,143,13
83,T82,T82,Mike Weir,94,9.09,143,13
