,GIR_Putting_-__25_RANK THIS WEEK,GIR_Putting_-__25_RANK LAST WEEK,GIR_Putting_-__25_PLAYER NAME,GIR_Putting_-__25_ROUNDS,GIR_Putting_-__25_%,GIR_Putting_-__25_ATTEMPTS,GIR_Putting_-__25_PUTTS MADE
0,1,1,J.P. Hayes,78,12.12,66,8
1,2,2,John Cook,85,12.0,100,12
2,3,3,Brian Gay,117,11.81,127,15
3,4,4,Per-Ulrik Johansson,87,11.5,113,13
4,5,5,Craig Perks,91,11.46,96,11
5,6,6,David Toms,106,11.38,123,14
6,7,7,Kenny Perry,98,10.95,137,15
7,8,8,Steve Lowery,98,10.92,119,13
8,T9,T9,Jay Don Blake,107,10.53,133,14
9,T9,T9,John Huston,99,10.53,95,10
10,11,11,Tom Scherrer,98,10.43,115,12
11,12,12,Jerry Smith,91,10.38,106,11
12,13,13,Rich Beem,99,10.28,107,11
13,14,14,Esteban Toledo,106,9.84,122,12
14,15,15,Steve Pate,64,9.64,83,8
15,16,16,Dennis Paulson,89,9.48,116,11
16,17,17,Jay Haas,83,9.38,96,9
17,18,18,Robert Allenby,96,9.29,140,13
18,19,19,Bryce Molder,65,9.28,97,9
19,20,20,Jay Williamson,91,9.23,130,12
20,21,21,Richard Zokol,53,8.96,67,6
21,22,22,Greg Chalmers,94,8.93,112,10
22,23,23,Bart Bryant,69,8.91,101,9
23,T24,T24,Cameron Beckman,87,8.82,102,9
24,T24,T24,Phil Mickelson,97,8.82,102,9
25,T24,T24,David Morland IV,58,8.82,68,6
26,T27,T27,Craig Barlow,62,8.7,92,8
27,T27,T27,Mark Calcavecchia,84,8.7,69,6
28,T27,T27,Craig Stadler,72,8.7,69,6
29,30,30,Jess Daley,76,8.65,104,9
30,31,31,Greg Kraft,86,8.57,105,9
31,32,32,K.J. Choi,93,8.55,117,10
32,33,33,Davis Love III,92,8.51,94,8
33,34,34,Chris Smith,103,8.45,142,12
34,35,35,Grant Waite,98,8.44,154,13
35,36,36,Notah Begay III,76,8.27,133,11
36,T37,T37,Retief Goosen,56,8.0,75,6
37,T37,T37,Chris Riley,104,8.0,125,10
38,39,39,Geoff Ogilvy,90,7.84,102,8
39,40,40,Harrison Frazar,88,7.78,90,7
40,T41,T41,Stephen Ames,89,7.69,78,6
41,T41,T41,Brad Elder,76,7.69,104,8
42,43,43,Tripp Isenhour,68,7.62,105,8
43,44,44,Rory Sabbatini,69,7.58,66,5
44,T45,T45,Peter Lonard,93,7.53,93,7
45,T45,T45,Corey Pavin,78,7.53,93,7
46,47,47,Billy Andrade,100,7.52,133,10
47,48,48,David Duval,78,7.5,80,6
48,49,49,Glen Hnatiuk,95,7.48,147,11
49,50,50,Olin Browne,107,7.43,148,11
50,51,51,Jim Furyk,88,7.41,108,8
51,52,52,Jesper Parnevik,85,7.35,68,5
52,T53,T53,Michael Clark II,97,7.32,123,9
53,T53,T53,Tim Herron,102,7.32,123,9
54,55,55,Matt Kuchar,82,7.29,96,7
55,56,56,Phil Tataurangi,88,7.21,111,8
56,57,57,Paul Gow,99,7.2,125,9
57,58,58,John Daly,62,7.14,42,3
58,59,59,Brent Geiberger,95,7.09,127,9
59,60,60,Justin Leonard,97,7.08,113,8
60,61,61,Joey Sindelar,104,7.04,142,10
61,62,62,Tom Pernice Jr.,101,7.03,128,9
62,63,63,Tom Byrum,77,7.02,114,8
63,64,64,Rocco Mediate,79,7.0,100,7
64,65,65,Tiger Woods,69,6.98,86,6
65,T66,T66,"David Berganio, Jr.",80,6.9,116,8
66,T66,T66,Nick Price,69,6.9,87,6
67,68,68,Duffy Waldorf,90,6.84,117,8
68,69,69,Brett Quigley,93,6.77,133,9
69,T70,T70,Stuart Appleby,97,6.74,89,6
70,T70,T70,Spike McRoy,69,6.74,89,6
71,72,72,Lee Janzen,101,6.72,119,8
72,73,73,John Riegger,88,6.67,120,8
73,74,74,David Gossett,95,6.61,121,8
74,75,75,Bo Van Pelt,78,6.56,122,8
75,76,76,Chad Campbell,111,6.52,138,9
76,77,77,Fred Funk,106,6.43,140,9
77,78,78,Mike Sposa,111,6.38,141,9
78,79,79,Michael Muehr,73,6.33,79,5
79,T80,T80,Brad Faxon,93,6.32,95,6
80,T80,T80,Mike Weir,94,6.32,95,6
81,T82,T82,Woody Austin,102,6.3,127,8
82,T82,T82,David Peoples,105,6.3,127,8
83,T84,T84,Jeff Gove,89,6.25,128,8
84,T84,T84,Billy Mayfair,99,6.25,128,8
85,T84,T84,Hidemichi Tanaka,104,6.25,128,8
86,87,87,Scott McCarron,106,6.2,129,8
87,88,88,Paul Claxton,83,6.15,130,8
88,89,89,Jonathan Byrd,96,6.14,114,7
89,90,90,Ben Crane,91,6.03,116,7
90,91,91,Blaine McCallister,75,6.02,83,5
91,T92,T92,Paul Azinger,69,6.0,50,3
92,T92,T92,Briny Baird,110,6.0,150,9
93,94,94,Scott Hoch,71,5.97,67,4
94,95,95,Jeff Sluman,118,5.93,135,8
95,T96,T96,Fulton Allem,64,5.88,102,6
96,T96,T96,Joel Edwards,101,5.88,136,8
97,T98,T98,Peter Jacobsen,67,5.71,105,6
98,T98,T98,Jonathan Kaye,83,5.71,105,6
