,3-Putt_Avoidance_RANK THIS WEEK,3-Putt_Avoidance_RANK LAST WEEK,3-Putt_Avoidance_PLAYER NAME,3-Putt_Avoidance_ROUNDS,3-Putt_Avoidance_%,3-Putt_Avoidance_TOTAL 3 PUTTS,3-Putt_Avoidance_TOTAL HOLES (OVERALL)
0,1,1,Loren Roberts,93,1.43,24,1674
1,2,2,Chris Riley,104,1.56,28,1800
2,3,3,Ernie Els,68,1.61,18,1116
3,4,4,Bob Tway,103,1.8,32,1782
4,5,5,Justin Leonard,97,1.95,33,1692
5,6,6,Craig Parry,69,2.01,25,1242
6,T7,T7,Mark O'Meara,68,2.02,24,1188
7,T7,T7,Nick Price,69,2.02,24,1188
8,9,9,Billy Andrade,100,2.03,35,1728
9,10,10,Skip Kendall,103,2.04,37,1818
10,11,11,Ben Crane,91,2.06,33,1602
11,12,12,David Toms,106,2.07,38,1836
12,T13,T13,José María Olazábal,71,2.08,24,1152
13,T13,T13,John Rollins,124,2.08,45,2160
14,15,15,Jay Haas,83,2.11,30,1422
15,T16,T16,Bob Heintz,68,2.12,26,1224
16,T16,T16,Corey Pavin,78,2.12,29,1368
17,T18,T18,Brad Faxon,93,2.16,33,1530
18,T18,T18,David Frost,90,2.16,35,1620
19,20,20,Scott Verplank,93,2.2,36,1638
20,21,21,Paul Claxton,83,2.21,33,1494
21,22,22,Jim Furyk,88,2.22,34,1530
22,23,23,Brandt Jobe,94,2.3,39,1692
23,24,24,Vijay Singh,102,2.31,40,1728
24,25,25,David Peoples,105,2.33,44,1890
25,T26,T26,Paul Goydos,66,2.36,28,1188
26,T26,T26,Shigeki Maruyama,87,2.36,37,1566
27,T26,T26,Billy Mayfair,99,2.36,40,1692
28,T29,T29,Retief Goosen,56,2.37,23,972
29,T29,T29,J.J. Henry,112,2.37,46,1944
30,T31,T31,Greg Chalmers,94,2.38,39,1638
31,T31,T31,Jay Williamson,91,2.38,39,1638
32,33,33,Sergio Garcia,79,2.39,31,1296
33,T34,T34,Peter Jacobsen,67,2.4,29,1206
34,T34,T34,Esteban Toledo,106,2.4,44,1836
35,36,36,Chris DiMarco,111,2.41,46,1908
36,37,37,Duffy Waldorf,90,2.43,38,1566
37,38,38,Pat Bates,94,2.44,40,1638
38,39,39,Joey Sindelar,104,2.45,45,1836
39,T40,T40,Steve Elkington,82,2.46,35,1422
40,T40,T40,Fred Funk,106,2.46,47,1908
41,42,42,Paul Azinger,69,2.47,28,1134
