,GIR_Putting_Avg_-_30-35_RANK THIS WEEK,GIR_Putting_Avg_-_30-35_RANK LAST WEEK,GIR_Putting_Avg_-_30-35_PLAYER NAME,GIR_Putting_Avg_-_30-35_ROUNDS,GIR_Putting_Avg_-_30-35_% MADE,GIR_Putting_Avg_-_30-35_ATTEMPTS,GIR_Putting_Avg_-_30-35_PUTTS MADE
0,1,1,Brian Gay,117,2.5,24,6.0
1,2,2,Brent Geiberger,95,2.27,22,5.0
2,T3,T3,Bart Bryant,69,2.0,20,4.0
3,T3,T3,Jesper Parnevik,85,2.0,10,2.0
4,5,5,Peter Lonard,93,1.9,21,4.0
5,6,6,J.P. Hayes,78,1.82,11,2.0
6,7,7,Kenny Perry,98,1.79,39,7.0
7,8,8,Jerry Smith,91,1.67,24,4.0
8,T9,T9,K.J. Choi,93,1.54,26,4.0
9,T9,T9,Steve Lowery,98,1.54,26,4.0
10,T9,T9,Dennis Paulson,89,1.54,26,4.0
11,12,12,Michael Clark II,97,1.52,33,5.0
12,13,13,J.J. Henry,112,1.48,27,4.0
13,T14,T14,Steve Elkington,82,1.43,14,2.0
14,T14,T14,Matt Kuchar,82,1.43,14,2.0
15,T14,T14,Joe Ogilvie,50,1.43,14,2.0
16,T17,T17,Tim Herron,102,1.36,22,3.0
17,T17,T17,Tom Scherrer,98,1.36,22,3.0
18,T19,T19,Olin Browne,107,1.35,37,5.0
19,T19,T19,Joey Sindelar,104,1.35,37,5.0
20,T21,T21,Mark Calcavecchia,84,1.33,15,2.0
21,T21,T21,Scott Hoch,71,1.33,15,2.0
22,T23,T23,Greg Chalmers,94,1.25,24,3.0
23,T23,T23,Bradley Hughes,60,1.25,16,2.0
24,T23,T23,Spike McRoy,69,1.25,24,3.0
25,T23,T23,Esteban Toledo,106,1.25,24,3.0
26,27,27,Chris Smith,103,1.21,33,4.0
27,28,28,Ben Crane,91,1.2,25,3.0
28,29,29,Greg Kraft,86,1.18,17,2.0
29,T30,T30,Jim Furyk,88,1.15,26,3.0
30,T30,T30,Paul Gow,99,1.15,26,3.0
31,T30,T30,Chris Riley,104,1.15,26,3.0
32,T33,T33,Ernie Els,68,1.11,18,2.0
33,T33,T33,Steve Pate,64,1.11,18,2.0
34,T33,T33,Mike Sposa,111,1.11,36,4.0
35,T33,T33,Richard Zokol,53,1.11,18,2.0
36,37,37,Robert Allenby,96,1.08,37,4.0
37,T38,T38,Pat Bates,94,1.07,28,3.0
38,T38,T38,David Toms,106,1.07,28,3.0
39,T40,T40,Cameron Beckman,87,1.05,19,2.0
40,T40,T40,John Huston,99,1.05,19,2.0
41,T40,T40,Andrew Magee,91,1.05,19,2.0
42,T40,T40,Michael Muehr,73,1.05,19,2.0
43,T40,T40,Craig Parry,69,1.05,19,2.0
44,T40,T40,Vijay Singh,102,1.05,19,2.0
45,T40,T40,Garrett Willis,80,1.05,19,2.0
46,47,47,Steve Flesch,110,1.03,29,3.0
47,T48,T48,John Cook,85,1.0,30,3.0
48,T48,T48,Bob Heintz,68,1.0,20,2.0
49,T48,T48,Davis Love III,92,1.0,20,2.0
50,T51,T51,Billy Andrade,100,0.91,22,2.0
51,T51,T51,Jay Don Blake,107,0.91,33,3.0
52,T51,T51,Brad Faxon,93,0.91,22,2.0
53,T51,T51,Neal Lancaster,101,0.91,22,2.0
54,T51,T51,Gary Nicklaus,66,0.91,11,1.0
55,T56,T56,Notah Begay III,76,0.88,34,3.0
56,T56,T56,Joel Edwards,101,0.88,34,3.0
57,T56,T56,Loren Roberts,93,0.88,34,3.0
58,59,59,Tom Byrum,77,0.87,23,2.0
59,T60,T60,David Gossett,95,0.86,35,3.0
60,T60,T60,Charles Howell III,118,0.86,35,3.0
61,T62,T62,Steve Allan,93,0.83,24,2.0
62,T62,T62,Mathew Goggin,64,0.83,24,2.0
63,T62,T62,David Morland IV,58,0.83,12,1.0
64,T62,T62,Craig Stadler,72,0.83,12,1.0
65,T62,T62,Tiger Woods,69,0.83,24,2.0
66,T67,T67,Steve Jones,71,0.8,25,2.0
67,T67,T67,Geoff Ogilvy,90,0.8,25,2.0
68,T67,T67,Scott Verplank,93,0.8,25,2.0
69,T70,T70,Fulton Allem,64,0.77,26,2.0
70,T70,T70,José Coceres,51,0.77,13,1.0
71,T72,T72,Per-Ulrik Johansson,87,0.74,27,2.0
72,T72,T72,Jeff Maggert,83,0.74,27,2.0
73,T72,T72,Tom Pernice Jr.,101,0.74,27,2.0
74,T75,T75,David Duval,78,0.71,14,1.0
75,T75,T75,Brad Elder,76,0.71,14,1.0
76,T75,T75,Bob May,91,0.71,28,2.0
77,T75,T75,Hidemichi Tanaka,104,0.71,28,2.0
78,79,79,David Peoples,105,0.69,29,2.0
79,T80,T80,Stuart Appleby,97,0.67,15,1.0
80,T80,T80,Craig Barlow,62,0.67,15,1.0
81,T80,T80,Mark Brooks,97,0.67,15,1.0
82,T80,T80,Kirk Triplett,84,0.67,15,1.0
83,T84,T84,Robert Damron,85,0.65,31,2.0
84,T84,T84,Billy Mayfair,99,0.65,31,2.0
85,T84,T84,Duffy Waldorf,90,0.65,31,2.0
86,T87,T87,Sergio Garcia,79,0.63,16,1.0
87,T87,T87,Paul Goydos,66,0.63,16,1.0
88,T87,T87,Franklin Langham,72,0.63,16,1.0
89,90,90,Len Mattiace,106,0.59,34,2.0
90,T91,T91,David Frost,90,0.57,35,2.0
91,T91,T91,Fred Funk,106,0.57,35,2.0
92,T93,T93,Tommy Armour III,82,0.56,18,1.0
93,T93,T93,Brian Henninger,66,0.56,18,1.0
94,T93,T93,Nick Price,69,0.56,18,1.0
95,T93,T93,Scott Simpson,61,0.56,18,1.0
96,97,97,Dan Forsman,83,0.54,37,2.0
97,T98,T98,Rod Pampling,98,0.53,19,1.0
98,T98,T98,Craig Perks,91,0.53,19,1.0
99,T98,T98,Jeff Sluman,118,0.53,38,2.0
100,T101,T101,Pete Jordan,78,0.5,20,1.0
101,T101,T101,Blaine McCallister,75,0.5,20,1.0
102,T101,T101,Phil Mickelson,97,0.5,20,1.0
103,T101,T101,Boo Weekley,57,0.5,20,1.0
104,T105,T105,Retief Goosen,56,0.48,21,1.0
105,T105,T105,Donnie Hammond,60,0.48,21,1.0
106,T105,T105,Bob Tway,103,0.48,42,2.0
107,T108,T108,Jess Daley,76,0.45,22,1.0
108,T108,T108,Phil Tataurangi,88,0.45,22,1.0
109,T110,T110,Tom Lehman,78,0.43,23,1.0
110,T110,T110,Justin Leonard,97,0.43,23,1.0
111,T112,T112,Stewart Cink,92,0.42,24,1.0
112,T112,T112,Russ Cochran,68,0.42,24,1.0
113,T112,T112,Harrison Frazar,88,0.42,24,1.0
114,T112,T112,John Senden,96,0.42,24,1.0
115,T116,T116,Rich Beem,99,0.4,25,1.0
116,T116,T116,Jerry Kelly,99,0.4,25,1.0
117,T116,T116,Skip Kendall,103,0.4,25,1.0
118,T116,T116,Pat Perez,89,0.4,25,1.0
119,T116,T116,Lee Porter,91,0.4,25,1.0
120,T116,T116,Paul Stankowski,100,0.4,25,1.0
121,T122,T122,Tim Petrovic,92,0.38,26,1.0
122,T122,T122,Grant Waite,98,0.38,26,1.0
123,T122,T122,Jay Williamson,91,0.38,26,1.0
124,125,125,Chad Campbell,111,0.37,27,1.0
125,T126,T126,Woody Austin,102,0.36,28,1.0
126,T126,T126,Paul Claxton,83,0.36,28,1.0
127,T126,T126,Peter Jacobsen,67,0.36,28,1.0
128,T126,T126,Jonathan Kaye,83,0.36,28,1.0
129,T126,T126,Ian Leggatt,97,0.36,28,1.0
130,T126,T126,Matt Peterson,80,0.36,28,1.0
131,T132,T132,Briny Baird,110,0.34,29,1.0
132,T132,T132,Glen Day,107,0.34,29,1.0
133,T132,T132,Bryce Molder,65,0.34,29,1.0
134,T135,T135,Kent Jones,105,0.33,30,1.0
135,T135,T135,J.L. Lewis,98,0.33,30,1.0
136,T135,T135,Scott McCarron,106,0.33,30,1.0
137,T135,T135,John Riegger,88,0.33,30,1.0
138,T139,T139,Edward Fryatt,94,0.32,31,1.0
139,T139,T139,Glen Hnatiuk,95,0.32,31,1.0
140,T141,T141,Jim Carter,98,0.31,32,1.0
141,T141,T141,Luke Donald,106,0.31,32,1.0
142,T141,T141,Brandt Jobe,94,0.31,32,1.0
143,T141,T141,Brett Wetterich,89,0.31,32,1.0
144,145,145,"David Berganio, Jr.",80,0.29,34,1.0
145,T146,T146,Lee Janzen,101,0.28,36,1.0
146,T146,T146,Shaun Micheel,100,0.28,36,1.0
147,T146,T146,John Rollins,124,0.28,36,1.0
148,149,149,Brett Quigley,93,0.26,38,1.0
149,T150,T150,Michael Allen,76,0.0,20,
150,T150,T150,Stephen Ames,89,0.0,14,
151,T150,T150,Brian Bateman,94,0.0,36,
152,T150,T150,Jeff Brehaut,87,0.0,29,
153,T150,T150,Bob Burns,99,0.0,18,
154,T150,T150,Jonathan Byrd,96,0.0,27,
155,T150,T150,Brandel Chamblee,85,0.0,20,
156,T150,T150,Chris DiMarco,111,0.0,16,
157,T150,T150,Scott Dunlap,74,0.0,19,
158,T150,T150,Joe Durant,87,0.0,23,
159,T150,T150,Bob Estes,93,0.0,20,
160,T150,T150,Carlos Franco,107,0.0,36,
161,T150,T150,Robin Freeman,79,0.0,16,
162,T150,T150,Robert Gamez,69,0.0,12,
163,T150,T150,Stephen Gangluff,75,0.0,31,
164,T150,T150,Matt Gogel,79,0.0,23,
165,T150,T150,Jeff Gove,89,0.0,20,
166,T150,T150,Jay Haas,83,0.0,17,
167,T150,T150,Dudley Hart,88,0.0,22,
168,T150,T150,Eduardo Herrera,59,0.0,19,
169,T150,T150,Jason Hill,59,0.0,16,
170,T150,T150,Mike Hulbert,55,0.0,12,
171,T150,T150,Tripp Isenhour,68,0.0,14,
172,T150,T150,Miguel Angel Jiménez,60,0.0,13,
173,T150,T150,Bernhard Langer,55,0.0,14,
174,T150,T150,Brad Lardon,59,0.0,22,
175,T150,T150,Frank Lickliter II,94,0.0,16,
176,T150,T150,Michael Long,71,0.0,31,
177,T150,T150,Shigeki Maruyama,87,0.0,23,
178,T150,T150,Rocco Mediate,79,0.0,16,
179,T150,T150,Frank Nobilo,94,0.0,21,
180,T150,T150,José María Olazábal,71,0.0,18,
181,T150,T150,Deane Pappas,90,0.0,20,
182,T150,T150,Brenden Pappas,62,0.0,18,
183,T150,T150,Carl Paulson,84,0.0,32,
184,T150,T150,Corey Pavin,78,0.0,20,
185,T150,T150,Dicky Pride,51,0.0,13,
186,T150,T150,Rory Sabbatini,69,0.0,10,
187,T150,T150,Heath Slocum,96,0.0,17,
188,T150,T150,Kenneth Staton,104,0.0,32,
189,T150,T150,Kevin Sutherland,96,0.0,18,
190,T150,T150,Hal Sutton,74,0.0,15,
191,T150,T150,Tommy Tolles,64,0.0,17,
192,T150,T150,Bo Van Pelt,78,0.0,26,
193,T150,T150,Brian Watts,58,0.0,10,
194,T150,T150,Mike Weir,94,0.0,20,
195,T150,T150,Kaname Yokoo,74,0.0,17,
