,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
0,1,1,Steve Stricker,68,1.473,1670,1134
1,T2,T2,Retief Goosen,56,1.476,1435,972
2,T2,T2,Nick Price,69,1.476,1754,1188
3,4,4,Ernie Els,68,1.479,1651,1116
4,5,5,Bernhard Langer,55,1.483,1441,972
5,6,6,Chris Riley,104,1.484,2672,1800
6,7,7,Corey Pavin,78,1.496,2047,1368
7,8,8,Mark O'Meara,68,1.501,1783,1188
8,9,9,Scott Hoch,71,1.504,1895,1260
9,10,10,Davis Love III,92,1.507,2360,1566
10,11,11,Steve Elkington,82,1.508,2144,1422
11,12,12,Phil Mickelson,97,1.5119999999999998,2559,1692
12,T13,T13,David Duval,78,1.5130000000000001,2042,1350
13,T13,T13,Sergio Garcia,79,1.5130000000000001,1961,1296
14,T15,T15,Justin Leonard,97,1.514,2561,1692
15,T15,T15,Scott Verplank,93,1.514,2480,1638
16,17,17,Shigeki Maruyama,87,1.516,2374,1566
17,18,18,Duffy Waldorf,90,1.517,2375,1566
18,19,19,Stuart Appleby,97,1.521,2573,1692
19,T20,T20,Mark Calcavecchia,84,1.5219999999999998,2164,1422
20,T20,T20,Esteban Toledo,106,1.5219999999999998,2794,1836
21,22,22,David Toms,106,1.5230000000000001,2796,1836
22,T23,T23,José María Olazábal,71,1.525,1757,1152
23,T23,T23,Loren Roberts,93,1.525,2553,1674
24,T25,T25,Stephen Ames,89,1.527,2391,1566
25,T25,T25,Craig Perks,91,1.527,2392,1566
26,27,27,Chris DiMarco,111,1.528,2916,1908
27,T28,T28,Bob Heintz,68,1.5319999999999998,1875,1224
28,T28,T28,Jerry Kelly,99,1.5319999999999998,2703,1764
29,T28,T28,Peter Lonard,93,1.5319999999999998,2565,1674
30,31,31,Rocco Mediate,79,1.5330000000000001,2070,1350
31,32,32,Steve Jones,71,1.535,1879,1224
32,T33,T33,Brad Faxon,93,1.537,2352,1530
33,T33,T33,Neal Lancaster,101,1.537,2794,1818
34,35,35,Tiger Woods,69,1.538,1882,1224
35,36,36,Jim Carter,98,1.5390000000000001,2715,1764
36,37,37,Billy Andrade,100,1.54,2661,1728
37,38,38,José Coceres,51,1.541,1415,918
38,39,39,Stewart Cink,92,1.5419999999999998,2442,1584
39,40,40,Scott McCarron,106,1.5430000000000001,2721,1764
40,T41,T41,Miguel Angel Jiménez,60,1.544,1612,1044
41,T41,T41,Jeff Maggert,83,1.544,2306,1494
42,T41,T41,Len Mattiace,106,1.544,2945,1908
43,T44,T44,Ben Crane,91,1.547,2478,1602
44,T44,T44,John Daly,62,1.547,1699,1098
45,46,46,Bob Tway,103,1.548,2758,1782
46,47,47,Jonathan Kaye,83,1.5490000000000002,2259,1458
47,48,48,K.J. Choi,93,1.55,2483,1602
48,49,49,Matt Kuchar,82,1.551,2290,1476
49,50,50,Jesper Parnevik,85,1.5519999999999998,2347,1512
50,51,51,Lee Janzen,101,1.554,2685,1728
51,52,52,Skip Kendall,103,1.557,2830,1818
52,53,53,Bob Estes,93,1.558,2440,1566
53,54,54,Tim Clark,76,1.56,2050,1314
