,Total_1_Putts_-_20-25_RANK THIS WEEK,Total_1_Putts_-_20-25_RANK LAST WEEK,Total_1_Putts_-_20-25_PLAYER NAME,Total_1_Putts_-_20-25_ROUNDS,Total_1_Putts_-_20-25_TOTAL,Total_1_Putts_-_20-25_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_20-25_PCT OF ALL 1-PUTTS
0,1,1,David Frost,90,15,225,6.7
1,2,2,Chad Campbell,111,14,252,5.6
2,3,3,Joel Edwards,101,12,245,4.9
3,T4,T4,Ben Crane,91,11,209,5.3
4,T4,T4,John Huston,99,11,195,5.6
5,T4,T4,Shaun Micheel,100,11,224,4.9
6,T4,T4,David Toms,106,11,245,4.5
7,T8,T8,Steve Allan,93,10,239,4.2
8,T8,T8,Stephen Gangluff,75,10,188,5.3
9,T8,T8,Brett Quigley,93,10,239,4.2
10,T8,T8,Jeff Sluman,118,10,270,3.7
11,T12,T12,Bart Bryant,69,9,149,6.0
12,T12,T12,Steve Flesch,110,9,192,4.7
13,T12,T12,Fred Funk,106,9,240,3.8
14,T12,T12,Brent Geiberger,95,9,200,4.5
15,T12,T12,Jeff Gove,89,9,206,4.4
16,T12,T12,Scott Hoch,71,9,155,5.8
17,T12,T12,Lee Janzen,101,9,184,4.9
18,T12,T12,J.L. Lewis,98,9,230,3.9
19,T12,T12,Frank Lickliter II,94,9,177,5.1
20,T12,T12,Scott McCarron,106,9,202,4.5
21,T12,T12,John Riegger,88,9,215,4.2
22,T12,T12,Chris Riley,104,9,243,3.7
23,T24,T24,Paul Azinger,69,8,124,6.5
24,T24,T24,Rich Beem,99,8,214,3.7
25,T24,T24,Greg Chalmers,94,8,211,3.8
26,T24,T24,Ernie Els,68,8,141,5.7
27,T24,T24,Robert Gamez,69,8,186,4.3
28,T24,T24,Brian Gay,117,8,272,2.9
29,T24,T24,David Gossett,95,8,216,3.7
30,T24,T24,Brandt Jobe,94,8,215,3.7
31,T24,T24,Bob May,91,8,202,4.0
32,T24,T24,Lee Porter,91,8,219,3.7
33,T24,T24,John Rollins,124,8,282,2.8
34,T24,T24,Tom Scherrer,98,8,204,3.9
35,T24,T24,Grant Waite,98,8,234,3.4
36,T37,T37,Robert Allenby,96,7,214,3.3
37,T37,T37,Stephen Ames,89,7,182,3.8
38,T37,T37,Billy Andrade,100,7,229,3.1
39,T37,T37,Tommy Armour III,82,7,160,4.4
40,T37,T37,Woody Austin,102,7,236,3.0
41,T37,T37,Briny Baird,110,7,238,2.9
42,T37,T37,Brian Bateman,94,7,216,3.2
43,T37,T37,Cameron Beckman,87,7,181,3.9
44,T37,T37,Notah Begay III,76,7,194,3.6
45,T37,T37,K.J. Choi,93,7,199,3.5
46,T37,T37,Luke Donald,106,7,218,3.2
47,T37,T37,Steve Elkington,82,7,166,4.2
48,T37,T37,Harrison Frazar,88,7,190,3.7
49,T37,T37,Jay Haas,83,7,167,4.2
50,T37,T37,Tim Herron,102,7,236,3.0
51,T37,T37,Glen Hnatiuk,95,7,224,3.1
52,T37,T37,Kent Jones,105,7,242,2.9
53,T37,T37,Skip Kendall,103,7,255,2.7
54,T37,T37,Neal Lancaster,101,7,194,3.6
55,T37,T37,Len Mattiace,106,7,247,2.8
56,T37,T37,Billy Mayfair,99,7,190,3.7
57,T37,T37,Rocco Mediate,79,7,150,4.7
58,T37,T37,Frank Nobilo,94,7,208,3.4
59,T37,T37,Geoff Ogilvy,90,7,209,3.3
60,T37,T37,Rod Pampling,98,7,191,3.7
61,T37,T37,Craig Parry,69,7,184,3.8
62,T37,T37,Dennis Paulson,89,7,200,3.5
63,T37,T37,Matt Peterson,80,7,189,3.7
64,T37,T37,Loren Roberts,93,7,226,3.1
65,T37,T37,Joey Sindelar,104,7,227,3.1
66,T37,T37,Vijay Singh,102,7,216,3.2
67,T37,T37,Mike Sposa,111,7,267,2.6
68,T37,T37,Esteban Toledo,106,7,203,3.4
69,T37,T37,Jay Williamson,91,7,221,3.2
70,T71,T71,Stuart Appleby,97,6,203,3.0
71,T71,T71,Pat Bates,94,6,229,2.6
72,T71,T71,Mark Brooks,97,6,211,2.8
73,T71,T71,Tim Clark,76,6,186,3.2
74,T71,T71,Robert Damron,85,6,216,2.8
75,T71,T71,Glen Day,107,6,259,2.3
76,T71,T71,Brad Faxon,93,6,188,3.2
77,T71,T71,Dan Forsman,83,6,191,3.1
78,T71,T71,Paul Gow,99,6,238,2.5
79,T71,T71,J.J. Henry,112,6,204,2.9
80,T71,T71,Charles Howell III,118,6,228,2.6
81,T71,T71,Peter Jacobsen,67,6,138,4.3
82,T71,T71,Per-Ulrik Johansson,87,6,173,3.5
83,T71,T71,Ian Leggatt,97,6,211,2.8
84,T71,T71,Steve Lowery,98,6,209,2.9
85,T71,T71,David Morland IV,58,6,160,3.8
86,T71,T71,Michael Muehr,73,6,139,4.3
87,T71,T71,David Peoples,105,6,238,2.5
88,T71,T71,Craig Perks,91,6,180,3.3
89,T71,T71,Tom Pernice Jr.,101,6,209,2.9
90,T71,T71,Tim Petrovic,92,6,181,3.3
91,T71,T71,John Senden,96,6,176,3.4
92,T71,T71,Heath Slocum,96,6,188,3.2
93,T71,T71,Jerry Smith,91,6,202,3.0
94,T71,T71,Kevin Sutherland,96,6,133,4.5
95,T71,T71,Hal Sutton,74,6,132,4.5
96,T71,T71,Tommy Tolles,64,6,166,3.6
97,T71,T71,Duffy Waldorf,90,6,212,2.8
98,T71,T71,Kaname Yokoo,74,6,152,3.9
99,T100,T100,Jim Carter,98,5,201,2.5
100,T100,T100,Brandel Chamblee,85,5,207,2.4
101,T100,T100,Michael Clark II,97,5,217,2.3
102,T100,T100,Jess Daley,76,5,189,2.6
103,T100,T100,Joe Durant,87,5,145,3.4
104,T100,T100,Bob Estes,93,5,199,2.5
105,T100,T100,Matt Gogel,79,5,166,3.0
106,T100,T100,Dudley Hart,88,5,158,3.2
107,T100,T100,Bob Heintz,68,5,170,2.9
108,T100,T100,Jerry Kelly,99,5,207,2.4
109,T100,T100,Greg Kraft,86,5,205,2.4
110,T100,T100,Justin Leonard,97,5,193,2.6
111,T100,T100,Davis Love III,92,5,211,2.4
112,T100,T100,Jeff Maggert,83,5,146,3.4
113,T100,T100,Shigeki Maruyama,87,5,173,2.9
114,T100,T100,José María Olazábal,71,5,154,3.2
115,T100,T100,Deane Pappas,90,5,184,2.7
116,T100,T100,Brenden Pappas,62,5,136,3.7
117,T100,T100,Carl Paulson,84,5,211,2.4
118,T100,T100,Corey Pavin,78,5,150,3.3
119,T100,T100,Kenny Perry,98,5,219,2.3
120,T100,T100,Rory Sabbatini,69,5,123,4.1
121,T100,T100,Hidemichi Tanaka,104,5,222,2.3
122,T100,T100,Phil Tataurangi,88,5,198,2.5
123,T100,T100,Bo Van Pelt,78,5,178,2.8
124,T100,T100,Brett Wetterich,89,5,197,2.5
125,T100,T100,Tiger Woods,69,5,114,4.4
126,T100,T100,Richard Zokol,53,5,106,4.7
127,T128,T128,Fulton Allem,64,4,135,3.0
128,T128,T128,Craig Barlow,62,4,167,2.4
129,T128,T128,Jay Don Blake,107,4,238,1.7
130,T128,T128,Olin Browne,107,4,252,1.6
131,T128,T128,Bob Burns,99,4,206,1.9
132,T128,T128,Stewart Cink,92,4,187,2.1
133,T128,T128,José Coceres,51,4,113,3.5
134,T128,T128,John Cook,85,4,145,2.8
135,T128,T128,Chris DiMarco,111,4,213,1.9
136,T128,T128,Brad Elder,76,4,163,2.5
137,T128,T128,Carlos Franco,107,4,236,1.7
138,T128,T128,Edward Fryatt,94,4,197,2.0
139,T128,T128,J.P. Hayes,78,4,174,2.3
140,T128,T128,Eduardo Herrera,59,4,133,3.0
141,T128,T128,Bernhard Langer,55,4,98,4.1
142,T128,T128,Spike McRoy,69,4,127,3.1
143,T128,T128,Phil Mickelson,97,4,242,1.7
144,T128,T128,Bryce Molder,65,4,191,2.1
145,T128,T128,Mark O'Meara,68,4,102,3.9
146,T128,T128,Jesper Parnevik,85,4,102,3.9
147,T128,T128,Pat Perez,89,4,191,2.1
148,T128,T128,Scott Simpson,61,4,144,2.8
149,T128,T128,Paul Stankowski,100,4,204,2.0
150,T128,T128,Kirk Triplett,84,4,148,2.7
151,T128,T128,Bob Tway,103,4,193,2.1
152,T128,T128,Scott Verplank,93,4,174,2.3
153,T128,T128,Brian Watts,58,4,117,3.4
154,T128,T128,Boo Weekley,57,4,122,3.3
155,T128,T128,Mike Weir,94,4,162,2.5
156,T157,T157,Michael Allen,76,3,152,2.0
157,T157,T157,Jeff Brehaut,87,3,206,1.5
158,T157,T157,Tom Byrum,77,3,177,1.7
159,T157,T157,Robin Freeman,79,3,171,1.8
160,T157,T157,Brian Henninger,66,3,153,2.0
161,T157,T157,Bradley Hughes,60,3,103,2.9
162,T157,T157,Tripp Isenhour,68,3,152,2.0
163,T157,T157,Jonathan Kaye,83,3,219,1.4
164,T157,T157,Matt Kuchar,82,3,167,1.8
165,T157,T157,Brad Lardon,59,3,104,2.9
166,T157,T157,Michael Long,71,3,168,1.8
167,T157,T157,Andrew Magee,91,3,164,1.8
168,T157,T157,Blaine McCallister,75,3,153,2.0
