,Putting_from_4_RANK THIS WEEK,Putting_from_4_RANK LAST WEEK,Putting_from_4_PLAYER NAME,Putting_from_4_ROUNDS,Putting_from_4_% MADE,Putting_from_4_ATTEMPTS,Putting_from_4_PUTTS MADE
0,T1,T1,"David Berganio, Jr.",80,100.0,44,44
1,T1,T1,Jess Daley,76,100.0,53,53
2,T1,T1,Retief Goosen,56,100.0,30,30
3,T1,T1,Lee Janzen,101,100.0,54,54
4,T1,T1,Jonathan Kaye,83,100.0,62,62
5,T1,T1,Bernhard Langer,55,100.0,24,24
6,T1,T1,Shigeki Maruyama,87,100.0,43,43
7,T1,T1,Bryce Molder,65,100.0,52,52
8,T1,T1,Michael Muehr,73,100.0,27,27
9,T1,T1,Mike Weir,94,100.0,61,61
10,11,11,Peter Lonard,93,98.31,59,58
11,T12,T12,Dan Forsman,83,98.28,58,57
12,T12,T12,Dicky Pride,51,98.28,58,57
13,14,14,Steve Elkington,82,98.21,56,55
14,15,15,Tim Herron,102,98.15,54,53
15,16,16,Scott McCarron,106,98.11,53,52
16,T17,T17,Stephen Ames,89,98.08,52,51
17,T17,T17,Deane Pappas,90,98.08,52,51
18,19,19,Scott Verplank,93,98.0,50,49
19,20,20,Franklin Langham,72,97.87,47,46
20,T21,T21,Brad Faxon,93,97.83,46,45
21,T21,T21,Rocco Mediate,79,97.83,46,45
22,23,23,Scott Simpson,61,97.73,44,43
23,24,24,Fred Funk,106,97.65,85,83
24,25,25,Kenneth Staton,104,97.59,83,81
25,26,26,Jim Furyk,88,97.56,41,40
26,T27,T27,Paul Goydos,66,97.5,40,39
27,T27,T27,Spike McRoy,69,97.5,40,39
28,T27,T27,John Rollins,124,97.5,80,78
29,T27,T27,Hal Sutton,74,97.5,40,39
30,31,31,Ernie Els,68,97.44,39,38
31,32,32,Neal Lancaster,101,97.3,74,72
32,33,33,Heath Slocum,96,97.18,71,69
33,34,34,John Cook,85,97.14,35,34
34,35,35,David Frost,90,97.06,68,66
35,36,36,Mike Hulbert,55,96.97,33,32
36,37,37,Billy Mayfair,99,96.92,65,63
37,T38,T38,Justin Leonard,97,96.83,63,61
38,T38,T38,Tim Petrovic,92,96.83,63,61
39,40,40,Ian Leggatt,97,96.72,61,59
40,41,41,Jesper Parnevik,85,96.67,30,29
41,42,42,Brenden Pappas,62,96.61,59,57
42,43,43,Davis Love III,92,96.55,58,56
43,44,44,Steve Pate,64,96.43,28,27
44,45,45,Esteban Toledo,106,96.3,54,52
45,46,46,Kent Jones,105,96.2,79,76
46,T47,T47,Tommy Tolles,64,96.15,52,50
47,T47,T47,David Toms,106,96.15,78,75
48,T49,T49,Brandel Chamblee,85,96.0,50,48
49,T49,T49,Sergio Garcia,79,96.0,50,48
50,T49,T49,Joe Ogilvie,50,96.0,50,48
51,52,52,Jay Don Blake,107,95.95,74,71
52,53,53,Rory Sabbatini,69,95.92,49,47
53,54,54,Mike Sposa,111,95.83,72,69
54,T55,T55,Chad Campbell,111,95.77,71,68
55,T55,T55,Kenny Perry,98,95.77,71,68
56,T55,T55,Lee Porter,91,95.77,71,68
57,T58,T58,Jeff Maggert,83,95.74,47,45
58,T58,T58,Kevin Sutherland,96,95.74,47,45
59,60,60,Jim Carter,98,95.71,70,67
60,T61,T61,Craig Barlow,62,95.65,46,44
61,T61,T61,Richard Zokol,53,95.65,23,22
62,T63,T63,Kirk Triplett,84,95.56,45,43
63,T63,T63,Tiger Woods,69,95.56,45,43
64,T65,T65,Jeff Brehaut,87,95.52,67,64
65,T65,T65,Jay Williamson,91,95.52,67,64
66,T67,T67,Bob Heintz,68,95.45,44,42
67,T67,T67,Scott Hoch,71,95.45,44,42
68,T67,T67,Brad Lardon,59,95.45,44,42
69,70,70,Jeff Sluman,118,95.38,65,62
70,T71,T71,Matt Kuchar,82,95.31,64,61
71,T71,T71,Loren Roberts,93,95.31,64,61
72,73,73,Carl Paulson,84,95.29,85,81
73,74,74,José Coceres,51,95.24,42,40
74,T75,T75,David Duval,78,95.12,41,39
75,T75,T75,José María Olazábal,71,95.12,41,39
76,T77,T77,Michael Allen,76,95.08,61,58
77,T77,T77,Robert Allenby,96,95.08,61,58
78,T79,T79,Joel Edwards,101,95.0,80,76
79,T79,T79,Geoff Ogilvy,90,95.0,80,76
80,81,81,Chris Riley,104,94.92,59,56
81,T82,T82,Mark Calcavecchia,84,94.87,39,37
82,T82,T82,Gary Nicklaus,66,94.87,39,37
83,84,84,Robin Freeman,79,94.83,58,55
84,T85,T85,Tommy Armour III,82,94.74,57,54
85,T85,T85,Bob Estes,93,94.74,57,54
86,T85,T85,Brian Henninger,66,94.74,57,54
87,T85,T85,Mark O'Meara,68,94.74,38,36
88,T85,T85,David Peoples,105,94.74,76,72
89,T85,T85,Matt Peterson,80,94.74,57,54
90,91,91,Shaun Micheel,100,94.67,75,71
91,92,92,Garrett Willis,80,94.64,56,53
92,93,93,Grant Waite,98,94.59,74,70
93,T94,T94,Jay Haas,83,94.55,55,52
94,T94,T94,Phil Tataurangi,88,94.55,55,52
95,96,96,Jonathan Byrd,96,94.52,73,69
96,97,97,Stephen Gangluff,75,94.44,54,51
97,98,98,Tripp Isenhour,68,94.34,53,50
98,T99,T99,Donnie Hammond,60,94.29,35,33
99,T99,T99,John Riegger,88,94.29,70,66
100,101,101,Brent Geiberger,95,94.23,52,49
101,T102,T102,Billy Andrade,100,94.12,85,80
102,T102,T102,Chris DiMarco,111,94.12,68,64
103,104,104,Olin Browne,107,94.03,67,63
104,105,105,Kaname Yokoo,74,94.0,50,47
105,106,106,Brett Quigley,93,93.94,66,62
106,107,107,Woody Austin,102,93.88,98,92
107,T108,T108,Bob Burns,99,93.65,63,59
108,T108,T108,Robert Gamez,69,93.65,63,59
109,110,110,Paul Stankowski,100,93.55,62,58
110,111,111,Mathew Goggin,64,93.48,46,43
111,T112,T112,Ben Crane,91,93.44,61,57
112,T112,T112,Chris Smith,103,93.44,61,57
113,114,114,Blaine McCallister,75,93.33,45,42
114,115,115,Tom Lehman,78,93.02,43,40
115,116,116,Paul Claxton,83,92.98,57,53
116,117,117,Luke Donald,106,92.96,71,66
117,118,118,Robert Damron,85,92.86,56,52
118,119,119,Bo Van Pelt,78,92.75,69,64
119,T120,T120,Skip Kendall,103,92.65,68,63
120,T120,T120,Hidemichi Tanaka,104,92.65,68,63
121,T122,T122,Craig Stadler,72,92.59,27,25
122,T122,T122,Boo Weekley,57,92.59,54,50
123,T124,T124,Vijay Singh,102,92.31,52,48
124,T124,T124,Jerry Smith,91,92.31,65,60
125,126,126,Tim Clark,76,92.19,64,59
126,T127,T127,Brandt Jobe,94,92.16,51,47
127,T127,T127,Pete Jordan,78,92.16,51,47
128,129,129,Pat Bates,94,92.06,63,58
129,130,130,Briny Baird,110,92.05,88,81
130,T131,T131,Notah Begay III,76,92.0,75,69
131,T131,T131,Steve Stricker,68,92.0,25,23
132,T131,T131,Bob Tway,103,92.0,75,69
133,134,134,Brett Wetterich,89,91.94,62,57
134,T135,T135,Paul Gow,99,91.89,74,68
135,T135,T135,Eduardo Herrera,59,91.89,37,34
