,3_Putts_per_Round_RANK THIS WEEK,3_Putts_per_Round_RANK LAST WEEK,3_Putts_per_Round_PLAYER NAME,3_Putts_per_Round_ROUNDS,3_Putts_per_Round_AVG,3_Putts_per_Round_TOTAL 3+ PUTTS,3_Putts_per_Round_TOTAL ROUNDS
0,1,1,Fulton Allem,64,0.09,6,64
1,T2,T2,Joe Ogilvie,50,0.08,4,50
2,T2,T2,Rory Sabbatini,69,0.08,5,64
3,T4,T4,Jeff Maggert,83,0.06,5,83
4,T4,T4,Brenden Pappas,62,0.06,4,62
5,T6,T6,Tim Clark,76,0.05,4,73
6,T6,T6,Mathew Goggin,64,0.05,3,64
7,T6,T6,Dudley Hart,88,0.05,4,84
8,T6,T6,Bradley Hughes,60,0.05,3,60
9,T10,T10,Robert Damron,85,0.04,3,82
10,T10,T10,Shaun Micheel,100,0.04,4,97
11,T10,T10,Jesper Parnevik,85,0.04,3,84
12,T10,T10,Kirk Triplett,84,0.04,3,79
13,T10,T10,Garrett Willis,80,0.04,3,78
14,T15,T15,Michael Allen,76,0.03,2,74
15,T15,T15,John Daly,62,0.03,2,61
16,T15,T15,Robin Freeman,79,0.03,2,75
17,T15,T15,David Gossett,95,0.03,3,93
18,T15,T15,David Morland IV,58,0.03,2,58
19,T15,T15,Matt Peterson,80,0.03,2,80
20,T15,T15,Esteban Toledo,106,0.03,3,102
21,T22,T22,Woody Austin,102,0.02,2,99
22,T22,T22,Paul Azinger,69,0.02,1,63
23,T22,T22,Cameron Beckman,87,0.02,2,85
24,T22,T22,Mark Brooks,97,0.02,2,93
25,T22,T22,Bart Bryant,69,0.02,1,66
26,T22,T22,Chad Campbell,111,0.02,2,109
27,T22,T22,Fred Couples,64,0.02,1,60
28,T22,T22,Luke Donald,106,0.02,2,104
29,T22,T22,Joe Durant,87,0.02,2,86
30,T22,T22,Dan Forsman,83,0.02,2,81
31,T22,T22,Retief Goosen,56,0.02,1,54
32,T22,T22,Jason Hill,59,0.02,1,59
33,T22,T22,Charles Howell III,118,0.02,2,112
34,T22,T22,Jerry Kelly,99,0.02,2,98
35,T22,T22,Phil Mickelson,97,0.02,2,94
36,T22,T22,Bryce Molder,65,0.02,1,63
37,T22,T22,Gary Nicklaus,66,0.02,1,66
38,T22,T22,Frank Nobilo,94,0.02,2,94
39,T22,T22,Mark O'Meara,68,0.02,1,66
40,T22,T22,Dennis Paulson,89,0.02,2,87
41,T22,T22,Pat Perez,89,0.02,2,87
42,T22,T22,Dicky Pride,51,0.02,1,51
