,Total_3_Putts_-_Inside_5_RANK THIS WEEK,Total_3_Putts_-_Inside_5_RANK LAST WEEK,Total_3_Putts_-_Inside_5_PLAYER NAME,Total_3_Putts_-_Inside_5_ROUNDS,Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS INSIDE 5',Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS
0,1,1,David Gossett,95,2,26
1,T2,T2,Mark Calcavecchia,84,1,11
2,T2,T2,Paul Claxton,83,1,12
3,T2,T2,José Coceres,51,1,9
4,T2,T2,Carlos Franco,107,1,21
5,T2,T2,David Frost,90,1,9
6,T2,T2,Brian Gay,117,1,17
7,T2,T2,Glen Hnatiuk,95,1,16
8,T2,T2,John Huston,99,1,15
9,T2,T2,Peter Jacobsen,67,1,11
10,T2,T2,Jonathan Kaye,83,1,14
11,T2,T2,Skip Kendall,103,1,17
12,T2,T2,Matt Kuchar,82,1,9
13,T2,T2,Michael Long,71,1,16
14,T2,T2,Andrew Magee,91,1,14
15,T2,T2,Shigeki Maruyama,87,1,11
16,T2,T2,Rod Pampling,98,1,11
17,T2,T2,Jesper Parnevik,85,1,10
18,T2,T2,Chris Riley,104,1,11
19,T2,T2,John Senden,96,1,18
20,T2,T2,Paul Stankowski,100,1,19
21,T2,T2,Hal Sutton,74,1,15
22,T2,T2,Garrett Willis,80,1,19
