,One-Putt_Percentage_-_Round_1_RANK THIS WEEK,One-Putt_Percentage_-_Round_1_RANK LAST WEEK,One-Putt_Percentage_-_Round_1_PLAYER NAME,One-Putt_Percentage_-_Round_1_ROUNDS,One-Putt_Percentage_-_Round_1_%,One-Putt_Percentage_-_Round_1_# OF 1 PUTTS,One-Putt_Percentage_-_Round_1_# OF HOLES
0,T1,T1,Bob Heintz,68,45.24,228,504
1,T1,T1,Bryce Molder,65,45.24,171,378
2,3,3,Lee Porter,91,44.09,246,558
3,4,4,Stephen Gangluff,75,43.42,211,486
4,5,5,Paul Azinger,69,43.27,148,342
5,6,6,Olin Browne,107,43.23,249,576
6,7,7,Deane Pappas,90,42.93,255,594
7,8,8,Notah Begay III,76,42.89,193,450
8,9,9,Skip Kendall,103,42.78,231,540
9,10,10,Chris DiMarco,111,42.59,207,486
10,11,11,Pat Perez,89,42.53,222,522
11,12,12,Brian Gay,117,42.26,251,594
12,13,13,Franklin Langham,72,42.13,182,432
13,14,14,Shigeki Maruyama,87,41.9,181,432
14,15,15,Harrison Frazar,88,41.87,211,504
15,16,16,J.P. Hayes,78,41.79,173,414
16,17,17,Brett Quigley,93,41.76,233,558
17,18,18,Rod Pampling,98,41.67,210,504
18,19,19,John Daly,62,41.52,142,342
19,20,20,Tom Pernice Jr.,101,41.48,224,540
20,21,21,David Toms,106,41.45,194,468
21,22,22,Tim Clark,76,41.41,164,396
22,23,23,David Frost,90,41.38,216,522
23,24,24,Brad Faxon,93,41.3,171,414
24,T25,T25,Billy Andrade,100,41.19,215,522
25,T25,T25,Rich Beem,99,41.19,215,522
26,27,27,Brian Watts,58,41.11,148,360
27,28,28,K.J. Choi,93,41.03,192,468
28,29,29,Dicky Pride,51,40.97,118,288
29,30,30,Paul Stankowski,100,40.93,221,540
30,31,31,Mathew Goggin,64,40.83,147,360
31,32,32,José María Olazábal,71,40.74,132,324
32,33,33,David Duval,78,40.66,161,396
33,34,34,Steve Allan,93,40.61,212,522
34,35,35,Kirk Triplett,84,40.58,168,414
35,T36,T36,Paul Goydos,66,40.56,146,360
36,T36,T36,Greg Kraft,86,40.56,219,540
37,38,38,Phil Mickelson,97,40.51,175,432
38,39,39,Robert Gamez,69,40.48,153,378
39,40,40,Bob Burns,99,40.42,211,522
40,41,41,Michael Muehr,73,40.38,189,468
41,42,42,Mike Hulbert,55,40.35,138,342
42,T43,T43,Pat Bates,94,40.28,203,504
43,T43,T43,Ben Crane,91,40.28,203,504
44,45,45,Brad Elder,76,40.22,181,450
45,46,46,Esteban Toledo,106,40.14,224,558
46,47,47,Miguel Angel Jiménez,60,40.12,130,324
47,48,48,John Riegger,88,40.08,202,504
48,49,49,Andrew Magee,91,39.92,194,486
49,T50,T50,Joel Edwards,101,39.88,201,504
50,T50,T50,Ian Leggatt,97,39.88,201,504
51,52,52,Cameron Beckman,87,39.81,172,432
52,53,53,Heath Slocum,96,39.78,222,558
53,54,54,Carl Paulson,84,39.71,193,486
54,55,55,David Morland IV,58,39.68,150,378
55,56,56,Fred Funk,106,39.66,207,522
56,T57,T57,John Huston,99,39.56,178,450
57,T57,T57,Brenden Pappas,62,39.56,178,450
58,59,59,Jim Carter,98,39.46,206,522
59,T60,T60,Steve Flesch,110,39.44,213,540
60,T60,T60,Joe Ogilvie,50,39.44,142,360
61,T60,T60,Hidemichi Tanaka,104,39.44,213,540
62,63,63,Rory Sabbatini,69,39.42,149,378
63,64,64,Dan Forsman,83,39.35,170,432
64,65,65,Retief Goosen,56,39.29,99,252
65,66,66,Tiger Woods,69,39.22,120,306
66,67,67,Steve Stricker,68,39.17,141,360
67,68,68,Craig Barlow,62,39.15,148,378
68,69,69,Russ Cochran,68,39.14,155,396
69,70,70,Tom Byrum,77,39.13,162,414
70,T71,T71,Robert Damron,85,39.09,190,486
71,T71,T71,Per-Ulrik Johansson,87,39.09,190,486
72,T71,T71,Chris Riley,104,39.09,190,486
73,74,74,Tim Herron,102,39.08,204,522
74,75,75,Jeff Sluman,118,39.07,218,558
75,76,76,Mike Sposa,111,39.06,232,594
76,T77,T77,Jonathan Byrd,96,38.89,217,558
77,T77,T77,Brandel Chamblee,85,38.89,203,522
78,T77,T77,Matt Gogel,79,38.89,168,432
79,T77,T77,David Gossett,95,38.89,196,504
80,T77,T77,Steve Lowery,98,38.89,182,468
81,82,82,Stuart Appleby,97,38.68,181,468
82,83,83,Peter Jacobsen,67,38.62,146,378
83,84,84,José Coceres,51,38.54,111,288
84,85,85,Neal Lancaster,101,38.53,215,558
85,T86,T86,Brian Bateman,94,38.52,208,540
86,T86,T86,Greg Chalmers,94,38.52,208,540
87,88,88,Mike Weir,94,38.43,166,432
88,T89,T89,Jeff Brehaut,87,38.31,200,522
89,T89,T89,Shaun Micheel,100,38.31,200,522
90,91,91,Michael Clark II,97,38.19,220,576
91,T92,T92,Glen Day,107,38.15,206,540
92,T92,T92,Pete Jordan,78,38.15,206,540
93,T92,T92,Grant Waite,98,38.15,206,540
94,T95,T95,Steve Elkington,82,38.13,151,396
95,T95,T95,Jay Haas,83,38.13,151,396
96,T97,T97,Brent Geiberger,95,38.1,192,504
97,T97,T97,Craig Stadler,72,38.1,144,378
98,T97,T97,Garrett Willis,80,38.1,192,504
99,100,100,Craig Perks,91,38.07,185,486
100,101,101,Jonathan Kaye,83,38.03,178,468
101,T102,T102,Dudley Hart,88,38.0,171,450
102,T102,T102,Loren Roberts,93,38.0,171,450
103,T102,T102,Scott Verplank,93,38.0,171,450
104,105,105,Nick Price,69,37.91,116,306
105,106,106,Matt Kuchar,82,37.86,184,486
106,107,107,Scott McCarron,106,37.82,177,468
107,T108,T108,Stewart Cink,92,37.78,170,450
108,T108,T108,Scott Simpson,61,37.78,170,450
109,110,110,Jess Daley,76,37.65,183,486
110,111,111,Jay Williamson,91,37.59,203,540
111,112,112,Rocco Mediate,79,37.57,142,378
112,113,113,Kenny Perry,98,37.56,169,450
113,T114,T114,Davis Love III,92,37.5,162,432
114,T114,T114,Phil Tataurangi,88,37.5,162,432
115,116,116,Mark O'Meara,68,37.44,155,414
116,117,117,Bart Bryant,69,37.43,128,342
117,118,118,Jerry Smith,91,37.33,215,576
118,119,119,Len Mattiace,106,37.3,188,504
119,120,120,Fred Couples,64,37.25,114,306
120,121,121,Brian Henninger,66,37.22,134,360
121,122,122,Mark Calcavecchia,84,37.2,154,414
122,123,123,Kent Jones,105,37.15,214,576
123,124,124,Richard Zokol,53,37.13,127,342
124,T125,T125,Jay Don Blake,107,37.04,220,594
125,T125,T125,Bernhard Langer,55,37.04,100,270
126,127,127,Tripp Isenhour,68,36.94,133,360
127,128,128,J.J. Henry,112,36.87,219,594
128,129,129,Tommy Armour III,82,36.83,179,486
129,130,130,Geoff Ogilvy,90,36.75,172,468
130,131,131,J.L. Lewis,98,36.74,205,558
131,T132,T132,Michael Allen,76,36.71,185,504
132,T132,T132,Jerry Kelly,99,36.71,185,504
133,134,134,Woody Austin,102,36.67,231,630
134,135,135,Lee Janzen,101,36.63,178,486
135,136,136,John Cook,85,36.57,158,432
136,137,137,Brett Wetterich,89,36.38,203,558
137,T138,T138,Bob Estes,93,36.34,157,432
138,T138,T138,Spike McRoy,69,36.34,157,432
139,140,140,Michael Long,71,36.32,170,468
140,141,141,Kaname Yokoo,74,36.21,176,486
141,T142,T142,John Rollins,124,36.2,215,594
142,T142,T142,Joey Sindelar,104,36.2,202,558
143,T144,T144,Charles Howell III,118,36.11,195,540
144,T144,T144,Frank Nobilo,94,36.11,195,540
145,T144,T144,Tim Petrovic,92,36.11,195,540
146,T144,T144,Vijay Singh,102,36.11,169,468
147,148,148,Bob May,91,36.02,188,522
148,149,149,Corey Pavin,78,35.99,149,414
149,150,150,Donnie Hammond,60,35.95,110,306
150,151,151,Frank Lickliter II,94,35.91,181,504
151,152,152,Mark Brooks,97,35.84,200,558
152,153,153,Scott Hoch,71,35.83,129,360
153,154,154,Billy Mayfair,99,35.82,187,522
154,155,155,Ernie Els,68,35.76,103,288
155,156,156,Boo Weekley,57,35.75,148,414
156,157,157,Gary Nicklaus,66,35.68,167,468
157,158,158,Steve Pate,64,35.56,128,360
158,159,159,Duffy Waldorf,90,35.47,166,468
159,160,160,Luke Donald,106,35.44,185,522
160,T161,T161,Stephen Ames,89,35.39,172,486
161,T161,T161,Matt Peterson,80,35.39,172,486
162,163,163,Carlos Franco,107,35.37,191,540
163,164,164,Chad Campbell,111,35.35,210,594
164,165,165,Tommy Tolles,64,35.28,127,360
165,166,166,Paul Claxton,83,35.25,184,522
166,167,167,Blaine McCallister,75,35.19,171,486
