,Total_1_Putts_-__25_RANK THIS WEEK,Total_1_Putts_-__25_RANK LAST WEEK,Total_1_Putts_-__25_PLAYER NAME,Total_1_Putts_-__25_ROUNDS,Total_1_Putts_-__25_TOTAL,Total_1_Putts_-__25_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-__25_PCT OF ALL 1-PUTTS
0,1,1,Kenny Perry,98,17,219,7.8
1,T2,T2,Olin Browne,107,16,252,6.3
2,T2,T2,Brian Gay,117,16,272,5.9
3,T2,T2,Grant Waite,98,16,234,6.8
4,T5,T5,David Toms,106,15,245,6.1
5,T5,T5,Jay Williamson,91,15,221,6.8
6,T7,T7,Jay Don Blake,107,14,238,5.9
7,T7,T7,Per-Ulrik Johansson,87,14,173,8.1
8,T7,T7,Steve Lowery,98,14,209,6.7
9,T7,T7,Tom Scherrer,98,14,204,6.9
10,T11,T11,Robert Allenby,96,13,214,6.1
11,T11,T11,Billy Andrade,100,13,229,5.7
12,T11,T11,Rich Beem,99,13,214,6.1
13,T11,T11,Brett Quigley,93,13,239,5.4
14,T11,T11,Chris Smith,103,13,202,6.4
15,T11,T11,Esteban Toledo,106,13,203,6.4
16,T17,T17,Notah Begay III,76,12,194,6.2
17,T17,T17,Bart Bryant,69,12,149,8.1
18,T17,T17,John Cook,85,12,145,8.3
19,T17,T17,Ben Crane,91,12,209,5.7
20,T17,T17,Carlos Franco,107,12,236,5.1
21,T17,T17,Brent Geiberger,95,12,200,6.0
22,T17,T17,Glen Hnatiuk,95,12,224,5.4
23,T17,T17,Dennis Paulson,89,12,200,6.0
24,T17,T17,Craig Perks,91,12,180,6.7
25,T17,T17,Chris Riley,104,12,243,4.9
26,T27,T27,Greg Chalmers,94,11,211,5.2
27,T27,T27,K.J. Choi,93,11,199,5.5
28,T27,T27,Lee Janzen,101,11,184,6.0
29,T27,T27,Phil Mickelson,97,11,242,4.5
30,T27,T27,Tom Pernice Jr.,101,11,209,5.3
31,T27,T27,Joey Sindelar,104,11,227,4.8
32,T27,T27,Jerry Smith,91,11,202,5.4
33,T34,T34,Briny Baird,110,10,238,4.2
34,T34,T34,Cameron Beckman,87,10,181,5.5
35,T34,T34,Jonathan Byrd,96,10,229,4.4
36,T34,T34,Chad Campbell,111,10,252,4.0
