,GIR_Putting_-_Inside_5_RANK THIS WEEK,GIR_Putting_-_Inside_5_RANK LAST WEEK,GIR_Putting_-_Inside_5_PLAYER NAME,GIR_Putting_-_Inside_5_ROUNDS,GIR_Putting_-_Inside_5_%,GIR_Putting_-_Inside_5_ATTEMPTS,GIR_Putting_-_Inside_5_PUTTS MADE
0,T1,T1,Jay Don Blake,107,100.0,17,17
1,T1,T1,David Duval,78,100.0,11,11
2,T1,T1,Bob Estes,93,100.0,11,11
3,T1,T1,Sergio Garcia,79,100.0,13,13
4,T1,T1,Matt Gogel,79,100.0,14,14
5,T1,T1,Mathew Goggin,64,100.0,10,10
6,T1,T1,Paul Goydos,66,100.0,11,11
7,T1,T1,Lee Janzen,101,100.0,13,13
8,T1,T1,Brandt Jobe,94,100.0,12,12
9,T1,T1,Shigeki Maruyama,87,100.0,12,12
10,T1,T1,Scott McCarron,106,100.0,16,16
11,T1,T1,Lee Porter,91,100.0,12,12
12,T1,T1,Brett Quigley,93,100.0,18,18
13,T1,T1,Esteban Toledo,106,100.0,10,10
14,T1,T1,Brett Wetterich,89,100.0,13,13
15,T1,T1,Garrett Willis,80,100.0,15,15
16,17,17,David Toms,106,96.3,27,26
17,18,18,Scott Verplank,93,95.0,20,19
18,T19,T19,Davis Love III,92,94.74,19,18
19,T19,T19,Billy Mayfair,99,94.74,19,18
20,T19,T19,Bo Van Pelt,78,94.74,19,18
21,T22,T22,Pat Bates,94,94.44,18,17
22,T22,T22,Cameron Beckman,87,94.44,18,17
23,T22,T22,Vijay Singh,102,94.44,18,17
24,25,25,Geoff Ogilvy,90,94.12,17,16
25,T26,T26,Michael Allen,76,93.75,16,15
26,T26,T26,Paul Claxton,83,93.75,16,15
27,T26,T26,Tim Herron,102,93.75,16,15
28,T26,T26,Paul Stankowski,100,93.75,16,15
29,T30,T30,Craig Perks,91,92.86,14,13
30,T30,T30,Kirk Triplett,84,92.86,14,13
31,T30,T30,Tiger Woods,69,92.86,14,13
32,T33,T33,Brad Elder,76,92.31,13,12
33,T33,T33,Jim Furyk,88,92.31,13,12
34,T33,T33,Mark O'Meara,68,92.31,13,12
35,T33,T33,Tommy Tolles,64,92.31,13,12
36,T37,T37,Paul Azinger,69,91.67,12,11
37,T37,T37,Spike McRoy,69,91.67,12,11
38,T37,T37,Matt Peterson,80,91.67,12,11
39,T40,T40,Jeff Brehaut,87,90.91,11,10
40,T40,T40,Joe Ogilvie,50,90.91,11,10
41,T40,T40,Chris Smith,103,90.91,11,10
42,T40,T40,Phil Tataurangi,88,90.91,11,10
43,T44,T44,John Senden,96,90.48,21,19
44,T44,T44,Grant Waite,98,90.48,21,19
45,T46,T46,Brad Faxon,93,90.0,10,9
46,T46,T46,Bryce Molder,65,90.0,10,9
47,48,48,Hidemichi Tanaka,104,89.66,29,26
48,T49,T49,"David Berganio, Jr.",80,88.89,18,16
49,T49,T49,Heath Slocum,96,88.89,18,16
50,51,51,Charles Howell III,118,88.57,35,31
51,52,52,Chad Campbell,111,88.46,26,23
52,T53,T53,Joe Durant,87,88.24,17,15
53,T53,T53,Rocco Mediate,79,88.24,17,15
54,T55,T55,Tommy Armour III,82,87.5,16,14
55,T55,T55,Glen Hnatiuk,95,87.5,24,21
56,T55,T55,Scott Hoch,71,87.5,16,14
57,T55,T55,J.L. Lewis,98,87.5,24,21
58,T55,T55,Phil Mickelson,97,87.5,16,14
59,T55,T55,Kenny Perry,98,87.5,16,14
60,T61,T61,Jim Carter,98,86.67,15,13
61,T61,T61,Neal Lancaster,101,86.67,15,13
62,T61,T61,Deane Pappas,90,86.67,15,13
63,T64,T64,Brian Gay,117,86.36,22,19
64,T64,T64,Shaun Micheel,100,86.36,22,19
65,T66,T66,Jonathan Kaye,83,85.71,28,24
66,T66,T66,Justin Leonard,97,85.71,21,18
67,T68,T68,Woody Austin,102,85.0,20,17
68,T68,T68,Carlos Franco,107,85.0,20,17
69,T68,T68,Matt Kuchar,82,85.0,20,17
70,T68,T68,Craig Parry,69,85.0,20,17
71,T68,T68,David Peoples,105,85.0,20,17
72,T73,T73,Steve Allan,93,84.62,13,11
73,T73,T73,Fulton Allem,64,84.62,13,11
74,T73,T73,Mark Calcavecchia,84,84.62,13,11
75,T73,T73,Jason Hill,59,84.62,13,11
76,T73,T73,John Rollins,124,84.62,26,22
77,T78,T78,Greg Kraft,86,84.21,19,16
78,T78,T78,Carl Paulson,84,84.21,19,16
79,T80,T80,Bart Bryant,69,83.33,12,10
80,T80,T80,Glen Day,107,83.33,18,15
81,T80,T80,Harrison Frazar,88,83.33,18,15
82,T80,T80,Fred Funk,106,83.33,24,20
83,T80,T80,Bradley Hughes,60,83.33,12,10
84,T80,T80,Jeff Sluman,118,83.33,30,25
85,T86,T86,Jonathan Byrd,96,82.61,23,19
86,T86,T86,Dan Forsman,83,82.61,23,19
87,T86,T86,J.P. Hayes,78,82.61,23,19
88,T86,T86,Frank Nobilo,94,82.61,23,19
89,T86,T86,John Riegger,88,82.61,23,19
90,T91,T91,Stephen Ames,89,81.82,11,9
91,T91,T91,Andrew Magee,91,81.82,11,9
92,T91,T91,Blaine McCallister,75,81.82,11,9
93,T94,T94,Frank Lickliter II,94,81.25,16,13
94,T94,T94,Steve Lowery,98,81.25,16,13
95,96,96,Rod Pampling,98,80.95,21,17
96,T97,T97,Notah Begay III,76,80.0,25,20
97,T97,T97,Brandel Chamblee,85,80.0,15,12
98,T97,T97,Jess Daley,76,80.0,10,8
99,T97,T97,Robert Damron,85,80.0,15,12
100,T97,T97,Joel Edwards,101,80.0,20,16
101,T97,T97,Tripp Isenhour,68,80.0,15,12
102,T97,T97,Miguel Angel Jiménez,60,80.0,10,8
103,T97,T97,Steve Jones,71,80.0,10,8
104,T97,T97,Pete Jordan,78,80.0,10,8
105,T97,T97,Peter Lonard,93,80.0,20,16
106,T97,T97,Dennis Paulson,89,80.0,10,8
107,T97,T97,Chris Riley,104,80.0,15,12
108,T97,T97,Hal Sutton,74,80.0,15,12
109,T110,T110,Briny Baird,110,78.95,19,15
110,T110,T110,Jeff Gove,89,78.95,19,15
111,T110,T110,Loren Roberts,93,78.95,19,15
112,T113,T113,Billy Andrade,100,78.26,23,18
113,T113,T113,Stuart Appleby,97,78.26,23,18
114,T113,T113,Kent Jones,105,78.26,23,18
115,T113,T113,Kenneth Staton,104,78.26,23,18
116,T117,T117,Bob Burns,99,77.78,18,14
117,T117,T117,Skip Kendall,103,77.78,18,14
118,T119,T119,Rich Beem,99,76.92,13,10
119,T119,T119,Brian Henninger,66,76.92,13,10
120,T119,T119,Kaname Yokoo,74,76.92,13,10
121,122,122,Brian Bateman,94,76.47,17,13
122,123,123,Robert Allenby,96,76.19,21,16
123,124,124,Len Mattiace,106,76.0,25,19
124,T125,T125,Olin Browne,107,75.0,16,12
125,T125,T125,David Frost,90,75.0,24,18
126,T125,T125,Robert Gamez,69,75.0,16,12
127,T125,T125,David Gossett,95,75.0,16,12
128,T125,T125,Paul Gow,99,75.0,24,18
129,T125,T125,Bob May,91,75.0,16,12
130,T125,T125,Mike Sposa,111,75.0,24,18
131,T125,T125,Bob Tway,103,75.0,12,9
132,133,133,Luke Donald,106,73.91,23,17
133,T134,T134,Ernie Els,68,73.33,15,11
134,T134,T134,Per-Ulrik Johansson,87,73.33,15,11
