,Average_Distance_of_Birdie_putts_made_RANK THIS WEEK,Average_Distance_of_Birdie_putts_made_RANK LAST WEEK,Average_Distance_of_Birdie_putts_made_PLAYER NAME,Average_Distance_of_Birdie_putts_made_ROUNDS,Average_Distance_of_Birdie_putts_made_AVG,Average_Distance_of_Birdie_putts_made_TOT DIST. (FT),Average_Distance_of_Birdie_putts_made_TOT BIRDIE PUTTS MADE,Average_Distance_of_Birdie_putts_made_LONGEST MADE (FT),Average_Distance_of_Birdie_putts_made_SHORTEST MADE (FT)
0,1,1,Steve Pate,64,"27' 2""",1601.0,59,897,"3"""
1,2,2,Steve Stricker,68,"25' 7""",1382.0,54,957,"5"""
2,3,3,Esteban Toledo,106,"25' 0""",1949.4170000000001,78,957,"6"""
3,4,4,Bob Tway,103,"22' 8""",1748.3329999999999,77,957,"6"""
4,5,5,Justin Leonard,97,"21' 6""",1889.6670000000001,88,957,1
5,6,6,Kevin Sutherland,96,"20' 8""",1323.8329999999999,64,564,"6"""
6,7,7,Mark Calcavecchia,84,"19' 11""",1795.75,90,957,"4"""
7,8,8,Briny Baird,110,"15' 6""",1951.5,126,784,"2"""
8,9,9,Grant Waite,98,"15' 5""",1910.1670000000001,124,486,"7"""
9,10,10,Richard Zokol,53,"14' 0""",726.0,52,65,1
10,11,11,Neal Lancaster,101,"13' 1""",1189.583,91,304,"6"""
11,12,12,Corey Pavin,78,"12' 8""",874.8330000000001,69,55,"4"""
12,13,13,Craig Perks,91,"12' 4""",1033.0,84,84,1
13,14,14,John Cook,85,"12' 3""",1026.75,84,49,1
14,T15,T15,Jay Haas,83,"12' 2""",912.5,75,105,"4"""
15,T15,T15,Peter Jacobsen,67,"12' 2""",692.9169999999999,57,47,"8"""
16,17,17,David Morland IV,58,"12' 0""",863.9169999999999,72,54,"11"""
17,T18,T18,Cameron Beckman,87,"11' 11""",1071.583,90,44,"4"""
18,T18,T18,Olin Browne,107,"11' 11""",1416.3329999999999,119,60,"4"""
19,T18,T18,Steve Lowery,98,"11' 11""",1289.333,108,59,"4"""
20,T18,T18,Dennis Paulson,89,"11' 11""",1081.917,91,46,"5"""
21,22,22,Chris Riley,104,"11' 10""",1368.9170000000001,116,48,"2"""
22,T23,T23,Craig Barlow,62,"11' 9""",988.5830000000001,84,49,"10"""
23,T23,T23,Scott Simpson,61,"11' 9""",683.6669999999999,58,42,1
24,T23,T23,Jerry Smith,91,"11' 9""",962.0830000000001,82,39,1
25,T26,T26,Stephen Gangluff,75,"11' 8""",1038.583,89,42,"8"""
26,T26,T26,Brad Lardon,59,"11' 8""",561.1669999999999,48,50,1
27,28,28,Per-Ulrik Johansson,87,"11' 7""",1011.0830000000001,87,52,1
28,29,29,Harrison Frazar,88,"11' 6""",1173.75,102,129,1
29,T30,T30,Fulton Allem,64,"11' 5""",663.9169999999999,58,60,"8"""
30,T30,T30,Jay Don Blake,107,"11' 5""",1339.3329999999999,117,46,1
31,T30,T30,Bart Bryant,69,"11' 5""",972.6669999999999,85,39,"6"""
32,T33,T33,Russ Cochran,68,"11' 4""",680.0,60,40,"5"""
33,T33,T33,Brian Gay,117,"11' 4""",1632.75,144,45,"3"""
34,T33,T33,John Huston,99,"11' 4""",1465.5,129,70,"1"""
35,T33,T33,Michael Muehr,73,"11' 4""",613.75,54,34,"3"""
36,T33,T33,Lee Porter,91,"11' 4""",1055.667,93,72,1
37,T38,T38,Brad Elder,76,"11' 3""",811.4169999999999,72,83,"4"""
38,T38,T38,Brent Geiberger,95,"11' 3""",1168.5,104,63,"2"""
39,T38,T38,Michael Long,71,"11' 3""",1000.0,89,49,"8"""
40,T41,T41,José Coceres,51,"11' 2""",492.75,44,44,1
41,T41,T41,Ben Crane,91,"11' 2""",1061.5,95,90,"9"""
42,T41,T41,Greg Kraft,86,"11' 2""",1005.8330000000001,90,45,"5"""
43,T41,T41,Joe Ogilvie,50,"11' 2""",568.0,51,63,"4"""
44,T41,T41,Nick Price,69,"11' 2""",680.1669999999999,61,53,"5"""
45,T41,T41,Tom Scherrer,98,"11' 2""",1117.833,100,43,"3"""
46,T47,T47,David Frost,90,"11' 1""",1186.583,107,67,"6"""
47,T47,T47,J.P. Hayes,78,"11' 1""",967.4169999999999,87,54,"6"""
48,T47,T47,Kenny Perry,98,"11' 1""",1426.75,129,47,"4"""
49,T50,T50,K.J. Choi,93,"11' 0""",1227.667,112,61,"2"""
50,T50,T50,Jay Williamson,91,"11' 0""",1233.0,112,50,"1"""
51,T52,T52,Tom Byrum,77,"10' 11""",938.75,86,40,"6"""
52,T52,T52,Greg Chalmers,94,"10' 11""",1113.75,102,45,"7"""
53,T52,T52,Jess Daley,76,"10' 11""",909.4169999999999,83,46,"4"""
54,T52,T52,Lee Janzen,101,"10' 11""",1098.667,101,48,"2"""
55,T52,T52,Jeff Sluman,118,"10' 11""",1526.8329999999999,140,66,"4"""
56,T52,T52,Bo Van Pelt,78,"10' 11""",1083.167,99,65,"7"""
57,T52,T52,Brian Watts,58,"10' 11""",479.083,44,40,"7"""
58,T59,T59,Paul Azinger,69,"10' 10""",619.1669999999999,57,49,2
59,T59,T59,Brandel Chamblee,85,"10' 10""",921.75,85,49,"5"""
60,T59,T59,Glen Hnatiuk,95,"10' 10""",1278.083,118,43,"4"""
61,T59,T59,Tripp Isenhour,68,"10' 10""",874.1669999999999,81,67,1
62,T59,T59,Dicky Pride,51,"10' 10""",628.8330000000001,58,56,1
63,T59,T59,Chris Smith,103,"10' 10""",1244.333,115,99,"9"""
64,T65,T65,Chad Campbell,111,"10' 9""",1595.6670000000001,148,62,"10"""
65,T65,T65,Eduardo Herrera,59,"10' 9""",496.167,46,40,"11"""
66,T65,T65,Scott Hoch,71,"10' 9""",846.5830000000001,79,58,"4"""
67,T65,T65,David Peoples,105,"10' 9""",1231.667,115,63,"8"""
68,T65,T65,Loren Roberts,93,"10' 9""",1126.667,105,49,1
69,T70,T70,Dudley Hart,88,"10' 8""",724.4169999999999,68,59,1
70,T70,T70,Billy Mayfair,99,"10' 8""",1045.833,98,48,1
71,T70,T70,Rocco Mediate,79,"10' 8""",1000.1669999999999,94,83,"7"""
72,T73,T73,Steve Elkington,82,"10' 7""",717.25,68,31,"4"""
