,Average_Distance_of_Eagle_putts_made_RANK THIS WEEK,Average_Distance_of_Eagle_putts_made_RANK LAST WEEK,Average_Distance_of_Eagle_putts_made_PLAYER NAME,Average_Distance_of_Eagle_putts_made_ROUNDS,Average_Distance_of_Eagle_putts_made_AVG,Average_Distance_of_Eagle_putts_made_TOT DIST (FT),Average_Distance_of_Eagle_putts_made_TOT EAGLES PUTTS MADE.,Average_Distance_of_Eagle_putts_made_LONGEST MADE (FT),Average_Distance_of_Eagle_putts_made_SHORTEST MADE (FT)
0,1,1,Rory Sabbatini,69,"39' 7""",79.083,2,52.0,27
1,2,2,Brett Quigley,93,"37' 5""",74.75,2,55.0,20
2,3,3,Dennis Paulson,89,"35' 4""",35.333,1,35.0,35
3,4,4,J.P. Hayes,78,"34' 6""",34.5,1,35.0,35
4,5,5,Bob Estes,93,"34' 2""",68.25,2,42.0,27
5,6,6,Tim Herron,102,"32' 6""",130.0,4,67.0,4
6,T7,T7,Jess Daley,76,"32' 1""",96.167,3,74.0,2
7,T7,T7,Jesper Parnevik,85,"32' 1""",96.333,3,58.0,19
8,9,9,Mathew Goggin,64,"31' 9""",31.75,1,32.0,32
9,10,10,Billy Andrade,100,"31' 7""",31.583000000000002,1,32.0,32
10,T11,T11,Lee Janzen,101,"31' 1""",62.083,2,57.0,5
11,T11,T11,Boo Weekley,57,"31' 1""",93.167,3,75.0,8
12,13,13,Tom Pernice Jr.,101,"30' 7""",30.583000000000002,1,31.0,31
13,14,14,Hidemichi Tanaka,104,"29' 6""",58.917,2,32.0,27
14,15,15,Stephen Ames,89,"29' 4""",29.333000000000002,1,29.0,29
15,16,16,Brandt Jobe,94,"29' 3""",58.5,2,41.0,17
16,17,17,Geoff Ogilvy,90,"29' 0""",29.0,1,29.0,29
17,18,18,Michael Clark II,97,"28' 2""",28.166999999999998,1,28.0,28
18,19,19,Vijay Singh,102,"27' 8""",138.333,5,83.0,3
19,20,20,Phil Mickelson,97,"27' 3""",54.5,2,45.0,10
