,3-Putt_Avoidance__25_RANK THIS WEEK,3-Putt_Avoidance__25_RANK LAST WEEK,3-Putt_Avoidance__25_PLAYER NAME,3-Putt_Avoidance__25_ROUNDS,3-Putt_Avoidance__25_%,3-Putt_Avoidance__25_TOTAL 3 PUTTS,3-Putt_Avoidance__25_ATTEMPTS,3-Putt_Avoidance__25_2 PUTT OR BETTER %
0,1,1,Scott Verplank,93,3.09,3,97,96.9
1,2,2,Pat Bates,94,3.23,4,124,96.7
2,3,3,Mark O'Meara,68,3.39,2,59,96.6
3,4,4,Billy Andrade,100,3.47,5,144,96.5
4,5,5,Steve Elkington,82,3.57,3,84,96.4
5,6,6,Joey Sindelar,104,4.0,6,150,96.0
6,7,7,John Daly,62,4.17,2,48,95.8
7,8,8,Jim Carter,98,4.24,5,118,95.7
8,9,9,Phil Mickelson,97,4.55,5,110,95.4
9,10,10,Lee Janzen,101,4.58,6,131,95.4
10,11,11,Rocco Mediate,79,4.59,5,109,95.4
11,12,12,Jonathan Byrd,96,4.62,6,130,95.3
12,13,13,Carl Paulson,84,4.64,7,151,95.3
13,T14,T14,Jay Haas,83,4.85,5,103,95.1
14,T14,T14,Corey Pavin,78,4.85,5,103,95.1
15,16,16,Donnie Hammond,60,4.94,4,81,95.0
16,17,17,Jim Furyk,88,5.0,6,120,95.0
17,18,18,Brad Elder,76,5.22,6,115,94.7
18,19,19,Tom Lehman,78,5.26,4,76,94.7
19,20,20,Spike McRoy,69,5.32,5,94,94.6
20,21,21,Bob Tway,103,5.44,8,147,94.5
21,22,22,Ben Crane,91,5.47,7,128,94.5
22,T23,T23,Paul Azinger,69,5.56,3,54,94.4
23,T23,T23,Jay Williamson,91,5.56,8,144,94.4
24,25,25,Brandt Jobe,94,5.7,9,158,94.3
25,26,26,Rod Pampling,98,5.77,6,104,94.2
26,27,27,Chris Riley,104,5.8,8,138,94.2
27,28,28,Mathew Goggin,64,5.88,6,102,94.1
28,29,29,David Frost,90,5.93,8,135,94.0
29,30,30,Matt Kuchar,82,5.94,6,101,94.0
30,31,31,Steve Flesch,110,5.97,8,134,94.0
31,32,32,David Peoples,105,6.06,8,132,93.9
32,33,33,Geoff Ogilvy,90,6.09,7,115,93.9
33,34,34,Bernhard Langer,55,6.12,3,49,93.8
34,35,35,Jeff Sluman,118,6.16,9,146,93.8
35,36,36,Brandel Chamblee,85,6.2,8,129,93.8
36,37,37,Loren Roberts,93,6.29,9,143,93.7
37,38,38,"David Berganio, Jr.",80,6.3,8,127,93.7
38,T39,T39,Dicky Pride,51,6.33,5,79,93.6
39,T39,T39,Craig Stadler,72,6.33,5,79,93.6
40,41,41,Neal Lancaster,101,6.35,8,126,93.6
41,42,42,Steve Pate,64,6.38,6,94,93.6
42,43,43,Justin Leonard,97,6.5,8,123,93.5
43,44,44,Mark Brooks,97,6.52,6,92,93.4
44,45,45,Peter Jacobsen,67,6.54,7,107,93.4
45,46,46,Jesper Parnevik,85,6.67,5,75,93.3
46,47,47,Matt Gogel,79,6.72,8,119,93.2
47,48,48,Robert Damron,85,6.78,8,118,93.2
48,49,49,Jay Don Blake,107,6.8,10,147,93.2
49,T50,T50,David Duval,78,6.82,6,88,93.1
50,T50,T50,David Toms,106,6.82,9,132,93.1
51,T50,T50,Kirk Triplett,84,6.82,6,88,93.1
52,53,53,Ian Leggatt,97,6.84,8,117,93.1
53,54,54,Brad Faxon,93,6.86,7,102,93.1
54,55,55,Bob Burns,99,7.02,8,114,92.9
55,56,56,Jeff Gove,89,7.04,10,142,92.9
56,57,57,Brian Henninger,66,7.06,6,85,92.9
57,58,58,Paul Claxton,83,7.09,10,141,92.9
58,59,59,Jess Daley,76,7.14,8,112,92.8
59,60,60,Tom Pernice Jr.,101,7.25,10,138,92.7
60,61,61,Robert Gamez,69,7.45,7,94,92.5
61,T62,T62,Bob May,91,7.46,10,134,92.5
62,T62,T62,Deane Pappas,90,7.46,10,134,92.5
63,64,64,Jerry Smith,91,7.5,9,120,92.5
64,65,65,Blaine McCallister,75,7.53,7,93,92.4
65,T66,T66,Dan Forsman,83,7.59,11,145,92.4
66,T66,T66,Vijay Singh,102,7.59,11,145,92.4
67,T68,T68,John Huston,99,7.69,8,104,92.3
68,T68,T68,John Rollins,124,7.69,14,182,92.3
69,70,70,Sergio Garcia,79,7.79,6,77,92.2
70,71,71,Andrew Magee,91,7.83,9,115,92.1
71,72,72,Davis Love III,92,7.84,8,102,92.1
72,T73,T73,Fred Funk,106,7.89,12,152,92.1
73,T73,T73,Miguel Angel Jiménez,60,7.89,6,76,92.1
74,75,75,Tom Scherrer,98,7.94,10,126,92.0
75,76,76,Jonathan Kaye,83,7.96,9,113,92.0
76,T77,T77,J.P. Hayes,78,8.0,6,75,92.0
77,T77,T77,José María Olazábal,71,8.0,6,75,92.0
78,T77,T77,Kenny Perry,98,8.0,12,150,92.0
79,80,80,Frank Lickliter II,94,8.04,9,112,91.9
80,81,81,Brad Lardon,59,8.08,8,99,91.9
81,82,82,Michael Clark II,97,8.09,11,136,91.9
82,83,83,Bryce Molder,65,8.11,9,111,91.8
83,84,84,Mike Hulbert,55,8.2,5,61,91.8
84,85,85,Michael Long,71,8.21,11,134,91.7
85,86,86,Ernie Els,68,8.25,8,97,91.7
86,87,87,Greg Kraft,86,8.26,9,109,91.7
87,T88,T88,Joe Ogilvie,50,8.33,6,72,91.6
88,T88,T88,John Riegger,88,8.33,11,132,91.6
89,90,90,Len Mattiace,106,8.38,15,179,91.6
90,T91,T91,Glen Day,107,8.39,13,155,91.6
91,T91,T91,Chris Smith,103,8.39,13,155,91.6
92,T93,T93,Olin Browne,107,8.43,14,166,91.5
93,T93,T93,Retief Goosen,56,8.43,7,83,91.5
94,95,95,Scott McCarron,106,8.45,12,142,91.5
95,96,96,Chad Campbell,111,8.5,13,153,91.5
96,97,97,Kent Jones,105,8.64,14,162,91.3
97,98,98,Craig Parry,69,8.7,8,92,91.3
98,99,99,Phil Tataurangi,88,8.77,10,114,91.2
99,100,100,Michael Allen,76,8.82,9,102,91.1
100,101,101,Robert Allenby,96,8.84,13,147,91.1
101,102,102,Mike Sposa,111,8.92,14,157,91.0
102,103,103,Michael Muehr,73,8.99,8,89,91.0
103,104,104,Nick Price,69,9.09,8,88,90.9
104,105,105,Kevin Sutherland,96,9.17,10,109,90.8
105,106,106,Glen Hnatiuk,95,9.21,14,152,90.7
106,107,107,Joel Edwards,101,9.27,14,151,90.7
107,108,108,K.J. Choi,93,9.3,12,129,90.7
108,109,109,Esteban Toledo,106,9.35,13,139,90.6
109,110,110,Rich Beem,99,9.4,11,117,90.6
110,T111,T111,Brian Gay,117,9.42,13,138,90.5
111,T111,T111,Billy Mayfair,99,9.42,13,138,90.5
112,T113,T113,Steve Allan,93,9.59,14,146,90.4
113,T113,T113,Scott Hoch,71,9.59,7,73,90.4
114,T115,T115,Russ Cochran,68,9.62,10,104,90.3
115,T115,T115,John Cook,85,9.62,10,104,90.3
116,T117,T117,Woody Austin,102,9.7,13,134,90.3
117,T117,T117,Bo Van Pelt,78,9.7,13,134,90.3
118,119,119,Shigeki Maruyama,87,9.71,10,103,90.2
119,120,120,Carlos Franco,107,9.73,18,185,90.2
120,121,121,Kenneth Staton,104,9.76,16,164,90.2
121,122,122,Mike Weir,94,9.9,10,101,90.1
122,T123,T123,Bart Bryant,69,9.91,11,111,90.0
123,T123,T123,Heath Slocum,96,9.91,11,111,90.0
124,125,125,Tim Petrovic,92,9.92,13,131,90.0
125,T126,T126,Skip Kendall,103,10.0,12,120,90.0
126,T126,T126,Scott Simpson,61,10.0,10,100,90.0
