,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
0,1,1,Bob Heintz,68,46.81,573,1224
1,2,2,Pat Perez,89,43.68,684,1566
2,3,3,Bryce Molder,65,43.21,490,1134
3,4,4,Ben Crane,91,43.2,692,1602
4,5,5,Skip Kendall,103,42.57,774,1818
5,6,6,J.P. Hayes,78,42.4,580,1368
6,7,7,Rod Pampling,98,42.38,717,1692
7,8,8,Olin Browne,107,41.93,785,1872
8,9,9,Brian Gay,117,41.79,865,2070
9,10,10,Stephen Gangluff,75,41.78,564,1350
10,11,11,Robert Gamez,69,41.63,517,1242
11,12,12,Billy Andrade,100,41.61,719,1728
12,13,13,Jonathan Byrd,96,41.55,703,1692
13,14,14,Chris Riley,104,41.5,747,1800
14,T15,T15,Tim Herron,102,41.41,738,1782
15,T15,T15,José María Olazábal,71,41.41,477,1152
16,17,17,Lee Porter,91,41.29,654,1584
17,18,18,Kirk Triplett,84,41.28,587,1422
18,19,19,Kaname Yokoo,74,41.13,533,1296
19,20,20,Brett Quigley,93,41.06,680,1656
20,21,21,Steve Stricker,68,41.01,465,1134
21,22,22,Greg Kraft,86,40.87,618,1512
22,23,23,Tripp Isenhour,68,40.85,500,1224
23,T24,T24,Paul Azinger,69,40.83,463,1134
24,T24,T24,Fred Couples,64,40.83,441,1080
25,26,26,Joel Edwards,101,40.81,742,1818
26,27,27,Jay Haas,83,40.79,580,1422
27,28,28,Greg Chalmers,94,40.78,668,1638
28,29,29,Bob Burns,99,40.68,703,1728
29,30,30,K.J. Choi,93,40.64,651,1602
30,31,31,Brandel Chamblee,85,40.61,614,1512
31,32,32,Geoff Ogilvy,90,40.57,628,1548
32,T33,T33,Robert Damron,85,40.45,597,1476
33,T33,T33,Mathew Goggin,64,40.45,466,1152
34,T35,T35,Phil Mickelson,97,40.43,684,1692
35,T35,T35,Brian Watts,58,40.43,393,972
36,37,37,Harrison Frazar,88,40.4,640,1584
37,38,38,Matt Gogel,79,40.35,552,1368
38,39,39,Joe Ogilvie,50,40.33,363,900
39,40,40,Paul Goydos,66,40.24,478,1188
40,41,41,Brad Faxon,93,40.2,615,1530
41,42,42,Woody Austin,102,40.18,716,1782
42,43,43,Scott Simpson,61,40.16,441,1098
43,44,44,David Frost,90,40.12,650,1620
44,45,45,Esteban Toledo,106,40.09,736,1836
45,46,46,Andrew Magee,91,40.03,634,1584
46,T47,T47,Glen Day,107,40.02,742,1854
47,T47,T47,Brad Elder,76,40.02,533,1332
48,49,49,Tom Byrum,77,39.97,554,1386
49,50,50,Dan Forsman,83,39.92,582,1458
50,T51,T51,Deane Pappas,90,39.9,632,1584
51,T51,T51,Nick Price,69,39.9,474,1188
52,53,53,Jay Don Blake,107,39.89,754,1890
53,54,54,Franklin Langham,72,39.77,494,1242
54,55,55,John Huston,99,39.76,687,1728
55,56,56,Tim Clark,76,39.73,522,1314
56,T57,T57,David Morland IV,58,39.66,414,1044
57,T57,T57,Duffy Waldorf,90,39.66,621,1566
58,59,59,Steve Flesch,110,39.63,749,1890
59,T60,T60,Pat Bates,94,39.62,649,1638
60,T60,T60,Phil Tataurangi,88,39.62,599,1512
61,62,62,Davis Love III,92,39.59,620,1566
62,63,63,Paul Stankowski,100,39.57,698,1764
63,64,64,Craig Barlow,62,39.56,413,1044
64,T65,T65,Cameron Beckman,87,39.54,605,1530
65,T65,T65,David Toms,106,39.54,726,1836
66,67,67,John Daly,62,39.53,434,1098
67,68,68,Mike Sposa,111,39.5,775,1962
68,69,69,Kent Jones,105,39.48,732,1854
69,70,70,Chris DiMarco,111,39.41,752,1908
70,71,71,Steve Allan,93,39.38,645,1638
71,72,72,Jonathan Kaye,83,39.37,574,1458
72,73,73,Michael Muehr,73,39.36,503,1278
73,T74,T74,Rich Beem,99,39.3,672,1710
74,T74,T74,Carl Paulson,84,39.3,580,1476
75,T74,T74,Craig Stadler,72,39.3,481,1224
76,77,77,Tom Pernice Jr.,101,39.28,700,1782
77,78,78,John Rollins,124,39.26,848,2160
78,79,79,Dudley Hart,88,39.22,593,1512
79,80,80,Per-Ulrik Johansson,87,39.21,614,1566
80,81,81,Garrett Willis,80,39.17,550,1404
81,82,82,Stuart Appleby,97,39.13,662,1692
82,83,83,Grant Waite,98,39.12,676,1728
83,84,84,Notah Begay III,76,39.11,521,1332
84,85,85,David Peoples,105,39.05,738,1890
