,Official_Money_RANK THIS WEEK,Official_Money_RANK LAST WEEK,Official_Money_PLAYER NAME,Official_Money_EVENTS,Official_Money_MONEY,Official_Money_YTD VICTORIES
0,1,1,Justin Thomas,25,"$9,921,560",5.0
1,2,2,Jordan Spieth,23,"$9,433,033",3.0
2,3,3,Dustin Johnson,20,"$8,732,193",4.0
3,4,4,Hideki Matsuyama,22,"$8,380,570",3.0
4,5,5,Jon Rahm,23,"$6,123,248",1.0
5,6,6,Rickie Fowler,21,"$6,083,197",1.0
6,7,7,Marc Leishman,25,"$5,866,391",2.0
7,8,8,Brooks Koepka,24,"$5,612,397",1.0
8,9,9,Kevin Kisner,28,"$4,766,936",1.0
9,10,10,Brian Harman,30,"$4,396,470",1.0
10,11,11,Pat Perez,26,"$4,361,400",1.0
11,12,12,Xander Schauffele,28,"$4,312,674",2.0
12,13,13,Daniel Berger,26,"$4,287,161",1.0
13,14,14,Matt Kuchar,26,"$4,282,489",
14,15,15,Justin Rose,18,"$4,245,308",
15,16,16,Charley Hoffman,31,"$4,161,008",
16,17,17,Paul Casey,24,"$3,906,974",
17,18,18,Sergio Garcia,17,"$3,522,476",1.0
18,19,19,Adam Hadwin,28,"$3,455,012",1.0
19,20,20,Russell Henley,27,"$3,413,876",1.0
20,21,21,Kyle Stanley,29,"$3,402,106",1.0
21,22,22,Jason Dufner,24,"$3,310,341",1.0
22,23,23,Webb Simpson,28,"$3,209,646",
23,24,24,Kevin Chappell,27,"$3,149,615",1.0
24,25,25,Louis Oosthuizen,18,"$3,105,422",
25,26,26,Patrick Reed,29,"$3,055,111",
26,27,27,Gary Woodland,26,"$2,980,225",
27,28,28,Jason Day,20,"$2,978,181",
28,29,29,Jhonattan Vegas,29,"$2,944,738",1.0
29,30,30,Brendan Steele,25,"$2,907,095",1.0
30,31,31,Francesco Molinari,21,"$2,875,850",
31,32,32,Bill Haas,25,"$2,842,173",
32,33,33,Tony Finau,29,"$2,838,629",
33,34,34,Henrik Stenson,15,"$2,769,771",1.0
34,35,35,Billy Horschel,28,"$2,697,960",1.0
35,36,36,Si Woo Kim,30,"$2,681,177",1.0
36,37,37,Charles Howell III,23,"$2,606,383",
37,38,38,Wesley Bryan,28,"$2,495,751",1.0
38,39,39,Rory McIlroy,14,"$2,430,182",
39,40,40,Zach Johnson,23,"$2,362,968",
40,41,41,Mackenzie Hughes,31,"$2,355,553",1.0
41,42,42,Hudson Swafford,28,"$2,246,090",1.0
42,43,43,Charl Schwartzel,18,"$2,156,036",
43,44,44,Cameron Smith,26,"$2,123,216",1.0
44,45,45,Phil Mickelson,22,"$2,102,599",
45,46,46,Ian Poulter,20,"$2,098,346",
46,47,47,Patrick Cantlay,13,"$2,049,632",
47,48,48,Lucas Glover,26,"$1,955,822",
48,49,49,Anirban Lahiri,22,"$1,944,289",
49,50,50,Sung Kang,32,"$1,943,309",
50,51,51,Keegan Bradley,29,"$1,940,478",
51,52,52,Ollie Schniederjans,28,"$1,935,669",
52,53,53,Rafa Cabrera Bello,19,"$1,934,675",
53,54,54,Jamie Lovemark,28,"$1,886,972",
