,Money_per_Event_Leaders_RANK THIS WEEK,Money_per_Event_Leaders_RANK LAST WEEK,Money_per_Event_Leaders_PLAYER NAME,Money_per_Event_Leaders_EVENTS,Money_per_Event_Leaders_MONEY PER EVENT,Money_per_Event_Leaders_TOTAL MONEY
0,1,,Dustin Johnson,20,"$436,609","$8,732,193"
1,2,,Jordan Spieth,23,"$410,131","$9,433,032"
2,3,,Justin Thomas,25,"$396,862","$9,921,559"
3,4,,Hideki Matsuyama,22,"$380,934","$8,380,569"
4,5,,Rickie Fowler,21,"$289,676","$6,083,197"
5,6,,Matthew Southgate,1,"$281,000","$281,000"
6,7,,Jon Rahm,23,"$266,228","$6,123,247"
7,8,,Jordan L Smith,1,"$250,000","$250,000"
8,9,,Justin Rose,18,"$235,850","$4,245,308"
9,10,,Marc Leishman,25,"$234,655","$5,866,390"
10,11,,Brooks Koepka,24,"$233,849","$5,612,397"
11,12,,Sergio Garcia,17,"$207,204","$3,522,476"
12,13,,Henrik Stenson,15,"$184,651","$2,769,770"
13,14,,Rory McIlroy,14,"$173,584","$2,430,181"
14,15,,Louis Oosthuizen,18,"$172,523","$3,105,421"
15,16,,Kevin Kisner,28,"$170,247","$4,766,936"
16,17,,Pat Perez,26,"$167,746","$4,361,400"
17,18,,Daniel Berger,26,"$164,890","$4,287,161"
18,19,,Matt Kuchar,26,"$164,711","$4,282,488"
19,20,,Paul Casey,24,"$162,790","$3,906,973"
20,21,,Patrick Cantlay,13,"$157,663","$2,049,631"
21,22,,Eddie Pepperell,1,"$156,809","$156,809"
22,23,,Xander Schauffele,28,"$154,024","$4,312,674"
23,24,,Jason Day,20,"$148,909","$2,978,181"
24,25,,Fred Couples,1,"$148,500","$148,500"
25,26,,Brian Harman,30,"$146,549","$4,396,470"
26,27,,Keith Mitchell,1,"$144,900","$144,900"
27,28,,HaoTong Li,5,"$141,344","$706,722"
28,29,,Oscar Fraustro,1,"$140,000","$140,000"
29,30,,Jason Dufner,24,"$137,930","$3,310,341"
30,31,,Francesco Molinari,21,"$136,945","$2,875,850"
31,32,,Charley Hoffman,31,"$134,226","$4,161,007"
32,33,,Austin Connelly,1,"$128,917","$128,917"
33,34,,Russell Henley,27,"$126,439","$3,413,876"
34,35,,Adam Hadwin,28,"$123,393","$3,455,012"
35,36,,Charl Schwartzel,18,"$119,779","$2,156,035"
36,37,,Kyle Stanley,29,"$117,313","$3,402,105"
37,38,,Kevin Chappell,27,"$116,652","$3,149,614"
38,39,,Brendan Steele,25,"$116,283","$2,907,095"
39,40,,Webb Simpson,28,"$114,630","$3,209,646"
40,41,,Gary Woodland,26,"$114,624","$2,980,225"
41,42,,Bill Haas,25,"$113,686","$2,842,173"
42,43,,Charles Howell III,23,"$113,320","$2,606,382"
43,44,,Brandt Snedeker,15,"$108,387","$1,625,805"
44,45,,Adam Scott,16,"$105,946","$1,695,143"
45,46,,Patrick Reed,29,"$105,348","$3,055,110"
46,47,,Ian Poulter,20,"$104,917","$2,098,345"
47,48,,Zach Johnson,23,"$102,737","$2,362,968"
48,49,,Rafa Cabrera Bello,19,"$101,824","$1,934,674"
49,50,,Jhonattan Vegas,29,"$101,542","$2,944,737"
50,51,,Henrik Norlander,5,"$99,782","$498,913"
51,52,,Cameron Davis,1,"$98,466","$98,466"
52,53,,Tony Finau,29,"$97,883","$2,838,629"
53,54,,Billy Horschel,28,"$96,355","$2,697,959"
54,55,,Phil Mickelson,22,"$95,572","$2,102,599"
55,56,,Thomas Pieters,12,"$94,255","$1,131,070"
56,57,,Tommy Fleetwood,10,"$91,239","$912,392"
57,58,,Si Woo Kim,30,"$89,372","$2,681,176"
58,59,,Wesley Bryan,28,"$89,133","$2,495,750"
59,60,,Anirban Lahiri,22,"$88,376","$1,944,288"
60,61,,Chan Kim,2,"$87,666","$175,333"
61,62,,Rafael Campos,4,"$83,494","$333,978"
62,63,,Cameron Smith,26,"$81,662","$2,123,216"
63,64,,Hudson Swafford,28,"$80,217","$2,246,090"
64,65,,Steve Stricker,13,"$77,079","$1,002,036"
65,66,,Mackenzie Hughes,31,"$75,985","$2,355,553"
66,67,,Lucas Glover,26,"$75,223","$1,955,822"
67,68,,Sean O'Hair,25,"$74,954","$1,873,856"
68,69,,Ryan Moore,24,"$72,993","$1,751,851"
69,70,,Martin Laird,25,"$70,388","$1,759,706"
70,71,,Chase Koepka,2,"$70,112","$140,225"
71,72,,Rod Pampling,22,"$69,973","$1,539,421"
72,73,,Ollie Schniederjans,28,"$69,131","$1,935,668"
73,74,,Russell Knox,24,"$68,496","$1,643,924"
74,75,,Jamie Lovemark,28,"$67,391","$1,886,971"
75,76,,Keegan Bradley,29,"$66,913","$1,940,477"
