,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
0,1,,Dustin Johnson,20,5.03,"$8,732,193","$173,700,000"
1,2,,Jordan Spieth,23,4.85,"$9,433,032","$194,500,000"
2,3,,Justin Thomas,25,4.77,"$9,921,558","$208,200,000"
3,4,,Hideki Matsuyama,22,4.39,"$8,380,568","$191,000,000"
4,5,,Rickie Fowler,21,3.34,"$6,083,197","$182,050,000"
5,6,,Jon Rahm,23,3.16,"$6,123,246","$193,600,010"
6,7,,Marc Leishman,25,2.84,"$5,866,388","$206,750,010"
7,T8,,Brooks Koepka,24,2.74,"$5,612,396","$205,000,000"
8,T8,,Matthew Southgate,1,2.74,"$281,000","$10,250,000"
9,10,,Justin Rose,18,2.7,"$4,245,308","$157,450,000"
10,11,,Jordan L Smith,1,2.38,"$250,000","$10,500,000"
11,T12,,Sergio Garcia,17,2.3,"$3,522,475","$153,050,000"
12,T12,,Keith Mitchell,1,2.3,"$144,900","$6,300,000"
13,T14,,Tommy Fleetwood,10,2.1,"$2,094,454","$99,900,000"
14,T14,,Xander Schauffele,28,2.1,"$4,312,673","$205,000,010"
15,16,,Kevin Kisner,28,2.08,"$4,766,931","$229,300,000"
16,17,,Henrik Stenson,15,2.06,"$2,769,770","$134,650,000"
17,T18,,Daniel Berger,26,2.02,"$4,287,160","$212,600,000"
18,T18,,Pat Perez,26,2.02,"$4,361,397","$216,100,010"
19,20,,Oscar Fraustro,1,2.0,"$140,000","$7,000,010"
20,21,,Matt Kuchar,26,1.99,"$4,282,487","$215,000,000"
21,22,,Patrick Cantlay,13,1.96,"$2,049,631","$104,800,000"
22,23,,Paul Casey,24,1.94,"$3,906,973","$201,800,000"
23,24,,Louis Oosthuizen,18,1.92,"$3,105,419","$161,350,000"
24,25,,Brian Harman,30,1.91,"$4,396,468","$230,300,010"
25,26,,Thomas Pieters,12,1.86,"$2,058,070","$110,700,000"
26,27,,Rory McIlroy,14,1.82,"$2,430,179","$133,750,000"
27,28,,Charley Hoffman,31,1.73,"$4,161,006","$240,400,010"
28,29,,Jason Day,20,1.72,"$2,978,181","$173,550,000"
29,30,,Jason Dufner,24,1.68,"$3,310,339","$197,600,000"
30,31,,Russell Henley,27,1.63,"$3,413,874","$209,400,000"
31,32,,Francesco Molinari,21,1.6,"$2,875,848","$179,850,000"
32,T33,,Henrik Norlander,5,1.57,"$498,913","$31,700,000"
33,T33,,Kyle Stanley,29,1.57,"$3,402,103","$217,300,010"
34,T35,,Adam Hadwin,28,1.56,"$3,455,011","$221,200,010"
35,T35,,HaoTong Li,5,1.56,"$751,972","$48,050,000"
36,37,,Charles Howell III,23,1.54,"$2,606,379","$169,550,010"
37,38,,Fred Couples,1,1.49,"$148,500","$10,000,000"
38,39,,Rafael Campos,4,1.47,"$333,977","$22,700,000"
39,40,,Webb Simpson,28,1.45,"$3,209,644","$220,600,010"
40,41,,Ian Poulter,20,1.44,"$2,098,344","$145,800,010"
41,42,,Brendan Steele,25,1.43,"$2,907,094","$202,950,000"
42,43,,Cameron Davis,1,1.41,"$98,466","$7,000,010"
43,44,,Kevin Chappell,27,1.4,"$3,149,612","$224,800,000"
44,T45,,Bill Haas,25,1.39,"$2,842,172","$204,950,000"
45,T45,,Brandt Snedeker,15,1.39,"$1,625,803","$116,900,000"
46,47,,Gary Woodland,26,1.38,"$2,980,224","$216,700,010"
47,48,,Charl Schwartzel,18,1.32,"$2,156,034","$162,850,000"
48,49,,Eddie Pepperell,1,1.31,"$156,809","$12,000,000"
49,50,,Tony Finau,29,1.3,"$2,838,626","$217,950,010"
50,51,,Patrick Reed,29,1.28,"$3,055,109","$238,100,000"
51,T52,,Austin Connelly,1,1.26,"$128,917","$10,250,000"
52,T52,,Jhonattan Vegas,29,1.26,"$2,944,735","$233,600,010"
53,T54,,Ross Fisher,10,1.25,"$1,258,083","$100,700,000"
