,Career_Earnings_RANK THIS WEEK,Career_Earnings_RANK LAST WEEK,Career_Earnings_PLAYER NAME,Career_Earnings_MONEY
0,1,,Tiger Woods,"$110,061,012"
1,2,,Phil Mickelson,"$83,577,937"
2,3,,Vijay Singh,"$70,875,994"
3,4,,Jim Furyk,"$67,740,599"
4,5,,Ernie Els,"$48,913,269"
5,6,,Dustin Johnson,"$47,763,937"
6,7,,Sergio Garcia,"$47,208,180"
7,8,,Adam Scott,"$46,848,251"
8,9,,Davis Love III,"$44,540,034"
9,10,,Steve Stricker,"$43,365,225"
10,11,,Zach Johnson,"$42,558,377"
11,12,,Matt Kuchar,"$41,987,880"
12,13,,David Toms,"$41,840,270"
13,14,,Justin Rose,"$40,997,882"
14,15,,Jason Day,"$38,044,553"
15,16,,Bubba Watson,"$36,648,664"
16,17,,Rory McIlroy,"$36,524,177"
17,18,,Luke Donald,"$35,862,528"
18,19,,Stewart Cink,"$35,415,305"
19,20,,Jordan Spieth,"$35,224,536"
20,21,,Justin Leonard,"$33,884,793"
21,22,,Charles Howell III,"$33,461,721"
22,23,,Brandt Snedeker,"$32,352,694"
23,24,,Kenny Perry,"$32,123,130"
24,25,,K.J. Choi,"$32,095,481"
25,26,,Retief Goosen,"$30,749,344"
26,27,,Geoff Ogilvy,"$30,359,479"
27,28,,Rory Sabbatini,"$30,235,033"
28,29,,Hunter Mahan,"$29,982,942"
29,30,,Rickie Fowler,"$29,772,221"
30,31,,Stuart Appleby,"$29,619,950"
31,32,,Jerry Kelly,"$28,853,748"
32,33,,Bill Haas,"$28,712,873"
33,34,,Mike Weir,"$27,943,673"
34,35,,Scott Verplank,"$27,500,225"
35,36,,Robert Allenby,"$27,457,391"
36,37,,Henrik Stenson,"$27,328,733"
37,38,,Ryan Moore,"$26,661,432"
38,39,,Chad Campbell,"$25,776,397"
39,40,,Webb Simpson,"$25,248,651"
40,41,,Charley Hoffman,"$25,078,093"
41,42,,Nick Watney,"$24,871,226"
42,43,,Padraig Harrington,"$24,683,420"
43,44,,Jason Dufner,"$24,427,989"
44,45,,Kevin Na,"$24,408,116"
45,46,,Mark Calcavecchia,"$24,216,436"
46,47,,Tim Clark,"$23,942,321"
47,48,,Jimmy Walker,"$22,856,503"
48,49,,Fred Couples,"$22,744,374"
49,50,,Chris DiMarco,"$22,656,443"
50,51,,Carl Pettersson,"$22,645,429"
51,52,,Sean O'Hair,"$22,620,689"
52,53,,Paul Casey,"$21,982,360"
53,54,,Ryan Palmer,"$21,722,037"
54,55,,Bob Estes,"$21,613,109"
55,56,,Tom Lehman,"$21,495,878"
56,57,,Pat Perez,"$21,480,558"
57,58,,J.B. Holmes,"$21,452,832"
58,59,,John Senden,"$21,383,767"
59,60,,Fred Funk,"$21,301,437"
60,61,,Ben Crane,"$20,741,036"
61,62,,Nick Price,"$20,576,104"
62,63,,Bo Van Pelt,"$20,426,888"
63,64,,Billy Mayfair,"$20,303,642"
64,65,,Ian Poulter,"$20,119,979"
65,66,,Hideki Matsuyama,"$19,861,093"
66,67,,Aaron Baddeley,"$19,817,689"
67,68,,Stephen Ames,"$19,718,160"
68,69,,Jeff Maggert,"$19,364,566"
69,70,,Lucas Glover,"$19,352,954"
70,71,,Camilo Villegas,"$19,341,921"
71,72,,Marc Leishman,"$19,326,668"
72,73,,Lee Westwood,"$19,202,947"
73,74,,Tim Herron,"$19,114,397"
74,75,,Brian Gay,"$19,018,357"
75,76,,David Duval,"$18,983,931"
76,77,,Patrick Reed,"$18,635,882"
77,78,,Keegan Bradley,"$18,540,250"
78,79,,Scott Hoch,"$18,530,156"
79,80,,John Rollins,"$18,398,925"
80,81,,Jonathan Byrd,"$18,365,041"
81,82,,Steve Flesch,"$18,299,945"
82,83,,Jeff Sluman,"$18,165,266"
83,84,,Freddie Jacobson,"$18,047,198"
84,85,,Brad Faxon,"$17,769,249"
85,86,,Gary Woodland,"$16,885,553"
86,87,,Rocco Mediate,"$16,824,617"
87,88,,Woody Austin,"$16,580,132"
88,89,,Justin Thomas,"$16,496,726"
89,90,,J.J. Henry,"$16,170,062"
90,91,,Lee Janzen,"$16,040,639"
91,92,,Corey Pavin,"$16,021,370"
92,93,,Jason Bohn,"$15,997,293"
93,94,,Heath Slocum,"$15,904,202"
94,95,,Bob Tway,"$15,785,815"
95,96,,Rod Pampling,"$15,735,723"
96,97,,Louis Oosthuizen,"$15,733,131"
97,98,,Kevin Streelman,"$15,684,491"
98,99,,Kevin Sutherland,"$15,658,171"
99,100,,Martin Laird,"$15,637,856"
100,101,,Billy Horschel,"$15,513,972"
101,102,,Steve Elkington,"$15,505,418"
102,103,,Graeme McDowell,"$15,355,494"
103,104,,Jesper Parnevik,"$15,321,627"
104,105,,Mark Wilson,"$15,310,189"
105,106,,Hal Sutton,"$15,267,685"
106,107,,Charl Schwartzel,"$15,255,119"
107,108,,Loren Roberts,"$15,154,767"
108,109,,Steve Lowery,"$15,128,611"
109,110,,Chris Kirk,"$15,110,145"
110,111,,Scott Piercy,"$15,090,669"
111,112,,John Huston,"$14,967,146"
112,113,,Tom Pernice Jr.,"$14,950,594"
113,114,,Boo Weekley,"$14,933,060"
114,115,,Ángel Cabrera,"$14,563,268"
115,116,,Vaughn Taylor,"$14,533,815"
116,117,,Greg Norman,"$14,484,458"
117,118,,Paul Azinger,"$14,467,496"
118,119,,Jay Haas,"$14,440,317"
119,120,,Mark O'Meara,"$14,325,371"
120,121,,Joe Durant,"$14,181,693"
121,122,,Kirk Triplett,"$14,096,656"
122,123,,Kevin Chappell,"$14,094,104"
123,124,,Robert Garrigus,"$13,892,602"
124,125,,Shigeki Maruyama,"$13,809,170"
125,126,,Ben Curtis,"$13,779,910"
126,127,,Brooks Koepka,"$13,564,755"
127,128,,Kevin Kisner,"$13,336,292"
128,129,,Brian Davis,"$13,295,212"
129,130,,Briny Baird,"$13,251,178"
130,131,,Jeff Overton,"$12,790,635"
131,132,,Paul Goydos,"$12,782,100"
132,133,,John Cook,"$12,685,199"
133,134,,Scott McCarron,"$12,649,527"
134,135,,Dudley Hart,"$12,635,726"
135,136,,Trevor Immelman,"$12,587,889"
136,137,,Billy Andrade,"$12,494,805"
137,138,,José María Olazábal,"$12,335,310"
138,139,,Anthony Kim,"$12,206,409"
139,140,,Tim Petrovic,"$12,193,429"
140,141,,Duffy Waldorf,"$11,932,543"
141,142,,Frank Lickliter II,"$11,841,515"
142,143,,Brian Harman,"$11,715,164"
143,144,,George McNeill,"$11,618,679"
144,145,,Chris Riley,"$11,525,199"
145,146,,Harrison Frazar,"$11,456,390"
146,147,,Brendon de Jonge,"$11,439,854"
147,148,,Brendan Steele,"$11,437,171"
148,149,,D.A. Points,"$11,409,509"
149,150,,Alex Cejka,"$11,382,973"
150,151,,Russell Henley,"$11,351,516"
151,152,,Joey Sindelar,"$11,196,462"
152,153,,Harris English,"$11,185,421"
153,154,,Johnson Wagner,"$11,178,397"
154,155,,Bryce Molder,"$11,142,502"
155,156,,Tom Watson,"$11,081,140"
156,157,,Brett Quigley,"$11,058,693"
157,158,,Tom Kite,"$11,041,042"
158,159,,Graham DeLaet,"$10,982,296"
159,160,,Chris Stroud,"$10,925,987"
160,161,,Russell Knox,"$10,778,684"
161,162,,Ken Duke,"$10,747,600"
162,163,,Daniel Berger,"$10,666,414"
163,164,,Jonathan Kaye,"$10,584,934"
164,165,,Bernhard Langer,"$10,513,044"
165,166,,Matt Jones,"$10,359,362"
166,167,,Greg Chalmers,"$10,314,979"
167,168,,Martin Kaymer,"$10,311,791"
168,169,,Steve Marino,"$10,299,081"
169,170,,John Daly,"$10,245,249"
170,171,,Kyle Stanley,"$10,215,511"
171,172,,Joe Ogilvie,"$10,149,923"
172,173,,Charlie Wi,"$10,056,046"
173,174,,Craig Stadler,"$10,021,897"
174,175,,Cameron Beckman,"$9,858,225"
175,176,,D.J. Trahan,"$9,812,335"
176,177,,William McGirt,"$9,749,676"
177,178,,Bart Bryant,"$9,713,852"
178,179,,Kevin Stadler,"$9,698,197"
179,180,,Cameron Tringale,"$9,691,139"
180,181,,Rich Beem,"$9,620,442"
181,182,,Peter Lonard,"$9,501,202"
182,183,,Tommy Armour III,"$9,458,248"
183,184,,Mark Brooks,"$9,455,441"
184,185,,Carlos Franco,"$9,431,368"
185,186,,Andres Romero,"$9,400,501"
186,187,,Troy Matteson,"$9,353,206"
187,188,,Jhonattan Vegas,"$9,324,354"
188,189,,Glen Day,"$9,241,922"
189,190,,Ryuji Imada,"$9,213,425"
190,191,,David Frost,"$9,195,639"
191,192,,Shaun Micheel,"$9,132,330"
192,193,,Brandt Jobe,"$9,000,273"
193,194,,John Merrick,"$8,963,323"
194,195,,Dean Wilson,"$8,924,744"
195,196,,Jonas Blixt,"$8,852,683"
196,197,,Scott Stallings,"$8,831,606"
197,198,,Chez Reavie,"$8,748,871"
198,199,,Y.E. Yang,"$8,729,202"
199,200,,Robert Gamez,"$8,712,304"
200,201,,Daniel Summerhays,"$8,706,899"
201,202,,Darren Clarke,"$8,694,752"
202,203,,Dan Forsman,"$8,687,983"
203,204,,Danny Lee,"$8,595,239"
204,205,,Olin Browne,"$8,516,287"
205,206,,Andrew Magee,"$8,512,753"
206,207,,Craig Parry,"$8,481,456"
207,208,,J.P. Hayes,"$8,391,404"
208,209,,Matt Every,"$8,315,978"
209,210,,Robert Streb,"$8,294,020"
210,211,,David Hearn,"$8,290,593"
211,212,,Greg Owen,"$8,277,386"
212,213,,Spencer Levin,"$8,203,776"
213,214,,Ricky Barnes,"$8,113,670"
214,215,,David Lingmerth,"$8,095,685"
215,216,,Skip Kendall,"$8,087,631"
216,217,,Will MacKenzie,"$8,044,245"
217,218,,Steve Pate,"$8,039,988"
218,219,,Larry Mize,"$7,947,092"
219,220,,Daniel Chopra,"$7,938,696"
220,221,,James Hahn,"$7,862,385"
221,222,,Peter Jacobsen,"$7,799,810"
222,223,,Arron Oberholser,"$7,665,222"
223,224,,John Huh,"$7,648,988"
224,225,,Curtis Strange,"$7,599,951"
225,226,,J.L. Lewis,"$7,480,274"
226,227,,Ted Purdy,"$7,424,589"
227,228,,Brent Geiberger,"$7,374,382"
228,229,,Jason Kokrak,"$7,359,574"
229,230,,Paul Stankowski,"$7,357,259"
230,231,,Ben Crenshaw,"$7,139,756"
231,232,,Jon Rahm,"$7,127,282"
232,233,,Francesco Molinari,"$7,069,745"
233,234,,Brett Wetterich,"$7,008,473"
234,235,,John Mallinger,"$6,988,536"
235,236,,Scott Brown,"$6,986,156"
236,237,,Bill Glasson,"$6,912,619"
237,238,,Chris Perry,"$6,866,671"
238,239,,Len Mattiace,"$6,863,198"
239,240,,Nathan Green,"$6,856,057"
240,241,,Steven Bowditch,"$6,839,023"
241,242,,Seung-Yul Noh,"$6,791,265"
242,243,,Scott Simpson,"$6,778,273"
243,244,,Tony Finau,"$6,756,565"
244,245,,Michael Thompson,"$6,707,011"
245,246,,Ben Martin,"$6,596,270"
246,247,,Roberto Castro,"$6,593,585"
247,248,,Tom Byrum,"$6,554,699"
248,249,,Steve Jones,"$6,519,451"
249,250,,Bruce Lietzke,"$6,474,794"
250,251,,Brendon Todd,"$6,447,992"
251,252,,Jason Gore,"$6,372,323"
252,253,,Robert Damron,"$6,363,926"
253,254,,Brian Stuard,"$6,362,986"
254,255,,Lanny Wadkins,"$6,355,681"
255,256,,Mark Hensby,"$6,334,964"
256,257,,Michael Allen,"$6,316,156"
257,258,,Neal Lancaster,"$6,312,668"
258,259,,Sangmoon Bae,"$6,235,686"
259,260,,Chip Beck,"$6,205,730"
260,261,,Richard Johnson,"$6,204,475"
261,262,,Branden Grace,"$6,026,274"
262,263,,"Jim Gallagher, Jr.","$6,002,202"
263,264,,Hale Irwin,"$5,966,031"
264,265,,Jay Williamson,"$5,944,298"
265,266,,Adam Hadwin,"$5,934,109"
266,267,,Bud Cauley,"$5,915,328"
267,268,,Fuzzy Zoeller,"$5,819,293"
268,269,,Greg Kraft,"$5,786,218"
269,270,,James Driscoll,"$5,779,522"
270,271,,Si Woo Kim,"$5,767,546"
271,272,,Dicky Pride,"$5,744,217"
272,273,,David Peoples,"$5,736,812"
273,274,,Jack Nicklaus,"$5,734,031"
274,275,,Nicholas Thompson,"$5,720,607"
275,276,,Morgan Hoffmann,"$5,696,923"
276,277,,Michael Bradley,"$5,664,934"
277,278,,Robert Karlsson,"$5,637,209"
278,279,,Russ Cochran,"$5,579,837"
279,280,,Jay Don Blake,"$5,555,470"
280,281,,Todd Hamilton,"$5,521,259"
281,282,,Tommy Gainey,"$5,518,287"
282,283,,Jim Herman,"$5,513,007"
283,284,,Troy Merritt,"$5,406,373"
284,285,,Kent Jones,"$5,386,476"
285,286,,José Coceres,"$5,337,955"
286,287,,Raymond Floyd,"$5,323,075"
287,288,,Emiliano Grillo,"$5,320,333"
288,289,,Mark McCumber,"$5,309,688"
289,290,,Gil Morgan,"$5,259,164"
290,291,,Craig Barlow,"$5,236,816"
291,292,,Tom Gillis,"$5,229,210"
292,293,,Blaine McCallister,"$5,227,278"
293,294,,Notah Begay III,"$5,207,339"
294,295,,Fabián Gómez,"$5,206,692"
295,296,,Chris Smith,"$5,016,813"
296,297,,Dennis Paulson,"$4,983,871"
297,298,,Arjun Atwal,"$4,924,111"
298,299,,Jamie Lovemark,"$4,923,481"
299,300,,Colin Montgomerie,"$4,817,908"
300,301,,David Edwards,"$4,773,198"
301,302,,D.A. Weibring,"$4,770,705"
302,303,,Shawn Stefani,"$4,768,590"
303,304,,Jim Carter,"$4,766,778"
304,305,,Billy Hurley III,"$4,751,109"
305,306,,Hudson Swafford,"$4,746,678"
306,307,,Wayne Levi,"$4,730,158"
307,308,,Thomas Bjørn,"$4,720,742"
308,309,,Tag Ridings,"$4,712,032"
309,310,,Mike Reid,"$4,686,774"
310,311,,Gene Sauers,"$4,660,569"
311,312,,Matt Gogel,"$4,596,216"
312,313,,Grant Waite,"$4,583,879"
313,314,,Josh Teater,"$4,581,582"
314,315,,Martin Flores,"$4,576,193"
315,316,,Marco Dawson,"$4,341,727"
316,317,,Mark Wiebe,"$4,314,460"
317,318,,Xander Schauffele,"$4,312,674"
318,319,,Joel Edwards,"$4,286,415"
319,320,,Chris Couch,"$4,233,973"
320,321,,Colt Knost,"$4,220,810"
321,322,,Tom Purtzer,"$4,192,268"
322,323,,Mike Hulbert,"$4,183,778"
323,324,,Patrick Sheehan,"$4,132,804"
324,325,,Ryo Ishikawa,"$4,084,098"
325,326,,Kyle Reifers,"$4,039,404"
326,327,,Miguel Angel Jiménez,"$4,033,098"
327,328,,Brandel Chamblee,"$4,018,410"
328,329,,Rick Fehr,"$4,018,239"
329,330,,Donnie Hammond,"$4,008,060"
330,331,,Erik Compton,"$3,991,840"
331,332,,Chad Collins,"$3,953,512"
332,333,,Cliff Kresge,"$3,953,366"
333,334,,Garrett Willis,"$3,950,898"
334,335,,John Mahaffey,"$3,876,852"
335,336,,Brian Bateman,"$3,869,324"
336,337,,Ted Tryba,"$3,853,236"
337,338,,Omar Uresti,"$3,830,453"
338,339,,Larry Nelson,"$3,827,401"
339,340,,Charlie Beljan,"$3,809,983"
340,341,,Sung Kang,"$3,794,707"
341,342,,Tim Wilkinson,"$3,780,956"
342,343,,Patrick Rodgers,"$3,750,054"
343,344,,Ken Green,"$3,745,345"
344,345,,Bill Lunde,"$3,716,287"
345,346,,Jay Delsing,"$3,608,666"
346,347,,Nolan Henke,"$3,606,563"
347,348,,Cameron Smith,"$3,577,356"
348,349,,Blake Adams,"$3,567,637"
349,350,,Brad Bryant,"$3,558,804"
350,351,,Andy Bean,"$3,531,780"
351,352,,Lee Trevino,"$3,478,328"
352,353,,Chesson Hadley,"$3,425,046"
353,354,,Tim Simpson,"$3,406,017"
354,355,,Craig Perks,"$3,362,251"
355,356,,Anirban Lahiri,"$3,351,097"
356,357,,Shane Lowry,"$3,319,573"
357,358,,Brian Henninger,"$3,316,460"
358,359,,Bob Burns,"$3,313,226"
359,360,,Smylie Kaufman,"$3,300,142"
360,361,,Don Pooley,"$3,296,615"
361,362,,Phil Blackmar,"$3,245,909"
362,363,,Phil Tataurangi,"$3,174,391"
363,364,,Kris Blanks,"$3,173,704"
364,365,,Eric Axley,"$3,172,479"
365,366,,Fulton Allem,"$3,155,787"
366,367,,Ronnie Black,"$3,155,053"
367,368,,Jon Curran,"$3,146,423"
368,369,,Luke Guthrie,"$3,119,721"
369,370,,Dan Pohl,"$3,112,263"
370,371,,Rafa Cabrera Bello,"$3,088,695"
371,372,,Bob Gilder,"$3,032,108"
372,373,,Zac Blair,"$2,974,241"
373,374,,Nick Taylor,"$2,956,376"
374,375,,Justin Hicks,"$2,905,393"
375,376,,Scott Langley,"$2,892,326"
376,377,,Frank Nobilo,"$2,875,836"
377,378,,Matt Bettencourt,"$2,874,771"
378,379,,Jim McGovern,"$2,858,703"
379,380,,Sandy Lyle,"$2,855,439"
380,381,,Tom Scherrer,"$2,850,394"
381,382,,David Ogrin,"$2,848,159"
382,383,,Luke List,"$2,841,221"
383,384,,Bobby Wadkins,"$2,822,418"
384,385,,Danny Willett,"$2,780,414"
385,386,,Willie Wood,"$2,760,886"
386,387,,Johnny Miller,"$2,747,484"
387,388,,Doug Tewell,"$2,723,711"
388,389,,Scott Gump,"$2,715,190"
389,390,,Howard Twitty,"$2,713,551"
390,391,,Cameron Percy,"$2,701,010"
