,Percentage_of_potential_money_won_RANK THIS WEEK,Percentage_of_potential_money_won_RANK LAST WEEK,Percentage_of_potential_money_won_PLAYER NAME,Percentage_of_potential_money_won_EVENTS,Percentage_of_potential_money_won_%,Percentage_of_potential_money_won_OFFICIAL MONEY WON,Percentage_of_potential_money_won_POTENTIAL MONEY
0,1,,Dustin Johnson,20,28.16,"$8,732,193","$31,013,000"
1,2,,Jordan Spieth,23,27.13,"$9,433,032","$34,771,400"
2,3,,Justin Thomas,25,26.71,"$9,921,559","$37,147,400"
3,4,,Hideki Matsuyama,22,24.61,"$8,380,569","$34,051,400"
4,5,,Rickie Fowler,21,18.77,"$6,083,197","$32,413,400"
5,6,,Jon Rahm,23,17.62,"$6,123,247","$34,743,001"
6,7,,Marc Leishman,25,15.77,"$5,866,390","$37,205,001"
7,8,,Brooks Koepka,24,15.4,"$5,612,397","$36,449,400"
8,9,,Matthew Southgate,1,15.23,"$281,000","$1,845,000"
9,10,,Justin Rose,18,15.12,"$4,245,308","$28,075,400"
10,11,,Jordan L Smith,1,13.23,"$250,000","$1,890,000"
11,12,,Sergio Garcia,17,12.88,"$3,522,476","$27,354,000"
12,13,,Keith Mitchell,1,12.78,"$144,900","$1,134,000"
13,14,,Xander Schauffele,28,11.8,"$4,312,674","$36,549,401"
14,15,,Tommy Fleetwood,10,11.72,"$2,094,454","$17,877,000"
15,16,,Kevin Kisner,28,11.68,"$4,766,936","$40,823,400"
16,17,,Henrik Stenson,15,11.6,"$2,769,770","$23,881,400"
17,18,,Daniel Berger,26,11.3,"$4,287,161","$37,939,400"
18,19,,Pat Perez,26,11.21,"$4,361,400","$38,915,001"
19,20,,Matt Kuchar,26,11.12,"$4,282,488","$38,505,000"
20,21,,Oscar Fraustro,1,11.11,"$140,000","$1,260,001"
21,22,,Patrick Cantlay,13,11.01,"$2,049,631","$18,608,400"
22,23,,Louis Oosthuizen,18,10.86,"$3,105,421","$28,592,400"
23,24,,Paul Casey,24,10.81,"$3,906,973","$36,129,000"
24,25,,Brian Harman,30,10.7,"$4,396,470","$41,103,401"
25,26,,Thomas Pieters,12,10.57,"$2,058,070","$19,475,400"
26,27,,Rory McIlroy,14,10.18,"$2,430,181","$23,880,000"
27,28,,Charley Hoffman,31,9.63,"$4,161,007","$43,223,401"
28,29,,Jason Day,20,9.58,"$2,978,181","$31,095,400"
29,30,,Jason Dufner,24,9.37,"$3,310,341","$35,329,400"
30,31,,Russell Henley,27,9.1,"$3,413,876","$37,521,400"
31,32,,Francesco Molinari,21,8.94,"$2,875,850","$32,178,000"
32,33,,HaoTong Li,5,8.79,"$751,972","$8,559,000"
33,34,,Kyle Stanley,29,8.78,"$3,402,105","$38,763,401"
34,35,,Henrik Norlander,5,8.74,"$498,913","$5,706,000"
35,36,,Adam Hadwin,28,8.66,"$3,455,012","$39,901,001"
36,37,,Charles Howell III,23,8.57,"$2,606,382","$30,424,001"
37,38,,Rafael Campos,4,8.17,"$333,978","$4,086,000"
38,T39,,Ian Poulter,20,8.07,"$2,098,345","$25,988,401"
39,T39,,Webb Simpson,28,8.07,"$3,209,646","$39,793,001"
40,41,,Brendan Steele,25,8.01,"$2,907,095","$36,292,400"
41,42,,Kevin Chappell,27,7.87,"$3,149,614","$40,013,400"
42,43,,Cameron Davis,1,7.81,"$98,466","$1,260,001"
43,44,,Bill Haas,25,7.75,"$2,842,173","$36,696,000"
44,45,,Gary Woodland,26,7.73,"$2,980,225","$38,555,401"
45,46,,Brandt Snedeker,15,7.69,"$1,625,805","$21,154,000"
46,47,,Fred Couples,1,7.5,"$148,500","$1,980,000"
47,48,,Charl Schwartzel,18,7.4,"$2,156,035","$29,118,000"
48,T49,,Tony Finau,29,7.26,"$2,838,629","$39,097,401"
49,T49,,Eddie Pepperell,1,7.26,"$156,809","$2,160,000"
50,51,,Patrick Reed,29,7.18,"$3,055,110","$42,529,400"
51,52,,Jhonattan Vegas,29,7.06,"$2,944,737","$41,719,401"
52,53,,Ross Fisher,10,7.02,"$1,258,083","$17,931,000"
53,54,,Billy Horschel,28,7.01,"$2,697,959","$38,502,401"
54,55,,Austin Connelly,1,6.99,"$128,917","$1,845,000"
