,Total_Money_Official_and_Unofficial_RANK THIS WEEK,Total_Money_Official_and_Unofficial_RANK LAST WEEK,Total_Money_Official_and_Unofficial_PLAYER NAME,Total_Money_Official_and_Unofficial_EVENTS,Total_Money_Official_and_Unofficial_MONEY
0,1,,Justin Thomas,26,"$10,013,227"
1,2,,Jordan Spieth,24,"$9,573,033"
2,3,,Hideki Matsuyama,24,"$9,529,320"
3,4,,Dustin Johnson,21,"$8,923,860"
4,5,,Rickie Fowler,23,"$6,715,031"
5,6,,Jon Rahm,24,"$6,230,748"
6,7,,Marc Leishman,26,"$5,937,641"
7,8,,Brooks Koepka,25,"$5,720,897"
8,9,,Kevin Kisner,29,"$4,881,936"
9,10,,Matt Kuchar,28,"$4,859,156"
10,11,,Brian Harman,30,"$4,396,470"
11,12,,Daniel Berger,27,"$4,365,911"
12,13,,Pat Perez,26,"$4,361,400"
13,14,,Xander Schauffele,28,"$4,312,674"
14,15,,Charley Hoffman,32,"$4,306,008"
15,16,,Justin Rose,19,"$4,245,308"
16,17,,Paul Casey,24,"$3,906,974"
17,18,,Sergio Garcia,17,"$3,522,476"
18,19,,Adam Hadwin,29,"$3,507,512"
19,20,,Russell Henley,27,"$3,413,876"
20,21,,Kyle Stanley,29,"$3,402,106"
21,22,,Jason Dufner,25,"$3,392,841"
22,23,,Kevin Chappell,28,"$3,264,615"
23,24,,Louis Oosthuizen,19,"$3,230,422"
24,25,,Webb Simpson,28,"$3,209,646"
25,26,,Patrick Reed,30,"$3,175,111"
26,27,,Henrik Stenson,16,"$3,169,771"
27,28,,Gary Woodland,27,"$3,053,975"
28,29,,Francesco Molinari,22,"$3,024,600"
29,30,,Jason Day,20,"$2,978,181"
30,31,,Jhonattan Vegas,30,"$2,972,738"
31,32,,Tony Finau,30,"$2,938,629"
32,33,,Billy Horschel,30,"$2,907,960"
33,34,,Bill Haas,26,"$2,907,173"
34,35,,Brendan Steele,25,"$2,907,095"
35,36,,Charles Howell III,24,"$2,698,049"
36,37,,Si Woo Kim,30,"$2,681,177"
37,38,,Wesley Bryan,28,"$2,495,751"
38,39,,Zach Johnson,24,"$2,472,968"
39,40,,Rory McIlroy,14,"$2,430,182"
40,41,,Mackenzie Hughes,31,"$2,355,553"
41,42,,Hudson Swafford,28,"$2,246,090"
42,43,,Charl Schwartzel,18,"$2,156,036"
43,44,,Cameron Smith,26,"$2,123,216"
44,45,,Phil Mickelson,22,"$2,102,599"
45,46,,Thomas Pieters,13,"$2,099,820"
46,47,,Ian Poulter,20,"$2,098,346"
47,48,,Tommy Fleetwood,10,"$2,094,455"
48,49,,Keegan Bradley,30,"$2,060,478"
49,50,,Patrick Cantlay,13,"$2,049,632"
50,51,,Rafa Cabrera Bello,20,"$2,042,175"
51,52,,Søren Kjeldsen,18,"$2,002,913"
52,53,,Sean O'Hair,26,"$1,965,523"
53,54,,Lucas Glover,26,"$1,955,822"
54,55,,Anirban Lahiri,22,"$1,944,289"
55,56,,Sung Kang,32,"$1,943,309"
56,57,,Ollie Schniederjans,28,"$1,935,669"
57,58,,Bryson DeChambeau,32,"$1,890,804"
58,59,,Jamie Lovemark,28,"$1,886,972"
59,60,,Russell Knox,27,"$1,863,674"
60,61,,Brandt Snedeker,17,"$1,848,306"
61,62,,James Hahn,28,"$1,841,314"
62,63,,Chez Reavie,28,"$1,819,207"
63,64,,Luke List,31,"$1,813,219"
64,65,,Adam Scott,17,"$1,766,394"
65,66,,Martin Laird,25,"$1,759,706"
66,67,,Ryan Moore,24,"$1,751,851"
67,68,,Scott Brown,29,"$1,748,324"
68,69,,Kevin Na,26,"$1,728,351"
69,70,,Emiliano Grillo,26,"$1,672,015"
70,71,,Danny Lee,33,"$1,663,831"
71,72,,Jimmy Walker,23,"$1,649,828"
72,73,,Kelly Kraft,27,"$1,638,045"
73,74,,Graham DeLaet,25,"$1,603,666"
74,75,,Robert Streb,30,"$1,588,287"
75,76,,Bud Cauley,28,"$1,553,685"
76,77,,Rod Pampling,22,"$1,539,422"
77,78,,Thorbjørn Olesen,7,"$1,537,917"
78,79,,Kevin Tway,27,"$1,472,613"
79,80,,Grayson Murray,30,"$1,468,728"
80,81,,J.B. Holmes,24,"$1,468,584"
81,82,,Stewart Cink,26,"$1,463,922"
82,83,,Jonas Blixt,25,"$1,408,288"
83,84,,Alex Noren,12,"$1,395,516"
84,85,,Bubba Watson,23,"$1,363,129"
85,86,,Patrick Rodgers,27,"$1,346,322"
86,87,,Chad Campbell,29,"$1,329,941"
87,88,,Scott Piercy,22,"$1,317,452"
88,89,,Branden Grace,20,"$1,315,054"
89,90,,Kevin Streelman,26,"$1,313,327"
90,91,,Chris Stroud,22,"$1,308,445"
91,92,,Cody Gribble,28,"$1,305,554"
92,93,,C.T. Pan,30,"$1,302,649"
93,94,,Morgan Hoffmann,29,"$1,278,568"
94,95,,Byeong Hun An,23,"$1,267,590"
95,96,,David Lingmerth,24,"$1,260,754"
96,97,,Ross Fisher,10,"$1,258,083"
97,98,,Nick Taylor,29,"$1,255,259"
98,99,,Harris English,28,"$1,249,959"
99,100,,Steve Stricker,14,"$1,244,536"
100,101,,William McGirt,28,"$1,225,005"
101,102,,Chris Kirk,28,"$1,216,047"
102,103,,Jim Herman,25,"$1,205,632"
103,104,,HaoTong Li,6,"$1,192,139"
104,105,,Jason Kokrak,28,"$1,173,708"
