,Total_Money_Official_and_Unofficial_RANK THIS WEEK,Total_Money_Official_and_Unofficial_RANK LAST WEEK,Total_Money_Official_and_Unofficial_PLAYER NAME,Total_Money_Official_and_Unofficial_EVENTS,Total_Money_Official_and_Unofficial_MONEY
0,1,1,Rory McIlroy,17,"$8,047,952"
1,2,2,Tiger Woods,23,"$6,649,825"
2,3,3,Jason Dufner,27,"$5,628,304"
3,4,4,Brandt Snedeker,26,"$5,309,739"
4,5,5,Bubba Watson,24,"$5,146,497"
5,6,6,Keegan Bradley,31,"$4,895,408"
6,7,7,Nick Watney,30,"$4,723,891"
7,8,8,Zach Johnson,28,"$4,691,244"
8,9,9,Phil Mickelson,24,"$4,621,321"
9,10,10,Justin Rose,23,"$4,545,680"
10,11,11,Hunter Mahan,24,"$4,161,693"
11,12,12,Matt Kuchar,24,"$4,035,565"
12,13,13,Ernie Els,24,"$3,990,618"
13,14,14,Carl Pettersson,29,"$3,916,656"
14,15,15,Bo Van Pelt,27,"$3,908,509"
15,16,16,Webb Simpson,25,"$3,896,758"
16,17,17,Jim Furyk,26,"$3,825,472"
17,18,18,Dustin Johnson,24,"$3,758,070"
18,19,19,Robert Garrigus,28,"$3,729,530"
19,20,20,Steve Stricker,22,"$3,667,521"
20,21,21,Louis Oosthuizen,20,"$3,650,995"
21,22,22,Luke Donald,19,"$3,587,024"
22,23,23,Graeme McDowell,20,"$3,561,779"
23,24,24,Rickie Fowler,25,"$3,345,459"
24,25,25,Scott Piercy,30,"$3,219,205"
25,26,26,Lee Westwood,17,"$3,206,569"
26,27,27,Ian Poulter,20,"$3,167,521"
27,28,28,Adam Scott,18,"$3,114,557"
28,29,29,Ryan Moore,24,"$2,858,944"
29,30,30,John Huh,29,"$2,752,713"
30,31,31,Ben Curtis,20,"$2,604,153"
31,32,32,Bill Haas,25,"$2,553,951"
32,33,33,Sergio Garcia,17,"$2,510,116"
33,34,34,Kyle Stanley,30,"$2,496,357"
34,35,35,Johnson Wagner,29,"$2,305,007"
35,36,36,Brendon de Jonge,32,"$2,280,252"
36,37,37,Jonas Blixt,21,"$2,255,695"
37,38,38,Martin Laird,23,"$2,233,483"
38,39,39,Mark Wilson,26,"$2,184,780"
39,40,40,Padraig Harrington,19,"$2,146,272"
40,41,41,Kevin Na,26,"$2,132,443"
41,42,42,Marc Leishman,25,"$2,056,761"
42,43,43,John Senden,24,"$2,053,151"
43,44,44,Matt Every,25,"$1,972,166"
44,45,45,Charlie Wi,26,"$1,912,397"
45,46,46,Bud Cauley,29,"$1,851,979"
46,47,47,Peter Hanson,15,"$1,825,971"
47,48,48,Ben Crane,24,"$1,788,365"
48,49,49,Vijay Singh,28,"$1,726,305"
49,50,50,Seung-Yul Noh,29,"$1,716,751"
50,51,51,Jimmy Walker,29,"$1,684,919"
51,52,52,Sean O'Hair,27,"$1,665,981"
52,53,53,David Toms,19,"$1,658,428"
53,54,54,Jeff Overton,30,"$1,642,670"
54,55,55,Jonathan Byrd,21,"$1,616,789"
55,56,56,Kevin Stadler,26,"$1,602,536"
56,57,57,Charles Howell III,31,"$1,599,578"
57,58,58,Ryan Palmer,25,"$1,551,215"
58,59,59,Tommy Gainey,32,"$1,540,749"
59,60,60,D.A. Points,29,"$1,533,361"
60,61,61,Ken Duke,30,"$1,511,628"
61,62,62,John Rollins,26,"$1,489,155"
62,63,63,Chris Kirk,28,"$1,462,562"
