,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
0,1,1,David Lynn,1,10.81,"$865,000","$8,000,000"
1,2,2,Rory McIlroy,16,6.54,"$8,047,951","$123,000,000"
2,3,3,Tiger Woods,19,4.31,"$6,133,157","$142,400,000"
3,4,4,Bubba Watson,19,3.36,"$4,644,994","$138,400,000"
4,5,5,Brandt Snedeker,22,3.22,"$4,989,737","$155,200,000"
5,6,6,Jason Dufner,22,3.11,"$4,869,302","$156,500,000"
6,7,7,Justin Rose,19,3.03,"$4,290,929","$141,400,000"
7,8,8,Luke Donald,17,2.71,"$3,512,022","$129,400,000"
8,9,9,Phil Mickelson,22,2.65,"$4,203,820","$158,500,000"
9,10,10,Zach Johnson,25,2.6,"$4,504,243","$173,400,000"
10,11,11,Lee Westwood,15,2.57,"$3,016,569","$117,200,000"
11,12,12,Dustin Johnson,19,2.48,"$3,393,820","$136,600,000"
12,13,13,Matt Kuchar,22,2.46,"$3,903,064","$158,800,000"
13,T14,T14,Louis Oosthuizen,19,2.45,"$3,460,992","$141,300,000"
14,T14,T14,Steve Stricker,19,2.45,"$3,420,021","$139,400,000"
15,16,16,Hunter Mahan,23,2.41,"$4,019,192","$166,800,000"
16,17,17,Adam Scott,16,2.32,"$2,899,555","$124,800,000"
17,18,18,Ernie Els,22,2.25,"$3,453,116","$153,300,000"
18,19,19,Webb Simpson,22,2.24,"$3,436,757","$153,300,000"
19,20,20,Keegan Bradley,25,2.19,"$3,910,657","$178,200,000"
20,21,21,Jim Furyk,24,2.17,"$3,623,801","$167,300,000"
21,22,22,Ben Curtis,19,2.09,"$2,494,151","$119,500,000"
22,23,23,Sergio Garcia,16,2.08,"$2,510,115","$120,700,000"
23,24,24,Casey Wittenberg,1,2.04,"$163,594","$8,000,000"
24,25,25,Carl Pettersson,26,2.03,"$3,538,653","$174,600,000"
25,26,26,Graeme McDowell,16,2.0,"$2,408,278","$120,700,000"
26,27,27,Robert Garrigus,26,1.89,"$3,206,527","$169,400,000"
27,T28,T28,Rickie Fowler,23,1.84,"$3,066,291","$167,000,000"
28,T28,T28,Ryan Moore,24,1.84,"$2,858,942","$155,500,000"
29,30,30,Jonas Blixt,21,1.83,"$2,255,693","$123,300,000"
30,T31,T31,Peter Hanson,11,1.78,"$1,511,220","$84,900,000"
31,T31,T31,Bo Van Pelt,24,1.78,"$3,043,506","$171,300,000"
32,33,33,Nick Watney,26,1.68,"$3,044,221","$181,400,000"
33,34,34,Luke Guthrie,4,1.56,"$284,672","$18,200,000"
34,35,35,John Huh,28,1.5,"$2,692,112","$179,400,000"
35,36,36,Ian Poulter,15,1.49,"$1,715,270","$115,500,000"
36,37,37,Scott Piercy,28,1.48,"$2,699,204","$182,500,000"
37,38,38,Bill Haas,23,1.44,"$2,349,948","$163,000,000"
38,39,39,Willie Wood,1,1.4,"$42,000","$3,000,000"
39,40,40,Martin Laird,22,1.38,"$2,172,883","$157,100,000"
40,41,41,Matt Every,25,1.32,"$1,972,165","$149,400,000"
41,42,42,David Toms,19,1.28,"$1,658,427","$129,300,000"
42,43,43,Kyle Stanley,27,1.27,"$2,351,856","$185,200,000"
43,T44,T44,Tadd Fujikawa,1,1.26,"$69,025","$5,500,000"
44,T44,T44,Padraig Harrington,18,1.26,"$1,546,269","$122,500,000"
45,46,46,Mark Wilson,25,1.25,"$2,144,778","$171,000,000"
46,47,47,Marc Leishman,23,1.24,"$1,933,759","$156,000,000"
47,48,48,Johnson Wagner,27,1.23,"$2,225,004","$180,200,000"
48,T49,T49,Charlie Beljan,22,1.21,"$1,373,528","$113,200,000"
49,T49,T49,Andres Gonzales,1,1.21,"$78,780","$6,500,000"
50,T49,T49,John Senden,22,1.21,"$1,916,650","$158,300,000"
51,52,52,Dicky Pride,19,1.19,"$1,259,710","$106,100,000"
52,53,53,Kevin Na,25,1.18,"$2,029,940","$171,400,000"
53,54,54,Charlie Wi,25,1.14,"$1,845,394","$162,100,000"
54,55,55,Thorbjørn Olesen,2,1.1,"$176,243","$16,000,000"
55,T56,T56,Jonathan Byrd,21,1.09,"$1,616,789","$148,100,000"
56,T56,T56,Ben Crane,23,1.09,"$1,701,362","$156,600,000"
57,T56,T56,Brendon de Jonge,31,1.09,"$2,015,249","$185,600,000"
58,59,59,Jamie Donaldson,4,1.08,"$320,333","$29,700,000"
59,60,60,Tim Clark,20,1.06,"$1,407,025","$133,300,000"
60,T61,T61,Bud Cauley,28,1.04,"$1,774,474","$171,300,000"
61,T61,T61,Kevin Stadler,25,1.04,"$1,546,035","$149,100,000"
62,T63,T63,Thomas Aiken,4,1.03,"$257,179","$24,900,000"
63,T63,T63,Nicolas Colsaerts,9,1.03,"$677,009","$65,900,000"
64,T65,T65,Steven Alker,1,0.99,"$79,276","$8,000,000"
65,T65,T65,Charl Schwartzel,16,0.99,"$1,138,844","$115,300,000"
66,67,67,Seung-Yul Noh,28,0.98,"$1,629,749","$166,500,000"
67,68,68,Ryan Palmer,24,0.97,"$1,501,213","$154,000,000"
68,69,69,John Rollins,26,0.95,"$1,489,154","$157,300,000"
69,70,70,Jason Day,17,0.94,"$1,143,231","$121,300,000"
70,71,71,Jimmy Walker,28,0.93,"$1,638,417","$175,400,000"
71,72,72,Jarrod Lyle,7,0.91,"$363,685","$39,900,000"
72,T73,T73,"Ted Potter, Jr.",25,0.9,"$1,383,168","$153,200,000"
73,T73,T73,Michael Thompson,25,0.9,"$1,408,372","$157,200,000"
74,T75,T75,Jeff Overton,29,0.89,"$1,563,667","$176,400,000"
75,T75,T75,Jonathan Randolph,1,0.89,"$26,700","$3,000,000"
76,T75,T75,Vijay Singh,27,0.89,"$1,586,301","$179,000,000"
77,T78,T78,D.A. Points,29,0.87,"$1,533,358","$176,500,000"
78,T78,T78,Henrik Stenson,15,0.87,"$791,106","$91,000,000"
79,T80,T80,Tom Gillis,23,0.86,"$1,238,054","$144,600,000"
80,T80,T80,Martin Kaymer,8,0.86,"$576,356","$67,000,000"
81,T80,T80,Geoff Ogilvy,20,0.86,"$1,255,220","$146,700,000"
82,83,83,Ken Duke,30,0.85,"$1,511,624","$177,000,000"
83,84,84,Aaron Watkins,2,0.84,"$118,969","$14,100,000"
84,T85,T85,Tommy Gainey,32,0.8,"$1,540,746","$192,200,000"
85,T85,T85,Spencer Levin,26,0.8,"$1,283,615","$159,500,000"
86,T87,T87,Freddie Jacobson,17,0.79,"$953,493","$121,300,000"
87,T87,T87,Miguel Angel Jiménez,6,0.79,"$386,803","$49,000,000"
88,T87,T87,Davis Love III,20,0.79,"$989,752","$125,400,000"
89,T87,T87,Sean O'Hair,24,0.79,"$1,160,978","$147,700,000"
90,T87,T87,Scott Stallings,27,0.79,"$1,293,737","$162,800,000"
91,T92,T92,Aaron Baddeley,22,0.78,"$1,215,753","$155,500,000"
92,T92,T92,J.J. Henry,28,0.78,"$1,297,800","$166,300,000"
93,T94,T94,J.B. Holmes,25,0.77,"$1,179,504","$152,200,000"
94,T94,T94,John Mallinger,25,0.77,"$1,146,850","$148,200,000"
95,T96,T96,Brian Davis,29,0.76,"$1,318,028","$174,400,000"
96,T96,T96,Charley Hoffman,27,0.76,"$1,276,661","$168,900,000"
97,T96,T96,Chris Kirk,27,0.76,"$1,197,560","$158,200,000"
98,T96,T96,Bryce Molder,25,0.76,"$1,166,113","$154,400,000"
99,T96,T96,Cameron Tringale,26,0.76,"$1,225,734","$161,600,000"
100,T101,T101,Alejandro Cañizares,3,0.75,"$129,962","$17,400,000"
