,Money_Leaders_-_Fall_Series_RANK THIS WEEK,Money_Leaders_-_Fall_Series_RANK LAST WEEK,Money_Leaders_-_Fall_Series_PLAYER NAME,Money_Leaders_-_Fall_Series_EVENTS,Money_Leaders_-_Fall_Series_MONEY
0,1,1,Jonas Blixt,21,"$1,262,294"
1,2,2,Charlie Beljan,22,"$949,250"
2,3,3,Ryan Moore,24,"$810,000"
3,4,4,Tommy Gainey,32,"$736,045"
4,5,5,Brendon de Jonge,31,"$700,787"
5,6,6,Jason Kokrak,27,"$472,890"
6,7,7,Robert Garrigus,26,"$453,087"
7,8,8,Tim Petrovic,17,"$440,000"
8,9,9,David Toms,19,"$432,000"
9,10,10,Matt Every,25,"$422,520"
10,11,11,Russell Knox,23,"$347,850"
11,12,12,Jimmy Walker,28,"$309,375"
12,13,13,Charles Howell III,29,"$308,216"
13,14,14,Jim Furyk,24,"$272,000"
14,15,15,Brian Gay,28,"$270,218"
15,16,16,Tim Herron,27,"$259,665"
16,17,17,Bill Lunde,25,"$245,839"
17,18,18,Vijay Singh,27,"$238,347"
18,19,19,Jeff Overton,29,"$236,913"
19,20,20,John Mallinger,25,"$236,362"
20,21,21,Scott Stallings,27,"$229,087"
21,22,22,Jason Day,17,"$224,920"
22,23,23,Alexandre Rocha,21,"$215,056"
23,24,24,Davis Love III,20,"$214,819"
24,25,25,Josh Teater,30,"$204,575"
25,26,26,D.J. Trahan,27,"$201,911"
26,27,27,Blake Adams,32,"$199,000"
27,28,28,Boo Weekley,25,"$187,637"
28,29,29,Richard Lee,24,"$180,975"
29,30,30,Greg Owen,27,"$169,738"
30,31,31,Charlie Wi,25,"$165,087"
31,32,32,Michael Thompson,25,"$164,500"
32,33,33,Scott Piercy,28,"$156,375"
33,34,34,Jason Bohn,28,"$151,577"
34,35,35,Gary Woodland,22,"$149,541"
35,36,36,David Mathis,29,"$148,928"
36,37,37,Mathew Goggin,23,"$148,769"
37,38,38,Martin Flores,30,"$146,175"
38,39,39,Patrick Reed,12,"$145,487"
39,40,40,Jerry Kelly,26,"$144,591"
40,41,41,Mark Anderson,25,"$135,056"
41,42,42,Chad Campbell,27,"$134,971"
42,43,43,Camilo Villegas,25,"$134,010"
43,44,44,Brendan Steele,24,"$130,260"
44,45,45,Kevin Streelman,26,"$127,087"
45,46,46,Daniel Chopra,21,"$125,311"
46,47,47,Harris English,27,"$123,354"
47,48,48,Scott Dunlap,20,"$121,954"
48,49,49,Zack Miller,12,"$114,360"
49,T50,T50,Tom Gillis,23,"$112,800"
50,T50,T50,Joey Snyder III,8,"$112,800"
51,52,52,Nick Watney,26,"$112,500"
52,53,53,Bryce Molder,25,"$106,000"
53,54,54,Sean O'Hair,24,"$101,203"
54,55,55,Cameron Beckman,26,"$95,920"
55,56,56,Danny Lee,26,"$95,050"
56,57,57,Heath Slocum,29,"$93,982"
57,T58,T58,Arjun Atwal,27,"$92,000"
58,T58,T58,Mark Wilson,25,"$92,000"
59,60,60,Ryan Palmer,24,"$89,407"
60,61,61,Colt Knost,29,"$88,545"
61,62,62,Jeff Maggert,27,"$83,748"
62,63,63,Matt Jones,19,"$82,992"
63,64,64,Chez Reavie,26,"$81,242"
64,65,65,Steven Bowditch,18,"$80,100"
65,66,66,Ben Curtis,19,"$77,679"
66,67,67,Ken Duke,30,"$76,682"
67,68,68,Kyle Reifers,27,"$74,058"
68,T69,T69,Ernie Els,22,"$72,500"
69,T69,T69,Bobby Gates,29,"$72,500"
70,T69,T69,John Huh,28,"$72,500"
71,72,72,Henrik Stenson,15,"$72,004"
72,73,73,Daniel Summerhays,26,"$68,376"
73,74,74,Billy Horschel,17,"$68,353"
74,75,75,Scott Brown,24,"$66,414"
75,76,76,Nick O'Hern,26,"$61,117"
76,77,77,Ángel Cabrera,20,"$57,787"
77,78,78,Jhonattan Vegas,25,"$56,928"
78,79,79,Roberto Castro,27,"$55,600"
79,80,80,Will Claxton,28,"$54,768"
80,81,81,Robert Karlsson,17,"$53,160"
81,82,82,Bud Cauley,28,"$52,964"
82,83,83,Vaughn Taylor,26,"$52,810"
83,84,84,Ryuji Imada,28,"$49,305"
84,85,85,D.A. Points,29,"$45,071"
85,86,86,Justin Leonard,26,"$44,753"
86,87,87,Garth Mulroy,20,"$44,618"
87,88,88,Stewart Cink,22,"$43,328"
88,89,89,J.J. Killeen,33,"$43,256"
89,90,90,Nathan Green,22,"$42,578"
90,91,91,John Rollins,26,"$41,068"
91,T92,T92,Bob Estes,23,"$39,487"
92,T92,T92,Kevin Na,25,"$39,487"
93,94,94,Brian Davis,29,"$38,911"
94,95,95,David Hearn,28,"$38,663"
95,96,96,Stuart Appleby,24,"$38,595"
96,97,97,Chris Riley,12,"$38,267"
97,98,98,Edward Loar,23,"$37,291"
98,99,99,Kevin Chappell,29,"$36,561"
99,100,100,Chris Kirk,27,"$36,259"
100,101,101,John Merrick,26,"$35,922"
101,102,102,Rod Pampling,26,"$34,135"
102,103,103,Brian Harman,30,"$33,172"
103,104,104,Gavin Coles,23,"$33,148"
104,105,105,Rocco Mediate,23,"$32,826"
105,106,106,Roland Thatcher,21,"$31,255"
106,107,107,Kevin Stadler,25,"$29,250"
107,108,108,Billy Mayfair,28,"$28,755"
108,109,109,Erik Compton,26,"$27,810"
109,110,110,Garrett Willis,15,"$26,095"
110,111,111,Matt Bettencourt,31,"$25,540"
111,112,112,Ricky Barnes,28,"$25,425"
112,113,113,Nicolas Colsaerts,9,"$24,125"
113,114,114,Derek Lamely,25,"$23,735"
114,T115,T115,Ben Crane,23,"$22,550"
115,T115,T115,James Driscoll,27,"$22,550"
116,T115,T115,Joe Durant,14,"$22,550"
117,T115,T115,Rory Sabbatini,29,"$22,550"
118,119,119,Miguel Angel Carballo,25,"$21,448"
119,120,120,Derek Ernst,1,"$20,000"
120,121,121,J.B. Holmes,25,"$19,295"
121,T122,T122,George McNeill,25,"$18,922"
122,T122,T122,Andres Romero,22,"$18,922"
123,T122,T122,Steve Wheatcroft,22,"$18,922"
124,125,125,Marco Dawson,22,"$17,701"
125,126,126,Carl Paulson,2,"$16,943"
126,127,127,Gary Christian,28,"$16,735"
127,128,128,Alex Cejka,12,"$15,892"
128,129,129,Chris DiMarco,29,"$15,772"
129,T130,T130,Patrick Cantlay,10,"$12,842"
130,T130,T130,Frank Lickliter II,9,"$12,842"
131,132,132,Peter Tomasulo,4,"$12,826"
132,T133,T133,Tommy Biershenk,27,"$11,857"
133,T133,T133,Marc Turnesa,11,"$11,857"
134,135,135,William McGirt,30,"$11,248"
135,136,136,Kelly Kraft,10,"$10,850"
136,T137,T137,Tom Pernice Jr.,23,"$10,622"
137,T137,T137,"Ted Potter, Jr.",25,"$10,622"
138,T139,T139,Stephen Ames,20,"$10,450"
139,T139,T139,Stephen Gangluff,23,"$10,450"
140,T141,T141,Chris Stroud,28,"$10,340"
141,T141,T141,Cameron Tringale,26,"$10,340"
142,143,143,Zach Johnson,25,"$10,240"
143,144,144,Todd Hamilton,10,"$9,900"
144,145,145,Troy Kelly,23,"$9,720"
145,146,146,Patrick Sheehan,21,"$9,212"
146,147,147,Hunter Hamrick,5,"$9,000"
147,148,148,Billy Hurley III,27,"$8,920"
148,149,149,John Daly,15,"$8,910"
149,150,150,Shane Bertsch,17,"$8,836"
150,151,151,Kyle Thompson,22,"$8,640"
151,152,152,Chase Wright,1,"$8,360"
152,153,153,Robert Allenby,27,"$7,120"
