,Victory_Leaders_RANK THIS WEEK,Victory_Leaders_RANK LAST WEEK,Victory_Leaders_PLAYER NAME,Victory_Leaders_EVENTS,Victory_Leaders_VICTORIES
0,1,1,Rory McIlroy,16,4.0
1,2,2,Tiger Woods,19,3.0
2,T3,T3,Jason Dufner,22,2.0
3,T3,T3,Zach Johnson,25,2.0
4,T3,T3,Hunter Mahan,23,2.0
5,T3,T3,Brandt Snedeker,22,2.0
6,T7,T7,Charlie Beljan,22,1.0
7,T7,T7,Jonas Blixt,21,1.0
8,T7,T7,Keegan Bradley,25,1.0
9,T7,T7,Ben Curtis,19,1.0
10,T7,T7,Luke Donald,17,1.0
11,T7,T7,Ernie Els,22,1.0
12,T7,T7,Rickie Fowler,23,1.0
13,T7,T7,Tommy Gainey,32,1.0
14,T7,T7,Sergio Garcia,16,1.0
15,T7,T7,Bill Haas,23,1.0
16,T7,T7,J.J. Henry,28,1.0
17,T7,T7,John Huh,28,1.0
18,T7,T7,Dustin Johnson,19,1.0
19,T7,T7,Matt Kuchar,22,1.0
20,T7,T7,Marc Leishman,23,1.0
21,T7,T7,George McNeill,25,1.0
22,T7,T7,Phil Mickelson,22,1.0
23,T7,T7,Ryan Moore,24,1.0
24,T7,T7,Carl Pettersson,26,1.0
25,T7,T7,Scott Piercy,28,1.0
26,T7,T7,"Ted Potter, Jr.",25,1.0
27,T7,T7,Ian Poulter,15,1.0
28,T7,T7,Justin Rose,19,1.0
29,T7,T7,Webb Simpson,22,1.0
30,T7,T7,Scott Stallings,27,1.0
31,T7,T7,Kyle Stanley,27,1.0
32,T7,T7,Steve Stricker,19,1.0
33,T7,T7,Johnson Wagner,27,1.0
34,T7,T7,Nick Watney,26,1.0
35,T7,T7,Bubba Watson,19,1.0
36,T7,T7,Mark Wilson,25,1.0
37,T38,T38,Frank Adams III,1,
38,T38,T38,Blake Adams,32,
39,T38,T38,Thomas Aiken,4,
40,T38,T38,Lonny Alexander,2,
41,T38,T38,Steven Alker,1,
42,T38,T38,Steve Allan,0,
43,T38,T38,Fulton Allem,3,
44,T38,T38,Michael Allen,3,
45,T38,T38,Robert Allenby,27,
46,T38,T38,Max Alverio,1,
47,T38,T38,Stephen Ames,20,
48,T38,T38,Mark Anderson,25,
49,T38,T38,Billy Andrade,1,
50,T38,T38,Stuart Appleby,24,
51,T38,T38,Alex Aragon,1,
52,T38,T38,Connor Arendell,0,
53,T38,T38,Álvaro José Arizabaleta,1,
54,T38,T38,Ashun Wu,0,
55,T38,T38,Arjun Atwal,27,
56,T38,T38,Woody Austin,7,
57,T38,T38,Eric Axley,3,
58,T38,T38,Aaron Baddeley,22,
59,T38,T38,Sangmoon Bae,25,
60,T38,T38,Briny Baird,13,
61,T38,T38,Matthew Baldwin,2,
62,T38,T38,Daniel Balin,1,
63,T38,T38,Craig Barlow,7,
64,T38,T38,Ricky Barnes,28,
65,T38,T38,Brian Bateman,4,
66,T38,T38,Cameron Beckman,26,
67,T38,T38,Lee Bedford,0,
68,T38,T38,Rich Beem,10,
69,T38,T38,Notah Begay III,5,
70,T38,T38,Oliver Bekker,1,
71,T38,T38,Warren Bennett,1,
72,T38,T38,Frank Bensel,1,
73,T38,T38,Brett Bergeron,0,
74,T38,T38,Shane Bertsch,17,
75,T38,T38,Matt Bettencourt,31,
