,Percentage_of_potential_money_won_RANK THIS WEEK,Percentage_of_potential_money_won_RANK LAST WEEK,Percentage_of_potential_money_won_PLAYER NAME,Percentage_of_potential_money_won_EVENTS,Percentage_of_potential_money_won_%,Percentage_of_potential_money_won_OFFICIAL MONEY WON,Percentage_of_potential_money_won_POTENTIAL MONEY
0,1,1,David Lynn,1,59.86,"$865,000","$1,445,000"
1,2,2,Rory McIlroy,16,37.05,"$8,047,951","$21,720,890"
2,3,3,Tiger Woods,19,24.33,"$6,133,158","$25,212,890"
3,4,4,Bubba Watson,19,18.88,"$4,644,996","$24,604,890"
4,5,5,Brandt Snedeker,22,18.13,"$4,989,739","$27,516,890"
5,6,6,Jason Dufner,22,17.55,"$4,869,303","$27,750,890"
6,7,7,Justin Rose,19,17.14,"$4,290,929","$25,032,890"
7,8,8,Luke Donald,17,15.35,"$3,512,023","$22,872,890"
8,9,9,Phil Mickelson,22,14.89,"$4,203,821","$28,240,890"
9,10,10,Zach Johnson,25,14.63,"$4,504,244","$30,792,890"
10,11,11,Lee Westwood,15,14.59,"$3,016,569","$20,676,890"
11,12,12,Dustin Johnson,19,14.04,"$3,393,820","$24,168,890"
12,13,13,Matt Kuchar,22,13.86,"$3,903,064","$28,164,890"
13,14,14,Louis Oosthuizen,19,13.84,"$3,460,995","$25,014,890"
14,15,15,Steve Stricker,19,13.8,"$3,420,021","$24,784,890"
15,16,16,Hunter Mahan,23,13.58,"$4,019,193","$29,604,890"
16,17,17,Adam Scott,16,13.15,"$2,899,556","$22,044,890"
17,18,18,Ernie Els,22,12.65,"$3,453,117","$27,304,890"
18,19,19,Webb Simpson,22,12.52,"$3,436,758","$27,451,000"
19,20,20,Keegan Bradley,25,12.31,"$3,910,658","$31,768,890"
20,21,21,Jim Furyk,24,12.15,"$3,623,804","$29,824,890"
21,22,22,Sergio Garcia,16,11.78,"$2,510,115","$21,306,890"
22,23,23,Ben Curtis,19,11.61,"$2,494,152","$21,480,890"
23,24,24,Casey Wittenberg,1,11.36,"$163,594","$1,440,000"
24,25,25,Carl Pettersson,26,11.32,"$3,538,655","$31,268,890"
25,26,26,Graeme McDowell,16,11.3,"$2,408,279","$21,306,890"
26,27,27,Robert Garrigus,26,10.51,"$3,206,530","$30,497,000"
27,28,28,Rickie Fowler,23,10.34,"$3,066,292","$29,640,890"
28,29,29,Ryan Moore,24,10.21,"$2,858,943","$27,995,000"
29,30,30,Peter Hanson,11,10.17,"$1,511,221","$14,862,890"
30,31,31,Jonas Blixt,21,10.16,"$2,255,695","$22,194,000"
31,32,32,Bo Van Pelt,24,10.01,"$3,043,509","$30,414,890"
32,33,33,Nick Watney,26,9.41,"$3,044,223","$32,344,890"
33,34,34,Luke Guthrie,4,8.69,"$284,672","$3,276,000"
34,35,35,Ian Poulter,15,8.42,"$1,715,271","$20,370,890"
35,36,36,John Huh,28,8.34,"$2,692,113","$32,262,890"
36,37,37,Scott Piercy,28,8.22,"$2,699,205","$32,837,000"
37,38,38,Bill Haas,23,8.09,"$2,349,950","$29,032,890"
38,39,39,Willie Wood,1,7.78,"$42,000","$540,000"
39,40,40,Martin Laird,22,7.77,"$2,172,883","$27,970,890"
40,41,41,Matt Every,25,7.33,"$1,972,165","$26,897,000"
41,42,42,David Toms,19,7.21,"$1,658,428","$23,001,000"
42,43,43,Kyle Stanley,27,7.14,"$2,351,857","$32,916,890"
43,44,44,Mark Wilson,25,7.04,"$2,144,780","$30,472,890"
44,45,45,Padraig Harrington,18,7.02,"$1,546,271","$22,020,890"
45,46,46,Tadd Fujikawa,1,6.97,"$69,025","$990,000"
46,47,47,Marc Leishman,23,6.93,"$1,933,760","$27,920,890"
47,48,48,Johnson Wagner,27,6.9,"$2,225,006","$32,258,890"
48,49,49,John Senden,22,6.83,"$1,916,651","$28,074,890"
49,50,50,Charlie Beljan,22,6.74,"$1,373,528","$20,376,000"
50,51,51,Andres Gonzales,1,6.73,"$78,780","$1,170,000"
51,52,52,Kevin Na,25,6.62,"$2,029,942","$30,674,890"
52,53,53,Dicky Pride,19,6.6,"$1,259,711","$19,098,000"
53,54,54,Charlie Wi,25,6.32,"$1,845,396","$29,183,000"
54,T55,T55,Jamie Donaldson,4,6.18,"$320,334","$5,186,890"
55,T55,T55,Thorbjørn Olesen,2,6.18,"$176,243","$2,850,890"
56,57,57,Jonathan Byrd,21,6.14,"$1,616,789","$26,350,890"
57,58,58,Ben Crane,23,6.1,"$1,701,364","$27,910,000"
58,59,59,Brendon de Jonge,31,6.03,"$2,015,251","$33,413,000"
59,60,60,Nicolas Colsaerts,9,5.92,"$677,010","$11,442,890"
60,61,61,Tim Clark,20,5.87,"$1,407,028","$23,964,890"
61,62,62,Thomas Aiken,4,5.78,"$257,179","$4,452,890"
62,63,63,Kevin Stadler,25,5.76,"$1,546,036","$26,838,000"
63,64,64,Bud Cauley,28,5.75,"$1,774,478","$30,839,000"
64,65,65,Steven Alker,1,5.64,"$79,276","$1,405,890"
65,66,66,Charl Schwartzel,16,5.6,"$1,138,844","$20,334,890"
66,67,67,Seung-Yul Noh,28,5.44,"$1,629,750","$29,975,000"
67,68,68,Ryan Palmer,24,5.41,"$1,501,214","$27,725,000"
68,69,69,Jason Day,17,5.33,"$1,143,232","$21,449,000"
69,70,70,John Rollins,26,5.26,"$1,489,155","$28,319,000"
70,71,71,Jimmy Walker,28,5.19,"$1,638,419","$31,577,000"
71,72,72,Jarrod Lyle,7,5.06,"$363,685","$7,182,000"
72,73,73,"Ted Potter, Jr.",25,5.04,"$1,383,170","$27,416,890"
73,74,74,Michael Thompson,25,4.98,"$1,408,373","$28,266,890"
74,T75,T75,Martin Kaymer,8,4.95,"$576,356","$11,640,890"
75,T75,T75,Vijay Singh,27,4.95,"$1,586,304","$32,060,890"
76,77,77,Jonathan Randolph,1,4.94,"$26,700","$540,000"
77,78,78,Jeff Overton,29,4.92,"$1,563,670","$31,757,000"
78,T79,T79,Geoff Ogilvy,20,4.83,"$1,255,223","$25,986,890"
79,T79,T79,Henrik Stenson,15,4.83,"$791,107","$16,380,000"
80,81,81,D.A. Points,29,4.81,"$1,533,360","$31,887,000"
81,82,82,Tom Gillis,23,4.76,"$1,238,058","$26,028,000"
82,83,83,Ken Duke,30,4.74,"$1,511,628","$31,865,000"
83,84,84,Aaron Watkins,2,4.69,"$118,969","$2,538,000"
84,85,85,Miguel Angel Jiménez,6,4.53,"$386,803","$8,530,890"
85,86,86,Spencer Levin,26,4.47,"$1,283,616","$28,715,000"
86,T87,T87,Tommy Gainey,32,4.45,"$1,540,748","$34,601,000"
87,T87,T87,Freddie Jacobson,17,4.45,"$953,493","$21,414,890"
88,89,89,Scott Stallings,27,4.4,"$1,293,739","$29,421,000"
89,T90,T90,Aaron Baddeley,22,4.39,"$1,215,753","$27,682,890"
90,T90,T90,Davis Love III,20,4.39,"$989,753","$22,542,890"
91,92,92,Sean O'Hair,24,4.35,"$1,160,980","$26,703,000"
92,93,93,J.J. Henry,28,4.33,"$1,297,802","$29,939,000"
93,94,94,J.B. Holmes,25,4.31,"$1,179,505","$27,396,000"
94,95,95,John Mallinger,25,4.3,"$1,146,852","$26,676,000"
95,96,96,James Morrison,1,4.27,"$60,044","$1,405,890"
96,97,97,Paul Lawrie,6,4.25,"$360,639","$8,490,890"
97,98,98,Cameron Tringale,26,4.21,"$1,225,737","$29,093,000"
98,T99,T99,Alejandro Cañizares,3,4.2,"$129,962","$3,097,890"
99,T99,T99,Brian Davis,29,4.2,"$1,318,031","$31,397,000"
100,T99,T99,Charley Hoffman,27,4.2,"$1,276,663","$30,407,000"
101,T99,T99,Ryo Ishikawa,18,4.2,"$871,050","$20,716,890"
102,103,103,Chris Kirk,27,4.19,"$1,197,562","$28,588,000"
103,104,104,Bryce Molder,25,4.18,"$1,166,115","$27,909,000"
104,T105,T105,Jim Herman,2,4.17,"$105,000","$2,520,000"
105,T105,T105,Daniel Summerhays,26,4.17,"$1,111,521","$26,640,000"
106,T107,T107,George McNeill,25,4.06,"$1,119,534","$27,599,000"
107,T107,T107,Andres Romero,22,4.06,"$970,918","$23,941,890"
108,109,109,Graham DeLaet,23,4.03,"$1,051,950","$26,100,000"
109,T110,T110,Greg Owen,27,4.01,"$1,151,622","$28,747,890"
110,T110,T110,Pat Perez,23,4.01,"$1,064,052","$26,537,000"
111,112,112,Harris English,27,3.98,"$1,186,003","$29,827,890"
112,113,113,Jeff Quinney,1,3.94,"$43,310","$1,098,000"
113,114,114,Charles Howell III,29,3.93,"$1,284,578","$32,690,890"
114,T115,T115,Fred Couples,4,3.91,"$188,378","$4,824,000"
115,T115,T115,John Merrick,26,3.91,"$1,084,627","$27,720,000"
116,T117,T117,William McGirt,30,3.9,"$1,228,947","$31,505,000"
117,T117,T117,Francesco Molinari,8,3.9,"$453,961","$11,640,890"
118,119,119,Michael Allen,3,3.89,"$121,895","$3,132,000"
119,120,120,Sangmoon Bae,25,3.82,"$1,165,952","$30,486,890"
120,121,121,Greg Chalmers,25,3.81,"$1,166,627","$30,630,890"
121,122,122,Bob Estes,23,3.75,"$1,009,769","$26,893,890"
122,123,123,John Peterson,9,3.73,"$327,091","$8,766,000"
123,T124,T124,Morgan Hoffmann,1,3.69,"$53,168","$1,440,000"
124,T124,T124,Alistair Presnell,1,3.69,"$53,168","$1,440,000"
125,126,126,K.J. Choi,21,3.68,"$969,056","$26,368,890"
126,127,127,Retief Goosen,12,3.65,"$571,174","$15,636,890"
127,128,128,Tim Petrovic,17,3.64,"$558,862","$15,372,000"
128,T129,T129,Blake Adams,32,3.57,"$1,234,344","$34,583,000"
129,T129,T129,Rory Sabbatini,29,3.57,"$1,128,819","$31,653,000"
130,T131,T131,Mark Calcavecchia,3,3.52,"$124,343","$3,529,890"
131,T131,T131,Boo Weekley,25,3.52,"$848,346","$24,120,000"
132,133,133,Brian Harman,30,3.51,"$1,146,447","$32,706,000"
133,T134,T134,Hennie Otto,1,3.5,"$49,000","$1,400,000"
134,T134,T134,Danny Willett,1,3.5,"$49,000","$1,400,000"
135,T136,T136,Troy Matteson,32,3.47,"$1,198,953","$34,579,890"
136,T136,T136,Lee Slattery,3,3.47,"$147,338","$4,245,890"
137,138,138,Joe Durant,14,3.44,"$427,677","$12,438,000"
138,T139,T139,Brian Gay,28,3.41,"$960,657","$28,188,000"
139,T139,T139,David Hearn,28,3.41,"$1,012,575","$29,664,000"
140,T139,T139,Troy Kelly,23,3.41,"$786,832","$23,077,890"
141,142,142,Harrison Frazar,20,3.38,"$730,203","$21,604,000"
142,T143,T143,Anirban Lahiri,1,3.35,"$47,123","$1,405,890"
143,T143,T143,Brendan Steele,24,3.35,"$840,965","$25,096,000"
144,145,145,Martin Flores,30,3.31,"$1,035,569","$31,266,000"
145,146,146,Joost Luiten,3,3.28,"$139,346","$4,250,890"
146,147,147,John Daly,15,3.27,"$488,505","$14,946,890"
147,148,148,Josh Teater,30,3.23,"$1,011,429","$31,320,000"
148,149,149,Jung-gon Hwang,1,3.22,"$17,400","$540,000"
149,150,150,Kevin Streelman,26,3.19,"$893,736","$28,008,000"
150,T151,T151,Billy Horschel,17,3.17,"$486,177","$15,318,000"
151,T151,T151,Alexandre Rocha,21,3.17,"$614,658","$19,368,000"
152,153,153,Brett Quigley,1,3.16,"$31,857","$1,008,000"
153,T154,T154,Chad Campbell,27,3.14,"$895,198","$28,549,890"
154,T154,T154,Jhonattan Vegas,25,3.14,"$801,803","$25,510,000"
155,156,156,Alex Noren,4,3.13,"$178,193","$5,690,890"
156,157,157,Len Mattiace,1,3.08,"$16,650","$540,000"
157,158,158,Chris Stroud,28,3.07,"$903,569","$29,453,000"
158,159,159,Raphael Jacquelin,2,3.03,"$86,348","$2,845,890"
159,160,160,Esteban Toledo,1,3.0,"$19,980","$666,000"
160,161,161,Matteo Manassero,3,2.96,"$126,979","$4,285,000"
161,162,162,Oliver Bekker,1,2.91,"$40,750","$1,400,000"
162,T163,T163,Jason Bohn,28,2.85,"$795,548","$27,954,000"
163,T163,T163,Colt Knost,29,2.85,"$848,196","$29,790,000"
164,T165,T165,Jason Kokrak,27,2.82,"$750,220","$26,568,000"
165,T165,T165,Derek Tolan,1,2.82,"$17,780","$630,000"
166,T167,T167,Matthew Baldwin,2,2.81,"$79,999","$2,845,890"
167,T167,T167,Will Claxton,28,2.81,"$780,968","$27,828,000"
168,T169,T169,Roberto Castro,27,2.77,"$755,095","$27,270,000"
169,T169,T169,Juvic Pagunsan,2,2.77,"$77,839","$2,805,890"
170,171,171,Corey Pavin,2,2.76,"$59,120","$2,142,000"
171,172,172,Robert Allenby,27,2.75,"$808,927","$29,468,890"
172,T173,T173,Tetsuji Hiratsuka,1,2.71,"$38,000","$1,400,000"
173,T173,T173,Patrick Reed,12,2.71,"$302,977","$11,160,000"
174,175,175,Ricky Barnes,28,2.68,"$805,407","$30,042,000"
175,176,176,Hunter Hamrick,5,2.61,"$115,979","$4,446,000"
176,177,177,Shawn Stefani,1,2.56,"$27,650","$1,080,000"
177,T178,T178,Branden Grace,6,2.5,"$205,325","$8,206,890"
178,T178,T178,Robert Rock,6,2.5,"$212,625","$8,490,890"
179,T180,T180,Lee Janzen,12,2.48,"$258,589","$10,440,000"
180,T180,T180,Jerry Kelly,26,2.48,"$645,700","$26,064,000"
181,182,182,Richard Lee,24,2.44,"$547,732","$22,482,000"
182,T183,T183,Todd Hamilton,10,2.43,"$214,339","$8,803,890"
183,T183,T183,Bill Lunde,25,2.43,"$593,598","$24,444,000"
184,T183,T183,David Mathis,29,2.43,"$736,765","$30,330,000"
185,186,186,Anders Hansen,7,2.42,"$232,900","$9,610,890"
