,YTD_Consecutive_Cuts_RANK THIS WEEK,YTD_Consecutive_Cuts_RANK LAST WEEK,YTD_Consecutive_Cuts_PLAYER NAME,YTD_Consecutive_Cuts_NUMBER OF CUTS
0,1,1,Tiger Woods,18
1,T2,T2,Joel Edwards,16
2,T2,T2,Davis Love III,16
3,4,4,Chris Riley,14
4,5,5,Jeff Sluman,12
5,T6,T6,Ernie Els,11
6,T6,T6,Chris Smith,11
7,T6,T6,Kirk Triplett,11
8,T9,T9,Luke Donald,10
9,T9,T9,Sergio Garcia,10
10,T11,T11,Olin Browne,9
11,T11,T11,Padraig Harrington,9
12,T11,T11,Loren Roberts,9
13,T11,T11,Vijay Singh,9
14,T15,T15,Stuart Appleby,8
15,T15,T15,Rich Beem,8
16,T15,T15,Jim Furyk,8
17,T15,T15,John Rollins,8
18,T15,T15,Garrett Willis,8
19,T20,T20,Shigeki Maruyama,7
20,T20,T20,Kenny Perry,7
21,T20,T20,Hidemichi Tanaka,7
22,T23,T23,"David Berganio, Jr.",6
23,T23,T23,Dan Forsman,6
24,T23,T23,Retief Goosen,6
25,T23,T23,Bernhard Langer,6
26,T23,T23,Shaun Micheel,6
27,T23,T23,Phil Mickelson,6
28,T23,T23,David Toms,6
29,T30,T30,Nick Faldo,5
30,T30,T30,Craig Parry,5
31,T32,T32,Jay Don Blake,4
32,T32,T32,Jonathan Byrd,4
33,T32,T32,Carlos Franco,4
34,T32,T32,Pierre Fulke,4
35,T32,T32,Donnie Hammond,4
36,T32,T32,Soren Hansen,4
37,T32,T32,Charles Howell III,4
38,T32,T32,Frank Lickliter II,4
39,T32,T32,Scott McCarron,4
40,T32,T32,Greg Norman,4
41,T32,T32,David Peoples,4
42,T32,T32,Justin Rose,4
43,T32,T32,Rory Sabbatini,4
44,T32,T32,Phil Tataurangi,4
45,T46,T46,Billy Andrade,3
46,T46,T46,Notah Begay III,3
47,T46,T46,Ángel Cabrera,3
48,T46,T46,Chad Campbell,3
49,T46,T46,Michael Campbell,3
50,T46,T46,Darren Clarke,3
51,T46,T46,Robert Damron,3
52,T46,T46,Robin Freeman,3
53,T46,T46,Robert Gamez,3
54,T46,T46,Ricardo Gonzalez,3
55,T46,T46,Scott Hoch,3
56,T46,T46,Toshi Izawa,3
57,T46,T46,Skip Kendall,3
58,T46,T46,Greg Kraft,3
59,T46,T46,Ian Leggatt,3
60,T46,T46,Thomas Levet,3
61,T46,T46,Len Mattiace,3
62,T46,T46,Bob May,3
63,T46,T46,Graeme McDowell,3
64,T46,T46,Nick Price,3
65,T46,T46,John Riegger,3
66,T46,T46,Joey Sindelar,3
67,T68,T68,Robert Allenby,2
68,T68,T68,Thomas Bjørn,2
69,T68,T68,Guy Boros,2
70,T68,T68,Jim Carter,2
71,T68,T68,Stewart Cink,2
72,T68,T68,Tim Clark,2
73,T68,T68,Glen Day,2
74,T68,T68,Jay Delsing,2
75,T68,T68,Ken Duke,2
76,T68,T68,Gary Evans,2
77,T68,T68,Niclas Fasth,2
78,T68,T68,Brad Faxon,2
79,T68,T68,Fred Funk,2
80,T68,T68,Brent Geiberger,2
81,T68,T68,Tom Gillis,2
82,T68,T68,Lucas Glover,2
83,T68,T68,David Gossett,2
84,T68,T68,Jeff Gove,2
85,T68,T68,Paul Gow,2
86,T68,T68,Anders Hansen,2
87,T68,T68,J.P. Hayes,2
88,T68,T68,Brian Henninger,2
89,T68,T68,Tim Herron,2
90,T68,T68,Jason Hill,2
91,T68,T68,Trevor Immelman,2
92,T68,T68,Lee Janzen,2
93,T68,T68,Cliff Kresge,2
94,T68,T68,Kenichi Kuboya,2
95,T68,T68,Brad Lardon,2
96,T68,T68,Paul Lawrie,2
97,T68,T68,Stephen Leaney,2
98,T68,T68,Justin Leonard,2
99,T68,T68,John Maginnes,2
100,T68,T68,Rocco Mediate,2
101,T68,T68,Colin Montgomerie,2
102,T68,T68,Peter O'Malley,2
103,T68,T68,Jerry Pate,2
104,T68,T68,Tim Petrovic,2
105,T68,T68,Lee Porter,2
106,T68,T68,Eduardo Romero,2
107,T68,T68,Adam Scott,2
108,T68,T68,Mike Sposa,2
109,T68,T68,Hal Sutton,2
110,T68,T68,Mario Tiziani,2
111,T68,T68,Jay Williamson,2
