,Consecutive_Holes_Below_Par_RANK THIS WEEK,Consecutive_Holes_Below_Par_RANK LAST WEEK,Consecutive_Holes_Below_Par_PLAYER NAME,Consecutive_Holes_Below_Par_EVENTS,Consecutive_Holes_Below_Par_NUMBER OF HOLES
0,1,1,J.P. Hayes,24,8
1,T2,T2,Brett Quigley,32,7
2,T2,T2,Mike Sposa,34,7
3,T2,T2,Bob Tway,28,7
4,T5,T5,Stuart Appleby,28,6
5,T5,T5,Jonathan Byrd,32,6
6,T5,T5,John Cook,25,6
7,T5,T5,Chris DiMarco,29,6
8,T5,T5,Bob Estes,26,6
9,T5,T5,John Huston,26,6
10,T5,T5,Justin Leonard,26,6
11,T5,T5,Peter Lonard,24,6
12,T5,T5,Sandy Lyle,9,6
13,T5,T5,Scott McCarron,28,6
14,T5,T5,Chris Riley,28,6
15,T5,T5,Joey Sindelar,32,6
16,T5,T5,Heath Slocum,32,6
17,T5,T5,Paul Stankowski,31,6
18,T5,T5,Scott Verplank,26,6
19,T5,T5,Brett Wetterich,32,6
20,T21,T21,Tommy Armour III,30,5
21,T21,T21,Craig Barlow,22,5
22,T21,T21,Thomas Bjørn,9,5
23,T21,T21,Mark Brooks,32,5
24,T21,T21,Olin Browne,33,5
25,T21,T21,Brad Bryant,5,5
26,T21,T21,Bob Burns,30,5
27,T21,T21,Mark Calcavecchia,25,5
28,T21,T21,Michael Campbell,11,5
29,T21,T21,K.J. Choi,27,5
30,T21,T21,Michael Clark II,33,5
31,T21,T21,Paul Claxton,29,5
32,T21,T21,John Daly,21,5
33,T21,T21,Scott Dunlap,30,5
34,T21,T21,Joel Edwards,28,5
35,T21,T21,Steve Flesch,32,5
36,T21,T21,Dan Forsman,25,5
37,T21,T21,Edward Fryatt,34,5
38,T21,T21,Fred Funk,29,5
39,T21,T21,Mathew Goggin,20,5
40,T21,T21,Jay Haas,24,5
41,T21,T21,Donnie Hammond,17,5
42,T21,T21,J.J. Henry,34,5
43,T21,T21,Glen Hnatiuk,28,5
44,T21,T21,Charles Howell III,32,5
45,T21,T21,Pete Jordan,30,5
46,T21,T21,Matt Kuchar,27,5
47,T21,T21,Neal Lancaster,31,5
48,T21,T21,Franklin Langham,25,5
49,T21,T21,Ian Leggatt,29,5
50,T21,T21,Steve Lowery,28,5
51,T21,T21,Andrew Magee,28,5
52,T21,T21,Len Mattiace,28,5
53,T21,T21,Blaine McCallister,27,5
54,T21,T21,Bryce Molder,22,5
55,T21,T21,Geoff Ogilvy,27,5
56,T21,T21,José María Olazábal,20,5
57,T21,T21,Craig Parry,21,5
58,T21,T21,Dennis Paulson,30,5
59,T21,T21,Craig Perks,28,5
60,T21,T21,Phillip Price,7,5
61,T21,T21,John Senden,30,5
62,T21,T21,Vijay Singh,28,5
63,T21,T21,Chris Smith,30,5
64,T21,T21,Hidemichi Tanaka,31,5
65,T21,T21,Phil Tataurangi,25,5
66,T21,T21,Grant Waite,31,5
67,T21,T21,Duffy Waldorf,27,5
68,T69,T69,Steve Allan,30,4
69,T69,T69,Michael Allen,29,4
70,T69,T69,Robert Allenby,27,4
71,T69,T69,Stephen Ames,28,4
72,T69,T69,Billy Andrade,31,4
