,Current_Streak_without_a_3-Putt_RANK THIS WEEK,Current_Streak_without_a_3-Putt_RANK LAST WEEK,Current_Streak_without_a_3-Putt_PLAYER NAME,Current_Streak_without_a_3-Putt_EVENTS,Current_Streak_without_a_3-Putt_VALUE
0,1,1,Tiger Woods,18,256
1,2,2,Robert Damron,28,208
2,3,3,Matt Kuchar,27,189
3,4,4,Scott Verplank,26,171
4,5,5,Deane Pappas,34,165
5,6,6,Tim Clark,23,155
6,7,7,Scott Hoch,21,153
7,8,8,Tom Scherrer,34,147
8,T9,T9,Matt Gogel,25,143
9,T9,T9,Tim Herron,30,143
10,11,11,J.J. Henry,34,136
11,12,12,Joey Sindelar,32,135
12,13,13,Tim Petrovic,31,133
13,14,14,Jess Daley,27,130
14,15,15,Harrison Frazar,28,127
15,16,16,Craig Stadler,22,126
16,T17,T17,Greg Chalmers,31,125
17,T17,T17,Neal Lancaster,31,125
18,19,19,Peter Jacobsen,21,113
19,20,20,Dan Forsman,25,112
20,21,21,Paul Claxton,29,110
21,T22,T22,Robert Gamez,21,106
22,T22,T22,Corey Pavin,24,106
23,T24,T24,Skip Kendall,31,102
24,T24,T24,Kirk Triplett,25,102
25,26,26,Phil Tataurangi,25,100
26,T27,T27,Phil Mickelson,26,92
27,T27,T27,Hidemichi Tanaka,31,92
28,T29,T29,Jesper Parnevik,26,90
29,T29,T29,Esteban Toledo,32,90
30,T31,T31,Charles Howell III,32,88
31,T31,T31,Len Mattiace,28,88
32,33,33,Paul Goydos,20,83
33,34,34,Dennis Paulson,30,82
34,T35,T35,Joe Durant,28,80
35,T35,T35,Blaine McCallister,27,80
36,37,37,Tommy Tolles,20,79
37,38,38,Jim Carter,29,78
38,39,39,Rod Pampling,29,75
39,T40,T40,Dudley Hart,26,74
40,T40,T40,Bob Heintz,28,74
41,42,42,Michael Muehr,27,73
42,43,43,Justin Leonard,26,69
43,44,44,David Duval,24,68
44,45,45,Ian Leggatt,29,65
45,46,46,Jerry Smith,33,64
46,T47,T47,Nick Price,18,62
47,T47,T47,Garrett Willis,29,62
48,49,49,Brad Lardon,23,60
49,50,50,Davis Love III,26,58
50,51,51,Chris Smith,30,57
51,52,52,Luke Donald,30,56
52,53,53,Ernie Els,18,54
53,54,54,Spike McRoy,25,53
54,T55,T55,Jason Hill,24,51
55,T55,T55,Lee Janzen,29,51
56,T55,T55,Scott Simpson,25,51
57,T58,T58,Stephen Ames,28,50
58,T58,T58,John Huston,26,50
59,T60,T60,Tommy Armour III,30,48
60,T60,T60,Tom Pernice Jr.,31,48
61,62,62,Robin Freeman,27,46
62,T63,T63,Ben Crane,30,45
63,T63,T63,Miguel Angel Jiménez,19,45
64,T63,T63,Kaname Yokoo,28,45
65,66,66,Craig Barlow,22,44
66,T67,T67,Jim Furyk,25,43
67,T67,T67,Mike Sposa,34,43
68,T69,T69,Brandel Chamblee,30,42
69,T69,T69,Steve Jones,24,42
70,71,71,Brad Faxon,25,41
71,72,72,Vijay Singh,28,39
72,T73,T73,Fulton Allem,26,38
73,T73,T73,Paul Stankowski,31,38
74,T73,T73,Brett Wetterich,32,38
75,T76,T76,Stephen Gangluff,27,37
76,T76,T76,J.P. Hayes,24,37
77,T76,T76,Pete Jordan,30,37
78,T79,T79,Chris DiMarco,29,36
79,T79,T79,Jerry Kelly,29,36
80,T81,T81,Brent Geiberger,29,35
81,T81,T81,Retief Goosen,15,35
82,T81,T81,Rocco Mediate,23,35
83,84,84,Bo Van Pelt,28,34
84,85,85,Notah Begay III,26,33
85,T86,T86,Tom Lehman,22,32
86,T86,T86,Shaun Micheel,30,32
87,T86,T86,Duffy Waldorf,27,32
88,89,89,Brian Bateman,31,31
89,90,90,Glen Hnatiuk,28,30
90,T91,T91,Jeff Gove,30,29
91,T91,T91,Billy Mayfair,31,29
92,93,93,Franklin Langham,25,28
93,T94,T94,Donnie Hammond,17,27
94,T94,T94,Bryce Molder,22,27
95,T96,T96,Bob Estes,26,26
96,T96,T96,Steve Flesch,32,26
97,T96,T96,John Riegger,29,26
98,T99,T99,Shigeki Maruyama,24,25
99,T99,T99,Scott McCarron,28,25
100,T99,T99,Chris Riley,28,25
101,T102,T102,José Coceres,16,24
102,T102,T102,Brandt Jobe,28,24
103,T102,T102,David Toms,27,24
104,T105,T105,Woody Austin,36,23
105,T105,T105,Sergio Garcia,21,23
106,T105,T105,Jay Williamson,30,23
107,T108,T108,Stuart Appleby,28,22
108,T108,T108,Per-Ulrik Johansson,27,22
109,T108,T108,Matt Peterson,27,22
110,T108,T108,Lee Porter,32,22
111,T112,T112,Rich Beem,30,21
112,T112,T112,Tom Byrum,23,21
113,T114,T114,K.J. Choi,27,20
114,T114,T114,Loren Roberts,25,20
115,T116,T116,Michael Clark II,33,19
116,T116,T116,Craig Perks,28,19
117,T118,T118,Carlos Franco,31,18
118,T118,T118,Mike Hulbert,20,18
119,T120,T120,Bob Burns,30,17
120,T120,T120,Craig Parry,21,17
121,T120,T120,Heath Slocum,32,17
122,T123,T123,Jay Haas,24,16
123,T123,T123,John Rollins,34,16
124,T125,T125,Jay Don Blake,34,15
125,T125,T125,Fred Funk,29,15
126,T125,T125,Geoff Ogilvy,27,15
127,T125,T125,David Peoples,30,15
128,T125,T125,Brett Quigley,32,15
129,T125,T125,Mike Weir,25,15
