,Consecutive_Birdies_Streak_RANK THIS WEEK,Consecutive_Birdies_Streak_RANK LAST WEEK,Consecutive_Birdies_Streak_PLAYER NAME,Consecutive_Birdies_Streak_EVENTS,Consecutive_Birdies_Streak_NUMBER OF HOLES
0,1,1,J.P. Hayes,24,8
1,T2,T2,Brett Quigley,32,7
2,T2,T2,Mike Sposa,34,7
3,T4,T4,Stuart Appleby,28,6
4,T4,T4,Jonathan Byrd,32,6
5,T4,T4,John Cook,25,6
6,T4,T4,Chris DiMarco,29,6
7,T4,T4,Bob Estes,26,6
8,T4,T4,John Huston,26,6
9,T4,T4,Justin Leonard,26,6
10,T4,T4,Sandy Lyle,9,6
11,T4,T4,Scott McCarron,28,6
12,T4,T4,Chris Riley,28,6
13,T4,T4,Joey Sindelar,32,6
14,T4,T4,Heath Slocum,32,6
15,T4,T4,Paul Stankowski,31,6
16,T4,T4,Scott Verplank,26,6
17,T4,T4,Brett Wetterich,32,6
18,T19,T19,Tommy Armour III,30,5
19,T19,T19,Craig Barlow,22,5
20,T19,T19,Thomas Bjørn,9,5
21,T19,T19,Mark Brooks,32,5
22,T19,T19,Olin Browne,33,5
23,T19,T19,Brad Bryant,5,5
24,T19,T19,Bob Burns,30,5
25,T19,T19,Mark Calcavecchia,25,5
26,T19,T19,Michael Clark II,33,5
27,T19,T19,Paul Claxton,29,5
28,T19,T19,John Daly,21,5
29,T19,T19,Scott Dunlap,30,5
30,T19,T19,Steve Flesch,32,5
31,T19,T19,Dan Forsman,25,5
32,T19,T19,Fred Funk,29,5
33,T19,T19,Mathew Goggin,20,5
34,T19,T19,Donnie Hammond,17,5
35,T19,T19,J.J. Henry,34,5
36,T19,T19,Glen Hnatiuk,28,5
37,T19,T19,Charles Howell III,32,5
38,T19,T19,Pete Jordan,30,5
39,T19,T19,Matt Kuchar,27,5
40,T19,T19,Neal Lancaster,31,5
41,T19,T19,Franklin Langham,25,5
42,T19,T19,Ian Leggatt,29,5
43,T19,T19,Steve Lowery,28,5
44,T19,T19,Andrew Magee,28,5
45,T19,T19,Blaine McCallister,27,5
46,T19,T19,Bryce Molder,22,5
47,T19,T19,Geoff Ogilvy,27,5
48,T19,T19,José María Olazábal,20,5
49,T19,T19,Craig Parry,21,5
50,T19,T19,Dennis Paulson,30,5
51,T19,T19,Craig Perks,28,5
52,T19,T19,Phillip Price,7,5
53,T19,T19,John Senden,30,5
54,T19,T19,Vijay Singh,28,5
55,T19,T19,Chris Smith,30,5
56,T19,T19,Hidemichi Tanaka,31,5
57,T19,T19,Grant Waite,31,5
58,T19,T19,Duffy Waldorf,27,5
59,T60,T60,Steve Allan,30,4
60,T60,T60,Michael Allen,29,4
61,T60,T60,Robert Allenby,27,4
62,T60,T60,Stephen Ames,28,4
63,T60,T60,Billy Andrade,31,4
64,T60,T60,Woody Austin,36,4
65,T60,T60,Paul Azinger,20,4
66,T60,T60,Briny Baird,33,4
67,T60,T60,Brian Bateman,31,4
68,T60,T60,Pat Bates,29,4
69,T60,T60,Cameron Beckman,26,4
70,T60,T60,Rich Beem,30,4
71,T60,T60,Notah Begay III,26,4
72,T60,T60,"David Berganio, Jr.",30,4
